"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm28438",0,1.81578232921906,0.741,0.017,0
"Acp1",2.83881454428784e-87,0.295175084815886,0.645,0.728,1.54607517711004e-82
"Amn",9.86379141606721e-82,0.477182855027107,0.343,0.052,5.37201808101853e-77
"Arpc4",1.03764809995785e-79,0.0479124788872918,0.654,0.876,5.65123908199042e-75
"Serp1",1.07271014588521e-78,0.0784264237517796,0.533,0.765,5.84219399652001e-74
"Rnaset2a",6.58270727938494e-78,0.0111917763434637,0.587,0.831,3.58507403849863e-73
"Eif2s1",3.13672922241276e-77,0.0182665111515945,0.458,0.704,1.70832546911044e-72
"Tmem167",5.55795891364965e-77,0.110544261654697,0.551,0.757,3.02697558355187e-72
"Prkar2b",1.31243985065886e-75,-0.19966298262236,0.029,0.27,7.14780991465827e-71
"Uqcc3",2.473991186023e-75,0.124568414373058,0.548,0.732,1.34738507973185e-70
"Atp5k",4.85281862794815e-75,-0.347814881550563,0.904,0.994,2.64294208115312e-70
"Hint2",5.75772077595024e-75,0.158626787646234,0.728,0.876,3.13576988899802e-70
"Parl",6.73107538004369e-75,0.0532400063412205,0.533,0.762,3.66587827347939e-70
"Arl1",3.29141139729865e-74,0.0300486408946903,0.587,0.812,1.79256847519679e-69
"Actr10",8.5538983362785e-74,0.00379891222970719,0.527,0.798,4.658624111904e-69
"Tfg",2.89892324545097e-73,-0.0385786226965305,0.477,0.754,1.57881157793751e-68
"Polr2e",3.74582436402173e-73,0.123597819667422,0.697,0.883,2.04005086513351e-68
"Eif3b",4.02718961406867e-73,0.100777122000261,0.552,0.764,2.19328800761408e-68
"Ube2j2",4.44378458352486e-73,-0.0770333908191667,0.401,0.695,2.42017395987931e-68
"Rnaset2b",1.06187774804802e-72,0.0385982146442153,0.491,0.707,5.78319859141911e-68
"D8Ertd738e",1.15572468003493e-72,0.155496429642243,0.721,0.88,6.29430775240623e-68
"Sdcbp",1.31158439506136e-72,-0.0350703535499874,0.635,0.899,7.14315093238316e-68
"Clptm1l",1.84091259431148e-72,-0.0141929624092084,0.539,0.801,1.00259781711392e-67
"Gfer",5.42598107777154e-72,0.0645956453303977,0.597,0.814,2.95509781457594e-67
"Mrps12",5.66503306321989e-72,0.254903471781839,0.532,0.597,3.08529030689081e-67
"Mrpl24",7.51136778459955e-72,-0.0235438405067545,0.652,0.905,4.09084112284861e-67
"Emc7",8.16698992622739e-72,0.025329426830291,0.558,0.798,4.44790605362196e-67
"Os9",8.51446089942152e-72,0.0591944990702291,0.53,0.757,4.63714569504295e-67
"Hnrnpdl",1.58681414980104e-71,0.0305868647129475,0.564,0.81,8.64210722264642e-67
"Tbcb",3.75129393332923e-71,0.114503323746132,0.6,0.783,2.04302970196976e-66
"Sugt1",6.97867369048669e-71,0.0494450098617174,0.581,0.816,3.80072526531286e-66
"Strap",7.18333146455395e-71,-0.0630583032647308,0.536,0.812,3.91218598222537e-66
"Yipf4",1.61869893413946e-70,-0.0943441828152266,0.536,0.834,8.81575813511034e-66
"Sar1b",1.72556081285388e-70,0.0358060478539596,0.611,0.842,9.3977492989648e-66
"Dnajc15",2.08304792871208e-70,0.089841389775583,0.583,0.772,1.13446956293517e-65
"Psmb10",2.20051875017925e-70,0.141812804657307,0.677,0.844,1.19844652172263e-65
"Pfdn1",2.43736715866752e-70,0.138686588608797,0.578,0.745,1.3274389019535e-65
