"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","Early enterocyte precursor cell",0.00223601076812752,0.00447202153625503,0.431707695803346,0.822810788292093,1.69599599660776,8,"CRIP1;DMBT1;OAT;GUCA2B"
"2","Enterocyte",0.000120217061919288,0.000400723539730961,0.538434096309916,0.658921999638748,1.6530665193774,48,"CRIP1;AMN;FABP2;AOC1;DPEP1;PMP22;COX7A1;SULT1B1;CEACAM20;ALDOB;ARF6;MYH14;NUDT4;MEP1A;ANXA2;NAALADL1;PHGR1"
"3","Goblet cell",2.954706106854e-09,2.954706106854e-08,0.774939030136436,0.591339013635241,1.57116630049294,192,"MUC2;CRIP1;KLK1;FDFT1;GPX2;SPINK4;SSR4;FABP2;GUCA2A;SMIM6;MANF;S100G;PPP1R14B;SH3BGRL3;ACTB;TMSB4X;PLA2G10;PIGR;MVD;CSRP2;MUC13;KLF4;SEC11C;AGR2;BPNT1;TMED3;CCND2;QSOX1;CBR1;ZG16;SEC61G;KDELR2;KRTCAP2;EEF1A1;NANS;KRT7;SLC50A1;MVB12A;TMSB10;TMED9;ALDOB;S100A6;KRT8;GSTM5;PDS5A;OAT;GUK1;OSTC;S100A11;GUCA2B;DAP;REEP5;RAB3D;SSR2;MMP15;SMIM14;MGAM;FAM107B;OAZ1;SERP1;CDHR5;FXYD3;ACLY;GALE;SEC61B;FCGBP;RAMP1;FBP2;TSPAN13;DGAT1;TSPAN8;TMEM141"
"4","Transit amplifying (TA) cell",0.00282115968610187,0.00470193281016979,0.431707695803346,0.621264866636289,1.56271070829372,50,"CRIP1;GPX2;DMBT1;FABP2;S100G;ACTB;TMSB4X;PIGR;CBR1;SLC12A2;EEF1A1;ALDOB;PPIA;GSTM5;RAN;GUCA2B"
"5","Paneth cell",5.34094543822728e-06,2.67047271911364e-05,0.610526878385931,0.545277766867476,1.44831026773813,190,"MUC2;CRIP1;HMGCS1;KLK1;DMBT1;SPINK4;FABP2;GUCA2A;IVNS1ABP;EDN1;HK2;CD63;BRI3;PRPF4B;COX4I1;LY6E;KLF4;AGR2;BPNT1;QSOX1;NUPR1;HSPA5;EEF1A1;PABPC1;TMPRSS2;ALDOB;KRT8;ADCY6;GSTM5;KRT19;NPC2;OAT;COMT;GUCA2B;INTS6;SLC38A2;SOX9;FXR1;RAB3D;SMIM14;MGAM;ALKBH6;TMEM176B;PHLDA1;TRIM8;PRELID1;ACLY;GALNT4;CLDN15;PRR15;FCGBP;LGALS12;FBP2;MATR3;SYNE2;DGAT1;CYCS;TPT1;ESYT2;TFF3;DBI;FAM114A2;ALDOA;FAM20B;TXNDC5;FYCO1;TPI1;GABARAPL1"
"6","Enteroendocrine cell",0.00747186088976713,0.0106740869853816,0.407017918923954,0.567173352847207,1.43302638193047,56,"CRIP1;DMBT1;FABP2;HK2;CD63;ACTB;PIGR;LY6E;BTG2;ALDOB;GSTM5;GUCA2B;FOS;HOPX;MGAM;PHIP;FXYD3;GSPT1;CLDN15"
"7","Brush cell (Tuft cell)",0.000342869693976832,0.00085717423494208,0.49849310876659,0.53336173655319,1.40192147283204,131,"DMBT1;FABP2;IFITM2;ACTB;PIGR;CALM1;UBE2R2;PSMD4;FRYL;CLMN;ETHE1;TMSB10;ALDOB;KRT8;GSTM5;KRT19;TMEM45B;B3GALT5;OAT;ATP2A3;NDUFAF3;CKAP4;GUCA2B;SOX9;REEP5;RAB3D;GALK1;MGAM;CD47;TMEM176B;CSK;DYNC1I2;TMEM176A;PPP3CA;ILDR1;EEF2K;CLDN15;SNRNP25;DGAT1;INPP5J;TSPAN8;TMEM141;ACOT7;ERP29;PSD3;ALDH2;B2M;DBI;KCTD12;JUN;ASAH1;KRT18;SORT1;GDI1;RHOG;SYNGR2;SKAP2"
"8","Late enterocyte precursor cell",0.193771626297578,0.215301806997309,0.102069912371164,0.654899592865086,1.22583482294752,5,"ALDOB;GSTM5;FTH1;GSTA1"
"9","Enteroendocrine precursor cell",0.017982017982018,0.0224775224775225,0.352168429375423,0.444565677431736,1.18503781977481,215,"CRIP1;GPX2;SPINK4;FABP2;IFITM2;PPP1R14B;DYNLL1;SH3BGRL3;CD63;BRI3;PIGR;TXNIP;CNPY2;DRAP1;PRDX1;ANKRD12;PSMA3;QSOX1;PPIB;BTG2;TRIB1;KRT7;ALDOB;S100A6;GSTM5;KRT19;OAT;GNB2;TECR;CPT2;GUCA2B;UBB;HPCAL1;PDE7A;ARRDC3;HES6;MGAM;TMEM176B;FXYD3;SERF2;LARP1;CLDN15;FCGBP;GLUL;GTF2I;LZTS2;KDM1A;B2M;MPZL1;TFF3;DBI;RNF114;JUN;HBP1;LITAF;PRDX2;YME1L1;MAP2K1;PISD;RBM10;HIRA;NUP88;CCT4;RNF167;RNASE4;TRAPPC1;FBXW11;FAM160A2;GSE1;PROM1;CAPRIN1;ARHGEF28;STXBP1;UTRN;ATP1A1;UBE2B;UNC5B;LDHA;PGK1;TM4SF20;FBXO32;KHK;FAM222A;DDX24;GPX1;FTH1;UCP2;DDR1;BBX;CDC14B;AMPD3;SLC5A1;NEO1;COX6B1;MTCH1;ZSWIM6;DRG1"
"10","Intestinal stem cell",0.531812725090036,0.531812725090036,0.0513020516149666,0.539376117420487,0.967144856896421,4,"HSPA5;ALCAM;LGR5;BMPR1A"
