"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","DNA Damage Reversal Homo sapiens R-HSA-73942",0.400497448432609,0.796140687437201,-0.399976979742173,-1.02294934502318,46695,6,"MGMT;ALKBH3;ALKBH2;ASCC1;ASCC3;ASCC2"
"2","Reversal of alkylation damage by DNA dioxygenases Homo sapiens R-HSA-73943",0.522285660423091,0.880683159454144,-0.399930947174589,-0.945729316328302,77572,5,"ALKBH3;ALKBH2;ASCC1;ASCC3;ASCC2"
"3","Sperm:Oocyte Membrane Binding Homo sapiens R-HSA-1300652",0.106240463561723,0.415920112667173,0.86520967128648,1.30695349861998,70184,2,"IZUMO4;CD9"
"4","Fertilization Homo sapiens R-HSA-1187000",0.0489891830112864,0.264146803635947,0.85505676190356,1.4111002821318,36733,3,"IZUMO4;B4GALT1"
"5","Reproduction Homo sapiens R-HSA-1474165",0.0489891830112864,0.264146803635947,0.85505676190356,1.4111002821318,36733,3,"IZUMO4;B4GALT1"
"6","Interaction With The Zona Pellucida Homo sapiens R-HSA-1300644",0.263766235326629,0.647106497334663,0.867939721615093,1.1574597958079,131717,1,"B4GALT1"
"7","Vitamin C (ascorbate) metabolism Homo sapiens R-HSA-196836",0.56403291195137,0.889590272374332,0.511306960967886,0.945450847534616,480264,5,"CYB5A;SLC2A1;CYB5R3"
"8","Facilitative Na+-independent glucose transporters Homo sapiens R-HSA-428790",0.993587880549299,0.999998999902991,0.374137137597791,0.565157622683568,656387,2,"SLC2A1;SLC2A8"
"9","Miscellaneous transport and binding events Homo sapiens R-HSA-5223345",0.881128151806603,0.978701027233691,-0.229068294368306,-0.750245436906494,33896,11,"NIPAL1;MRS2;MAGT1;NIPA2;NIPAL2;NIPAL3;MMGT1;TUSC3;ADD1;ADD3;CTNS"
"10","Bicarbonate transporters Homo sapiens R-HSA-425381",0.447201332552721,0.825947755981939,0.623403520883673,1.02880290922736,335328,3,"SLC4A4;SLC4A7;SLC4A2"
"11","Erythrocytes take up carbon dioxide and release oxygen Homo sapiens R-HSA-1237044",0.0238178031983565,0.164600029614933,-0.81889310781268,-1.56811205142959,5958,3,"AQP1;CYB5R4;CYB5R1"
"12","O2/CO2 exchange in erythrocytes Homo sapiens R-HSA-1480926",0.0238178031983565,0.164600029614933,-0.81889310781268,-1.56811205142959,5958,3,"AQP1;CYB5R4;CYB5R1"
"13","Erythrocytes take up oxygen and release carbon dioxide Homo sapiens R-HSA-1247673",0.0677688822838515,0.317880917283884,-0.966524790060969,-1.28898326892066,33926,1,"AQP1"
"14","Passive transport by Aquaporins Homo sapiens R-HSA-432047",0.00767364727628198,0.0656721441319015,0.931534580382289,1.53731163562359,5753,3,"AQP4;AQP11"
"15","Neurotransmitter Clearance In The Synaptic Cleft Homo sapiens R-HSA-112311",0.294572225750727,0.687110916454984,0.649795331145512,1.14394417281446,238391,4,"COMT;ALDH2;MAOA"
"16","Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562",0.817798311559456,0.978021685057482,0.34340650948895,0.783363289178191,808575,17,"CALM1;HBEGF;MAP2K1;MAP2K2;FURIN;PDCD6IP;VAMP2;MAP2K3"
"17","Uptake and function of anthrax toxins Homo sapiens R-HSA-5210891",0.631768615596621,0.9072343097935,0.427589157156348,0.904957295010452,601492,10,"CALM1;MAP2K1;MAP2K2;FURIN;PDCD6IP;MAP2K3"
"18","Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955",0.927913748012512,0.991211202521348,0.535833429195905,0.714572263601486,463375,1,"VAMP2"
"19","Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981",0.927913748012512,0.991211202521348,0.535833429195905,0.714572263601486,463375,1,"VAMP2"
"20","Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799",0.927913748012512,0.991211202521348,0.535833429195905,0.714572263601486,463375,1,"VAMP2"
"21","Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676",0.559193531584128,0.889590272374332,0.45853049530438,0.953380970785113,526029,9,"LIN7C;PPFIA1;STXBP1;UNC13B;SYN2;VAMP2"
"22","Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429",0.609194807026514,0.905389379629492,0.461215474661838,0.914895732777156,552864,7,"PPFIA1;STXBP1;UNC13B;SYN2;VAMP2"
"23","Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430",0.533985299977001,0.880683159454144,0.476515342512719,0.969679946545129,494534,8,"MAOA;PPFIA1;STXBP1;UNC13B;SLC22A1;VAMP2"
"24","Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642",0.679986189956023,0.920827664779453,0.448173602138346,0.861760182245148,600709,6,"PPFIA1;STXBP1;UNC13B;VAMP2"
"25","Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500",0.708169918851187,0.937433561644736,0.401396547663077,0.849522790557785,674232,10,"SLC38A2;PPFIA1;STXBP1;GLS;UNC13B;VAMP2"
"26","Neurotransmitter Release Cycle Homo sapiens R-HSA-112310",0.438675049406916,0.820495136883075,0.444983230834703,1.0337066698084,435949,20,"HSPA8;SLC38A2;LIN7C;MAOA;PPFIA1;STXBP1;GLS;DNAJC5;UNC13B;SYN2;ALDH5A1;SLC22A1;VAMP2"
"27","GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590",0.444934294472714,0.823828026998535,0.519739189125828,1.03098701672341,403792,7,"HSPA8;STXBP1;DNAJC5;ALDH5A1;VAMP2"
"28","Creatine metabolism Homo sapiens R-HSA-71288",0.378538796359581,0.775149066666667,-0.544471292141296,-1.04261714589923,94706,3,"GATM;CKMT2;SLC6A8"
"29","Na+/Cl- dependent neurotransmitter transporters Homo sapiens R-HSA-442660",0.304473595112705,0.698107682252183,0.645291570130838,1.13601544368771,246404,4,"SLC6A14;SLC22A1;SLC6A9"
"30","Amine compound SLC transporters Homo sapiens R-HSA-425428",0.262854421830409,0.64594609171012,0.573654775234663,1.16735282614758,243434,8,"SLC6A14;SLC44A4;SLC44A1;SLC44A2;SLC44A3"
"31","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds Homo sapiens R-HSA-425366",0.111163903565191,0.423935591654987,0.500259255676301,1.22420093478373,111132,36,"SLC39A4;SLC16A1;SLC6A14;SLC5A3;SLC40A1;HEPH;SLC44A4;SLC13A2;SLC44A1;SLC39A5;SLC11A2;SLC44A2"
"32","SLC-mediated transmembrane transport Homo sapiens R-HSA-425407",0.527203472796527,0.880683159454144,0.379063185894453,0.990070115996636,527203,111,"HK2;SLC39A4;CALM1;SLC16A1;SLC6A14;SLC12A2;SLC5A3;SLC40A1;HEPH;SLC12A6;SLC5A8;SLC26A2;SLC38A2;SLC25A10;SLC26A3;SLC44A4;SLC13A2;SLC44A1;SLC39A5;SLC11A2;G6PC3;SLC35A3;SRI;SLC44A2;SLC4A4;NUP88;CTNS;SLC4A7;NUP62;SLC35B2;HK1;SLC20A1;SLC36A1;SLC29A3;SLC44A3;SLC7A1;NUP35;SLC5A1;SLC35B3;SLC2A1;PDZD11;SLC4A2;SLC35C1;SLC39A14;RAE1;SLC39A10;SLC3A2;TPR;SLC7A8"
"33","Transmembrane transport of small molecules Homo sapiens R-HSA-382551",0.508365491634508,0.880683159454144,0.371536511448517,0.996892322941693,508365,239,"AQP4;HK2;PRKAR2B;UBA52;SLC39A4;CALM1;SLC16A1;ANO1;SLC6A14;TFRC;TRPM6;SLC12A2;SLC5A3;SLC40A1;WNK1;HEPH;EIF2S2;SLC12A6;ATP6V1F;SLC5A8;ADCY6;SLC26A2;GNB2;ATP2A3;UBB;ATP10B;SLC38A2;SLC25A10;GNG11;ATP2C2;SLC26A3;SLC44A4;CLCN2;SLC13A2;ABCC3;RNASEL;SLC44A1;FXYD3;SLC39A5;ATP6V0A2;CFTR;SLC11A2;CAMK2D;RAF1;G6PC3;SLC35A3;SRI;SLC44A2;ATP2B1;SLC4A4;UBC;ATP6V0B;ATP6V0D1;PRKAR2A;ABCB10;NUP88;CTNS;ATP6V1A;SLC4A7;GNG5;NUP62;PEX19;SLC35B2;ATP6V1E1;HK1;ADD3;SLC20A1;ATP1A1;SLC36A1;SLC29A3;SLC44A3;TRPM4;RAB11FIP2;SLC7A1;ABCB7;WNK4;ATP11A;FTH1;NUP35;ATP8A1;SLC5A1;SGK1;SLC35B3;STEAP3;PRKACA;SLC2A1;HMOX2;PDZD11;SLC4A2;SLC35C1;SLC39A14;FLVCR1;CLCN3;ADD1;NEDD4L;TTYH3;RAE1;ATP2A2;TRPV3;SLC39A10;MCOLN2;TPCN1;SLC3A2;TPR"
"34","Transport of inorganic cations/anions and amino acids/oligopeptides Homo sapiens R-HSA-425393",0.118274492069511,0.444132786546735,0.503531508487998,1.22404578747251,118214,33,"CALM1;SLC6A14;SLC12A2;SLC12A6;SLC5A8;SLC26A2;SLC38A2;SLC25A10;SLC26A3;SRI;SLC4A4;CTNS;SLC4A7;SLC20A1;SLC36A1"
"35","Amino acid transport across the plasma membrane Homo sapiens R-HSA-352230",0.661175870044261,0.912137657643067,0.41775427567649,0.884142576976089,629490,10,"SLC6A14;SLC38A2;SLC36A1;SLC7A1;SLC3A2;SLC7A8"
"36","Amino acid and oligopeptide SLC transporters Homo sapiens R-HSA-425374",0.2681186986842,0.653153401102307,0.511448191802027,1.14893859315555,263594,15,"SLC6A14;SLC5A8;SLC38A2;SLC25A10"
"37","Organic anion transporters Homo sapiens R-HSA-428643",0.0406874008953922,0.235794701252037,0.86543373978438,1.42822541003875,30508,3,"SLC5A8;SLC25A10"
"38","Zinc influx into cells by the SLC39 gene family Homo sapiens R-HSA-442380",0.398417029003872,0.794641404157141,0.536519529915711,1.06427354552964,361576,7,"SLC39A4;SLC39A5;SLC39A14;SLC39A10"
"39","Zinc transporters Homo sapiens R-HSA-435354",0.58563252639275,0.896637293863082,0.436566535885672,0.938315511125351,563104,11,"SLC39A4;SLC39A5"
"40","Metal ion SLC transporters Homo sapiens R-HSA-425410",0.191753848400108,0.564773054922197,0.532978154367107,1.20699445730528,189117,16,"SLC39A4;SLC40A1;HEPH;SLC39A5;SLC11A2"
"41","Zinc efflux and compartmentalization by the SLC30 family Homo sapiens R-HSA-435368",0.0789157731931738,0.3551158065714,-0.651093210586882,-1.40119512394996,15051,4,"SLC30A5;SLC30A1;SLC30A7;SLC30A6"
"42","Organic cation/anion/zwitterion transport Homo sapiens R-HSA-549132",0.440716176894644,0.821994120327873,-0.462255466052934,-0.994803961277304,84059,4,"SLC22A18;RUNX1;SLC22A15;SLC22A1"
"43","Organic cation transport Homo sapiens R-HSA-549127",0.440716176894644,0.821994120327873,-0.462255466052934,-0.994803961277304,84059,4,"SLC22A18;RUNX1;SLC22A15;SLC22A1"
"44","Abacavir transmembrane transport Homo sapiens R-HSA-2161517",0.840889538378136,0.978680933152014,-0.462149102623102,-0.759057229704654,285407,2,"ABCG2;SLC22A1"
"45","Abacavir transport and metabolism Homo sapiens R-HSA-2161522",0.582683168537049,0.896637293863082,0.529169971907481,0.931587034835742,471554,4,"GUK1;SLC22A1;PCK1"
"46","Abacavir metabolism Homo sapiens R-HSA-2161541",0.337709498898012,0.72889792137518,0.734663124095188,1.10975474755803,223098,2,"GUK1;PCK1"
"47","Cation-coupled Chloride cotransporters Homo sapiens R-HSA-426117",0.0218500238051102,0.153726949553163,0.894627528822193,1.47640392377396,16383,3,"SLC12A2;SLC12A6"
"48","Na+-dependent glucose transporters Homo sapiens R-HSA-428808",0.511368440425211,0.880683159454144,0.59561268546769,0.982939690031396,383443,3,"SLC5A3;SLC5A1;SLC5A9"
