"","gene","distance","Z","FC","p.value","p.adj"
"6566","Ahr",9.77141291796869e-06,7.86030980719599,1088280.43120609,0,0
"906","Tgm3",2.0495627472597e-07,4.71208697850132,478.793808354527,3.91028991943837e-106,1.63665184578093e-102
"7007","Cyp2d34",1.99507130207716e-07,4.69390725592615,453.672997833953,1.14492425364488e-100,3.19472030908709e-97
"6647","Gpx2",1.96213015974383e-07,4.68269787637698,438.815252694381,1.96016970316249e-97,4.10214514629331e-94
"371","Prdx6",1.83641938380936e-07,4.63829184264741,384.388002866826,1.37923507763794e-85,2.30911536698143e-82
"3832","Ifitm2",1.80212480269987e-07,4.62569967047652,370.165394746174,1.72259254913394e-82,2.40330370480004e-79
"3185","Fxyd4",1.73906980099531e-07,4.60196993749253,344.714947214128,5.99873179383513e-77,7.17362626374199e-74
"1572","Selenbp1",1.69489741381027e-07,4.58487756374371,327.425818689228,3.49505523285798e-73,3.65713841928177e-70
"7405","Hmgn1",1.68140417838936e-07,4.5795759048604,322.23323602213,4.7256253265509e-72,4.39535662317307e-69
"7983","Slc26a2",1.67293969350899e-07,4.57623039712746,318.997044587719,2.39534293353245e-71,2.00514156966002e-68
"3965","Cd24a",1.56205624191261e-07,4.53092731749611,278.111803437469,1.93674199911006e-62,1.47386066132276e-59
"5696","Lypd8",1.54387509300195e-07,4.52322258040166,271.675459221084,4.89501835055439e-61,3.41468321770757e-58
"3430","2200002D01Rik",1.54251269087388e-07,4.52264192165986,271.196187402827,6.22597708439171e-61,4.00905032103408e-58
"3859","Cd81",1.44738061609187e-07,4.48090062217705,238.776505623584,7.26916779337616e-54,4.34644311416799e-51
"4178","Nudt4",1.41180296865242e-07,4.46464902906965,227.182183638728,2.45401657928745e-51,1.36950485234768e-48
"3792","Dmbt1",1.38636029578969e-07,4.45279789660177,219.067681620211,1.4446010399268e-49,7.55797206576704e-47
"191","Ptma",1.34439195776485e-07,4.43281160121679,206.00506562504,1.02208333450532e-46,5.03285858420235e-44
"4870","Lgals3",1.33547329979561e-07,4.42849161304641,203.280868341448,4.01699546734047e-46,1.86812605872817e-43
"396","Mgst3",1.30244530660917e-07,4.41226266692781,193.350401501257,5.90260164708291e-44,2.60056202040689e-41
