"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","Transit amplifying (TA) cell",2.68454266546765e-10,6.71135666366913e-10,0.814035837847908,0.583646269443527,3.20541397538424,50,"GPX2;LYPD8;DMBT1;PTMA;NPM1;EEF1B2;EEF1A1;SNRPG;PPIA;SLC12A2;RAN;ACTG1;P4HB;SLC5A1;TUBA1B;PIGR;UCP2;DBI;TMSB4X;KHK;MGAM;REG4;GAPDH;CRIP1;MDH2;GSTM5;CDHR5;CYB5R3;FTH1;NDRG1;FBP2"
"2","Goblet cell",1.28358857451013e-14,1.28358857451013e-13,0.986546283587582,0.38370327794229,2.79677290598598,194,"GPX2;PTMA;S100A6;EEF1B2;EEF1A1;SNRPG;AGR2;NANS;CALR;PDIA6;OAT;TM9SF3;KRT7;ACTN1;FOXA3;TXNDC5;ARF4;PPP1R14B;BSG;CSRP2;SEC61B;KRT18;SEC11C;GMDS;CMPK1;DDOST;NFIA;TM4SF20;HID1;SSR4;OAZ1;SLC50A1;FXYD3;TMED9;GSTO1;KRTCAP2;SYNGR2;PDIA3;HNRNPC;HADH;SLC5A1;TM4SF5;OSTC;MAP4K4;SPINK4;ENY2;SSR2;CREB3L1;CCND1;STARD10;ACLY;PIGR;SDF2L1;TMED5;TMSB10;XBP1;RPN2;TSPAN8;S100A11;CMTM7;UCP2;GALE;DBI;UNG;TPD52;TSPAN13;GPX1;SMIM6;TMSB4X;RAB3D;COG6;KDELR2;KHK;IGDCC4;DAP;RNASE4;MGAM;MVD;CCND2;REG4;GAPDH"
"3","Enteroendocrine cell",1.913277022128e-07,3.18879503688e-07,0.690132458796796,0.495542760484484,2.70876758803338,56,"LYPD8;DMBT1;HOPX;FOS;LY6E;ACTG1;RASD1;CD63;EGR1;FXYD3;MTCH1;SLC5A1;BTG2;GADD45G;PIGR;TOX3;CLDN15;C2CD4B;DBI;GPX1;KHK;GSPT1;RNASE4;MGAM;PHIP;REG4;GAPDH;CRIP1;MDH2;LCORL;GSTM5;FTH1;CNOT6L;ITM2C"
"4","Paneth cell",4.59361466489014e-13,2.29680733244507e-12,0.921426003494898,0.37369228840376,2.70629048856091,190,"LYPD8;DMBT1;MGST3;HSP90AB1;TKT;EEF1B2;EEF1A1;PABPC1;TPT1;FAU;AGR2;TAX1BP1;ANXA4;LY6E;TMEM176B;SMOC2;MIF;OAT;SOX9;SOX4;SRSF7;ST6GALNAC2;LRIG1;HSPA5;CFL1;TXNDC5;AXIN2;BSG;CD63;TM4SF20;P4HB;PHLDA1;GSTO1;ATRX;TMEM59;PRPF4B;GOLM1;PDIA3;TOP1;SLC5A1;TM4SF5;DKC1;MATR3;SPINK4;POLR1D;CREB3L1;EIF2B1;ACLY;SARNP;SNX10;CLDN15;UCP2;DBI;SCP2;TPD52;PTPRF;GPX1;CCDC47;RAB3D;KHK;RBM26;SFSWAP;RNASE4;MGAM;BRI3;TPI1;PELI1;ATP6AP2;COMT;REG4;GAPDH;TCF4;ADCY6;CRIP1;GADD45B;MDH2;DCTN2;GLMN;EDN1;MARCKS;RRBP1;GSTM5;KRT8;SLC38A1;SPTLC1;BRD3;ACSL5;IVNS1ABP;COX6B1;CYB5R3;FTH1;TSTA3;COX8A;NDRG1;GUCA2A;FBP2"
"5","Enteroendocrine precursor cell",1.07915636995778e-12,3.59718789985926e-12,0.910119734774459,0.350010151420841,2.53893063563824,209,"GPX2;IFITM2;LYPD8;PTMA;S100A6;CDK4;TKT;JUN;PRDX1;CCT4;UBB;HNRNPA0;UTRN;TMEM176B;MRFAP1;OAT;KRT7;SOX4;B2M;PPIB;PPP1R14B;CD63;CDK2AP1;TECR;DDX24;NONO;SORCS2;TM4SF20;PPP2CA;CAPRIN1;P4HB;FXYD3;GSTO1;GNB2;TMEM59;PRDX2;BBX;MTCH1;HADH;TOP1;HES6;SLC5A1;GTF2I;CLTA;LARP1;DDIT4;GLUL;MPZL1;MAP4K4;BTG2;AKAP9;SPINK4;GADD45G;PIGR;SERF2;CLDN15;HSD11B2;SF3A3;UCP2;DBI;PISD;SLC29A1;SPINT2;PTPRF;ARF1;PROM1;SMARCD2;CHD7;MCFD2;GPX1;BZW1;KHK;RAB15;GRPEL2;RNASE4;LRP5;GTF2B;MGAM;BRI3;ATP1B1;NEO1;REG4;ANAPC5;GAPDH;ASF1A;PSMA3;SND1;CDKAL1;CRIP1"
"6","Brush cell (Tuft cell)",1.78336784886202e-07,3.18879503688e-07,0.690132458796796,0.34111574303704,2.28080103252962,132,"IFITM2;DMBT1;MGST3;HSP90AA1;JUN;ANXA4;TMEM176B;TMEM176A;ACTG1;OAT;SOX9;SOX4;EHF;ST6GALNAC2;B2M;GALK1;KRT18;SRRM2;TM4SF20;P4HB;GSTO1;SYNGR2;HADH;SLC5A1;YIPF1;RBM38;MYO1B;SMPX;PIGR;PIGT;TMSB10;CLDN15;TSPAN8;PSMD4;ETHE1;UCP2;DBI;GPX1;ZFHX3;RAB3D;KHK;CALM2;TPPP3;ANO6;MGAM;REG4;GAPDH;TCF4"
"7","Enterocyte",0.00236228218943143,0.0033746888420449,0.431707695803346,0.360282465506684,1.93708214077077,47,"NUDT4;SLC5A1;PMP22;SCP2;MEP1A;KRT20;KHK;REG4;GAPDH;SULT1B1;CRIP1;MYH14;MS4A10;ACSL5;CYB5R3;FTH1;COX7A1;UGDH;AMN;ALDOB;SLC51B;CYB5B;ARF6;GDA;FABP2;DPEP1;NEU1;PHGR1;RBP2"
"8","Late enterocyte precursor cell",0.0519125683060109,0.0648907103825137,0.341790336107307,0.673098615714121,1.59991840831186,5,"REG4;GSTM5;FTH1;ALDOB"
"9","Early enterocyte precursor cell",0.0906344410876133,0.0925925925925926,0.266346749862859,0.492843710568413,1.48672742846871,9,"DMBT1;OAT;SLC5A1;REG4;CRIP1"
"10","Intestinal stem cell",0.0925925925925926,0.0925925925925926,0.245037538426726,0.661452576521764,1.42857499982084,4,"HSPA5;LGR5;ALCAM"
