"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Translation Homo sapiens R-HSA-72766",7.77447794380607e-06,0.000279122720323964,0.663053698935158,3.75239553275944,0,65,"EEF1B2;EEF1G;EEF1A1;PABPC1;EEF2;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EEF1D;EIF3M;EIF4B;EIF3K;SEC61B;EIF3G;SEC11C;EIF5;DDOST;EIF1AX;SRP9;SSR4;SPCS1;EIF4H;RPN1;SSR2;EIF3C;EIF2B1;SEC11A;EIF3L;RPN2;EIF3B;TRMT112;SRP19;SPCS2;ETF1;EIF2S1;EIF5B;SRPR;EIF4E;EIF2B2;EIF2B5;EIF3D;SRP72;EIF4G1;SEC61A1"
"2","GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706",4.11062514387188e-06,0.000279122720323964,0.771147855260005,3.30334966222688,0,25,"FAU;EIF3F;EIF4A1;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF5;EIF1AX;EIF4H;EIF3C;EIF3L;EIF3B;EIF2S1;EIF5B;EIF4E;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"3","L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827",4.03632694248234e-06,0.000279122720323964,0.771055469030789,3.25799083098595,0,24,"PABPC1;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF1AX;EIF4H;EIF3C;EIF3L;EIF3B;EIF2S1;EIF4E;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"4","3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279",4.03632694248234e-06,0.000279122720323964,0.771055469030789,3.25799083098595,0,24,"PABPC1;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF1AX;EIF4H;EIF3C;EIF3L;EIF3B;EIF2S1;EIF4E;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"5","Cap-dependent Translation Initiation Homo sapiens R-HSA-72737",4.647812042481e-06,0.000279122720323964,0.694877942957327,3.22322612716916,0,32,"PABPC1;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF5;EIF1AX;EIF4H;EIF3C;EIF2B1;EIF3L;EIF3B;EIF2S1;EIF5B;EIF4E;EIF2B2;EIF2B5;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"6","Eukaryotic Translation Initiation Homo sapiens R-HSA-72613",4.647812042481e-06,0.000279122720323964,0.694877942957327,3.22322612716916,0,32,"PABPC1;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF5;EIF1AX;EIF4H;EIF3C;EIF2B1;EIF3L;EIF3B;EIF2S1;EIF5B;EIF4E;EIF2B2;EIF2B5;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"7","Ribosomal scanning and start codon recognition Homo sapiens R-HSA-72702",3.95732421565834e-06,0.000279122720323964,0.770963104935314,3.211995722546,0,23,"FAU;EIF3F;EIF4A1;EIF3E;EIF3A;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF5;EIF1AX;EIF4H;EIF3C;EIF3L;EIF3B;EIF2S1;EIF4E;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"8","Translation initiation complex formation Homo sapiens R-HSA-72649",3.95732421565834e-06,0.000279122720323964,0.770963104935314,3.211995722546,0,23,"PABPC1;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF1AX;EIF4H;EIF3C;EIF3L;EIF3B;EIF2S1;EIF4E;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"9","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662",4.03632694248234e-06,0.000279122720323964,0.744479223262719,3.145696490939,0,24,"PABPC1;FAU;EIF3F;EIF4A1;EIF3E;EIF3A;EIF3H;EIF3I;EIF3M;EIF4B;EIF3K;EIF3G;EIF1AX;EIF4H;EIF3C;EIF3L;EIF3B;EIF2S1;EIF4E;EIF3D;EIF4G1;EIF2S2;EIF4A2"
"10","Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689",3.38899187658647e-06,0.000279122720323964,0.835735868834254,2.98236156400569,0,15,"FAU;EIF3F;EIF3E;EIF3A;UBA52;EIF3H;EIF3I;EIF3M;EIF3K;EIF3G;EIF1AX;EIF3C;EIF3L;EIF3B"
