"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","DNA Damage Reversal Homo sapiens R-HSA-73942",0.0144203415617033,0.0951871873490015,-0.71193112098742,-1.68020366863345,9174,6,"ASCC2;ALKBH2;MGMT;ALKBH3;ASCC3"
"2","Reversal of alkylation damage by DNA dioxygenases Homo sapiens R-HSA-73943",0.0426882683070051,0.194010881526676,-0.691965098618553,-1.53857595650555,26606,5,"ASCC2;ALKBH2;ALKBH3;ASCC3"
"3","Sperm:Oocyte Membrane Binding Homo sapiens R-HSA-1300652",0.570231370614794,0.804897350123534,0.597323455609989,0.942273324990964,255502,2,"CD9;IZUMO4"
"4","Fertilization Homo sapiens R-HSA-1187000",0.361010689135116,0.67181761619076,0.597394837476099,1.09258890530855,147691,3,"CD9;B4GALT1;IZUMO4"
"5","Reproduction Homo sapiens R-HSA-1474165",0.361010689135116,0.67181761619076,0.597394837476099,1.09258890530855,147691,3,"CD9;B4GALT1;IZUMO4"
"6","Interaction With The Zona Pellucida Homo sapiens R-HSA-1300644",0.715075535585076,0.895745571344172,0.643010752688172,0.857150527005433,357747,1,"B4GALT1"
"7","Vitamin C (ascorbate) metabolism Homo sapiens R-HSA-196836",0.12282634374494,0.367480443074292,0.612580110148407,1.40305137262771,46271,5,"GSTO1;CYB5A;CYB5R3"
"8","Facilitative Na+-independent glucose transporters Homo sapiens R-HSA-428790",0.109952206508466,0.34436095314992,-0.812582822067693,-1.31898507036205,60688,2,"SLC2A8"
"9","Miscellaneous transport and binding events Homo sapiens R-HSA-5223345",0.220924595983325,0.518661890410613,-0.448559817341775,-1.23772097398818,148119,10,"MMGT1;NIPAL2;ADD3;MRS2"
"10","Bicarbonate transporters Homo sapiens R-HSA-425381",0.508016422072999,0.774061633829735,-0.517686424474187,-0.972828082302786,300192,3,"SLC4A4;SLC4A7;SLC4A2"
"11","Erythrocytes take up carbon dioxide and release oxygen Homo sapiens R-HSA-1237044",0.423546896044311,0.727492451548689,0.571582217973231,1.0453796227427,173275,3,"AQP1;CYB5R1;CYB5R4"
"12","O2/CO2 exchange in erythrocytes Homo sapiens R-HSA-1480926",0.423546896044311,0.727492451548689,0.571582217973231,1.0453796227427,173275,3,"AQP1;CYB5R1;CYB5R4"
"13","Erythrocytes take up oxygen and release carbon dioxide Homo sapiens R-HSA-1247673",0.106041647511263,0.33568452717544,0.947072879330944,1.26247347223561,53051,1,"AQP1"
"14","Passive transport by Aquaporins Homo sapiens R-HSA-432047",0.339615308464534,0.652229918640333,0.606544162951875,1.10932231323039,138938,3,"AQP1;AQP11;AQP4"
"15","Neurotransmitter Clearance In The Synaptic Cleft Homo sapiens R-HSA-112311",0.953818953096973,0.985857162720635,-0.259942661239964,-0.577979336605739,594501,5,"ACHE"
"16","Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562",0.019356565909195,0.119717920245105,0.465256966772166,1.74033742121232,5494,17,"HSP90AB1;HSP90AA1;EEF2;HBEGF"
"17","Uptake and function of anthrax toxins Homo sapiens R-HSA-5210891",0.0524971847476714,0.222057057323483,-0.552595660069755,-1.52478936400593,35196,10,"MAP2K4;MAP2K7;FURIN;ANTXR2;MAP2K6"
"18","Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955",0.0960946721885441,0.317155510003446,-0.95221027479092,-1.26922380134361,48030,1,"VAMP2"
"19","Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981",0.0960946721885441,0.317155510003446,-0.95221027479092,-1.26922380134361,48030,1,"VAMP2"
"20","Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799",0.0960946721885441,0.317155510003446,-0.95221027479092,-1.26922380134361,48030,1,"VAMP2"
"21","Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676",0.887020526514706,0.971212381782649,-0.260146594324931,-0.644620758633247,572663,7,"VAMP2;PPFIA1"
"22","Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429",0.675341656960047,0.870603150709018,-0.373353642289547,-0.830147269634373,420930,5,"VAMP2;PPFIA1"
"23","Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430",0.776644233277905,0.921269755805752,-0.316014055621061,-0.745813688911099,494142,6,"VAMP2;PPFIA1"
"24","Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642",0.519329628029316,0.781829832563038,-0.461980678351205,-0.954761197763401,316103,4,"VAMP2;PPFIA1"
