"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3) Homo sapiens R-HSA-5683678","3/5",5.09452369571835e-09,8.83050773924515e-08,0,0,2140.82142857143,40879.1985313144,"SFTPB;SFTPC;SFTPA1"
"2","ABC transporter disorders Homo sapiens R-HSA-5619084","4/8",2.49384402214491e-11,1.29679889151535e-09,0,0,1536.84615384615,37521.5005809518,"SFTPB;SFTPC;SFTPA1;CFTR"
"3","Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5) Homo sapiens R-HSA-5688849","3/8",2.84852657820636e-08,2.96246764133462e-07,0,0,856.2,14875.5150914567,"SFTPB;SFTPC;SFTPA1"
"4","Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4) Homo sapiens R-HSA-5688890","3/8",2.84852657820636e-08,2.96246764133462e-07,0,0,856.2,14875.5150914567,"SFTPB;SFTPC;SFTPA1"
"5","Diseases associated with surfactant metabolism Homo sapiens R-HSA-5687613","3/10",6.09765186153758e-08,5.28463161333257e-07,0,0,611.510204081633,10158.8826460581,"SFTPB;SFTPC;SFTPA1"
"6","Disorders of transmembrane transporters Homo sapiens R-HSA-5619115","4/15",4.84562986563569e-10,1.25986376506528e-08,0,0,558.657342657343,11981.956255471,"SFTPB;SFTPC;SFTPA1;CFTR"
"7","multivesicular body lumen (GO:0097486)","2/7",1.42441984905552e-05,0.000139593145207441,0,0,532.746666666667,5945.00574969243,"SFTPB;SFTPC"
"8","late endosome lumen (GO:0031906)","2/9",2.43943498321304e-05,0.000199220523629065,0,0,380.495238095238,4041.30042892081,"SFTPB;SFTPC"
"9","lamellar body (GO:0042599)","3/15",2.30600891568636e-07,1.12994436868632e-05,0,0,356.625,5450.14915201552,"SFTPB;SFTPC;SFTPA1"
"10","Catabolism of glucuronate to xylulose-5-phosphate Homo sapiens R-HSA-5661270","1/5",0.00424314398899693,0.0200584988570764,0,0,312.171875,1705.22350136349,"DCXR"
