gene,distance,Z,FC,p.value,p.adj
Cftr,5.1468224801471e-06,4.91930191167413,52793.2317255543,0,0
Lamp3,1.00294201634172e-06,4.29196256577404,2004.70983466741,0,0
Sftpc,6.90981289159276e-07,4.15608472316382,951.551820585029,6.10121266466008e-209,3.94870483656801e-205
Cxcl15,6.09641823559165e-07,4.11097607495182,740.711993287179,4.19725482118916e-163,2.7160435947915e-159
Sftpa1,5.8492948593637e-07,4.09613398658675,681.878345219586,2.6088595100219e-150,1.68793210298417e-146
Sftpb,5.71723980033111e-07,4.08795679845836,651.437396959476,1.08769262542907e-143,7.03628359390067e-140
Tspan1,3.8157508247774e-07,3.94469710006498,290.17492656431,4.55450768509041e-65,2.94585557071648e-61
Birc5,3.07909259907918e-07,3.86986822130405,188.949335698112,5.39102847361362e-43,3.48637811388593e-39
Pclaf,2.67780752073627e-07,3.82158614142019,142.908672031375,6.15459356857979e-33,3.9795602014437e-29
Dcxr,2.67200736372811e-07,3.82083904630131,142.290259367766,8.40262383068337e-33,5.4322963065368e-29
Cldn10,2.63360862295227e-07,3.81585384601423,138.230010392395,6.49062601015713e-32,4.19554065296557e-28
Smc2,2.61431838993146e-07,3.81332333472652,136.212456567261,1.79283641221098e-31,1.15871017321196e-27
Hmgb2,2.41798271210018e-07,3.78650809768833,116.521549861216,3.65387331429677e-27,2.36113293569857e-23
Pglyrp1,2.36317811680449e-07,3.77865333129463,111.299389577571,5.08768551993058e-26,3.28715361442715e-22
Tubb5,2.13124013714201e-07,3.74337211422795,90.5241890093009,1.82729260845443e-21,1.18043102506156e-17
Mgst1,1.71691558033485e-07,3.67012957687364,58.7486313012183,1.79158130568396e-14,1.15718236534127e-10
Npc2,9.47041403354329e-08,3.47260017773002,17.8746605079201,2.35941823677259e-05,0.152371229730774
Itm2b,6.70976002754935e-08,3.36084633912145,8.97250782494407,0.00274072155319881,1
Ager,1.41382105587923e-10,1.65601119237505,3.98371958027179e-05,0.994964048277187,1
Hopx,1.31945101284198e-10,1.63972429326768,3.46965594140886e-05,0.995300185078853,1
Emp2,1.30864125468839e-10,1.63778853164349,3.4130376895854e-05,0.995338688427443,1
Cryab,1.18086025486543e-10,1.61367814509362,2.77905332763718e-05,0.995793833208327,1
Dlk1,1.16132722858782e-10,1.6097757791652,2.68787511808725e-05,0.995863408269246,1
Akap5,1.13408801535237e-10,1.60422844268693,2.56326431624423e-05,0.995960432197687,1
Igfbp7,1.11353243618438e-10,1.59995780316604,2.47118701904793e-05,0.996033649588526,1
Timp3,1.06874016816483e-10,1.59038621141846,2.27637671530019e-05,0.996193196314411,1
Clic3,1.0636346172834e-10,1.58927111946931,2.254679399162e-05,0.996211381916552,1
Dpysl2,1.03575099854993e-10,1.58308992355347,2.13801422795392e-05,0.996310701379691,1
Lmo7,1.0095302962495e-10,1.57713141288099,2.03113403333965e-05,0.996404097705165,1
Pmp22,9.55801831811829e-11,1.56444828410359,1.82068823849018e-05,0.996595474926628,1
Tspan15,9.45718938289946e-11,1.56199285100951,1.78247743903963e-05,0.996631389545766,1
Lgals3,9.03251022231988e-11,1.5513702003112,1.62598596715448e-05,0.996782657609265,1
S100a6,9.02995233839225e-11,1.55130479292709,1.62506518336975e-05,0.996783568711894,1
Krt7,8.83412666177443e-11,1.54624435659065,1.55534634601618e-05,0.996853320633942,1
Bcam,8.80392091057758e-11,1.54545432294064,1.5447284120498e-05,0.996864079742048,1
Cldn18,8.80248655423561e-11,1.5454167432372,1.54422511118555e-05,0.996864590651221,1
Slc34a2,8.70905917813756e-11,1.54295635810978,1.5116190376088e-05,0.996897868928072,1
Cbr2,8.70572372251436e-11,1.54286805697736,1.51046139873694e-05,0.996899056997668,1
Lgi3,8.69787346434267e-11,1.54266010639347,1.50773855428475e-05,0.996901853213298,1
Dram1,8.64689864311348e-11,1.54130544773685,1.49011781282448e-05,0.996920010144702,1
Cav1,8.62359756461313e-11,1.54068369203861,1.48209769574317e-05,0.9969283098523,1
Ldha,8.55018047104247e-11,1.53871417362856,1.45696940763135e-05,0.996954460592913,1
Trf,8.54163765560772e-11,1.53848395786202,1.45405943331305e-05,0.996957503494169,1
AC164564.3,8.40161054157007e-11,1.53467893629104,1.40677603518927e-05,0.997007380345417,1
Elf5,8.24443865022141e-11,1.53033559957217,1.35463424680616e-05,0.997063364081483,1
Serpine2,8.21421703924455e-11,1.52949143823708,1.34472109308901e-05,0.997074128849532,1
Wdr45,8.18515930275403e-11,1.52867699992865,1.33522403743262e-05,0.99708447905253,1
Ndnf,8.15919502522746e-11,1.52794693903691,1.32676650092757e-05,0.997093727383185,1
Msn,8.14873084138264e-11,1.52765208406205,1.32336552185661e-05,0.997097454667143,1
Cebpa,8.12530282353572e-11,1.5269906338428,1.31576697359999e-05,0.997105799596742,1
Pdia6,8.11482166520855e-11,1.52669412940635,1.31237464038137e-05,0.997109532927121,1
Clic5,7.95895282107642e-11,1.52224124453245,1.26244285956545e-05,0.997165052551059,1
Msln,7.91589469167925e-11,1.52099654848296,1.24882011571711e-05,0.997180389622068,1
Id3,7.86801915907647e-11,1.51960502028678,1.23376000412368e-05,0.997197442627065,1
Cd9,7.83602762702476e-11,1.5186706788516,1.22374741283439e-05,0.997208837837948,1
Cthrc1,7.8054392258522e-11,1.51777392218505,1.21421211800821e-05,0.997219733261725,1
Anxa3,7.8000906522331e-11,1.51761677584213,1.21254864266824e-05,0.997221638394899,1
Atox1,7.77761671476774e-11,1.51695534883677,1.20557142006652e-05,0.997229643490797,1
Cd36,7.7170221700259e-11,1.5151629117766,1.18685965071023e-05,0.997251226943785,1
Qk,7.68367543077587e-11,1.51417077575058,1.17662451426374e-05,0.997263104874942,1
Ces1d,7.63671041313328e-11,1.51276650771798,1.16228468228698e-05,0.997279833565458,1
Hp,7.62249777558328e-11,1.51233992840605,1.15796246546928e-05,0.997284896031907,1
Tinagl1,7.61142491255563e-11,1.51200706259299,1.15460066801034e-05,0.997288840127326,1
Atp6v1c2,7.60951850110816e-11,1.51194970677439,1.15402236150427e-05,0.997289519181036,1
Tgfb2,7.59838772201987e-11,1.51161455617675,1.15064875163146e-05,0.997293483905929,1
St3gal6,7.58311517310294e-11,1.5111539360486,1.14602785598227e-05,0.99729892390753,1
Mdk,7.57706617510714e-11,1.51097125456308,1.14420022838752e-05,0.997301078528838,1
Etv5,7.56308377662313e-11,1.51054845128874,1.13998120705662e-05,0.997306058985796,1
Myl6,7.52381585785045e-11,1.50935707504767,1.12817425622061e-05,0.997320046012939,1
Gsn,7.35237219059347e-11,1.50408535889308,1.07734509101008e-05,0.997381113359492,1
Col4a3,7.29506941818223e-11,1.50229729307438,1.06061735062939e-05,0.997401524313754,1
Lpcat1,7.2910178318686e-11,1.50217036355106,1.05943957172258e-05,0.997402967468127,1
Sec61b,7.28971268263668e-11,1.50212946110731,1.05906030972769e-05,0.997403432355627,1
Wnk1,7.28868202409102e-11,1.50209715608922,1.05876085968269e-05,0.997403799470944,1
Ifitm3,7.27747799210906e-11,1.5017456960309,1.05550834484766e-05,0.997407790290031,1
Aldh1a7,7.27434958821582e-11,1.50164746911249,1.05460106716612e-05,0.997408904611564,1
Scgb3a2,7.26486828020325e-11,1.50134952578736,1.05185374766085e-05,0.99741228180522,1
Bex2,7.24429133704142e-11,1.50070163727857,1.04590366517895e-05,0.997419611207799,1
Aqp5,7.23211549854882e-11,1.50031744336646,1.04239081580591e-05,0.997423948179693,1
Col4a4,7.22070042627078e-11,1.4999566960476,1.03910282187835e-05,0.997428014170591,1
