"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","regulation of glomerular filtration (GO:0003093)","3/6",1.65267329028497e-05,0.00258121482546375,0,0,105.919786096257,1166.233121394,"F2R;EMP2;GAS6"
"2","positive regulation of aspartic-type peptidase activity (GO:1905247)","2/6",0.00131325699210922,0.0310353527399929,0,0,52.6755319148936,349.51505838399,"LYN;EPHA4"
"3","positive regulation of podosome assembly (GO:0071803)","2/6",0.00131325699210922,0.0310353527399929,0,0,52.6755319148936,349.51505838399,"FSCN1;LCP1"
"4","positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)","2/6",0.00131325699210922,0.0310353527399929,0,0,52.6755319148936,349.51505838399,"LYN;EPHA4"
"5","regulation of coagulation (GO:0050818)","3/10",9.64145698052667e-05,0.00772755094662648,0,0,45.3850267379679,419.668681027039,"PROCR;CAV1;F2R"
"6","interleukin-18-mediated signaling pathway (GO:0035655)","2/7",0.00182707526872737,0.0367013744605609,0,0,42.1382978723404,265.683603238372,"IL18;IL18R1"
"7","cellular response to interleukin-18 (GO:0071351)","2/7",0.00182707526872737,0.0367013744605609,0,0,42.1382978723404,265.683603238372,"IL18;IL18R1"
"8","negative regulation of interleukin-8 secretion (GO:2000483)","2/7",0.00182707526872737,0.0367013744605609,0,0,42.1382978723404,265.683603238372,"ANXA1;TMSB4X"
"9","leukocyte aggregation (GO:0070486)","2/7",0.00182707526872737,0.0367013744605609,0,0,42.1382978723404,265.683603238372,"RAC2;BMP7"
"10","Bone mineralization regulation","3/11",0.000131643414196043,0.00595985638814814,0,0,39.7098930481283,354.824322303045,"COL4A2;COL4A4;ENPP1"
"11","Support of platelet aggregation by Eph kinases and ephrins","2/8",0.00242089394414848,0.0446520438587386,0,0,35.113475177305,211.510175468491,"LYN;EPHA4"
"12","regulation of fibroblast apoptotic process (GO:2000269)","2/8",0.00242089394414848,0.0457691360970188,0,0,35.113475177305,211.510175468491,"BTG1;GAS6"
"13","regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)","2/8",0.00242089394414848,0.0457691360970188,0,0,35.113475177305,211.510175468491,"LYN;EPHA4"
"14","regulation of T-helper 2 cell differentiation (GO:0045628)","2/8",0.00242089394414848,0.0457691360970188,0,0,35.113475177305,211.510175468491,"ANXA1;IL18"
"15","Signal regulatory protein (SIRP) family interactions","3/13",0.000225005107402662,0.00861942642204045,0,0,31.7647058823529,266.804072146062,"TYROBP;PTPN6;FYB"
"16","Signal regulatory protein (SIRP) family interactions Homo sapiens R-HSA-391160","3/13",0.000225005107402662,0.00992522529320633,0,0,31.7647058823529,266.804072146062,"TYROBP;PTPN6;FYB"
"17","leukocyte differentiation (GO:0002521)","3/13",0.000225005107402662,0.0102861651362118,0,0,31.7647058823529,266.804072146062,"LYN;IKZF1;GAS6"
"18","cellular response to low-density lipoprotein particle stimulus (GO:0071404)","3/13",0.000225005107402662,0.0102861651362118,0,0,31.7647058823529,266.804072146062,"FCER1G;LPL;CD9"
"19","regulation of leukocyte migration (GO:0002685)","3/13",0.000225005107402662,0.0102861651362118,0,0,31.7647058823529,266.804072146062,"STK10;ANXA1;RAC2"
"20","Platelet amyloid precursor protein pathway","3/14",0.000284370906074096,0.00944111408166,0,0,28.8755469129801,235.77551554832,"COL4A2;PLAU;COL4A4"
"21","positive regulation of myoblast differentiation (GO:0045663)","3/14",0.000284370906074096,0.0114246011515268,0,0,28.8755469129801,235.77551554832,"MEF2C;BTG1;BOC"
"22","regulation of extracellular matrix disassembly (GO:0010715)","3/14",0.000284370906074096,0.0114246011515268,0,0,28.8755469129801,235.77551554832,"DPP4;CST3;FSCN1"
"23","regulation of platelet activation (GO:0010543)","4/19",2.73539858836031e-05,0.00313984680821073,0,0,28.3799283154122,298.177925690518,"LYN;PDGFRA;THBD;FCER1G"
"24","negative regulation of coagulation (GO:0050819)","3/15",0.000352983070586657,0.0125292123307725,0,0,26.4679144385027,210.395846181935,"THBD;PROCR;EDN1"
"25","negative regulation of platelet activation (GO:0010544)","3/15",0.000352983070586657,0.0125292123307725,0,0,26.4679144385027,210.395846181935,"PDGFRA;THBD;CD9"
"26","Cells and molecules involved in local acute inflammatory response","3/17",0.000520202764550701,0.0136347882498026,0,0,22.6844919786096,171.524065239429,"C3;SELPLG;ITGA4"
"27","Integrin beta-5 pathway","3/17",0.000520202764550701,0.0136347882498026,0,0,22.6844919786096,171.524065239429,"ITGA4;PLAU;FN1"
"28","regulation of blood coagulation (GO:0030193)","5/30",8.62474081959242e-06,0.00258121482546375,0,0,21.3891891891892,249.416675291084,"THBD;EDN1;FCER1G;CAV1;F2R"
"29","invadopodium (GO:0071437)","2/12",0.00556549581028801,0.0284133207156809,0,0,21.063829787234,109.345904506247,"DPP4;FSCN1"
