pathway,pval,padj,log2err,ES,NES,size,leadingEdge
MP:0008438 abnormal cutaneous collagen fibril morphology,2.29339825856239e-06,0.000917535718675613,0.627256739718528,0.639273467073308,2.65458433349945,23,BGN;FBN1;DCN;COL5A2;COL1A1;COL3A1;THBS2;DPT;OGN;COL5A1;ADAMTS2;PPIB;TNXB;MIA3;EFEMP2
MP:0003026 decreased vasoconstriction,2.72205876725538e-06,0.00101124483203537,0.627256739718528,0.81919841263065,2.62916089300324,10,CAV1;ADRA1B;ACTA2;MYH11;ATP2B4;FGF2;SMTN
MP:0000759 abnormal skeletal muscle morphology,6.21175086980353e-07,0.000364744435449075,0.659444398037935,0.524904313015297,2.5962013113175,42,DMD;LPL;CAV1;SYNM;LAMA2;SGCB;MEOX2;COL6A1;ITGB1;TRIO;FLNC;TLN2;GAB1;SOD2;IFRD1;XDH;HADHB;CFL2;SAMD4;DES;ACADS;SKI;VDAC3;SERP1
MP:0006060 increased cerebral infarction size,1.1248127969253e-05,0.002785786360385,0.593325476396405,0.732380272979859,2.58281497311467,13,CST3;CAV1;GSN;MALAT1;HSPA1B;GPX1;NDRG4;NOTCH3;NFE2L2;ENTPD1;AKT1S1
MP:0002626 increased heart rate,3.29187685359543e-06,0.00107006571972186,0.627256739718528,0.526871926131019,2.57970746928197,39,MGP;SYNM;IL18R1;SORBS2;ADORA2B;CTSL;EGFR;HNRNPA1;CALM1;ACE;RRAD;CD47;GNAI2;PNPLA2;SLC4A7;GNB2;ROCK1;PJA2;SOX4;HSPB1;LEPROTL1
MP:0000230 abnormal systemic arterial blood pressure,4.83069560050555e-06,0.00132233935885418,0.610526878385931,0.690995997867952,2.57355405326432,16,NPR1;F2R;THBS1;ADRA1B;ACTA2;FBLN5;SMTN;ACE;KRAS;AGTR1A;SLC4A7
MP:0002444 abnormal T cell physiology,1.58770004317968e-07,0.000137627132076292,0.690132458796796,0.454167252468004,2.55044182676445,72,PTPRC;CORO1A;ITGA4;LAT2;PTPN6;FYB;CTSS;STK10;CMAH;CTSC;TCF4;IRF7;FYN;LBR;PSTPIP1;TGM2;BCL2;CBL;ITPKB;ITGA6;ID3;IL16;STK38;TAGLN2;GNAI2;SLC1A5;TRIP10;FOXO3;PLEC;IL15RA;NFATC1;EFS;NEDD9;BCL2L1
MP:0004003 abnormal vascular endothelial cell physiology,2.63745386705333e-05,0.00442496695565948,0.575610261071129,0.657899819920565,2.5409319478605,18,CTSS;ANXA1;CD151;ATP2A2;CD44;CLIC4;ENTPD1;SLC4A7;ROCK1;NGF;P2RX4;PIEZO1;IFNGR1;ESR1;CTTN;BMP4
MP:0005598 decreased ventricle muscle contractility,1.1885064613005e-06,0.000618142210522389,0.643551836150722,0.497835569042453,2.52904096400788,47,IL18;CAV1;SYNM;MEF2C;PLAT;CTSL;COL1A1;EGFR;ADM;LMNA;GIPC1;ATP2A2;GALNT1;HSPB8;SOD2;LAMA4;PNPLA2;MAP3K1;PTPN11;CDC42;VCL;DES;NDUFS6;TIMP3;FKBP1A;TXNIP;THRA;GJA1
MP:0003447 decreased tumor growth/size,4.4725553626416e-06,0.0012923200245055,0.610526878385931,0.529046119959523,2.51713105395114,36,CD248;PLAU;ANXA1;IL6RA;CAV2;PTP4A3;MMP2;RHOJ;FBLN5;ID1;ACE;CD44;ANTXR1;ADAM15;MSI2;LOXL2;IDH2;ADAM9;ETS2
MP:0000751 myopathy,2.95867021934715e-05,0.00480876369088267,0.575610261071129,0.582059705279112,2.51628238437547,26,DMD;PLAU;LAMA2;COL6A1;GAA;STMN1;CRYAB;NOTCH3;DMPK;AR;SLC25A4;PLEC;SAMD4;DES;AGRN;COL6A3;FHL1;COL4A1;TPP1;VCP
MP:0005140 decreased cardiac muscle contractility,4.65711330091209e-07,0.000346023518257768,0.674962860011025,0.457786371768207,2.50813821828809,65,DMD;ATP1A2;CAV1;MEF2C;NXN;CACNA2D1;CLU;ADRA1B;SGCD;CTSL;NEXN;DDR2;FGF2;LMNA;LIMS2;ATP2A2;PRKAG2;HOPX;RBPJ;LAMP2;MYH10;ATP1A1;VEGFA;KRAS;PTPN11;VCL;NGF;IVNS1ABP;GJC1;DES
MP:0003566 abnormal cell adhesion,1.52963782295149e-05,0.00331485263215446,0.575610261071129,0.504978205740077,2.47250989199288,39,WFDC1;ZYX;MYH11;TGM2;ITGB1;PALLD;FNDC3B;BCL2;RAPGEF1;ITGA8;CALR;ITGA11;MYH9;MTSS1;SDC4;DLC1;MFGE8;CORO2B;VCL;TNS1;PPP5C;FERMT2;DAAM1;PTPRA;FLNB
MP:0005421 loose skin,5.09270403121351e-05,0.0064602813820345,0.557332238758646,0.698422490868659,2.46305933341984,13,EFEMP1;DCN;FBLN5;LOXL1;ATOX1;DPT;MMP14;PPIB;EFEMP2
MP:0003799 impaired macrophage chemotaxis,1.46962361785927e-05,0.00331485263215446,0.593325476396405,0.602367259184836,2.45426658025974,22,ITGA4;PLAU;LGALS3;B4GALT1;CSF1;ANGPTL2;IL33;S100A4;NINJ1;PLEC;ROCK1;CDKN1A;MYO9B;REL;PTGES;ITGB3;PTK2B;CMKLR1
MP:0002672 abnormal pharyngeal arch artery morphology,0.00011003582455667,0.0114459264703848,0.538434096309916,0.666559021519862,2.44265906383055,15,EDN1;HDAC7;MEF2C;CHD7;EDNRA;VEZF1;FOXC1;VEGFA;CHRD
MP:0006055 abnormal vascular endothelial cell morphology,1.39657596399775e-05,0.00330163254034196,0.593325476396405,0.545765778290207,2.4392175879835,30,MDK;HDAC7;TEK;CAV1;C1GALT1;PTPRJ;ADM;VEZF1;CD44;ELK3;RECK;CLIC4;NGF;BCAS3;PIEZO1;S1PR1;MGAT1;ADAM19;ANGPT1;PDGFRB;COL15A1;KLF2;PSEN1
MP:0001792 impaired wound healing,3.23536477484499e-05,0.00509913096786933,0.557332238758646,0.617233916697971,2.41214948300636,19,FN1;CAV1;CMAH;GIPC1;AEBP1;GAB1;ARPC3;CD44;SDC4;PLEC;HSPB1;LPP;DAAM1
MP:0002795 dilated cardiomyopathy,4.48003028467043e-05,0.00613174671330813,0.557332238758646,0.57092857429116,2.40644830085377,24,CAV1;MYH11;SGCD;CTSL;NEXN;HNRNPA1;LMNA;ABCA5;SOD2;MYH10;KRAS;PTPN11;NGF;DES;PDLIM5;TIMP3;FKBP1A
MP:0003710 abnormal physiological neovascularization,0.00021881811554057,0.0164641532603752,0.518848077743792,0.651587428933457,2.38779446047138,15,THBS1;B4GALT1;EPAS1;ATP2A2;CD44;CD47;CLIC4;MFGE8;RRAS;CXCL12;ITGB3;H2AFX;PTK2B;RNF213
MP:0002998 abnormal bone remodeling,5.71843891391234e-05,0.00708133352172811,0.557332238758646,0.63989457790495,2.38323129180243,16,TYROBP;MGP;FBN1;GSN;CSF1;SPARC;MMP14;KHDRBS1;CTSK;THRA;LTBP3
MP:0008720 impaired neutrophil chemotaxis,6.23442316574678e-05,0.00747575801755807,0.538434096309916,0.564648221306864,2.37997678506638,24,RAC2;SELPLG;IL18;NPR1;MDK;GSN;WDR1;CD47;PDE4D;PDE4B;TLR4;CAPG;DOCK2;CD69;IL1R1;LSP1
MP:0006354 abnormal fourth pharyngeal arch artery morphology,0.00026373193835672,0.0180482869920171,0.49849310876659,0.71221269337232,2.37767073098352,11,EDN1;CHD7;PLXND1;EDNRA;LTBP1;FOXC1;VEGFA
MP:0010856 dilated respiratory conducting tubes,0.00012442180307418,0.0122267939817305,0.518848077743792,0.673455116035188,2.37500929720453,13,RAB38;EGFR;LOXL1;ITGA8;FUT8;MMP14;TGFB3;MSN;ADAM17
MP:0006059 decreased susceptibility to ischemic brain injury,0.000289923654271969,0.0187825475612219,0.49849310876659,0.682636205225966,2.37212151618847,12,UCP2;CST3;GPX3;DAPK1;HSPH1;PLA2G4A;SNTA1;NOX4;TLR4;MAPK8IP1
