gene,distance,Z,FC,p.value,p.adj
Dmd,1.85645318169856e-05,2.3213655632785,357444.695923275,0,0
Rac2,5.8367371170353e-07,1.7822728307205,353.33049476454,7.9778680889734e-79,3.85809700782754e-75
Ptpn18,5.17624939263031e-07,1.76415675234993,277.888925716865,2.16591751275298e-62,6.98291806111561e-59
Cd53,4.91581195730115e-07,1.75638120287667,250.629032727655,1.8936754511816e-56,4.57890724095711e-53
Hmha1,4.53766317984625e-07,1.74433919250323,213.55284762104,2.30550109136053e-48,4.45976131112781e-45
Gmfg,4.42364093358793e-07,1.74051424907611,202.955390620244,4.73066880638728e-46,7.62583811589629e-43
Srgn,3.55139503994877e-07,1.70757818795764,130.809360455648,2.72564983815573e-30,3.7660693192346e-27
Cd52,3.50321167138601e-07,1.70553389698472,127.283940806381,1.61008659005786e-29,1.94659468737996e-26
Ptprc,3.47245852186363e-07,1.70421463777582,125.059010592336,4.94034836123292e-29,5.30922770553832e-26
Lcp1,3.15941099177131e-07,1.69009196985219,103.526874853673,2.56885776974307e-24,2.48459923489549e-21
Ikzf1,3.13002237422073e-07,1.68869629549711,101.609833275532,6.76088407357032e-24,5.94466097814292e-21
Coro1a,3.12735961777941e-07,1.68856920525474,101.437024828774,7.37719117363408e-24,5.94601608594907e-21
Anxa3,3.02423049807911e-07,1.68356340522479,94.8572723574101,2.04619109969694e-22,1.52236617817452e-19
Arhgap30,3.01382250674234e-07,1.68304892981318,94.2054868524865,2.84411211051678e-22,1.96487516663702e-19
Cytip,2.82812589204148e-07,1.67356420985999,82.9541906569953,8.39771325999721e-20,5.4148455100462e-17
Btg1,2.70267646459036e-07,1.66680399349508,75.7580825766901,3.20635947506282e-18,1.93824430267547e-15
Arhgdib,2.66811946022444e-07,1.66488761579739,73.833149685508,8.50069671569125e-18,4.83639639024504e-15
Pla1a,2.61815646355157e-07,1.66207335104621,71.0938524374244,3.40629785425909e-17,1.83031738035522e-14
Igfbp7,2.55847325896455e-07,1.658641618276,67.8895013776442,1.72919433328066e-16,8.80250925867925e-14
