"","gene","distance","Z","FC","p.value","p.adj"
"365","Hnf4g",3.22548525230501e-06,3.55042721877647,126257.304449159,0,0
"282","Hnf4a",1.16452125258475e-06,3.16970950455382,16457.4001817179,0,0
"1677","Ppia",1.20520228839867e-07,2.39875898538388,176.273199441191,3.15629981426668e-40,2.62604144546987e-37
"1597","Eef1a1",9.652511456493e-08,2.32861163590873,113.06990922096,2.08299494347324e-26,1.2997888447273e-23
"887","Tmsb10",9.39309580286257e-08,2.32006602776746,107.073967608029,4.28860506001199e-25,2.14087164595798e-22
"2059","Sepp1",8.91120563423798e-08,2.30358429997636,96.3694372735715,9.53274016242879e-23,3.96561990757037e-20
"2352","Hsp90ab1",8.84474465772999e-08,2.30124560390271,94.9373251193515,1.96509453126787e-22,7.00696564292086e-20
"2498","Fau",7.42623106800973e-08,2.24692351344983,66.9273005386361,2.8170652783758e-16,8.78924366853249e-14
"1631","Gpx1",7.01850172273484e-08,2.22949288203529,59.7799040551015,1.06081020323896e-14,2.94198029698271e-12
"1558","Apoa4",7.00450028531423e-08,2.22887752131242,59.5416282136666,1.19734411904322e-14,2.98857092113188e-12
"569","Guca2b",6.75881532332502e-08,2.21788684536033,55.43799973017,9.64537351476385e-14,2.18862293571369e-11
"1833","Krt19",6.71722540995943e-08,2.215989170482,54.7578309048543,1.36334886047744e-13,2.83576562979308e-11
"664","Tomm7",6.59446335043412e-08,2.2103225031492,52.774643696154,3.74099838582698e-13,7.1827169007878e-11
"1557","Apoc3",6.45934289771647e-08,2.20396933571484,50.6340972978455,1.11294592453889e-12,1.98422359117791e-10
"828","Atp5j2",6.35775625615912e-08,2.19910989878511,49.053967587833,2.49016026185468e-12,4.14362667572619e-10
"1689","Mdh1",6.33781213418675e-08,2.19814728150913,48.7466881760201,2.91249949484883e-12,4.54349921196418e-10
"2298","Ndufa7",6.23959193583708e-08,2.19336458702822,47.247492874801,6.25659590544848e-12,9.18615492941141e-10
"2164","Dnase1",6.0705693079794e-08,2.18496574682517,44.7224137991339,2.27043324069277e-11,3.14833409376065e-09
"1906","Sectm1b",5.87231198652694e-08,2.17482882434523,41.848956537588,9.86033793281135e-11,1.2953370252788e-08
"2332","H2-Q2",5.61079630447237e-08,2.16095275032078,38.2045770854839,6.37028204577265e-10,7.95011199312427e-08
"1556","Apoa1",5.55862768012855e-08,2.15811193644753,37.4974352140088,9.15332686620602e-10,1.08793827895477e-07
"2246","Tceb2",5.52582113393001e-08,2.1563125837763,37.0561280217915,1.14777297375957e-09,1.30220061022904e-07
"1307","Myl6",5.31011996923141e-08,2.14422511606436,34.2196101910929,4.92303520127245e-09,5.34256341842437e-07
"1246","Uqcr11",5.14612800233668e-08,2.13472176205112,32.1386448797556,1.43553257842025e-08,1.49295388155706e-06
"363","Ace2",5.08550297546513e-08,2.1311361622556,31.3858733174842,2.11514270396523e-08,2.11175847563888e-06
"83","Lct",4.9625824804823e-08,2.12374088501903,29.8869686486433,4.5798061368147e-08,4.39661389134211e-06
"1264","Smim24",4.77912557363309e-08,2.11237616328175,27.7180884235905,1.40344274844909e-07,1.29740485189961e-05
"2331","H2-Q1",4.74414380907388e-08,2.11016256657357,27.3137973302756,1.72972750799498e-07,1.54192852141266e-05
"1339","Cyp4v3",4.55402459844169e-08,2.09785642565801,25.168488589458,5.25335887322248e-07,4.5215116370908e-05
"2311","H2-Ab1",4.52977401240881e-08,2.09625205213353,24.9011534009503,6.03463090410802e-07,5.02081291221787e-05
"585","Atpif1",4.49226081159607e-08,2.0937542404765,24.4904247365358,7.46800512547547e-07,5.9036817981478e-05
"661","Cd36",4.48989062109945e-08,2.09359576248656,24.4645884544786,7.56882281813821e-07,5.9036817981478e-05
"1604","Pls1",4.44376588847386e-08,2.0904959337184,23.9645199483777,9.81274362460238e-07,7.42200245060834e-05
"1509","Tpt1",4.35708511984687e-08,2.08458762949567,23.0387271152168,1.58770712726542e-06,0.000116556382048661
"689","Slc5a1",4.17982547921252e-08,2.07215249778829,21.2022860741783,4.13271281191649e-06,0.000294721462244102
"1251","Oaz1",4.1120654336239e-08,2.06726733717961,20.52042851201,5.8998216918006e-06,0.000409054303964841
"552","Scp2",3.97623338381474e-08,2.05724184991357,19.1871347899821,1.18509403176425e-05,0.000799458027914477
"1992","Apob",3.93496549355017e-08,2.05413200720592,18.7909288691497,1.45859214296183e-05,0.000958064733903349
"1553","Atp5l",3.92951179125245e-08,2.05371873410998,18.7388780364458,1.49895029165725e-05,0.000959328186660638
"1217","Ggt1",3.86570239785347e-08,2.04884279928166,18.1352365764799,2.0575844620116e-05,0.00128393270429524
"1258","Eef2",3.79459660508045e-08,2.04331919050237,17.4742127763849,2.91231261108895e-05,0.00177295909201903
"490","Gng5",3.75734837714197e-08,2.04038665646305,17.1328384740204,3.48544375019071e-05,0.00207134942868476
"2449","Cd74",3.61986834662475e-08,2.0293205237493,15.9020071112645,6.67079372645856e-05,0.00387216305610246
"305","Atp5e",3.58335667647576e-08,2.02631507641167,15.5828348994085,7.89682331777697e-05,0.00447965250026621
"1528","Ubl5",3.48469545715814e-08,2.0180471637467,14.7365577498198,0.000123625787240007,0.00685711033224571
"2098","Dgat1",3.47864150233863e-08,2.01753268331793,14.6853986400171,0.000127026559551973,0.00689257157916794
"47","Vil1",3.44647779177368e-08,2.01478510570504,14.4150900816055,0.000146622671137616,0.00778659972679763
"14","Cox5b",3.41162973796311e-08,2.01178082363107,14.1250558821254,0.000171050148069137,0.00873300949622731
