"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Scavenging by Class B Receptors Homo sapiens R-HSA-3000471","3/5",3.26092453921084e-07,1.51632991073304e-05,0,0,482.25,7202.92694051824,"APOA1;CD36;APOB"
"2","ubiquinol-cytochrome-c reductase activity (GO:0008121)","4/8",7.04070973864368e-09,4.54125778142517e-07,0,0,326.737704918033,6133.37540509969,"UQCRB;UQCRQ;UQCR11;UQCR10"
"3","oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)","4/8",7.04070973864368e-09,4.54125778142517e-07,0,0,326.737704918033,6133.37540509969,"UQCRB;UQCRQ;UQCR11;UQCR10"
"4","chylomicron remodeling (GO:0034371)","4/9",1.26424856724725e-08,3.09319482786494e-06,0,0,261.377049180328,4753.45602790844,"APOC3;APOA1;APOA4;APOB"
"5","chylomicron assembly (GO:0034378)","4/10",2.10195835154968e-08,3.85709357509366e-06,0,0,217.803278688525,3850.28525800128,"APOC3;APOA1;APOA4;APOB"
"6","Uptake and function of diphtheria toxin Homo sapiens R-HSA-5336415","2/6",0.000154696044275556,0.00308287116806287,0,0,158.18253968254,1387.90125462317,"HSP90AB1;EEF2"
"7","sterol import (GO:0035376)","2/6",0.000154696044275556,0.00243131805408357,0,0,158.18253968254,1387.90125462317,"APOA1;CD36"
"8","lipoprotein metabolic process (GO:0042157)","2/6",0.000154696044275556,0.00243131805408357,0,0,158.18253968254,1387.90125462317,"APOA1;APOA4"
"9","cholesterol import (GO:0070508)","2/6",0.000154696044275556,0.00243131805408357,0,0,158.18253968254,1387.90125462317,"APOA1;CD36"
"10","phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)","2/6",0.000154696044275556,0.00142541355082477,0,0,158.18253968254,1387.90125462317,"APOA1;APOA4"
"11","triglyceride-rich lipoprotein particle remodeling (GO:0034370)","4/13",7.10456010342829e-08,8.69124519319394e-06,0,0,145.180327868852,2389.66005181201,"APOC3;APOA1;APOA4;APOB"
"12","very-low-density lipoprotein particle assembly (GO:0034379)","3/10",3.8679685761607e-06,0.00018927259566013,0,0,137.751152073733,1716.76245518209,"DGAT1;APOC3;APOB"
"13","regulation of triglyceride catabolic process (GO:0010896)","3/10",3.8679685761607e-06,0.00018927259566013,0,0,137.751152073733,1716.76245518209,"APOC3;APOA1;APOA4"
"14","mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)","4/14",9.92217441847838e-08,1.04041086045188e-05,0,0,130.655737704918,2106.94249099305,"UQCRB;UQCRQ;UQCR11;UQCR10"
"15","regulation of sterol transport (GO:0032371)","2/7",0.000216120604261985,0.00294504230825961,0,0,126.539682539683,1067.95366275566,"APOA1;APOA4"
"16","positive regulation of triglyceride catabolic process (GO:0010898)","2/7",0.000216120604261985,0.00294504230825961,0,0,126.539682539683,1067.95366275566,"APOA1;APOA4"
"17","chylomicron remnant clearance (GO:0034382)","2/7",0.000216120604261985,0.00294504230825961,0,0,126.539682539683,1067.95366275566,"APOC3;APOB"
"18","regulation of Cdc42 protein signal transduction (GO:0032489)","2/7",0.000216120604261985,0.00294504230825961,0,0,126.539682539683,1067.95366275566,"APOC3;APOA1"
"19","very-low-density lipoprotein particle (GO:0034361)","4/15",1.3497300185429e-07,5.83233395991467e-06,0,0,118.771982116244,1878.75790625649,"APOC3;APOA1;APOA4;APOB"
"20","phospholipid efflux (GO:0033700)","3/12",7.05841191290575e-06,0.000323804646504551,0,0,107.129032258065,1270.68856973397,"APOC3;APOA1;APOA4"
"21","phospholipid homeostasis (GO:0055091)","2/8",0.000287556928818718,0.00370292606584104,0,0,105.444444444444,859.803458793338,"HNF4A;APOA1"
"22","positive regulation of lipoprotein lipase activity (GO:0051006)","2/8",0.000287556928818718,0.00370292606584104,0,0,105.444444444444,859.803458793338,"APOA1;APOA4"
