"Term","Overlap","Adjusted.P.value","Genes","P"
"Electron transport chain","14/105",5.6751818122454e-17,"NDUFA7;UQCRB;NDUFA12;ATPIF1;COX17;UQCR11;UQCR10;COX5B;ATP5J2;ATP5L;NDUFS6;UQCRQ;ATP5E;NDUFV3","Oxidative phosphorylation;Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins;Tricarboxylic acid (TCA) cycle and respiratory electron transport;Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200;Thermogenesis;Metabolism;The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517;Metabolism Homo sapiens R-HSA-1430728;Respiratory electron transport Homo sapiens R-HSA-611105;Huntington disease;Parkinson disease;Alzheimer disease;mitochondrial inner membrane (GO:0005743);mitochondrial ATP synthesis coupled electron transport (GO:0042775);respiratory electron transport chain (GO:0022904);Huntington's disease;Parkinson's disease;Non-alcoholic fatty liver disease (NAFLD);Alzheimer's disease;mitochondrial respiratory chain complex assembly (GO:0033108);NADH dehydrogenase (quinone) activity (GO:0050136);NADH dehydrogenase (ubiquinone) activity (GO:0008137);mitochondrion (GO:0005739);mitochondrial respiratory chain complex I (GO:0005747);Complex I biogenesis Homo sapiens R-HSA-6799198;mitochondrial electron transport, NADH to ubiquinone (GO:0006120);Retrograde endocannabinoid signaling;NADH dehydrogenase complex assembly (GO:0010257);mitochondrial respiratory chain complex I biogenesis (GO:0097031);mitochondrial respiratory chain complex I assembly (GO:0032981);ATP synthesis coupled electron transport (GO:0042773)"
"Antigen processing and presentation","7/90",2.46628929186899e-07,"CD74;HSPA8;HSP90AB1;H2-Q2;H2-Q1;H2-AA;H2-AB1","Allograft rejection;Graft-versus-host disease;Type I diabetes mellitus;Autoimmune thyroid disease;Viral myocarditis;Hematopoietic cell lineage;Phagosome;Cell adhesion molecules (CAMs);Asthma;Th17 cell differentiation;Toxoplasmosis;Epstein-Barr virus infection;Human T-cell leukemia virus 1 infection;Intestinal immune network for IgA production;Herpes simplex virus 1 infection;Inflammatory bowel disease (IBD);Influenza A"
"ubiquinol-cytochrome-c reductase activity (GO:0008121)","4/8",4.54125778142517e-07,"UQCRB;UQCRQ;UQCR11;UQCR10","oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681);mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122);hydrogen ion transmembrane transporter activity (GO:0015078);Cardiac muscle contraction;mitochondrial respiratory chain complex III (GO:0005750);respiratory chain complex III assembly (GO:0017062);mitochondrial respiratory chain complex III assembly (GO:0034551);mitochondrial respiratory chain complex III biogenesis (GO:0097033);aerobic respiration (GO:0009060)"
"Statin pathway","5/29",9.08645097702949e-07,"DGAT1;APOA1;APOC3;APOA4;APOB","chylomicron remodeling (GO:0034371);chylomicron assembly (GO:0034378);Chylomicron-mediated lipid transport;very-low-density lipoprotein particle (GO:0034361);Cholesterol metabolism;triglyceride-rich lipoprotein particle remodeling (GO:0034370);Chylomicron-mediated lipid transport Homo sapiens R-HSA-174800;cholesterol transport (GO:0030301);Lipoprotein metabolism;acylglycerol homeostasis (GO:0055090);triglyceride homeostasis (GO:0070328);Lipoprotein metabolism Homo sapiens R-HSA-174824;very-low-density lipoprotein particle assembly (GO:0034379);regulation of triglyceride catabolic process (GO:0010896);cholesterol binding (GO:0015485);sterol binding (GO:0032934);Lipid digestion, mobilization, and transport;phospholipid efflux (GO:0033700);Retinoid metabolism and transport Homo sapiens R-HSA-975634;Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667;lipoprotein particle receptor binding (GO:0070325);high-density lipoprotein particle remodeling (GO:0034375);reverse cholesterol transport (GO:0043691);triglyceride metabolic process (GO:0006641);PPAR signaling pathway;regulation of lipoprotein lipase activity (GO:0051004);phospholipid transport (GO:0015914);cholesterol homeostasis (GO:0042632);sterol homeostasis (GO:0055092);triglyceride catabolic process (GO:0019433);diterpenoid metabolic process (GO:0016101);cholesterol efflux (GO:0033344);Lipid digestion, mobilization, and transport Homo sapiens R-HSA-73923;regulation of fatty acid biosynthetic process (GO:0042304);retinoid metabolic process (GO:0001523);acylglycerol catabolic process (GO:0046464);spherical high-density lipoprotein particle (GO:0034366);chylomicron remnant clearance (GO:0034382);regulation of Cdc42 protein signal transduction (GO:0032489);regulation of lipid metabolic process (GO:0019216);Visual phototransduction Homo sapiens R-HSA-2187338;negative regulation of cellular component organization (GO:0051129);HDL-mediated lipid transport;Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854;HDL-mediated lipid transport Homo sapiens R-HSA-194223;organic substance transport (GO:0071702);lipid transport (GO:0006869);early endosome (GO:0005769);acylglycerol metabolic process (GO:0006639)"
"Fat digestion and absorption","5/40",2.42833099222452e-06,"DGAT1;APOA1;APOA4;CD36;APOB","sterol transporter activity (GO:0015248);cholesterol transporter activity (GO:0017127);Vitamin digestion and absorption;positive regulation of biosynthetic process (GO:0009891);phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228);secondary alcohol metabolic process (GO:1902652);lipoprotein metabolic process (GO:0042157);regulation of sterol transport (GO:0032371);positive regulation of triglyceride catabolic process (GO:0010898);positive regulation of lipoprotein lipase activity (GO:0051006);very-low-density lipoprotein particle remodeling (GO:0034372);positive regulation of cholesterol esterification (GO:0010873);positive regulation of triglyceride lipase activity (GO:0061365);Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833;neuron projection regeneration (GO:0031102);positive regulation of steroid metabolic process (GO:0045940);positive regulation of fatty acid biosynthetic process (GO:0045723);regulation of cholesterol esterification (GO:0010872);high-density lipoprotein particle assembly (GO:0034380);Amyloids;sterol metabolic process (GO:0016125);positive regulation of triglyceride metabolic process (GO:0090208);endocytic vesicle lumen (GO:0071682);positive regulation of fatty acid metabolic process (GO:0045923);Selenium pathway;Lipid and lipoprotein metabolism;cholesterol metabolic process (GO:0008203);positive regulation of lipid catabolic process (GO:0050996);regulation of cholesterol transport (GO:0032374);positive regulation of lipid metabolic process (GO:0045834);Amyloid fiber formation Homo sapiens R-HSA-977225;Scavenging by Class A Receptors Homo sapiens R-HSA-3000480;positive regulation of cellular metabolic process (GO:0031325);positive regulation of lipid biosynthetic process (GO:0046889);regulation of lipid biosynthetic process (GO:0046890);cellular protein metabolic process (GO:0044267);cholesterol biosynthetic process (GO:0006695);secondary alcohol biosynthetic process (GO:1902653);sterol biosynthetic process (GO:0016126)"
"cytoplasmic vesicle lumen (GO:0060205)","7/129",5.83233395991467e-06,"EEF1A1;HSPA8;HSP90AB1;APOA1;APOB;EEF2;PPIA","MHC class II protein complex binding (GO:0023026);MHC protein complex binding (GO:0023023);ficolin-1-rich granule lumen (GO:1904813);neutrophil activation involved in immune response (GO:0002283);protein alkylation (GO:0008213);neutrophil degranulation (GO:0043312);neutrophil mediated immunity (GO:0002446);ficolin-1-rich granule (GO:0101002);secretory granule lumen (GO:0034774);protein methylation (GO:0006479);Antigen processing and presentation;Attenuation phase Homo sapiens R-HSA-3371568;Estrogen signaling pathway;Cellular response to heat stress Homo sapiens R-HSA-3371556;HSF1 activation Homo sapiens R-HSA-3371511;HSF1-dependent transactivation Homo sapiens R-HSA-3371571;Legionellosis;Cellular responses to stress Homo sapiens R-HSA-2262752"
"Scavenging by Class B Receptors Homo sapiens R-HSA-3000471","3/5",1.51632991073304e-05,"APOA1;CD36;APOB","amyloid-beta binding (GO:0001540);sterol transport (GO:0015918);sterol import (GO:0035376);cholesterol import (GO:0070508);Platelet degranulation Homo sapiens R-HSA-114608;Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005;intestinal absorption (GO:0050892);positive regulation of macrophage derived foam cell differentiation (GO:0010744);Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002;Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782;Hemostasis Homo sapiens R-HSA-109582;Response to elevated platelet cytosolic calcium;regulation of macrophage derived foam cell differentiation (GO:0010743);endocytic vesicle (GO:0030139);Platelet activation, signaling and aggregation;positive regulation of reactive oxygen species metabolic process (GO:2000379)"
"mitochondrial proton-transporting ATP synthase complex (GO:0005753)","4/22",1.54659314987734e-05,"ATP5E;ATPIF1;ATP5L;ATP5J2","mitochondrial ATP synthesis coupled proton transport (GO:0042776);ATP metabolic process (GO:0046034);ATP synthesis coupled proton transport (GO:0015986);Chemiosmotic coupling formation of ATP;Formation of ATP by chemiosmotic coupling Homo sapiens R-HSA-163210;mitochondrial transport (GO:0006839);cristae formation (GO:0042407);purine ribonucleoside triphosphate biosynthetic process (GO:0009206);ATP biosynthetic process (GO:0006754);inner mitochondrial membrane organization (GO:0007007);purine ribonucleoside monophosphate biosynthetic process (GO:0009168);nucleoside-triphosphatase activity (GO:0017111);purine ribonucleotide biosynthetic process (GO:0009152);ATPase activity (GO:0016887)"
"Metabolism of proteins Homo sapiens R-HSA-392499","13/1074",0.000807948778801349,"COX17;APOA1;APOA4;EEF2;EEF1A1;ACE2;GNG5;ANPEP;TOMM7;MUC13;FAU;ATF3;ITM2B","protein homodimerization activity (GO:0042803);Disease"
"peptide catabolic process (GO:0043171)","3/25",0.00154567624944978,"ACE2;ANPEP;GGT1","Glutathione metabolism;Renin-angiotensin system;regulation of inflammatory response (GO:0050727);Metabolism of Angiotensinogen to Angiotensins Homo sapiens R-HSA-2022377"
