"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","cGMP-PKG signaling pathway",2.51404161773536e-08,5.63039481541075e-06,0.73376198835648,0.472011692904016,2.38755795883021,85,"ATP2A3;CACNA1D;IRS2;ITPR2;INS1;ADCY9;CREB3L2;PDE5A;PPP1CB;PLCB1;KCNMB2;MEF2D;PPP1R12A;GTF2I;ROCK1;GNAQ;ATP2B4;ATP2B2;CREB3;RGS2;VDAC2;ATP2A2;PRKCE;SLC8A1;CALM3;PDE3B;AKT3;ATF2;CALM2;ATP2B1;RHOA;PPP3CA;KCNMA1;MEF2A;ADRA2A;ROCK2;INSR;GNAI1;CREB1;CALM1;RAF1;PPP3R1;NFATC3;INS2;ATP1A1;ATP1B1;MAPK1;VDAC1;GNAI2;VDAC3"
"2","Proteasome",8.20831201241862e-06,0.000210186502082071,0.593325476396405,0.538901032558154,2.31615648156666,42,"PSMB8;PSMB10;PSMA6;PSMB5;POMP;PSME4;PSMF1;PSMA3;SEM1;PSMA4;PSMC2;PSMA2;PSMB2;PSMB4;PSMB9;PSMD13;PSMD14;PSMB3;PSME2;PSMD1;PSMC6;PSME1;PSMA1;PSMC5;PSMB7;PSMA5;PSMD7;PSMA7;PSMD6;PSMB6;PSMD8;PSMB1;PSMD11;PSMD2;PSMD3;PSMC4;PSMD12;PSMD4"
"3","Oxidative phosphorylation",3.74112612319651e-08,5.63039481541075e-06,0.719512826338911,0.445717700165528,2.30646178884874,99,"UQCRQ;NDUFC2;COX5A;NDUFB9;NDUFA12;NDUFV2;COX6A2;ATP5G1;NDUFS7;ATP6V0E;ATP6V1D;SDHD;ATP5B;ATP6V1E1;ATP5J2;COX8A;ATP5H;COX7A2L;ATP6V1G1;ATP6AP1;COX6A1;PPA1;SDHA;NDUFC1;NDUFB11;ATP6V1B2;ATP5A1;ATP5J;UQCR11;NDUFA2;ATP5E;ATP5L;NDUFA1;NDUFA5;NDUFB10;NDUFB6;NDUFA8;ATP5F1;COX17;SDHB;NDUFA6;ATP5C1;NDUFAB1;UQCRH;NDUFA7;COX5B;UQCRB;COX7A2;ATP6V0B;ATP5G2;NDUFS3;NDUFV3;CYC1;COX7C;NDUFA10;ATP5K;ATP6V0D1;NDUFS4;NDUFA3;NDUFS6;NDUFA9;UQCR10;NDUFS2;ATP6V1C1;UQCRC2;NDUFB7;NDUFB4;COX7B;ATP5D;UQCRC1;ATP6V0A1;NDUFB5;UQCRFS1;ATP6V1A;NDUFS8;NDUFA4;NDUFA11;NDUFB8;COX4I1;NDUFB3;ATP5O;COX6B1;ATP5G3;ATP6V0C;ATP6V1F"
"4","Maturity onset diabetes of the young",3.97308318724532e-05,0.000629420020716233,0.557332238758646,0.656338072634323,2.28635918339945,20,"INS1;RFX6;PAX6;HNF4A;SLC2A2;NKX6-1;NEUROD1;NKX2-2;GCK;FOXA2;IAPP;PDX1"
"5","Insulin secretion",1.96486261215479e-06,0.00012330269811752,0.627256739718528,0.509452738616386,2.2805714911851,52,"PCLO;GLP1R;CACNA1D;SLC2A1;INS1;RAPGEF4;CAMK2B;ADCY9;CREB3L2;FFAR1;RIMS2;PLCB1;KCNMB2;SLC2A2;GNAQ;CREB3;ABCC8;GNAS;GCK;SNAP25;CHRM3;ATF2;PDX1;PRKACB;KCNN3;KCNMA1;PRKACA;CREB1;RAB3A;PRKCA;INS2;PRKCB;ATP1A1;ATP1B1"
"6","Thyroid hormone synthesis",2.12960824199395e-05,0.000427341387226786,0.575610261071129,0.549719111123908,2.24052159182011,35,"ITPR2;ADCY9;CREB3L2;PLCB1;GNAQ;GPX1;CREB3;HSPA5;SERPINA7;GNAS;ATF2;TTR;PRKACB;HSP90B1;PRKACA;GPX2;CREB1;PRKCA;CANX;PRKCB;ATP1A1;ATP1B1"
"7","Estrogen signaling pathway",2.53841955778257e-06,0.00012330269811752,0.627256739718528,0.458016308398625,2.21536098179006,70,"ITPR2;PIK3R1;PIK3R3;ADCY9;CREB3L2;SHC1;PLCB1;GNAQ;KRT18;CREB3;KRAS;FOS;GNAS;SHC2;HSP90AA1;CALM3;JUN;AKT3;ATF2;PRKACB;CALM2;GNAO1;HSP90B1;CTSD;NCOA2;PRKACA;GABBR2;GNAI1;CREB1;CALM1;RAF1;NCOA1;PIK3CA;NCOA3;SOS1;SP1;HSP90AB1;MAPK1;SOS2;GNAI2;HSPA8"
"8","Longevity regulating pathway",3.27714812272479e-06,0.00012330269811752,0.627256739718528,0.439797725738201,2.15128945237743,75,"EIF4EBP1;IRS2;IGF1R;INS1;PIK3R1;PIK3R3;ADCY9;CREB3L2;RB1CC1;SESN3;CREB3;KRAS;SOD2;FOXO1;EHMT2;FOXA2;AKT3;ATF2;SOD1;PRKACB;ATG101;STK11;ATG13;RPTOR;PRKAA1;FOXO3;ADIPOR1;PRKACA;INSR;CREB1;EHMT1;ULK1;PIK3CA;APPL1;SIRT1;PRKAB2"
"9","FoxO signaling pathway",2.75271178474334e-06,0.00012330269811752,0.627256739718528,0.418769992601252,2.1343471003838,89,"IRS2;BNIP3;IGF1R;INS1;PIK3R1;PIK3R3;SETD7;ARAF;BRAF;ATM;G6PC2;CREBBP;EP300;USP7;KRAS;CCND1;MAPK10;SOD2;FBXO32;FOXO1;AKT3;CDKN1B;PDPK1;MDM2;STK11;FOXO6;PRKAA1;SMAD4;PTEN;FOXO3;BCL2L11;CDKN2D;MAPK9;INSR;CSNK1E;PCK2;GABARAPL1;RAF1;GABARAPL2;PIK3CA;SIRT1;PRKAB2;NLK;SOS1;CHUK;STAT3;CCND2;INS2;IKBKB;MAPK1;SOS2"
"10","Oxytocin signaling pathway",8.37952832220882e-06,0.000210186502082071,0.593325476396405,0.4319318356401,2.12802072689738,77,"ACTG1;CACNA2D1;CACNA1D;ITPR2;CAMK2B;ADCY9;PPP1CB;PLCB1;PPP1R12A;ROCK1;GNAQ;RGS2;KRAS;FOS;CCND1;CACNB2;GNAS;ACTB;CALM3;JUN;PRKACB;CALM2;GNAO1;PRKAA1;RHOA;PPP3CA;PRKACA;ROCK2;GNAI1;CALM1;RAF1;EEF2;MYL6;EEF2K;PRKAB2;PRKCA;PPP3R1;NFATC3;PRKCB;CACNB3;MAPK1;GNAI2"
