"","gene","distance","Z","FC","p.value","p.adj"
"9250","Malat1",4.17294005523464e-05,2.86861992326845,15312422.0216097,0,0
"8736","Gm42418",7.7034787642563e-06,2.50215763064183,521835.207932764,0,0
"5358","Lars2",3.91634891454422e-06,2.36122818206631,134872.172092845,0,0
"3617","Peg3",1.92433478099951e-07,1.77148694677904,325.627336537844,8.6134730036005e-73,2.12386710586279e-69
"2964","Mlxipl",1.91992828344695e-07,1.77106088404231,324.137748314449,1.81814223660459e-72,3.58646737592622e-69
"4019","Ucp2",1.63264337060849e-07,1.74102101800682,234.39171481037,6.57084558453223e-53,1.08013750000402e-49
"7162","Cplx2",1.49660967737748e-07,1.72496577007731,196.959392567084,9.62465905930706e-45,1.35611446145636e-41
"4630","Mt2",1.47419341116711e-07,1.72218554197215,191.103450922668,1.82589214264835e-43,2.25109677536759e-40
"2466","Pclo",1.16005568893588e-07,1.67822772454559,118.336106051971,1.46361538061152e-27,1.60395983321905e-24
"4631","Mt1",1.10692027255188e-07,1.66966919036717,107.743798038696,3.05868073437625e-25,3.01677680831529e-22
"8820","Lonp1",1.08218880202194e-07,1.66554944716917,102.983030901194,3.38031240665622e-24,3.03091102425912e-21
"6402","Gsdma",1.06464596904141e-07,1.66257167051233,99.6712778336376,1.79911545370064e-23,1.47872297665412e-20
"3554","St8sia1",1.06195618211944e-07,1.66211091162324,99.1682827682358,2.31931948457911e-23,1.75964985203106e-20
"8325","Zbtb20",1.04233345870204e-07,1.6587150366543,95.5372982459813,1.45131031620466e-22,1.02244811776618e-19
"6957","Meg3",1.0275423753568e-07,1.65611424862798,92.8451195926827,5.65511020402297e-22,3.71842346281857e-19
"9428","Avpi1",9.74281271724764e-08,1.64643972015725,83.4695950637583,6.4703526060104e-20,3.98856798456754e-17
"8625","Glp1r",9.12086256384262e-08,1.6344737248413,73.1528787381258,1.19986437172587e-17,6.96133076372486e-15
"3649","Pnmal2",8.88419876760106e-08,1.62971223930084,69.4058585791151,8.01502372326877e-17,4.39178772125555e-14
"9720","Chic1",8.56177889111984e-08,1.62302435569397,64.459601131568,9.85320465274051e-16,5.11485039420945e-13
"6420","Acly",8.53862728877111e-08,1.62253480866673,64.1114666198098,1.17575240788762e-15,5.7982229994978e-13
