"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Adrenergic signaling in cardiomyocytes",0.000507010140202804,0.0354334396336522,0.661436277442942,1.52397435388986,506,47,"ATF4;GNAI2;PPP1R1A;ATP2A2;CREB3L1;PRKACB;ATP2B1;AKT1;PPP2CA;GNAI3;PPP1CA;PPP2R1A"
"2","Cholinergic synapse",0.0016541091712053,0.0413527292801325,0.654964875794192,1.49692276350125,1653,41,"ATF4;GNAI2;FOS;GNB2;CREB3L1;PRKACB;AKT1;GNAO1;PIK3R1;GNA11;GNAI3;GNG5;KRAS"
"3","Dopaminergic synapse",0.00106300318900957,0.0354334396336522,0.631284889836384,1.46553887132899,1062,54,"ATF4;GNAI2;FOS;GNB2;KIF5B;CREB3L1;PRKACB;AKT1;GNAO1;MAPK8;PPP2CA;GNAI3;PPP1CA;PPP2R1A;GNG5;GRIA3;GSK3B"
"4","Estrogen signaling pathway",0.000925010175111926,0.0354334396336522,0.645759686128397,1.49131252127517,924,49,"ATF4;GNAI2;FOS;CREB3L1;PRKACB;HSP90B1;AKT1;FKBP4;GNAO1;PIK3R1;GNAI3;KRT18;NCOA1;MAP2K2;KRAS"
"5","Ferroptosis",0.00295493745466002,0.0466569071788424,0.717922154110814,1.57058853516833,2944,22,"SLC3A2;HMOX1;SLC7A11;GCLM;PCBP1;FTL1;MAP1LC3A;PRNP;PCBP2;VDAC3;GCLC"
"6","Fluid shear stress and atherosclerosis",0.00202701216207297,0.0452182812026115,0.621422274969829,1.44122290264039,2026,53,"FOS;SQSTM1;HMOX1;ACTB;VEGFA;HSP90B1;ACTG1;AKT1;PIK3R1;KEAP1;MAPK8;PDGFA;CTNNB1;ITGAV;DUSP1;ARHGEF2"
"7","Gastric acid secretion",0.000718428604386664,0.0354334396336522,0.794931492963643,1.68844328815164,709,16,"SST;GNAI2;ACTB;PRKACB;GNAI3"
"8","Mineral absorption",0.00255642467204432,0.0465166201500465,0.782719660724143,1.63862685848274,2509,14,"HMOX1;SLC30A1;ATP2B1;FTL1;MT2;ATP7A;VDR;STEAP1;HMOX2"
"9","Neuroactive ligand-receptor interaction",0.00273517602747003,0.0465166201500465,0.708151879046856,1.56028945355567,2728,24,"SST;PYY;ADRA2A;PRLR;GRIA3;UCN3;GALR1;GRIN2C;SSTR3"
"10","PI3K-Akt signaling pathway",0.00279099720900279,0.0465166201500465,0.545479358727626,1.30988437200925,2790,116,"ATF4;CCND2;EIF4EBP1;IGF1R;PCK2;GNB2;PRLR;CDKN1A;VEGFA;CREB3L1;HSP90B1;AKT1;PIK3R1;PDGFA;ITGAV;YWHAG;PPP2CA;NTRK2;PPP2R1A;GNG5;IL6RA;MAP2K2;KRAS;MDM2;EIF4E;NR4A1;G6PC2;GSK3B;BCL2L1;PKN1;INS2;RELA;NFKB1;PDPK1;DDIT4;RHEB;HRAS;MAPK3;MTOR;YWHAB;NRAS;PPP2R5C;CDK4;PRKAA1;CREB3L2;THEM4;PPP2R3A;EIF4E2;IL4RA;STK11;AKT2;COL6A3;PPP2R5B;CHUK;GNG12;FOXO3;IRS1;VEGFB"
"11","Parathyroid hormone synthesis, secretion and action",0.000742031907372017,0.0354334396336522,0.665005421825307,1.52420443751888,741,43,"ATF4;GNAI2;EGR1;FOS;CDKN1A;CREB3L1;PRKACB;JUND;NR4A2;GNA11;GNAI3;VDR"
"12","Parkinson disease",0.00144970805464608,0.0395374923994385,0.719202136136029,1.58965481152028,1446,25,"GNAI2;COX6A2;PRKACB;NDUFS2;UBB;VDAC1;COX7A2L;GNAI3;PINK1;UBE2J2;UQCRC1;VDAC3;UBE2J1"
