"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","AMPK signaling pathway",7.63801900339128e-06,0.000229904372002078,0.423943016681107,2.1519355360668,2,86,"EIF4EBP1;PFKP;IRS2;IGF1R;INS1;PIK3R1;PIK3R3;CREB3L2;HNF4A;G6PC2;HMGCR;CREB3;PFKL;RAB14;CCND1;GYS1;SREBF1;FOXO1;AKT3;PFKM;PDPK1;MLYCD;STK11;TBC1D1;RAB10;RPTOR;SCD2;PPP2R5C;PRKAA1;FBP2;PPP2R5A;FOXO3;ADIPOR1;RAB11B;INSR;PPP2R2A;PCK2;PPP2CA;CREB1;ULK1;PIK3CA;EEF2;SIRT1;ELAVL1;EEF2K;RAB2A;PRKAB2;CAB39L;INS2;MAP3K7;CPT1C"
"2","Adrenergic signaling in cardiomyocytes",0.000940449819393722,0.00658314873575605,0.362304131842179,1.77932316944016,376,73,"CACNA2D1;CACNA1D;RAPGEF4;CAMK2B;ADCY9;CREB3L2;PPP1CB;PLCB1;GNAQ;ATP2B4;ATP2B2;CREB3;CREM;CACNB2;GNAS;ATP2A2;SLC8A1;CALM3;AKT3;ATF2;PRKACB;CALM2;ATP2B1;PPP2R5C;PPP1R1A;PPP2R5A;PRKACA;GNAI1;PPP2R2A;PPP2CA;CREB1;CALM1;PRKCA;CACNB3;ATP1A1;ATP1B1;MAPK1;GNAI2"
"3","Alcoholism",0.00140127971679399,0.00878719155739567,0.337845134359649,1.7107989700895,550,85,"HDAC6;DDC;CREB3L2;SLC29A1;SHC1;PPP1CB;ARAF;BRAF;CREB3;KRAS;PDYN;GNG5;GNAS;SHC2;ADORA2B;CALM3;GNB2;GNB1;ATF2;MAOB;CALM2;GNAO1;HIST1H2AP;H2AFV;PRKACA;H2AFY;HIST1H4D;GNAI1;CREB1;CALM1;RAF1;HIST1H2AE;H3F3A;SOS1;HDAC5;HIST1H3E;MAPK1;SOS2;GNAI2;GNG12;NTRK2"
"4","Aldosterone synthesis and secretion",0.00435258323655594,0.0204707430344272,0.372513172478427,1.69924677370041,1813,52,"LDLR;CACNA1D;ITPR2;CAMK2B;ADCY9;CREB3L2;PLCB1;GNAQ;ATP2B4;ATP2B2;CREB3;GNAS;PRKCE;CALM3;ATF2;PRKACB;CALM2;ATP2B1;PRKACA;CREB1;CALM1;PRKCA;PRKD1;PRKCB;ATP1A1;ATP1B1"
"5","Aldosterone-regulated sodium reabsorption",0.00324853905543171,0.0161627623106926,0.519086574423131,1.89092103183079,1446,22,"SCNN1B;INS1;PIK3R1;PIK3R3;KRAS;PDPK1;INSR;PIK3CA;NR3C2;PRKCA;INS2;PRKCB;ATP1A1;ATP1B1;MAPK1;SFN"
"6","Alzheimer disease",0.000360825305881452,0.00362028056901057,0.310779198317932,1.70510775887325,131,133,"ATP2A3;CACNA1D;ITPR2;UQCRQ;CYCS;GAPDH;NDUFC2;PLCB1;GNAQ;COX5A;NDUFB9;NDUFA12;NDUFV2;LPL;COX6A2;ATP5G1;NDUFS7;CDK5R1;ATP2A2;CALM3;SDHD;ATP5B;RTN4;COX8A;ATP5H;COX7A2L;CALM2;COX6A1;SDHA;GSK3B;NDUFC1;NDUFB11;PPP3CA;ATP5A1;ATP5J;UQCR11;BACE2;CALM1;NDUFA2;RTN3;ATP5E;NDUFA1;PPP3R1;MAPK1;NDUFA5;NDUFB10;NDUFB6;NDUFA8;ATP5F1;SDHB;NDUFA6;PSENEN;ATP5C1;NCSTN;NDUFAB1;UQCRH;NDUFA7;COX5B;UQCRB;COX7A2;ATP5G2;NDUFS3;NDUFV3;NAE1;CYC1;COX7C;NDUFA10;ADAM10;NDUFS4;TNFRSF1A;ERN1;NDUFA3;NDUFS6;NDUFA9;UQCR10;NDUFS2;UQCRC2;NDUFB7;NDUFB4;COX7B;ATP5D"
"7","Amphetamine addiction",0.00305953073128646,0.0157816918393099,0.417886158822687,1.78996463215464,1304,40,"DDC;CACNA1D;CAMK2B;CREB3L2;PPP1CB;CREB3;PDYN;GRIA2;FOS;GNAS;CALM3;JUN;ATF2;MAOB;PRKACB;CALM2;PPP3CA;PRKACA;CREB1;CALM1;SIRT1;PRKCA;PPP3R1;PRKCB"
"8","Apelin signaling pathway",6.94422054844462e-05,0.00104510519254092,0.411461426314948,2.00353826252317,27,70,"ITPR2;ADCY9;PLCB1;MEF2D;GNAQ;CDH1;KRAS;GNG5;CCND1;PRKCE;SLC8A1;CALM3;GNB2;PDE3B;GNB1;AKT3;PRKACB;MRAS;CALM2;PRKAA1;SMAD4;SPP1;PRKACA;MEF2A;GNAI1;CALM1;GABARAPL1;RAF1;GABARAPL2;PIK3C3;PRKAB2;HDAC5;MAPK1;GNAI2;EGR1;GNG12"
"9","Autophagy",0.0118079726451297,0.0418141148962827,0.272119840210802,1.45698935914586,4433,115,"IRS2;BNIP3;IGF1R;INS1;PIK3R1;PIK3R3;DAPK1;DEPTOR;RB1CC1;TRP53INP2;KRAS;VMP1;MAPK10;WIPI2;DDIT4;AKT3;RAB7;PDPK1;PRKACB;MRAS;RRAGC;ATG101;STK11;ATG13;LAMP2;WIPI1;CTSD;RPTOR;PRKAA1;PTEN;PRKACA;MAPK9;PPP2CA;LAMP1;GABARAPL1;RAF1;ULK1;MTMR3;GABARAPL2;PIK3C3;PIK3CA;ZFYVE1"
"10","Basal transcription factors",0.0126516334190528,0.0442807169666848,-0.402078509596266,-1.62483611305313,7236,38,"GTF2H2;TAF4B;ERCC3;TAF5L;TAF5;TAF8;TAF6;TAF6L;GTF2F1;TAF7;TAF9B;GTF2E1;TBP;TAF2"
"11","Base excision repair",0.00873837471256527,0.033294313778255,-0.480894206937155,-1.7293611007441,4867,24,"PARP1;SMUG1;APEX2;PARP4;LIG1;POLD3;TDG;NEIL1;XRCC1"
"12","Calcium signaling pathway",0.000564075272166319,0.00488097862023363,0.387078277900644,1.84943621154217,229,64,"ATP2A3;CACNA1D;ITPR2;CACNA1A;CAMK2B;ADCY9;STIM1;PLCB1;ITPKB;GNAQ;ATP2B4;ATP2B2;VDAC2;P2RX4;GNAS;ATP2A2;SLC8A1;ADORA2B;CALM3;CHRM3;TPCN1;PRKACB;PDE1C;CALM2;ATP2B1"
"13","Central carbon metabolism in cancer",0.00294067828509053,0.0155288449791622,0.411700455019347,1.78561071283266,1249,42,"PFKP;PGAM1;SLC2A1;PIK3R1;PIK3R3;RET;GLS;SLC2A2;PFKL;KRAS;PDK1;SCO2;GCK;AKT3;PFKM;MET;PKM;PTEN;RAF1;PIK3CA"
"14","Chemokine signaling pathway",0.00528976735196281,0.0237644772080717,0.314232113339016,1.59122604174359,2079,85,"PIK3R1;PIK3R3;ADCY9;SHC1;PLCB1;BRAF;ROCK1;CCL28;KRAS;GNG5;SHC2;GRK5;PARD3;CDC42;GNB2;GNB1;AKT3;GRK3;PRKACB;ARRB2;GSK3B;RHOA;FOXO3;PRKACA;BCAR1;ROCK2;GNAI1;STAT5B;RAF1;PIK3CA;PTK2B;SOS1;CHUK;CRKL;STAT3;PRKCB;IKBKB;MAPK1;SOS2;WASL;GNAI2;GNG12;RAP1B"
"15","Cholinergic synapse",0.000813980169800611,0.00603525633055235,0.397004183603779,1.84193844287204,336,56,"CACNA1D;ITPR2;CACNA1A;PIK3R1;PIK3R3;CAMK2B;ADCY9;CREB3L2;PLCB1;GNAQ;CREB3;KRAS;GNG5;FOS;GNB2;GNB1;AKT3;CHRM3;PRKACB;GNAO1;PRKACA;GNAI1;CREB1;PIK3CA;PRKCA;PRKCB;MAPK1;GNAI2;GNG12"
"16","Circadian entrainment",0.000122332216659766,0.00153424988394123,0.482689266067479,2.09350053892684,51,42,"PER3;CACNA1D;CAMK2B;ADCY9;PLCB1;GNAQ;PER1;GNG5;GRIA2;FOS;GNAS;CALM3;GNB2;GNB1;PRKACB;CALM2;GNAO1;RASD1;PRKACA;GNAI1;CREB1;CALM1;PRKCA;PRKCB;MAPK1;GNAI2;GNG12"
"17","Circadian rhythm",0.00499717570743973,0.022790149817263,0.467599838322743,1.80548694698376,2193,27,"PER3;CRY2;BHLHE41;PER1;RORA;BTRC;CLOCK;SKP1A;BHLHE40;PRKAA1;NR1D1;CUL1;CSNK1E;CREB1;PRKAB2"
"18","Cocaine addiction",0.000974913150342593,0.00666929223302546,0.499652803766838,1.96745875056382,425,29,"DDC;CREB3L2;GPSM1;CREB3;PDYN;GRIA2;CDK5R1;GNAS;JUN;ATF2;MAOB;PRKACB;PRKACA;DLG4;GNAI1;CREB1"
"19","Collecting duct acid secretion",0.00558681214836333,0.0247298596567259,0.592227892467161,1.87671254911167,2553,14,"SLC12A7;ATP6V0E;ATP6V1D;ATP6V1E1;ATP6V1G1;ATP6V1B2;ATP6V0D1;ATP6V1C1;ATP6V0A1;ATP6V1A;ATP6V0C;ATP6V1F"
"20","Cortisol synthesis and secretion",0.000707246163131972,0.00560213408165062,0.490929900412337,1.98636957241313,306,32,"LDLR;CACNA1D;ITPR2;ADCY9;CREB3L2;PLCB1;PBX1;GNAQ;CREB3;GNAS;ATF2;PRKACB;PRKACA;CREB1;PDE8A;SP1"
