"","gene","distance","Z","FC","p.value","p.adj"
"9250","Malat1",8.82191302023565e-05,98.2379166029356,3937963.29676045,0,0
"5358","Lars2",1.13167651183864e-05,13.5557760210111,64802.3454859551,0,0
"3617","Peg3",3.17453704580718e-07,0.386821691096088,50.9925722615932,9.27161489782206e-13,3.04819792457396e-09
"8625","Glp1r",3.0944002091202e-07,0.376226889194855,48.4505916182125,3.38716117479821e-12,8.35189266675868e-09
"7162","Cplx2",2.68145197579129e-07,0.321463825660508,36.3819663196496,1.6219703641181e-09,3.19949874025936e-06
"2466","Pclo",2.64248628211398e-07,0.316280948278639,35.3322751511078,2.77986959756994e-09,4.40815267615544e-06
"8325","Zbtb20",2.63386635844113e-07,0.315134020119207,35.10213978993,3.12856825844957e-09,4.40815267615544e-06
"6420","Acly",2.58868020615232e-07,0.309119468896622,33.9080587472194,5.77788797135234e-09,7.12341363268101e-06
"6503","Ddx5",2.50834189656494e-07,0.298416300353774,31.8360798528943,1.67747568773555e-08,1.83832696757064e-05
"2964","Mlxipl",2.20838361747399e-07,0.258338087169874,24.6771587220142,6.77827721274423e-07,0.00064535255680021
"87","Slc40a1",2.14980341988929e-07,0.250488275603339,23.3853363014471,1.32585379611913e-06,0.00064535255680021
"6652","Dnmt3a",2.14291459070796e-07,0.249564648255795,23.2357045024464,1.43311763131591e-06,0.00064535255680021
"7069","Scgn",2.13858702025367e-07,0.248984368267635,23.1419512420571,1.50471721019945e-06,0.00064535255680021
"2947","Auts2",2.1372874437677e-07,0.248810100750789,23.1138339875505,1.52688185532181e-06,0.00064535255680021
"3649","Pnmal2",2.13586744986547e-07,0.248619681298626,23.0831309576288,1.55145906055679e-06,0.00064535255680021
"5528","Jmjd1c",2.13564134554639e-07,0.248589360552267,23.0782440257604,1.55540740006621e-06,0.00064535255680021
"6957","Meg3",2.135081778479e-07,0.248514321708321,23.0661519827232,1.56522040118139e-06,0.00064535255680021
"3117","Hepacam2",2.13491295165397e-07,0.24849168161646,23.0625043179996,1.56819274756197e-06,0.00064535255680021
"2299","Kdm1a",2.1321562035647e-07,0.24812198554191,23.0029829526822,1.61750228074405e-06,0.00064535255680021
"4965","Kmt2a",2.13213929324075e-07,0.248119717713758,23.0026180766471,1.61780930337151e-06,0.00064535255680021
"9729","Atrx",2.1303278154228e-07,0.247876778213514,22.9635483671442,1.65102478380269e-06,0.00064535255680021
"9720","Chic1",2.1301689308018e-07,0.247855469638272,22.9601231491154,1.65396917669003e-06,0.00064535255680021
"208","Sphkap",2.12377830750222e-07,0.246998351825709,22.8225665473079,1.77667270200083e-06,0.00064535255680021
"7977","Cyb5r3",2.12256596797159e-07,0.246835740669974,22.7965178751794,1.80091710914143e-06,0.00064535255680021
"3910","A330076H08Rik",2.12055291334293e-07,0.246565721962898,22.7532976643239,1.84187800910419e-06,0.00064535255680021
"2702","Cnot6l",2.1184191561187e-07,0.246279502590561,22.7075307449529,1.8862717462001e-06,0.00064535255680021
"3500","Ptms",2.11634118455824e-07,0.246000755970904,22.6630046551818,1.93049179217012e-06,0.00064535255680021
"4823","Irf2bp2",2.10925717408712e-07,0.245050404941516,22.5115392222218,2.08885033785088e-06,0.00064535255680021
"5408","Bclaf1",2.10867358232353e-07,0.244972108285365,22.4990839070701,2.10243837504782e-06,0.00064535255680021
"4406","Zdhhc2",2.10841880197657e-07,0.244937925835697,22.4936473348588,2.10839712918185e-06,0.00064535255680021
"6097","Ncor1",2.10774751981533e-07,0.244847862941858,22.4793264793754,2.12417471852213e-06,0.00064535255680021
"151","Unc80",2.10651165773807e-07,0.244682050133608,22.4529730360297,2.15351904290388e-06,0.00064535255680021
"9359","Klf9",2.10369156778874e-07,0.244303671574842,22.3928954960158,2.22194416124984e-06,0.00064535255680021
"5157","Hmgn3",2.10358068537757e-07,0.244288793819266,22.3905349667,2.22467676479845e-06,0.00064535255680021
"7802","Slc30a8",2.09806119505614e-07,0.243548174086042,22.2731900906856,2.36485404676508e-06,0.000651313658629715
"7720","Ghr",2.09758649663818e-07,0.243484474435991,22.2631123560443,2.37729815580145e-06,0.000651313658629715
"1746","Hadh",2.09503191738445e-07,0.243141666978091,22.2089184019326,2.44535277294579e-06,0.000651851740528767
"1103","Pcsk2",2.05146595322357e-07,0.237293006128443,21.2948579951832,3.93786373654649e-06,0.00102208289561995
"4019","Ucp2",1.68344348879995e-07,0.187691857157369,14.3398036726514,0.000152603927561188,0.0204745714110221
"8577","Crebrf",1.66164067086718e-07,0.184741489387044,13.9707701678023,0.000185674915590195,0.0204745714110221
"2392","Per3",1.65521543519253e-07,0.183871750690661,13.8629346534703,0.000196638592907944,0.0204745714110221
"6531","Rab37",1.64961950663939e-07,0.183114167566682,13.76935788236,0.000206679954070486,0.0204745714110221
"7865","Mapk15",1.64890342542753e-07,0.183017216821251,13.7574062312229,0.000207999108686147,0.0204745714110221
"5152","Filip1",1.6485193851177e-07,0.182965220687721,13.7509985990945,0.000208709836055831,0.0204745714110221
"4750","Cmip",1.64839802581498e-07,0.18294878946899,13.7489740549003,0.000208934904506673,0.0204745714110221
"4833","Dync2h1",1.64658140846483e-07,0.182702826559968,13.7186866344145,0.000212331297739447,0.0204745714110221
"3618","Usp29",1.64541811648541e-07,0.182545316081825,13.6993092739335,0.000214533375851699,0.0204745714110221
"786","Pkp4",1.64482946086926e-07,0.18246561016345,13.6895090501928,0.000215655838106256,0.0204745714110221
"7677","Dach1",1.64327741035223e-07,0.182255452321444,13.6636865732396,0.000218641818501733,0.0204745714110221
"4124","Tnrc6a",1.64293216191369e-07,0.182208702414155,13.6579457642063,0.000219311296757215,0.0204745714110221
"6130","Chd3",1.64204909989958e-07,0.182089125801159,13.6432676513997,0.000221032427488118,0.0204745714110221
"375","Glul",1.6407565337147e-07,0.181914093383653,13.6217970563419,0.000223574579495978,0.0204745714110221
