"","gene","distance","Z","FC","p.value","p.adj"
"3809","Mecp2",1.30307228059684e-05,3.34328191927872,2958006.49838284,0,0
"3285","Jun",1.04912263237886e-07,2.33709074703778,191.740838812632,1.3254166310948e-43,5.1532198616966e-40
"7434","Syt2",8.15652857995466e-08,2.28692696581136,115.897171077489,5.00591023740313e-27,1.29753193353489e-23
"2910","H3f3b",7.24118655389432e-08,2.26328465069037,91.3443276611948,1.20725680719921e-21,2.34690723319526e-18
"2425","Fgf11",7.14839407854579e-08,2.2607260360358,89.0182564394284,3.91185728384285e-21,6.0837204478324e-18
"1489","Cplx1",6.4004300299526e-08,2.23882461416562,71.364202897753,2.97012170592006e-17,3.84927773087239e-14
"2479","Fndc5",5.90572635156605e-08,2.22291128518295,60.7587387507447,6.45160884051895e-15,7.16681576341076e-12
"1212","Cerk",5.87678504262696e-08,2.22194021324651,60.1646953870692,8.7243094527798e-15,8.48002878810196e-12
"3304","Kcna2",5.85965399518538e-08,2.22136319776545,59.814441974016,1.04235663523295e-14,9.00596132841267e-12
"2849","Grm5",5.62037430680349e-08,2.2131257849818,55.0291228641343,1.18757069389487e-13,9.23454971572654e-11
"4330","Nefh",5.41933131088246e-08,2.20593396385358,51.1627071154562,8.50185437742868e-13,6.01003814898959e-10
"2089","Elfn1",5.35183758217272e-08,2.2034606791184,49.8962561827898,1.62093647517596e-12,1.05036683591402e-09
"7949","Trnp1",5.3158526419642e-08,2.20212947561198,49.2275223554486,2.27930204533307e-12,1.3633732849623e-09
"6657","Scn1a",5.28603883621608e-08,2.2010198429741,48.676888534759,3.01802045859799e-12,1.67629479186129e-09
"915","Cacna2d2",5.24238981653645e-08,2.19938414546765,47.876316964249,4.53972346502258e-12,2.35339264426771e-09
"4332","Nefm",5.08908497844736e-08,2.19353130850825,45.1171353196729,1.85594328980685e-11,8.72084124640951e-09
"4208","Nacc2",5.08406674409707e-08,2.19333680991135,45.0282011670445,1.94217239359401e-11,8.72084124640951e-09
"4773","Pde4a",5.07979183699892e-08,2.19317097270926,44.952509615828,2.01871325148368e-11,8.72084124640951e-09
"2570","Gad1",5.07260734324215e-08,2.19289195446664,44.8254443152917,2.15405322405358e-11,8.81574624749508e-09
"5621","Rgs7bp",5.01896621201064e-08,2.19079638994504,43.8824286027826,3.48705413975812e-11,1.35576664953796e-08
"3507","Lgi2",4.97125487386242e-08,2.18891391700259,43.0520831578812,5.33018335364235e-11,1.97369075037728e-08
"4229","Nat8l",4.87236135800723e-08,2.18495486951478,41.3562442238456,1.26865561704884e-10,4.48412094462353e-08
"6994","Slc6a1",4.84350903561546e-08,2.18378493530983,40.8679016363019,1.62874427044086e-10,5.50657193345572e-08
"2558","Gabra1",4.83680780444452e-08,2.18351222752178,40.7548943924427,1.72570677867544e-10,5.59128996290842e-08
"6899","Slc24a2",4.77934204789408e-08,2.18115829862484,39.7922354220826,2.82465807265727e-10,8.78581646919317e-08
"639","Atp2b2",4.75140223225946e-08,2.18000375984877,39.3283481421527,3.58202909203555e-10,1.07130223921802e-07
"5672","Rn7sk",4.62576459377593e-08,2.17472834172534,37.2759882541528,1.02539382931206e-09,2.95313422841873e-07
"24","Abat",4.6153015603249e-08,2.17428268056944,37.107549584,1.1179006952799e-09,3.02866102198316e-07
"1387","Cnr1",4.61404791762791e-08,2.17422921652293,37.0873934620523,1.12951607044125e-09,3.02866102198316e-07
"7500","Tbc1d24",4.53994221677041e-08,2.17104321928229,35.9056473832306,2.07107550613601e-09,5.229434742365e-07
"3310","Kcnc1",4.53644765796112e-08,2.17089172103884,35.8503928891106,2.13065063201565e-09,5.229434742365e-07
"4409","Nlk",4.53521671153606e-08,2.17083832900426,35.8309398152276,2.1520307581749e-09,5.229434742365e-07
"6664","Scn8a",4.52908124723433e-08,2.17057199215437,35.7340576764926,2.26175245314461e-09,5.3295112350462e-07
"3638","Lynx1",4.51297932282426e-08,2.16987132859462,35.4804237725914,2.57626801995319e-09,5.8920765068106e-07
"6996","Slc6a7",4.48942503680031e-08,2.1688419462599,35.1110291478003,3.11431912056724e-09,6.89306723499315e-07
"3633","Luzp1",4.48638668504092e-08,2.16870877653483,35.0635203657191,3.19123483101534e-09,6.89306723499315e-07
"2766","Got2",4.47987756362888e-08,2.16842318603683,34.9618496180606,3.36228951792427e-09,7.06626034902138e-07
"6658","Scn1b",4.39839185810136e-08,2.16481307430243,33.7015556399341,6.42492871403663e-09,1.3147433073776e-06
"3520","Limk1",4.39404943707145e-08,2.1646188506409,33.6350431023301,6.64841245483054e-09,1.32559116022467e-06
"6938","Slc32a1",4.36160132868849e-08,2.1631615480822,33.1401174940516,8.57510954810063e-09,1.66700129615076e-06
"7433","Syt1",4.32654640498069e-08,2.16157515649111,32.6095528154225,1.1265965847265e-08,2.13668659581299e-06
"4872","Phf24",4.31658111372495e-08,2.16112187823532,32.4595072972079,1.21702101499881e-08,2.2532274791978e-06
"7109","Snph",4.29304692260395e-08,2.16004731698694,32.1065308106882,1.45945878162932e-08,2.63924453161618e-06
"6900","Slc24a3",4.24512439857878e-08,2.15784119625798,31.3937325037005,2.10659824531271e-08,3.72293362626174e-06
"854","Bri3bp",4.18748622821008e-08,2.15515518770652,30.5470231750254,3.25871495009864e-08,5.63105943377046e-06
"1795","Diras1",4.18288667383724e-08,2.15493928121743,30.4799540447825,3.37334241666503e-08,5.70241535477985e-06
"3075","Hspa12a",4.16869910399645e-08,2.15427183451488,30.273540083056,3.75209685892044e-08,6.20772450531177e-06
"4248","Nceh1",4.15634904856292e-08,2.15368901420522,30.0944309333997,4.11511270439907e-08,6.66648258112649e-06
"4580","Ogdh",4.14842523221991e-08,2.15331417946854,29.9797940567477,4.36571948736207e-08,6.86394658966026e-06
"5623","Rgs8",4.14696328953984e-08,2.15324494571077,29.958667477289,4.41354590384533e-08,6.86394658966026e-06
"2339","Fam63b",4.14201768629333e-08,2.15301055714606,29.8872536142003,4.5791330722198e-08,6.98183113129042e-06
"6958","Slc36a1",4.13401392913464e-08,2.15263064961814,29.7718609620298,4.85994996593467e-08,7.26749441059769e-06
"7684","Tmem127",4.11417005629678e-08,2.15168561320762,29.4867283542424,5.63009145071429e-08,8.26030021146308e-06
"1347","Cluh",4.09474437389059e-08,2.15075614694506,29.2089335468031,6.49789159719358e-08,9.21671870581509e-06
"275","Ahcyl1",4.09216461381977e-08,2.15063238684569,29.1721408696297,6.6224612805101e-08,9.21671870581509e-06
"3224","Iqsec3",4.09185523880229e-08,2.15061753990115,29.167730103551,6.63755462352938e-08,9.21671870581509e-06
"4838","Pfkp",4.08699233949199e-08,2.15038402382485,29.0984434632576,6.87922320177746e-08,9.38470870474062e-06
"3924","Mirg",4.06232752862822e-08,2.14919540395498,28.7482877111464,8.24227617802208e-08,1.10503344069482e-05
"5107","Ppm1e",4.04789639969535e-08,2.14849666404925,28.5443980222163,9.15743881611871e-08,1.20251688046865e-05
"7793","Tmem65",4.04609027858344e-08,2.14840904140635,28.5189313929921,9.27867963324573e-08,1.20251688046865e-05
"7438","Syt7",4.03868925844267e-08,2.14804958471417,28.4146943989872,9.79192546367872e-08,1.24822971156665e-05
"8307","Zbtb4",4.02690055253594e-08,2.14747568665173,28.2490547216445,1.06666709948612e-07,1.33780699445226e-05
"3311","Kcnc2",4.01102316746196e-08,2.14670013055675,28.026731427267,1.19651164800942e-07,1.47683723411449e-05
"556","Arrb1",4.00253529255846e-08,2.14628428934217,27.9082401200758,1.27206883340398e-07,1.54556363258584e-05
"1251","Chga",3.99396790070536e-08,2.14586367331442,27.7888932986426,1.3530062587083e-07,1.61306327293318e-05
"6984","Slc4a3",3.99232234638468e-08,2.14578278341809,27.7659994174953,1.36911234585378e-07,1.61306327293318e-05
"5112","Ppm1l",3.98644032005088e-08,2.14549337493661,27.6842424786256,1.4282136388081e-07,1.65758048587638e-05
"2264","Fam126b",3.98392414596344e-08,2.14536944562482,27.6493058512751,1.4542424328732e-07,1.66296899382677e-05
"8308","Zbtb7a",3.98110849046503e-08,2.14523067477181,27.6102371308578,1.48391324210657e-07,1.67230570588706e-05
"3307","Kcnab2",3.97326737904025e-08,2.14484371353736,27.5015830993113,1.56965969659619e-07,1.72212270345704e-05
"3151","Igsf9b",3.9730226651906e-08,2.144831624771,27.4981955543119,1.57241141905157e-07,1.72212270345704e-05
"7717","Tmem178b",3.97097338995673e-08,2.14473036268497,27.4698358680356,1.59563863350328e-07,1.72328972418354e-05
"7100","Snhg14",3.90009926923418e-08,2.14119626451036,26.4980206034557,2.63808284629762e-07,2.8101003031247e-05
"220","Adgrb1",3.89364634394585e-08,2.14087136678108,26.4104083251244,2.76048961148409e-07,2.90075232687842e-05
"2535","Fut9",3.89162278921451e-08,2.14076937410474,26.3829641174689,2.79999189070852e-07,2.90303159228659e-05
"7426","Syp",3.88460144417576e-08,2.14041507487172,26.2878486379704,2.94133499743594e-07,3.00372964913342e-05
"2154","Epha5",3.88300732142499e-08,2.14033454735522,26.2662775915212,2.97437220914703e-07,3.00372964913342e-05
"4484","Nrip3",3.87427789905739e-08,2.13989300191785,26.1483114491038,3.16173471364505e-07,3.15200629914153e-05
"4493","Nrxn3",3.85982647540101e-08,2.13915987839675,25.9536039078454,3.49721949423222e-07,3.44232642875313e-05
"1819","Dlst",3.83899678926874e-08,2.13809842804221,25.6742407142039,4.04186281970176e-07,3.92869066075011e-05
"686","Atrn",3.83481292896073e-08,2.13788454270858,25.6183100067338,4.16072552564011e-07,3.9942965046145e-05
"1874","Dnm1",3.83094973404513e-08,2.1376868467044,25.5667201762547,4.27346777047174e-07,4.05249821746198e-05
"900","Cab39",3.8279129528222e-08,2.13753130430229,25.5262029319928,4.36415559582093e-07,4.08863541121729e-05
"633","Atp1a3",3.82428424084927e-08,2.13734528452482,25.477830183792,4.47495629376491e-07,4.14253096908523e-05
"4355","Nfasc",3.8105653902036e-08,2.13664044105677,25.2953648663651,4.91889366497162e-07,4.49991966339051e-05
"5700","Rnf157",3.80031448942958e-08,2.13611214448032,25.1594524892906,5.27803148611427e-07,4.77232242279355e-05
"3556","Lpgat1",3.7949387383186e-08,2.13583453693777,25.0883240102457,5.47634484217161e-07,4.89471925203752e-05
"723","B4galt5",3.78503033959879e-08,2.13532184697586,24.9574862745899,5.86085109634725e-07,5.17886115059048e-05
"1246","Chd5",3.77439710224115e-08,2.13477018356212,24.8174577470012,6.30240789177376e-07,5.506463344543e-05
"4272","Ndrg4",3.77169860233265e-08,2.13462993978414,24.7819840193432,6.41946794314392e-07,5.54642030287635e-05
"202","Adarb1",3.76461307677637e-08,2.13426122829084,24.6889604432597,6.73689646632437e-07,5.75671504638882e-05
"1543","Cs",3.76286466760253e-08,2.1341701410054,24.6660330506657,6.8175208545192e-07,5.76228719181971e-05
"3730","Mapk8ip3",3.75114944050735e-08,2.13355873571129,24.5126826804783,7.38223106965768e-07,6.17249772017829e-05
"1755","Dexi",3.74675439894098e-08,2.13332887935361,24.4552756656612,7.60549661398402e-07,6.29152570961061e-05
"7923","Trim37",3.74203198398118e-08,2.13308160641504,24.3936675820985,7.85263898831527e-07,6.42759166033048e-05
"3305","Kcna6",3.73593595545746e-08,2.1327619554623,24.3142543814257,8.18312535321837e-07,6.62833153610688e-05
"6660","Scn2b",3.71601201246534e-08,2.13171364064038,24.055607518578,9.35933029080954e-07,7.44815526575758e-05
"4809","Peg13",3.71557578463779e-08,2.13169062645603,24.049960007517,9.3868211939846e-07,7.44815526575758e-05
"3662","Madd",3.70154912913713e-08,2.13094920076373,23.8687209334445,1.03133982911681e-06,8.10070556688114e-05
"3884","Mgat3",3.69212539235811e-08,2.13044952664194,23.7473413657342,1.09847007448905e-06,8.54170329922686e-05
"7241","Srcin1",3.69046301903203e-08,2.13036125280974,23.7259617778586,1.11074032762831e-06,8.55160077983932e-05
"1860","Dnajc27",3.68262943656367e-08,2.12994475483303,23.6253445817834,1.17035846974607e-06,8.86067820461483e-05
"8010","Ttbk2",3.68220498384966e-08,2.12992216257936,23.6198988730011,1.17367522514831e-06,8.86067820461483e-05
"2120","Eml2",3.67886578959157e-08,2.12974433875406,23.5770790577527,1.20008562826293e-06,8.91741877097654e-05
"4358","Nfe2l1",3.67836109648492e-08,2.12971744828579,23.5706105569983,1.20412676305625e-06,8.91741877097654e-05
"3392","Klc2",3.66528364957359e-08,2.1290194048712,23.4033102507421,1.31352311190621e-06,9.55551266419567e-05
"1285","Chst2",3.66512971302534e-08,2.12901117354432,23.4013444824745,1.31486606876149e-06,9.55551266419567e-05
"7346","Strbp",3.65964547491717e-08,2.12871769751805,23.3313646798907,1.3635821157923e-06,9.81779123370453e-05
"3145","Igip",3.655732395005e-08,2.12850803417987,23.281497180372,1.39939793394268e-06,9.91898205689159e-05
"3382","Kif5a",3.65532824485206e-08,2.12848636720671,23.276349812062,1.40314818191625e-06,9.91898205689159e-05
"2765","Got1",3.63803369218423e-08,2.1275569744646,23.0566148260758,1.57300383029322e-06,0.00010930756796218
"3079","Hspa4l",3.63621566326086e-08,2.12745902343684,23.0335764913774,1.59196632946857e-06,0.00010930756796218
"3695","Map1a",3.63575851594249e-08,2.1274343858717,23.0277852640147,1.59676895415116e-06,0.00010930756796218
"7248","Srgap3",3.63521444445867e-08,2.12740505963779,23.0208938140947,1.60250292537146e-06,0.00010930756796218
"5491","Rap1gap",3.63062154689838e-08,2.12715732396155,22.9627592446362,1.65170266445691e-06,0.000111683825381017
"637","Atp2a2",3.59163120378897e-08,2.12504174748612,22.4721995635761,2.13207067588811e-06,0.000142806565684838
"2103","Elovl6",3.59043772215077e-08,2.12497663522659,22.4572672390008,2.14870990035056e-06,0.000142806565684838
"4937","Pitpna",3.58459826873276e-08,2.12465774799446,22.3842780743634,2.23193621100061e-06,0.000147080813362209
"7504","Tbc1d9b",3.57956103813003e-08,2.12438225933847,22.3214115893745,2.30620799339414e-06,0.000150698095433889
"1490","Cplx2",3.57039128295221e-08,2.12387978215567,22.2071966279777,2.44754665113976e-06,0.000158601022993856
"1796","Diras2",3.56824962902568e-08,2.12376224290997,22.1805632077629,2.48173547168888e-06,0.000159487396924402
"4498","Nsf",3.55134359596167e-08,2.12283195891449,21.9708822430679,2.76818456091046e-06,0.000176437730701965
"3508","Lgi3",3.54884569711774e-08,2.1226941390548,21.9399859137724,2.81310962876456e-06,0.000177843418481896
"1392","Cntn2",3.54649199117313e-08,2.1225641877431,21.910892988946,2.85608096076763e-06,0.000179103915733299
"1303","Cit",3.54147788782837e-08,2.12228706965393,21.8489806437495,2.94973260607134e-06,0.000183496965958486
"2282","Fam168a",3.53618004439042e-08,2.12199385098044,21.7836599483056,3.05188241266803e-06,0.000187225574957986
"629","Atp13a2",3.53587709609241e-08,2.12197707072544,21.7799276496458,3.0578251054095e-06,0.000187225574957986
"6746","Sept3",3.53320966777542e-08,2.1218292613513,21.7470789501447,3.11063125591987e-06,0.000188970848797132
"2283","Fam168b",3.51362408250758e-08,2.12074060337848,21.5066467168198,3.52604392720358e-06,0.000212546647890969
"7610","Thy1",3.49789181195013e-08,2.11986180607256,21.3144856326192,3.89775011408144e-06,0.000233145422208441
"6963","Slc38a1",3.49160562393515e-08,2.11950957680307,21.2379444043572,4.05653753273448e-06,0.00024079111339346
"935","Cadps",3.48742978118848e-08,2.11927525053563,21.1871750490992,4.16542532545604e-06,0.000245381419172319
"2130","Eno2",3.47473807491414e-08,2.11856136390991,21.0332438638728,4.51383060902208e-06,0.000263906367035757
"4247","Ncdn",3.47224887082993e-08,2.11842105016569,21.0031194158081,4.58536188382101e-06,0.000266087865735763
"1339","Clstn1",3.4573772107694e-08,2.11758068722664,20.8235917593901,5.03588060238198e-06,0.000288079715566057
"7474","Taok1",3.4564901336906e-08,2.11753044844534,20.8129074978374,5.06405194673868e-06,0.000288079715566057
"8552","Zyg11b",3.45600614809907e-08,2.1175030330351,20.8070793648327,5.079485682491e-06,0.000288079715566057
"6929","Slc2a3",3.45497476119261e-08,2.11744459744496,20.7946621722186,5.11252581637293e-06,0.000288079715566057
"1244","Chd3os",3.448424344374e-08,2.11707306820231,20.7158861533538,5.32722001631875e-06,0.00029658250029439
"2075","Eif4g3",3.44805122714192e-08,2.11705188472877,20.7114035055303,5.33970550941546e-06,0.00029658250029439
"663","Atp6v0a1",3.42905618887925e-08,2.11597046944805,20.4838371305751,6.01369304081333e-06,0.000331648773655067
"3179","Ina",3.42377964820132e-08,2.11566902420014,20.4208456625622,6.21491279211749e-06,0.000340332125855673
"4595","Opa1",3.42167021030846e-08,2.11554838575796,20.3956902845562,6.29714499419695e-06,0.000342423772551577
"1877","Dnm3",3.41887658543413e-08,2.11538850630815,20.3623997308894,6.40765238247617e-06,0.000346013228653713
"7214","Spock2",3.41729641092698e-08,2.11529801593898,20.3435814387454,6.47097840001456e-06,0.000347022951989746
"2205","Etnk1",3.41146147399948e-08,2.11496351571937,20.2741685702866,6.71004287896133e-06,0.00035536453482184
"4262","Ncs1",3.41127249186989e-08,2.11495267252485,20.2719224071936,6.71792523390053e-06,0.00035536453482184
"4445","Nova1",3.39652555904881e-08,2.11410471617409,20.0970301926572,7.36108897767793e-06,0.000386755593854213
"6902","Slc25a12",3.39510052791073e-08,2.11402258466923,20.0801700892919,7.42626874261321e-06,0.00038756151505074
"6643","Scamp5",3.38684166456703e-08,2.11354591839237,19.9825955578124,7.81502666714143e-06,0.000405130982424612
"1396","Cntnap2",3.37878268047034e-08,2.11307968670167,19.8876115938567,8.21308212620665e-06,0.000422946533863463
"5370","Purb",3.36122405475176e-08,2.11206008480848,19.6814475316306,9.14852512708211e-06,0.000468019285448622
"1996","Eef1a2",3.35237226241854e-08,2.11154409039328,19.577921742053,9.65788402590802e-06,0.000490847752846149
"2567","Gabrg2",3.3445967766393e-08,2.11108973175477,19.4872090755014,1.01275585438545e-05,0.000511375943097486
"4627","Oxct1",3.33947253658022e-08,2.11078973063398,19.4275423062395,1.04489267419865e-05,0.000524199060294756
"2143","Epb41l1",3.337933887442e-08,2.11069956142442,19.4096440995327,1.05473093602242e-05,0.000525742805032715
"8209","Wdr7",3.33128208167215e-08,2.11030927649476,19.332362437804,1.09829020374484e-05,0.000540724695818048
"4952","Pkp4",3.33122149672318e-08,2.11030571824626,19.3316592613617,1.09869472658503e-05,0.000540724695818048
"7919","Trim2",3.32820137790414e-08,2.11012826137111,19.2966225985174,1.11904118666278e-05,0.000547274482232063
"6993","Slc6a17",3.32556521644011e-08,2.1099732358562,19.2660662341329,1.13709450516942e-05,0.000552627929512339
"16","Aak1",3.32342968064377e-08,2.1098475622804,19.2413304907853,1.15192287982686e-05,0.000556357286554888
"2096","Elmod1",3.32071123065703e-08,2.10968747017227,19.2098658851499,1.17106595949816e-05,0.000562111660559116
"3892","Mgrn1",3.31706098521845e-08,2.10947230119905,19.1676567432878,1.19724872445439e-05,0.000571153747322535
"5492","Rap1gds1",3.31232733537516e-08,2.10919292285735,19.1129889304392,1.2320354766773e-05,0.000584165113819678
