"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","axolemma (GO:0030673)","4/6",1.80901179756047e-06,4.52252949390118e-05,0,0,105.206434316354,1391.11625734069,"CNTNAP2;MAPT;THY1;SPTBN1"
"2","Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799","6/10",8.49449875690917e-09,1.04171193537269e-06,0,0,79.322102425876,1474.1098221849,"SNAP25;STX1B;SYT1;SV2A;VAMP1;VAMP2"
"3","Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955","3/5",6.46028470635705e-05,0.000593243217547178,0,0,78.6938502673797,759.1794103569,"SV2A;VAMP1;VAMP2"
"4","Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981","3/5",6.46028470635705e-05,0.000593243217547178,0,0,78.6938502673797,759.1794103569,"SV2A;VAMP1;VAMP2"
"5","retrograde axonal transport (GO:0008090)","4/7",4.15815306159823e-06,0.000638436423919236,0,0,70.1340482573727,868.991685880647,"DST;NEFL;HAP1;PAFAH1B1"
"6","axonal transport of mitochondrion (GO:0019896)","5/9",2.74412361575896e-07,7.82467248150698e-05,0,0,65.9240591397849,996.022474259398,"OPA1;NEFL;MAPT;HAP1;TRAK2"
"7","Dopamine neurotransmitter release cycle","6/12",3.61987769722882e-08,5.8786813802996e-06,0,0,52.8760107816712,905.990285624263,"SNAP25;SYT1;STXBP1;SYN2;SYN1;VAMP2"
"8","mitochondrion distribution (GO:0048311)","5/11",9.75294611231838e-07,0.000216298671557639,0,0,43.9448924731183,608.220437661744,"ATCAY;MAPT;HAP1;DNM1L;TRAK2"
"9","dynamin family protein polymerization involved in membrane fission (GO:0003373)","4/9",1.4527021921559e-05,0.00137574294393094,0,0,42.0761394101877,468.707157570733,"DNM3;OPA1;DNM1L;DNM1"
"10","dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)","4/9",1.4527021921559e-05,0.00137574294393094,0,0,42.0761394101877,468.707157570733,"DNM3;OPA1;DNM1L;DNM1"
"11","calcium-dependent protein serine/threonine phosphatase activity (GO:0004723)","3/7",0.000219827614830006,0.00556896624236014,0,0,39.3429144385027,331.372262707461,"PPM1A;PPP3CB;CAMK2G"
"12","syntaxin-1 binding (GO:0017075)","6/15",1.86892551641155e-07,1.82517303046182e-05,0,0,35.2452830188679,546.045723207954,"NSF;SNAP25;PRRT2;SYT1;STXBP1;VAMP2"
"13","Deregulation of CDK5 in Alzheimer's disease","4/10",2.38515853811189e-05,0.000717314345535873,0,0,35.0616621983914,373.184406910774,"PPP2CA;APP;MAPT;CDK5R1"
"14","Blockade of neurotransmitter release by botulinum toxin","2/5",0.00341286509927285,0.0245243049611465,0,0,34.88,198.125485362614,"SNAP25;VAMP2"
"15","clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202)","3/8",0.000346809731088988,0.00462412974785317,0,0,31.4727272727273,250.734854423976,"SYT1;DNAJC5;VAMP2"
"16","clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200)","3/8",0.000346809731088988,0.00462412974785317,0,0,31.4727272727273,250.734854423976,"SYT1;DNAJC5;VAMP2"
"17","Acetylcholine neurotransmitter release cycle","4/11",3.6923887047599e-05,0.000991000368635581,0,0,30.0513213328227,306.723375104434,"SNAP25;SYT1;STXBP1;VAMP2"
"18","Norepinephrine neurotransmitter release cycle","4/11",3.6923887047599e-05,0.000991000368635581,0,0,30.0513213328227,306.723375104434,"SNAP25;SYT1;STXBP1;VAMP2"
"19","regulation of long-term neuronal synaptic plasticity (GO:0048169)","4/11",3.6923887047599e-05,0.00221895330213265,0,0,30.0513213328227,306.723375104434,"CAMK2B;APP;SYNGR1;SYP"
"20","calcium ion regulated exocytosis (GO:0017156)","4/11",3.6923887047599e-05,0.00221895330213265,0,0,30.0513213328227,306.723375104434,"PPP3CB;SYT11;VAMP2;SYT7"
