"Term","Overlap","Adjusted.P.value","Genes","P"
"Synaptic vesicle cycle","18/77",4.82553739356047e-14,"NSF;ATP6V1A;SNAP25;SLC32A1;SYT1;STXBP1;AP2B1;SLC6A1;CPLX2;CPLX1;DNM1;DNM3;STX1B;SLC6A7;ATP6V1B2;ATP6V0E2;VAMP2;ATP6V0A1","syntaxin-1 binding (GO:0017075);syntaxin binding (GO:0019905);Dopamine neurotransmitter release cycle;Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429;Acetylcholine neurotransmitter release cycle;Norepinephrine neurotransmitter release cycle;Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676;Glutamate neurotransmitter release cycle;Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642;Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430;Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500;regulation of exocytosis (GO:0017157);regulation of secretion by cell (GO:1903530);regulation of neurotransmitter secretion (GO:0046928);regulation of vesicle-mediated transport (GO:0060627);regulation of cellular localization (GO:0060341);regulation of neurotransmitter transport (GO:0051588)"
"GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590","11/19",4.44715188494762e-13,"SNAP25;SLC32A1;SYT1;STXBP1;GAD1;DNAJC5;GAD2;ABAT;SLC6A1;CPLX1;VAMP2","Neuronal System Homo sapiens R-HSA-112316;GABA biosynthesis, release, reuptake and degradation;Neuronal system;Neurotransmitter release cycle;Transmission across chemical synapses;Transmission across Chemical Synapses Homo sapiens R-HSA-112315;Neurotransmitter Release Cycle Homo sapiens R-HSA-112310;clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202);clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200);GABAergic synapse;Alanine and aspartate metabolism;Alanine, aspartate and glutamate metabolism;chemical synaptic transmission (GO:0007268);anterograde trans-synaptic signaling (GO:0098916);clathrin-coated vesicle membrane (GO:0030665);Butanoate metabolism;glutamate catabolic process (GO:0006538)"
"axon (GO:0030424)","21/141",2.00663538345574e-12,"CNTNAP2;PTPRS;KCNC1;KCNC2;KCNA2;ATP1A3;KCNA6;SRCIN1;DNM1;DNM3;OLFM1;ATCAY;SYT11;RUFY3;MAP1B;NEFL;ADGRL1;KIF1B;NEFM;KIF1A;NEFH","dendrite (GO:0030425);dendrite membrane (GO:0032590);Voltage gated Potassium channels Homo sapiens R-HSA-1296072;Integration of energy metabolism Homo sapiens R-HSA-163685;Voltage-gated potassium channels;delayed rectifier potassium channel activity (GO:0005251);Regulation of insulin secretion Homo sapiens R-HSA-422356;Potassium Channels Homo sapiens R-HSA-1296071;Integration of energy metabolism;Potassium channels;regulation of insulin secretion (GO:0050796);voltage-gated cation channel activity (GO:0022843)"
"main axon (GO:0044304)","12/33",5.83238986500596e-12,"CNTNAP2;NFASC;SCN8A;KCNA2;KCNQ2;CNTN2;NAV1;THY1;KCNAB2;ANK3;SPTBN1;SCN1B","Interaction between L1-type proteins and ankyrins;Interaction between L1 and Ankyrins Homo sapiens R-HSA-445095;node of Ranvier (GO:0033268);axon initial segment (GO:0043194);plasma membrane organization (GO:0007009);protein localization to plasma membrane (GO:0072659);protein localization to membrane (GO:0072657);neuronal action potential (GO:0019228);membrane assembly (GO:0071709);Golgi to plasma membrane protein transport (GO:0043001);protein localization to cell periphery (GO:1990778);regulation of potassium ion transport (GO:0043266);spectrin-associated cytoskeleton (GO:0014731);Golgi to plasma membrane transport (GO:0006893)"
"L1CAM interactions","15/94",3.32779400800109e-09,"ANK2;ANK3;AP2B1;DNM1;DNM3;NFASC;DPYSL2;SCN8A;KCNQ2;CNTN1;CNTN2;SCN1B;SPTBN1;SCN1A;SCN2B","L1CAM interactions Homo sapiens R-HSA-373760;Axon guidance;Axon guidance Homo sapiens R-HSA-422475;cytoskeleton (GO:0005856);Developmental Biology Homo sapiens R-HSA-1266738;Developmental biology;nervous system development (GO:0007399)"
"kinesin binding (GO:0019894)","9/28",4.34587234866903e-08,"KLC2;ATCAY;CLSTN1;KIF1B;MAPK8IP2;NEFH;MAPK8IP3;ACTB;TTBK2","intermediate filament bundle assembly (GO:0045110);protein kinase binding (GO:0019901);kinase binding (GO:0019900);cell projection assembly (GO:0030031)"
"Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799","6/10",2.60280463174217e-07,"SNAP25;STX1B;SYT2;SYT1;SV2A;VAMP2","synaptic vesicle endocytosis (GO:0048488);Uptake and actions of bacterial toxins Homo sapiens R-HSA-5339562;Botulinum neurotoxicity;vesicle-mediated transport in synapse (GO:0099003);clathrin-dependent endocytosis (GO:0072583);vesicle fusion (GO:0006906);synaptic vesicle recycling (GO:0036465);organelle membrane fusion (GO:0090174);clathrin-coated vesicle (GO:0030136);vesicle organization (GO:0016050)"
"microtubule binding (GO:0008017)","18/195",2.7554297837498e-07,"DST;EML2;DNM1;TTBK2;CLIP3;DNM3;OPA1;KIF5C;MAP1B;MAP1A;KIF5A;KIF1B;NEFM;MAP4;KIF1A;TPPP;NEFH;MAPRE2","microtubule cytoskeleton (GO:0015630);tubulin binding (GO:0015631);axonogenesis (GO:0007409);synaptic vesicle transport (GO:0048489);COPI-dependent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811434;microtubule (GO:0005874);Golgi-to-ER retrograde transport Homo sapiens R-HSA-8856688;Insulin processing Homo sapiens R-HSA-264876;polymeric cytoskeletal fiber (GO:0099513);Kinesins Homo sapiens R-HSA-983189;kinesin complex (GO:0005871);establishment of synaptic vesicle localization (GO:0097480);Vesicle-mediated transport Homo sapiens R-HSA-5653656;cytoskeleton-dependent intracellular transport (GO:0030705);Membrane Trafficking Homo sapiens R-HSA-199991;synaptic vesicle localization (GO:0097479);axon guidance (GO:0007411);ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574);ATPase activity (GO:0016887)"
"Glucose metabolism Homo sapiens R-HSA-70326","11/79",3.73201393794083e-06,"PPP2CA;PYGB;TPI1;PKM;GOT1;PPP2R1A;GOT2;ENO2;SLC25A12;PFKP;HK1","Glucose metabolism;Glycolysis Homo sapiens R-HSA-70171;Glycolysis;Carbohydrate metabolism;glycolytic process through glucose-6-phosphate (GO:0061620);canonical glycolysis (GO:0061621);glucose catabolic process to pyruvate (GO:0061718);Metabolism of carbohydrates Homo sapiens R-HSA-71387;Glycolysis and gluconeogenesis;glycolytic process (GO:0006096);ATP generation from ADP (GO:0006757);nicotinamide nucleotide metabolic process (GO:0046496);Glycolysis / Gluconeogenesis;Starch and sucrose metabolism;carbohydrate catabolic process (GO:0016052)"
"vesicle-mediated transport (GO:0016192)","26/410",5.02734704533381e-06,"NAPB;SNAP25;MGRN1;SNX10;DPYSL2;KIF5A;KIF1B;KIF1A;RAB6B;NSF;SYT2;SYT1;APLP2;MYO5A;CSNK1E;SYP;SYT13;MAPK8IP3;SYT7;DNM1;DNM3;STX1B;SYT11;VPS41;VAMP2;CSNK1G2","regulation of calcium ion-dependent exocytosis (GO:0017158);calcium ion binding (GO:0005509);regulation of regulated secretory pathway (GO:1903305);calcium ion regulated exocytosis (GO:0017156);metal ion binding (GO:0046872);calcium-dependent phospholipid binding (GO:0005544);early phagosome (GO:0032009);endocytosis (GO:0006897)"
