Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
REST HCT116 hg19,22/410,4.6241653748534e-10,1.25777298196012e-07,0,0,5.08611721188302,109.323826324019,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;CADPS;LHFPL4;SYP;NMNAT2;MAPK8IP2;SYN1;SCAMP5;DISP2;OLFM1;SYNJ1;CAMK2N2;SCN8A;CNTN1;ATP6V1B2;INA;CDK5R2;ATP6V0A1
REST U-87 MG hg19,23/458,6.61451429835245e-10,1.3493609168639e-07,0,0,4.76003228543637,100.610824906384,GABRA1;RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;IQSEC3;CADPS;LHFPL4;SYP;NMNAT2;MAPK8IP2;SYN1;ELAVL3;SCAMP5;DISP2;SYNJ1;CAMK2N2;ATP6V1B2;NCDN;INA;CDK5R2;ATP6V0A1
REST MCF-7 hg19,29/681,1.67041290603424e-10,1.36305693132394e-07,0,0,4.03643930378381,90.8714703723358,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;ZDHHC22;ELAVL3;SCAMP5;CAMK2N2;NCDN;SCN1A;ATP6V0A1;GABRA1;CADPS;LHFPL4;SYP;NMNAT2;MAPK8IP2;EML2;SYN1;DISP2;OLFM1;SYNJ1;SCN8A;MADD;CNTN1;ATP6V1B2;INA;CDK5R2
REST ECC-1 hg19,36/1057,4.25198658308833e-10,1.73481052590004e-07,0,0,3.22830868011496,69.6619446521223,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;ARRB1;ZDHHC22;ELAVL3;SCAMP5;OPA1;CAMK2N2;NCDN;SCN1A;ATP6V0A1;GABRA1;CADPS;LHFPL4;ANK3;SYP;NMNAT2;SYT13;MAPK8IP2;EML2;SYN1;DISP2;OLFM1;SYNJ1;MAP1B;ETNK1;SCN8A;KCNQ2;MADD;CNTN1;ATP6V1B2;INA;CDK5R2
REST Panc1 hg19,27/688,4.39010534113274e-09,7.16465191672863e-07,0,0,3.71982806128072,71.5840461520466,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;ELAVL3;SCAMP5;CAMK2N2;NCDN;ATP6V0A1;GABRA1;H3F3B;IQSEC3;CADPS;LHFPL4;SYP;NMNAT2;MAPK8IP2;EML2;SYN1;DISP2;OLFM1;SYNJ1;SCN8A;ATP6V1B2;INA;CDK5R2
REST H1-hESC hg19,40/1680,8.5822941769835e-07,0.000116719200806976,0,0,2.25682690137666,31.5242482207291,RAB3C;SNAP25;CNTNAP2;LPGAT1;KCNC1;RNF14;DIRAS1;ATP1A3;ARRB1;ZDHHC22;TTBK2;ELAVL3;SCAMP5;CAMK2N2;NCDN;SCN1A;ATP6V0A1;GABRA1;H3F3B;APLP2;IQSEC3;CADPS;LHFPL4;SYP;NMNAT2;SYT13;MAPK8IP2;EML2;SYN1;DNM1;DISP2;OLFM1;SYNJ1;MAP1B;ETNK1;SCN8A;MADD;ATP6V1B2;INA;CDK5R2
REST HeLa-S3 hg19,31/1183,2.59466330183777e-06,0.000264655656787452,0,0,2.48384499204769,31.9473479150376,RAB3C;SNAP25;CNTNAP2;LPGAT1;KCNC1;TTBK2;ELAVL3;SCAMP5;CAMK2N2;NCDN;SCN1A;ATP6V0A1;GABRA1;H3F3B;IQSEC3;CADPS;LHFPL4;SYP;NMNAT2;SYT13;MAPK8IP2;EML2;SYN1;DISP2;OLFM1;SYNJ1;SCN8A;MADD;CNTN1;ATP6V1B2;INA
REST HepG2 hg19,28/1002,2.48639158150228e-06,0.000289842218643695,0,0,2.64873097407082,34.1810204948122,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;ELAVL3;SCAMP5;OPA1;CAMK2N2;NCDN;SCN1A;ATP6V0A1;GABRA1;SLC12A5;APLP2;IQSEC3;CADPS;LHFPL4;SYP;NMNAT2;MAPK8IP2;SYN1;DISP2;SYNJ1;ETNK1;MADD;ATP6V1B2;INA
EZH2 B cell hg19,42/2000,1.06533484627638e-05,0.000869313234561526,0,0,1.99052132701422,22.7907452528053,NCKAP1;RAB3C;NDRG4;STXBP1;DIRAS1;HSPA4L;ENO2;ELAVL3;SCAMP5;RNF157;ATCAY;SLC22A17;TRIM2;CAMK2N2;NACC2;SPOCK2;NCS1;KIF5A;MGAT3;CAMTA1;KIF1A;CADM3;CBX6;SLC12A5;H3F3B;NMNAT2;SYT13;MAPK8IP2;HSPA12A;SRCIN1;EML2;SYT7;DNM1;SEPT3;PPP2R2C;NEDD4;EEF1A2;AAK1;NAT8L;INA;CDK5R2;PFKP
MAZ MEL cell line mm9,42/2000,1.06533484627638e-05,0.000965903593957251,0,0,1.99052132701422,22.7907452528053,AHCYL1;CLSTN3;STXBP1;ABAT;CD99L2;ARRB1;SLC2A3;THY1;ENO2;ACTB;TTBK2;PPP2CA;PURA;SYNGR1;LARP1;FAM168A;OPA1;CAMK2N2;NCDN;TPPP;GATSL2;ZBTB7A;YWHAG;ABCA2;CBX6;APLP2;SYP;LARP4B;SRCIN1;DNM1;AES;PTP4A2;NCEH1;TMX2;SYT11;IMPAD1;GNB1;CDIP1;CALR;EIF4G3;VAMP2;ARL8A
POLR2A olfactory bulb mm9,40/2000,5.46345375250462e-05,0.0040528893291307,0,0,1.8957345971564,18.606339942727,MEG3;PYGB;KCNC1;WBP2;ATP2A2;ATP1A3;ENO2;ELAVL3;MECP2;ACTR1B;FAM168A;DZANK1;SV2A;NACC2;NCS1;NEFL;IDS;KIF1B;GATSL2;SLC36A1;APLP2;GOT2;CADPS;ELOVL6;SYT13;SCAMP1;SYN1;SYT7;CS;NCEH1;TMX2;SYNJ1;ETNK1;IMPAD1;KCNQ2;GNB1;AAK1;INA;PFKP;GRINA
REST GM12878 hg19,27/1149,8.09462719815647e-05,0.0055043464947464,0,0,2.22736440919159,20.9856147872824,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;ARRB1;ACTB;ELAVL3;SCAMP5;CAMK2N2;NCDN;ATP6V0A1;GABRA1;H3F3B;IQSEC3;CADPS;LHFPL4;SYP;NMNAT2;MAPK8IP2;EML2;SYN1;DISP2;SYNJ1;MADD;ATP6V1B2;INA
CTCF WERI-Rb-1 hg19,34/1833,0.000843508996908774,0.0491645243912542,0,0,1.75818265966496,12.4443113563418,NCKAP1;NAPB;LPGAT1;KCNC1;CAB39;HSPA4L;GHITM;SYNGR1;DPP6;KIF5A;PSAP;TIMP2;NEFL;ATP6V0E2;SLC36A1;ABCA2;SLC12A5;SLC6A17;GOT2;ANK3;SCAMP1;FAM126B;MAPK8IP3;SYN1;SYT7;DNM1;PTP4A2;NCEH1;NEDD4;RCAN2;EEF1A2;TRIM37;SELT;CDS2
CHD2 MEL cell line mm9,34/1826,0.000789109258715251,0.0495317811624342,0,0,1.76492268081373,12.6096767676156,NLGN2;CLSTN3;STXBP1;ABAT;GHITM;THY1;ENO2;DNAJC27;ACTB;TTBK2;SCAMP5;PPP2R1A;SV2A;SCD2;CAMTA1;KIF1B;NCDN;GATSL2;ZBTB7A;ENPP5;H3F3B;ATP6AP1;HSPA4;APLP2;LARP4B;SRCIN1;SYN1;CIT;AES;PKM;TMX2;SYT11;TBC1D24;GRINA
CTCF HEK293 hg19,31/1654,0.00123783086308692,0.0673379989519282,0,0,1.77653484014052,11.8928254806405,NCKAP1;NAPB;RTN3;AHCYL1;LPGAT1;KCNC1;CAB39;HSPA4L;GHITM;CX3CL1;SLC22A17;KIF5A;TIMP2;NEFL;SLC36A1;ABCA2;SLC6A17;GOT2;ANK3;SCAMP1;FAM126B;MAPK8IP3;SYN1;DNM1;PTP4A2;NCEH1;NEDD4;RCAN2;TRIM37;SELT;CDS2
POLR2A brain mm9,35/2000,0.00192753533505965,0.0983043020880421,0,0,1.65876777251185,10.369808493932,MEG3;PYGB;LPGAT1;KCNC1;PITPNA;ATP1A3;ARRB1;ENO2;DNAJC27;ACTB;ELAVL3;SCAMP5;ACTR1B;ATCAY;PPP2R1A;SV2A;NCS1;NEFL;KIF1B;KIF1A;ZYG11B;HSPA12A;SYN1;DNM1;ENAH;TMX2;ETNK1;KCNQ2;GNB1;VDAC1;NAT8L;INA;VAMP2;ARL8A;CDS2
EGR1 ECC-1 hg19,39/2345,0.00260913992843086,0.118281010088866,0,0,1.5764104326034,9.37764734932053,CNTNAP2;AHCYL1;PTPRS;NDRG3;STAU2;WBP2;PITPNA;HSPA4L;RAP1GDS1;ATP2A2;GHITM;DNAJC27;CX3CL1;FAM168B;FAM168A;TRIM2;CAMK2N2;IDS;CAMTA1;NCDN;ENPP5;RAB6B;YWHAG;ATP6V0A1;SLC36A1;LYNX1;HSPA4;APLP2;TMOD2;SYN1;DISP2;PTP4A2;SYNJ1;NEDD4;SCN8A;IMPAD1;TRIM37;NAT8L;GRINA
POLR2A MEL cell line mm9,70/4890,0.00254220243790452,0.122025717019417,0,0,1.35686525358842,8.10689603599743,NCKAP1;PYGB;CLSTN3;ATP2A2;GHITM;ENO2;ACTB;MECP2;PEG13;ACTR1B;PPP2R1A;SLC22A17;NCS1;CEP170B;IDS;KIF1B;GATSL2;NSF;SLC36A1;ZYG11B;ATP6AP1;DST;APLP2;SYP;FAM126B;MAPK8IP3;EML2;DNM1;PTP4A2;TMX2;IMPAD1;CDIP1;VDAC1;VAMP2;ARL8A;RTN3;TTYH3;NDRG3;CAB39;STAU2;STXBP1;HSPA4L;ENDOD1;CD99L2;THY1;DNAJC27;PPP2CA;PURA;MAPK9;SYNGR1;SV2A;MAP4;ZBTB7A;RAB6B;ATP6V0A1;ABCA2;H3F3B;CADPS;AP2B1;SYT7;CS;NCEH1;SYNJ1;ETNK1;NEDD4;GNB1;ATP13A2;EIF4G3;NFE2L1;GRINA
