"","Cftr","Akap7","Zranb1","Krcc1","Mta1","Rps8"
"0610009O20RIK",0.90062500227027,-0.261776264782312,0.943782093335289,0.405510274459292,-0.0420069028447976,0.197115916306356
"2310039H08RIK",0.297679659853573,0.545199894184552,-0.151952682249576,0.910088886727666,-0.0226469217211798,1.21562034380301
"2410015M20RIK",0.719296261653712,0.830780676988772,0.937031649144451,1.0603348889454,-0.316248047154914,1.37069736789618
"2510009E07RIK",0.707541127133159,-0.0029840455228333,0.746572784329052,0.33006389682721,1.62380415649437,0.242188369881103
"2700062C07RIK",-1.20510477864792,-0.246567236539935,-1.16687831649973,-1.24818877264387,-0.533971587534172,-1.26010928441639
"2810403A07RIK",0.900207763511893,-0.255366490708688,0.940415310656885,0.350244657943712,-0.19900638512763,0.142697726587506
"AACS",-1.27487483750499,-0.2464223170491,-1.01897856564793,-1.24365805294309,-0.527467052351014,-1.28757149785598
"AAED1",-1.17615281818249,-0.246452008402703,-1.19157676879469,-1.21657754262841,-0.546009361270749,-1.26040988260869
"AAK1",-1.3067911720358,-0.246273260025658,-1.17901936599977,-1.33218355923304,-0.547036764605604,-1.21126043118294
"AAMDC",0.608685997488503,0.144558640769912,0.884736881431723,0.885229053114946,2.15357555459653,1.20141998040841
"AAMP",1.05479373287027,0.149852983609974,1.15419864151009,0.887444704960141,-0.210591033965746,1.14685867890287
"AAR2",0.822033863590792,-0.253412827924849,0.939228935786425,0.261463646900913,-0.249805054390283,0.0683434619125309
"AARS",-1.19973719215365,-0.246589645871172,-1.46576283238656,-1.27379017855551,-0.552923380058018,-1.2523974831661
"AASDHPPT",-1.38402624168206,-0.246281230732711,-1.11676852585396,-1.34102400763076,-0.522937110322705,-1.17622107369925
"AASS",-1.15230986178382,-0.246602622643287,-0.914427598803021,-1.21441885786343,-0.516166970920753,-1.15328150578117
"ABCA3",-1.20861315397772,-0.246552303727505,-1.14614278984463,-1.24411949066729,-0.532972504755271,-1.27023568311806
"ABCA7",0.163205432756412,-0.246342978062902,1.14323270270069,-0.122357038202832,-0.543857167194832,-0.323611781693879
"ABCB8",-0.593332483538338,-0.260754732235607,-0.211536271518039,-0.611036096889831,-0.0678482210739082,-0.0671383297219345
"ABCC3",-0.663139269773809,0.147528013812196,-0.177435884335808,0.711237971682673,-0.264599271412011,1.15655480997184
"ABCC5",-1.2737433582821,-0.246399561152654,-1.62436876843436,-1.27642472335302,-0.532131022864648,-1.1823524043627
"ABCD3",0.957889419997717,-0.4002022926532,1.19603374997846,0.523342620093084,2.55990147232384,0.334621576495892
"ABCD4",1.01511292675083,-0.23657081994293,0.932521170720265,0.539566596093671,-0.5475255159537,0.354284420961542
"ABCE1",0.901649105208673,-0.290920591400443,0.957782158283451,0.496198639143816,0.387603321926934,0.289511572112439
"ABCF1",-1.16536397828423,-0.246395768550449,-1.33735498295415,-1.39090843936114,-0.537174361994098,-1.28404943958884
"ABCF2",0.706905883372374,-0.247125194761474,-0.822474309706571,0.181332478243592,-0.504012963354318,-0.109938017976561
"ABCF3",-1.18951582573776,-0.246554720480628,-1.16215236829886,-1.26752209201195,-0.529840670079867,-1.34821246634439
"ABHD11",-1.19015636565086,-0.246554610327445,-1.09180425120976,-1.2456389283453,-0.527320859679348,-1.2838320814567
"ABHD12",-1.16920977904781,-0.24649105857996,-1.21091917118345,-1.21047462654259,-0.536160929827447,-1.22543571410091
"ABHD13",0.900596411990657,-0.268478969882404,0.946603870007759,0.369018713952372,0.0693437960067393,0.162966934314108
"ABHD16A",0.900868091522326,-0.266260943769845,0.946312347339536,0.44763159785881,0.0518594817708179,0.238927548399208
"ABHD17A",-0.831347358419174,0.144810522376168,-0.546081646038252,0.61072407460678,-0.903821537320917,0.475657518751132
"ABHD17B",0.900775918213121,-0.269630568910556,0.947778854838249,0.389397505522557,0.120903789943979,0.186314544434187
"ABHD17C",0.785417185754866,-0.247864042064387,0.935970891671875,0.26223319591733,-0.506539575649075,0.0307468393959306
"ABHD2",-0.583404851622823,-0.224189333885387,-0.0849938321133143,0.322213489635947,-0.215693584007291,0.126826640095306
"ABHD4",-1.26650180356859,-0.246418748600195,-1.28227971256512,-1.28945033403688,-0.549628280183627,-1.13276924504281
"ABHD5",0.632097271048576,0.130854728778422,0.783350453884269,0.853642206771648,1.84816441585365,1.19280387996629
"ABI1",0.815844074293086,-0.253301262448158,0.939103174412687,0.272713807006534,-0.25409098559191,0.0651845293145758
"ABLIM1",0.900512795512877,-0.259573601062498,0.94250287485968,0.385886859781988,-0.0923347339888219,0.166577676399026
"ABRACL",0.16322396836453,-0.246426538654877,1.14327220743461,-0.122191166774066,-0.542159040809619,-0.288626967711706
"ABT1",-1.16691729701335,-0.246612306612674,-1.09665801780984,-1.268037018058,-0.535618031954661,-1.22835493622335
"ABTB1",0.160214123731437,-0.236202509331405,1.14040675502655,-0.124417695989712,-0.535546885958882,-0.0908280158132189
"AC012382.1",-1.09752698998813,-0.246661058631601,-0.898053552387573,-1.31201226948598,-0.505303369468874,-1.09339183055516
"AC026478.1",0.863764646662891,1.66798890267411,0.494828937882348,2.13670659349778,0.998252625414039,1.53618583949488
"AC102077.1",-1.19279836676374,-0.24626737699028,-1.07243063780218,-1.212696894895,-0.540130909630565,-1.27915655379552
"AC102483.1",0.946447583017462,1.65988746310296,1.16229868154361,2.12037054021552,3.58126107718177,1.52472048914072
"AC102906.1",0.695539018739625,0.548829633397196,0.0201775876666666,1.0056609102195,0.149241559705088,1.31353579329442
"AC104921.1",-1.1386743468723,-0.246882012663705,-0.997068212841,-1.39492524748724,-0.516534855525875,-1.29146631274669
"AC107815.5",0.888388128926769,-0.261674847971629,0.94325487374115,0.311029743491804,-0.0622266898842714,0.111032077776264
"AC108424.1",0.133479644132755,0.145933147774975,0.889857600091394,0.850524504176154,2.16443796760828,1.20532028770775
"AC109220.5",0.608476578742103,0.980693580296767,1.33587104065805,1.05262674397264,3.80121428249835,1.37169311531664
"AC110186.1",0.616432089007022,0.829939621061404,-0.204834924689989,1.05333053066907,-0.183129054154499,1.36095215890454
"AC110538.1",0.874047227120594,-0.260701095112042,0.942875477511592,0.333832008892611,-0.059970367184995,0.142771856634821
"AC110574.2",-1.17204383886754,-0.246680138575668,-1.01537582806339,-1.33439712213349,-0.51320976909828,-1.22095673848061
"AC114008.1",-1.22405410115568,-0.246524678331405,-1.06305589246948,-1.27646854605461,-0.544092187244385,-1.1728423838382
"AC114558.5",0.132334563507687,-0.246750122525954,-1.23633619546706,-1.08901641218325,-0.519744854218922,-0.33735175741104
"AC114920.2",-1.24421757801559,-0.246406461801526,-1.16680522322876,-1.41623713907436,-0.538438803883499,-1.22744384309479
"AC115033.1",-1.22708174783211,-0.246486954801382,-1.17380251516292,-1.23026053498316,-0.53470871498697,-1.22878024278383
"AC115631.3",0.238924052463672,-0.242371728736423,1.14214415038033,0.144209799250955,-0.969334592539866,0.247607427295407
"AC115896.3",-1.21213668168323,-0.246331364849984,-1.20702490817646,-1.23630648327101,-0.549268993908114,-1.24412276909613
"AC115920.2",0.718043403854957,2.2718439437495,1.94021930562608,1.04472199190085,7.13516183099207,1.36894388287609
"AC115959.3",0.610921704883725,-0.253630030576578,-0.388438594234482,0.0810760092822886,-0.241796261242845,-0.00375554963710961
"AC116511.4",0.950814460711849,0.445565170253036,0.956002482694491,0.594328702072747,3.06349512585032,0.333456816029564
"AC116581.2",-1.11577817905757,-0.247004033413497,-0.972367272594642,-1.45767801270407,-0.509417852911642,-1.21921124789376
"AC118620.3",0.874073943608971,-0.261550623222758,0.943210122944923,0.347132281336376,-0.0506219328313533,0.144527793854501
"AC119212.1",-0.958297825127127,0.14371557134588,-1.22080408534015,0.526462222210591,-0.519654303758994,0.417575404124156
"AC119856.2",0.297640485347825,0.147221887370586,-0.106235384034622,0.90844471082131,0.0274348709801384,1.21392743123979
"AC119899.1",-1.20103422798472,-0.246335748423332,-1.19653800900659,-1.25110759596803,-0.527888029333273,-1.22665406306895
"AC120860.1",0.713942432431635,0.830816559498581,-0.298619588272743,1.06623308246328,-0.312328357599271,1.37132611342487
"AC121113.1",-1.1230130565832,-0.246683553352085,-0.953686180113638,-1.27091382571818,-0.508910773011841,-1.12934837217318
"AC121548.2",0.621323509056069,0.8310248024463,-0.901741094028928,1.07041883938394,-1.20849729225037,1.37489161405721
"AC121575.1",0.469865469563742,0.546195027490359,-0.207720403978754,0.930005433604626,-0.291730198312834,1.21935752824822
"AC122186.1",-0.328850232182113,0.139792064559753,0.201339796817083,0.856616490493225,0.51170982806034,1.20350478949887
"AC122223.2",0.709315540839705,1.05329246610957,-0.302828791297009,1.108359325353,-0.296069155537117,1.41478637795943
"AC122291.2",0.576009371679009,0.830201585212368,-0.0838865893611566,1.02964252321477,-0.0299550022594704,1.31760589292275
"AC122339.3",0.653987832283593,0.830675261300829,-0.0867833399633279,1.02431343624985,-0.00336780626808314,1.32474409296089
"AC122438.1",1.00252373911224,1.55590950202566,1.52066758120069,2.06268805575109,4.38009962908917,1.43848242726606
"AC122514.1",1.0088250623588,0.120843227367069,1.32110768044812,0.56195806305155,3.27523833631901,0.346619513184372
"AC122831.1",0.968518510205066,0.0199579833036325,0.721492211266533,0.684832816785944,1.7169634474028,1.13759381944222
"AC123684.1",0.155751497940943,-0.224621033396882,1.13690644914064,-0.127372665728468,-0.126757738188962,-0.0925447419101043
"AC124432.1",-0.929028497306325,0.143357726804015,-0.690962680975008,0.489325500119036,-0.431580330318014,0.391081082838093
"AC124713.2",-1.28902059765406,-0.246741204981267,-1.13347536675777,-1.21734297658204,-0.543192902297875,-1.16620733700129
"AC124730.7",0.800754326446119,0.830652124780496,-0.738712877030671,2.06578034495347,-0.921069805131082,1.37100287090634
"AC124976.1",0.49552175083629,-0.246642349233589,-0.881566880694916,-0.0104410613670174,-0.481961915436029,-0.227554730897104
"AC127419.2",-1.36730744012349,-0.246243684022202,-1.20120980554902,-1.26700309901988,-0.533586233296006,-1.21277291940602
"AC128663.3",-1.20645549874631,-0.246780806286451,-1.44082234634132,-1.26354069373611,-0.542007637976588,-1.21593057471369
"AC129609.2",0.287181212164459,0.493830075952372,1.16220162044126,0.853971662062465,3.09381528522876,1.20498014534832
"AC130827.2",0.901244348667371,-0.2786609878086,1.15268917338823,0.446655271534851,0.237820535922949,0.234664702930915
"AC131065.2",0.234280184962638,-0.2461907076186,-1.44151966610797,-0.0716771863349957,-0.561530234906902,-0.158370313750314
"AC131791.1",0.0606306027625842,0.143782829300153,-0.686506859322773,0.421819568392639,-0.699394079087569,0.394534943600349
"AC133169.2",0.709653949305837,1.05365695171426,-0.142992042917488,1.12040271272077,-0.134915102959384,1.41462261047494
"AC133195.2",-1.22038364108162,-0.246394803419707,-1.23334780586691,-1.26794229557373,-0.535832548215001,-1.22061691543386
"AC133896.3",0.6528492687455,0.83261662249492,0.982331113745609,1.03017531082458,0.998973261754827,1.32018564175554
"AC139636.2",0.766582306665589,-0.236245785689646,1.14013078691235,0.359465220250539,-0.567694545830623,0.296426533968669
"AC141643.2",0.576316551920838,0.547794786340945,-0.491038061421514,1.00490641034507,-0.421939812779833,1.31767363577345
"AC147266.4",-1.22041130263121,-0.246584345037544,-1.14939820235073,-1.25670356282129,-0.52970822858749,-1.31536422344446
"AC149085.3",-1.21267352727348,-0.24628119014262,-1.07142023674821,-1.24373565583842,-0.531409798161362,-1.29427923547204
"AC150313.1",-1.21955061112115,-0.246491150385793,-1.08834978511005,-1.25280495658645,-0.524962143651883,-1.26891291474351
"AC155158.1",0.669369989513702,0.83139780981808,-0.113774935808639,1.06969207602631,-0.0260357699833973,1.37692951663027
"AC157555.1",0.16016558520735,-0.236646801443826,1.14042981715944,-0.124376733153654,-0.561213101061165,-0.179420265178008
"AC157561.9",0.846023691207236,-0.248692995710661,0.936334294456513,0.246142612398717,-0.461088587041741,-0.0279780112413223
"AC157774.6",0.479038884320159,0.148811717636877,-0.341306093132343,0.914656652329228,-0.238374880119352,1.21205813169686
"AC158114.4",0.351639449028943,0.131493428471287,1.18040841558327,0.843031109453228,1.07305257158867,1.187996105436
"AC158308.3",0.540239120717347,0.54699707820839,-0.345442997996537,0.976008417030754,-0.257610093287271,1.31473831228466
"AC160533.2",-0.821120534353688,0.145327845496513,-0.456278263775114,0.598477300035604,-0.856002070364336,1.08306273590972
"AC160535.1",-0.364088257111547,0.141103190544385,0.142903020881259,0.84284004159226,0.416043644398253,1.20212573430785
"AC161169.2",1.16472345290791,0.241825699128913,1.36901436271538,0.761763243541464,0.34896937610585,0.588285237219115
"AC161807.1",0.57692197238268,0.548015956303322,-0.165071927001838,0.999903514269326,-0.193479465090094,1.31982089122062
"AC162898.6",0.57143588560365,1.08378312099603,1.51560828493309,0.873418155773175,4.62480433811436,1.20662314430487
"AC163616.2",0.900554094171374,-0.262919730813306,0.944142929827454,0.417976234272684,-0.0195632354961813,0.230540294206342
"AC164158.1",0.900591592875178,-0.252760121529887,0.939785919791483,0.464225783581083,-0.265628964519783,0.25484913534036
"AC164564.3",-1.17456149168976,-0.246495296498513,-0.982304327908509,-1.22932031980165,-0.546575028978147,-1.2466604382598
"AC164607.1",0.631394047962222,0.545560455221599,1.15136001974149,0.946766444046202,0.236995788088566,1.20888035663491
"AC165086.3",0.77224861663734,-0.128312036221028,1.10435849812422,0.280139189738189,0.969691243998963,0.175194499645106
"AC166332.1",-1.14263043857987,-0.246620794170632,-0.957149106207414,-1.26794862890122,-0.515970130375455,-1.17162959716486
"AC171273.3",-0.662572686841411,0.14925038211575,-0.143593514372568,0.782868194129581,-0.205698226066094,1.17749916213586
"AC175113.2",0.674287367630465,0.767382321951536,1.4245813165801,0.878783909860812,4.19805965613399,1.20510894985311
"ACAA1A",1.02834095299539,-0.227197534244069,1.15407866824928,0.685597166386337,-0.169587863701085,1.13465619503609
"ACAA2",0.239782692187142,0.146794417613817,0.000146611368761597,0.900882269494138,0.180336719481366,1.21345344702829
"ACACA",-1.18486753006839,-0.246578514173424,-1.16016029411782,-1.20346812494345,-0.539599302724372,-1.27619539121671
"ACAD8",-1.18337703167216,-0.246685989778113,-1.00041925293911,-1.25990836011027,-0.511074424872243,-1.2078371294959
"ACADL",0.749752405036792,0.147037503737813,1.14147821364906,0.757362895345982,-0.96926890498561,1.15820403084694
"ACADM",-1.36948184551905,-0.246245141014554,-1.40513691265322,-0.83457570549659,-0.598189793008478,-0.13429922478185
"ACADS",-1.14877493735463,-0.246608368460517,-0.970161042823143,-1.39696038045813,-0.522022919189549,-1.25354129389445
"ACADSB",-1.18059337624265,-0.246766930081143,-1.08487759039903,-1.22822585710306,-0.54661745027185,-1.17589097308038
"ACAT1",-1.33059952541699,-0.246486385884578,-1.16502877481101,-1.27776041200887,-0.533218699876868,-1.21490509189764
"ACAT2",0.510367861774675,0.524692306925744,1.29919460313342,0.757738530058844,3.64909845726799,0.599998555979677
"ACBD3",0.901605624115351,-0.286865969923088,0.955729816266534,0.525591567788466,0.324753568611383,0.301326480443219
"ACBD4",0.783039982404237,-0.287767113135501,0.955983891902052,0.266038035839295,0.350433125701675,0.107800413786417
"ACBD5",0.640091422054239,-0.248255857819983,0.936468418303615,0.244996916813112,-0.454915743822247,0.0287509782448416
"ACBD6",-1.23217666122154,-0.246192177644445,-1.1784122230035,-1.21830186672081,-0.528573718521351,-1.2386938850745
"ACD",0.943403028675089,-0.2432783145234,0.935202627870025,0.582827820594042,-0.783493377899275,0.407290095889859
"ACER3",0.919794681437643,-0.33225596806428,0.975142849281623,0.605127375126648,0.725156019760165,0.300129379267695
"ACIN1",-1.18367356968948,-0.246353287785288,-1.11643124586654,-1.23896735973049,-0.52704117336757,-1.23686090928052
"ACLY",0.197857552241716,0.146973212965593,-0.104486828403766,0.893965533137608,0.0481588970896005,1.21215028394929
"ACO1",0.163235902085624,-0.246848741103622,1.14314025285896,-0.122443121294782,-0.608334272206394,-0.276292303234656
"ACOT1",0.892457585783865,0.829684898478037,0.88076204148283,1.05255597896717,0.778861998328014,1.36389889414113
"ACOT13",0.654273835395248,0.548302501108915,-0.135356002193998,1.0011689318434,-0.16108157084993,1.32136270607014
"ACOT2",-0.86623317557306,0.144515477861108,-0.633873587329848,0.461806194063225,-0.885201187106806,0.406237277645695
"ACOT7",0.879198575759601,0.547402659214729,1.01783327494571,1.00978466102397,1.26935594451149,1.30506233911535
"ACOT9",0.901276063676307,-0.276205209342602,0.951553656008379,0.494485775623339,0.210967473431387,0.266305435450017
"ACOX1",-0.948196921682459,-0.247965614663124,-0.891934801715975,0.0307254553191498,-0.491096298348046,0.0833607226561459
"ACOXL",0.199111316006526,0.387194463927402,1.05757135392656,0.756016371545618,2.71044013531853,1.1749857404833
"ACP1",0.513487562999464,0.13319195775109,0.808892384891866,0.874017420083887,1.92096357788055,1.20331237064761
"ACSL4",1.19461152622056,-0.506032756593758,1.40272655670188,0.841767303483433,1.36968195967354,1.12475523763859
"ACSL5",0.845439160330861,-0.264810584933714,0.9447414464303,0.285439502712401,0.0329399010303442,0.151086687670432
"ACSS1",-1.16386125956211,-0.24666905032134,-1.01753034895464,-1.31872513666683,-0.525235512362835,-1.20765333598411
"ACTB",0.901424959335865,-0.280267683383574,0.953395210899061,0.522619983945381,0.261144161117289,0.299469456573039
"ACTG1",4.0099182777945,-0.848996343701883,1.67018670224193,2.02480942362408,2.17336647623734,1.29189608866511
"ACTN1",0.981588251114392,-0.12649180404088,0.863179975899923,0.559487202151607,0.980677638570277,0.34028227222723
"ACTN4",1.16611922496019,0.227962397074915,1.37284133301222,0.684265721856134,-0.16837419592322,0.409503838417724
"ACTR10",-1.1683690690038,-0.24669450539812,-0.897447380161069,-1.70515707644793,-0.509265507635629,-1.33695021197351
"ACTR1A",0.900627998327386,-0.267150082439801,1.14951416278398,0.383921605045913,0.0681364653004645,0.175159693338868
"ACTR1B",-1.16583102619489,-0.246737473791828,-0.940966608044701,-1.25360199556609,-0.516702822642996,-1.17897076780444
"ACTR2",0.749218205177927,-0.253569992178365,0.939470085602326,0.224279496266101,-0.252154842563949,-0.0271148993014732
"ACTR3",1.11886082144577,-0.26994061239828,1.16514978853093,0.725098173369403,0.0998832186842219,1.11506965530512
"ACTR8",0.471400482949208,-0.228235168436848,-0.174582773800145,0.291884285479306,-0.201923646146577,0.370444589889672
"ACYP1",-0.697291778701588,0.147609783831136,-0.236417303717292,0.768380783177973,-0.416973615499124,1.1822864180717
"ADAM10",0.900256496171539,-0.255958142466095,0.941028816184695,0.353359243405344,-0.178544617051435,0.129862133234292
