tracking_id,gene_short_name,P5 AT1 Control_A,P5 AT1 Control_B,P5 AT1 Control_C,P5 AT1 Mutant_A, P5 AT1 Mutant_B,P5 AT1 Mutant_C,Average Log2 foldchange (FPKM +1),T-test p-value
XLOC_000001,Lypla1,24.4,20.0,28.4,36.2,21.5,35.4,0.3,0.132844476
XLOC_000002,Tcea1,38.8,33.2,38.4,55.4,41.3,55.7,0.4,0.023478071
XLOC_000003,Atp6v1h,29.9,23.8,26.5,42.2,32.3,34.4,0.4,0.00619413
XLOC_000004,Oprk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000005,Rb1cc1,22.8,13.1,15.2,11.0,9.8,13.6,-0.5,0.179815235
XLOC_000006,Fam150a,0.2,0.4,0.5,0.0,0.5,0.0,-0.3,0.310450482
XLOC_000007,St18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340038329
XLOC_000008,Pcmtd1,19.9,9.9,15.9,9.7,7.2,12.5,-0.6,0.104703604
XLOC_000009,Rrs1,11.2,12.4,11.2,22.9,19.0,16.9,0.7,0.034869768
XLOC_000010,Adhfe1,0.8,0.3,0.2,0.2,0.1,0.2,-0.3,0.165311374
XLOC_000011,3110035E14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000012,1700034P13Rik,5.8,6.9,4.7,4.4,4.6,4.0,-0.3,0.054319768
XLOC_000013,Sgk3,2.4,2.9,3.2,3.2,2.1,3.7,0.0,0.888558526
XLOC_000014,Mcmdc2,0.5,0.6,0.6,0.3,0.2,0.4,-0.2,0.049830605
XLOC_000015,Cspp1,6.8,4.3,6.7,5.2,4.8,6.4,-0.1,0.576428036
XLOC_000016,Prex2,11.5,8.6,8.3,9.6,4.2,11.0,-0.3,0.558085377
XLOC_000017,A830018L16Rik,0.2,0.0,0.0,0.0,0.0,0.1,-0.1,0.572707372
XLOC_000018,Mir6341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000019,Gm17644,2.3,0.9,3.0,1.7,1.1,2.3,-0.1,0.460385509
XLOC_000020,Sulf1,14.9,10.8,10.1,14.1,12.2,9.4,0.0,0.944160974
XLOC_000021,Xkr9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000022,Kcnb2,0.7,0.6,0.7,0.3,0.1,0.5,-0.3,0.084543631
XLOC_000023,Terf1,4.9,4.4,4.7,6.8,5.6,6.6,0.4,0.011449262
XLOC_000024,Rdh10,9.3,9.2,9.7,126.6,99.1,96.3,3.4,0.001632314
XLOC_000025,D030040B21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200071356
XLOC_000026,Tmem70,9.5,9.8,14.7,14.2,13.8,13.9,0.3,0.260068365
XLOC_000027,Ly96,2.7,3.7,4.4,5.7,6.3,4.7,0.5,0.154692518
XLOC_000028,Gdap1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871561161
XLOC_000029,Pi15,2.6,2.1,2.2,2.4,1.0,1.4,-0.4,0.121895253
XLOC_000030,Crispld1,0.5,0.4,0.5,0.5,0.3,0.4,0.0,0.370299468
XLOC_000031,Tfap2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000032,Tfap2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189769546
XLOC_000033,4930486I03Rik,0.0,0.1,0.2,0.1,0.0,0.1,-0.1,0.640600992
XLOC_000034,Mir206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000035,Mir133b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000036,Il17a,0.3,0.5,0.0,0.0,0.1,0.0,-0.3,0.187569152
XLOC_000037,Paqr8,11.4,5.2,12.2,16.7,15.3,20.6,0.9,0.084214766
XLOC_000038,Efhc1,1.2,0.9,1.0,0.7,0.4,0.6,-0.4,0.018229806
