Early Down,Late Down,Biphasic ,Early Up,Late Up
Aqp1,Igfbp2,Arhgef26,Sprr2a3,Agr2
Plod2,Spock2, Ndnf,Tmem54,Muc5b
Ddc,Clic5,Lyz2,Pafah1b3,Ttr
Tspan13,Myl12a,Serpinb9,Cym,Spink4
Scarf1,Fam174b,Lmo7,Rab3d,Apoa1
Msl3l2,Fermt2,Kcne2,Sec11c,Alb
Rilp,Scnn1a,Meg3,Csrp2,Sult1c2
Colgalt2,Rabac1,Lyz1,Cxcl17,AA467197
Galnt18,Chchd10,Nenf,Tfcp2l1,Rbp2
Lims2,Capn2,Emb,Smim6,Hsd17b2
Akap2,Plp2,Akap5,S100g,Chad
Pdzrn3,Prdx5,Ctgf,Lypd6b,Akr1c12
Tspan5,Arhgap22,Tmem176b,Pdzk1ip1,Tmc5
Slc17a2,Rap1a,Sept7,1110008L16Rik,Gstm1
Cytl1,Itpkb,Cd74,Cotl1,Sptssb
Cd59a,Isg15,Tgfb2,Galnt7,Pllp
Rgcc,Stx7,Itgb6,Gm26917,Fermt1
Btg3,Ccdc107,Il10rb,Bok,Muc4
Grem2,Arl6ip1,S100a8,Krt19,Foxa3
Tril,Tgfb1i1,Adk,Ceacam1,Tff3
Pdzd2,Ptov1,Col12a1,Tm4sf1,Arl14
Scrn1,Col4a4,H2-K1,Tspan1,Serpinb11
Cttnbp2,Cnn2,S100a9,Cd14,Cldn8
Ocln,Vegfa,Cd81,Syngr1,Plac8
Lgi3,Tns1,Fdx1,Ddit4l,Pla2g1b
Agpat4,Col4a1,Stfa2l1,Ptp4a1,Sectm1b
Cep78,Myo1b,Anxa2,Klf3,Bag1
Slc39a2,Nbl1,Ahnak,Ly6a,Gabrp
Inpp5b,Eva1b,Camp,Atp8b1,Car2
Sema6d,Tmem150a,Tmem176a,Syt16,Pigr
Wnt10b,Selenbp1,Napsa,Nsa2,Bmp2
Hspb1,Mmd,Cttnbp2nl,Kcnq1,Ckmt1
Fam189a2,Fzd2,Ngp,Eef1g,Spp1
Cped1,St3gal5,H2-Ab1,Fscn1,Pla2g10
Npnt,Daam2,Bsg,Acsl1,Prom1
Gm5900,Elovl1,Stfa1,Cd24a,Pglyrp1
Tshb,Tprgl,Retnla,Cyp2s1,Vsig1
Slc4a5,Rhog,Tapbp,Stard10,Duox2
Susd2,Tmem128,Calm2,Cdc42ep5,Tstd1
Stk36,Mpc1,Wwp1,Gk,Ttc36
Fjx1,Foxa2,Pls3,Ehf,Sbspon
Wnt3a,Snx18,P4ha3,Tshz2,Lgals4
Ifit3,Col4a3,BC100530,Pik3r1,Anxa10
Slco3a1,Crlf1,Prnp,Ly6d,Iyd
Fkbp11,Dusp1,Amotl2,Efna5,Ern2
Tpst1,Gramd2,Wfdc1,Mgat3,Ptgr1
Usp18,Ltbp3,Ppic,5730559C18Rik,Degs2
D030018L15Rik,Sema3e,Sfta2,Dtx4,Clic6
Mrc2,Asah1,H2-Aa,Metrnl,Oaf
Pdgfa,Gnb4,Ctsh,Fam46a,9530034E10Rik
Ankrd1,Slc44a2,Gm5483,Clu,Il18
Chst8,Unc13d,Ctps,Lrrc26,H19
Ptn,Rusc2,Mt1,Lad1,Gsta1
Tiparp,Cdipt,Nhp2,Rnf128,Fxyd3
Fam69a,Mical2,Erh,Clic1,Scn3a
Sh3rf2,Pias1,Mt2,Rbp4,Bace2
Bdnf,Rhof,Rnf5,Tnfrsf21,Hnf1aos1
Popdc3,Hspa5,Krt18,Capn5,Tesc
Col5a2,Aldh3b1,Sftpd,Coro2a,Kif12
Abca5,Fkbp9,Ptma,Ybx3,Psca
Jun,Nsun4,Hnrnpab,Pgap1,Ctse
Mfge8,Fbn2,Wfdc2,Crot,Phgr1
RP23-428N8.3,Utrn,mt-Atp8,Rps14,Ihh
Hpcal1,Clic3,Id2,Rps24,Serpina9
Samhd1,Icam1,Anxa8,D630039A03Rik,Dpcr1
F3,Hs2st1,Vsig2,Gsta4,Neurl3
Dusp14,Col4a2,Gm42418,Glul,Rpl10
Dennd3,Cdkn2b,Krt8,Nr2f2,Il1rn
Rnf215,Cers2,Efhd2,Tnfaip8,Tff2
Hmha1,Sema3b,Lmo4,Hs3st1,Mgst2
Sdpr,Gadd45g,Perp,Eef1a1,Ociad2
F2r,Map6,Emp1,Pabpc1,Itih2
Pqlc1,Bst2,Epcam,Dock11,Sepp1
Grn,H2-D1,Pcbd1,Prkab1,Ugt2b34
Rab11fip1,Tspan2,Phlda1,Hebp2,1810011O10Rik
Prkcz,Tpm3,Golm1,Cldn23,Cyp3a13
F11r,Tmem160,Tmem98,Tnfrsf23,Tnni2
Mcc,Plekha1,Litaf,Tcf4,Tff1
Matn4,Tmem165,Ncl,Ncmap,Fam213a
Phactr1,Csgalnact2,Sprr1a,Macc1,Fhl2
Irx1,Ptrf,Mgst1,Gsto1,Mkrn2os
Lox,Tsc22d3,Ly6g6c,Kctd14,Slc9a4
Arhgap31,Mdfic,Itgb4,Krt23,A630076J17Rik
Saraf,Sort1,Nucks1,0610040J01Rik,Fam83e
Mgll,Gsn,Sema3c,Rpl4,Atp10b
Pbx2,Cadm1,Pdlim7,Wnt10a,Egln3
