tracking_id,gene_short_name,P8 AT2 Control_A,P8 AT2 Control_B,P9 AT2 Control_C,P8 AT2 Mutant_A, P8 AT2 Mutant_B,P9 AT2 Mutant_C,Average Log2 foldchange (FPKM +1),T-test p-value,,,,,,,,,,,,,
XLOC_000001,Chpf,16.0549,19.4773,15.2276,17.9541,17.728,21.5754,0.2,0.441206056,,,,,,,,,,,,,
XLOC_000002,Kcnq2,0.0107849,0,0,0,0.0341969,0,0.0,0.625435734,,,,,,,,,,,,,
XLOC_000003,Tardbp,43.4397,41.6985,54.4793,61.1494,54.7672,58.7947,0.3,0.101449747,,,,,,,,,,,,,
XLOC_000004,Ttc41,1.92243,2.21159,1.72143,0.749529,0.80933,0.581723,-0.8,0.001040691,,,,,,,,,,,,,
XLOC_000005,Dnmt3b,1.59669,1.83757,1.84893,2.554,2.04976,2.78685,0.3,0.099157852,,,,,,,,,,,,,
XLOC_000006,Senp7,6.06487,6.03489,5.96125,5.47375,5.22463,5.1954,-0.2,0.009759862,,,,,,,,,,,,,
XLOC_000007,Hps5,15.1566,14.9215,15.0934,7.86832,7.21645,8.13838,-0.9,0.002104193,,,,,,,,,,,,,
XLOC_000008,Gprasp1,14.1026,13.1648,14.4471,11.9307,11.4657,12.4005,-0.2,0.00312121,,,,,,,,,,,,,
XLOC_000009,Phactr1,8.95154,4.56413,5.3255,1.75482,1.97353,1.14821,-1.4,0.035969685,,,,,,,,,,,,,
XLOC_000010,Patj,23.496,19.9575,20.6182,28.6133,27.9013,24.9485,0.3,0.036044047,,,,,,,,,,,,,
XLOC_000011,Mtus1,22.6595,20.872,15.7908,24.1413,22.7844,18.5922,0.1,0.071344285,,,,,,,,,,,,,
XLOC_000012,Adam22,3.39836,3.22808,3.98065,2.73543,2.34024,2.5242,-0.4,0.042764878,,,,,,,,,,,,,
XLOC_000013,Whrn,3.9625,4.64682,5.31267,3.33037,3.15065,3.80899,-0.3,0.044734842,,,,,,,,,,,,,
XLOC_000014,Brsk2,0.0497881,0.0262544,0.0293174,0.00843856,0.0228622,0.0650726,0.0,0.897845311,,,,,,,,,,,,,
XLOC_000015,Pde1a,0.241753,0.223865,0.286439,0.107106,0.123076,0.206351,-0.1,0.026338697,,,,,,,,,,,,,
XLOC_000016,Mdk,20.2289,15.1892,17.3986,44.7788,27.9409,48.7561,1.1,0.022660247,,,,,,,,,,,,,
XLOC_000017,Kctd14,12.2961,13.5673,10.8666,18.6659,16.0375,24.1847,0.6,0.129476104,,,,,,,,,,,,,
XLOC_000018,Zfp708,1.9299,1.59875,1.89146,2.60408,2.08062,1.98728,0.2,0.123629898,,,,,,,,,,,,,
XLOC_000019,Ankrd6,0.121269,0.10966,0.298731,0.550388,0.618651,0.571021,0.4,0.033318415,,,,,,,,,,,,,
XLOC_000020,,0.0965792,0.0853674,0.0829395,0.010235,0.0138619,0.0313377,-0.1,0.020411995,,,,,,,,,,,,,
XLOC_000021,Npcd,50.4529,42.8852,62.3095,112.395,105.733,108.896,1.1,0.017655396,,,,,,,,,,,,,
XLOC_000022,Pard3,24.6849,25.775,24.6738,21.1284,20.1823,19.3347,-0.3,0.018352751,,,,,,,,,,,,,
XLOC_000023,Abi3bp,1.33158,0.761864,1.3824,6.24369,6.83491,6.96066,1.8,0.007260886,,,,,,,,,,,,,
XLOC_000024,Tbata,0.233915,0.244478,0.229418,0,0.0674679,0.0762614,-0.2,0.018887195,,,,,,,,,,,,,
XLOC_000025,Higd1c,0.134629,0.0212303,0.0665509,0,0,0,-0.1,0.147116735,,,,,,,,,,,,,
XLOC_000026,Timm9,11.4651,15.5685,10.245,13.7757,17.3376,16.8833,0.4,0.15824518,,,,,,,,,,,,,
XLOC_000027,Ttbk2,1.5782,1.25672,1.50253,1.51427,1.35019,1.51235,0.0,0.766194129,,,,,,,,,,,,,
XLOC_000028,43718,10.0224,10.7606,9.9129,15.9276,12.6468,13.4992,0.4,0.070986777,,,,,,,,,,,,,
XLOC_000029,,60.5928,66.27,58.2688,67.9803,82.5239,79.087,0.3,0.060671354,,,,,,,,,,,,,
XLOC_000030,Nkain2,0,0,0,0,0,0,0.0,#DIV/0!,,,,,,,,,,,,,
XLOC_000031,St6galnac6,14.1488,23.6367,18.5578,1.72942,1.78742,1.48463,-2.9,0.004924608,,,,,,,,,,,,,
XLOC_000032,Klc1,24.2088,21.9575,25.587,28.7633,27.3216,29.3806,0.2,0.016650695,,,,,,,,,,,,,
XLOC_000033,Wdr61,40.2778,44.2688,36.0197,36.4239,40.2433,37.635,-0.1,0.395582203,,,,,,,,,,,,,
XLOC_000034,Bclaf1,29.1678,28.9697,30.3013,38.354,34.5299,36.9898,0.3,0.018282153,,,,,,,,,,,,,
XLOC_000035,Spag9,21.6252,16.2351,20.6964,15.9564,14.6305,14.4309,-0.3,0.081680185,,,,,,,,,,,,,
XLOC_000036,Camk2d,12.0727,12.071,12.0227,12.731,14.1701,12.815,0.1,0.11414665,,,,,,,,,,,,,
XLOC_000037,Aptx,3.08615,4.23662,3.68776,2.93878,2.72609,3.18667,-0.2,0.215048491,,,,,,,,,,,,,
XLOC_000038,Sox6,0.442469,0.465292,0.675225,1.29894,0.78839,1.60588,0.5,0.049367244,,,,,,,,,,,,,
XLOC_000039,Pus1,7.68267,9.14711,7.92258,18.6331,19.521,21.3985,1.2,0.005833556,,,,,,,,,,,,,
XLOC_000040,Kcnj6,0,0,0,0,0,0,0.0,#DIV/0!,,,,,,,,,,,,,
XLOC_000041,Nr2c2ap,9.89535,9.85951,9.41786,14.4059,16.5976,16.0341,0.6,0.0112059,,,,,,,,,,,,,
XLOC_000042,Otud7b,9.13708,7.52565,7.9734,10.1846,8.9581,9.38227,0.2,0.017070693,,,,,,,,,,,,,
XLOC_000043,Cant1,16.1985,17.7124,18.1258,19.708,21.2434,20.7862,0.2,0.010418076,,,,,,,,,,,,,
XLOC_000044,Vrk1,11.1942,10.9408,11.8066,21.9956,23.0812,23.3764,1.0,0.001011088,,,,,,,,,,,,,
XLOC_000045,Zc3h18,17.8859,21.887,21.0741,33.3379,30.4164,33.058,0.6,0.031363051,,,,,,,,,,,,,
XLOC_000046,Pear1,2.89774,2.19008,2.5962,3.29988,3.44921,3.06274,0.3,0.13191139,,,,,,,,,,,,,
XLOC_000047,Acsl6,0,0.0426915,0.0177405,0,0.0624479,0.0234857,0.0,0.281134121,,,,,,,,,,,,,
XLOC_000048,Utp14b,8.66764,11.5136,7.47934,13.9031,20.9569,13.9145,0.8,0.00695018,,,,,,,,,,,,,
XLOC_000049,,14.83,15.6377,11.9024,17.1853,19.8214,17.6294,0.4,0.067524865,,,,,,,,,,,,,
XLOC_000050,,0.269898,0.0652229,0.346559,0.246715,0.167159,0.269893,0.0,0.924798088,,,,,,,,,,,,,
XLOC_000051,AU040320,14.4475,13.8401,14.4819,13.6687,14.1369,11.6076,-0.1,0.355906741,,,,,,,,,,,,,
XLOC_000052,Akap2,41.1967,24.5601,30.1968,15.9155,16.3454,11.9143,-1.1,0.050649853,,,,,,,,,,,,,
XLOC_000053,Musk,0.00620832,0,0,0.0231823,0,0.0181978,0.0,0.18407872,,,,,,,,,,,,,
XLOC_000054,Nfatc2,0.455091,0.593478,0.68274,0.766865,0.784023,0.475366,0.1,0.610543082,,,,,,,,,,,,,
XLOC_000055,Selenoh,65.9098,83.9974,68.5058,129.439,123.278,174.466,0.9,0.052965124,,,,,,,,,,,,,
XLOC_000056,Adcy7,49.3054,34.2141,38.5407,5.77453,4.32409,4.94532,-2.8,0.000381347,,,,,,,,,,,,,
XLOC_000057,Baiap2,47.5168,47.9411,41.9441,31.734,32.3692,29.5538,-0.5,0.001894936,,,,,,,,,,,,,
XLOC_000058,,7.85375,8.26807,6.5005,8.92354,9.5326,7.95453,0.2,0.018283223,,,,,,,,,,,,,
XLOC_000059,Cnot2,22.4491,22.0748,22.4553,30.3871,29.7618,29.8235,0.4,0.000385388,,,,,,,,,,,,,
XLOC_000060,,5.7223,4.4775,5.50024,6.50632,5.06434,6.34932,0.2,0.002968263,,,,,,,,,,,,,
XLOC_000061,Tcf25,70.3199,69.639,72.3568,64.2817,61.3096,63.5936,-0.2,0.012124519,,,,,,,,,,,,,
XLOC_000062,Dab2,5.22014,4.74788,4.40746,1.66582,2.35489,1.937,-1.0,0.019102492,,,,,,,,,,,,,
XLOC_000063,Dnajb6,43.1369,50.7428,40.5849,55.7243,60.7689,54.9603,0.3,0.020216923,,,,,,,,,,,,,
XLOC_000064,Glrx2,20.7913,25.8837,19.8328,20.9015,21.5284,17.2605,-0.1,0.205452757,,,,,,,,,,,,,
XLOC_000065,Olfm1,1.47699,0.856782,1.5912,0.991011,1.56276,1.29637,0.0,0.975985863,,,,,,,,,,,,,
XLOC_000066,Slc16a3,2.55251,2.20979,3.26776,0.655374,0.909179,0.743813,-1.0,0.022195157,,,,,,,,,,,,,
XLOC_000067,P2rx7,0.77024,0.491587,0.93212,0.65286,0.552879,0.556278,-0.1,0.387145652,,,,,,,,,,,,,
XLOC_000068,Pkib,0.384017,0.493309,0.612656,0.0407894,0.166139,0.0633482,-0.5,0.025290165,,,,,,,,,,,,,
XLOC_000069,Kcnj15,63.8647,58.163,42.045,108.894,124.658,100.52,1.0,0.0182392,,,,,,,,,,,,,
XLOC_000070,Klhl15,2.37705,2.46126,2.13828,1.99364,2.23657,2.02001,-0.1,0.088581096,,,,,,,,,,,,,
XLOC_000071,Ldb3,0.100242,0.0593624,0.0782564,0.107715,0.0542476,0.072039,0.0,0.780445936,,,,,,,,,,,,,
XLOC_000072,Plpbp,12.8017,14.7511,16.3153,16.2214,17.5118,17.6796,0.2,0.068525543,,,,,,,,,,,,,
XLOC_000073,Rapgef1,9.81976,9.201,12.0793,17.6019,16.8599,18.7291,0.7,0.008549046,,,,,,,,,,,,,
XLOC_000074,,13.0145,11.6875,13.5952,13.2963,12.5265,12.8216,0.0,0.802963162,,,,,,,,,,,,,
XLOC_000075,Camk2g,21.7648,22.6681,18.9311,11.194,10.8597,10.9562,-0.9,0.007361852,,,,,,,,,,,,,
XLOC_000076,Cd44,42.5697,31.342,49.0405,17.9567,20.5967,22.9483,-0.9,0.036848565,,,,,,,,,,,,,
XLOC_000077,Triobp,22.1033,25.0808,24.7629,29.4229,30.875,33.6753,0.4,0.012603997,,,,,,,,,,,,,
XLOC_000078,Ube2j2,24.096,30.2547,27.6865,22.7603,24.0226,29.0221,-0.1,0.427394304,,,,,,,,,,,,,
XLOC_000079,Rbfox3,0.0817387,0.0289958,0.0458201,0,0.131579,0.0605866,0.0,0.858188739,,,,,,,,,,,,,
XLOC_000080,Eif4e2,40.3794,44.914,37.9688,48.5165,50.2081,48.3378,0.3,0.041293158,,,,,,,,,,,,,
XLOC_000081,Elovl1,221.471,240.726,232.762,44.8189,45.4781,46.9061,-2.3,0.000190096,,,,,,,,,,,,,
XLOC_000082,Bicd2,15.8442,11.3257,14.6155,20.6816,19.5128,19.6257,0.5,0.051265053,,,,,,,,,,,,,
XLOC_000083,Ceacam1,13.3143,13.525,17.1627,12.3771,15.2169,13.9713,-0.1,0.625642154,,,,,,,,,,,,,
XLOC_000084,Lin7a,0.0154254,0.0242183,0.0378583,0.0130781,0.0177075,0.0600546,0.0,0.676024897,,,,,,,,,,,,,
XLOC_000085,Hmga1,26.243,41.0012,34.8384,28.7714,45.1856,71.989,0.4,0.285358849,,,,,,,,,,,,,
XLOC_000086,Mobp,0,0,0,0.0120652,0,0,0.0,0.422649731,,,,,,,,,,,,,
XLOC_000087,Nsmf,12.8984,13.1483,13.1826,11.158,9.82994,11.3389,-0.3,0.053939046,,,,,,,,,,,,,
XLOC_000088,Wdr37,5.95547,5.57538,6.09039,4.80175,5.18844,5.42279,-0.2,0.085801081,,,,,,,,,,,,,
XLOC_000089,Pkig,15.1315,21.0741,17.817,31.1268,28.2973,31.5347,0.7,0.050957306,,,,,,,,,,,,,
XLOC_000090,Lrif1,12.1107,11.1887,11.5057,8.79953,9.81109,7.83321,-0.4,0.066092233,,,,,,,,,,,,,
XLOC_000091,Adora1,1.90048,2.59481,2.4972,4.28834,4.69738,2.65828,0.5,0.157668301,,,,,,,,,,,,,
XLOC_000092,Ivns1abp,39.5218,39.0565,36.9771,64.04,56.9167,64.6931,0.7,0.01236113,,,,,,,,,,,,,
XLOC_000093,Ermard,7.59374,6.44456,7.16667,5.26912,4.65477,4.8083,-0.4,0.003787496,,,,,,,,,,,,,
XLOC_000094,Spag11b,0.0275979,0,0.181923,0,0,0,-0.1,0.33734424,,,,,,,,,,,,,
XLOC_000095,Eif4e1b,0,0,0,0,0,0,0.0,#DIV/0!,,,,,,,,,,,,,
XLOC_000096,Zfp869,9.09655,10.9342,10.2501,9.6204,7.89494,9.40248,-0.2,0.397722057,,,,,,,,,,,,,
XLOC_000097,Sytl2,10.6574,11.6638,12.4983,13.9729,11.5846,9.38446,0.0,0.97097789,,,,,,,,,,,,,
XLOC_000098,Arap1,16.8837,16.645,18.883,14.8654,17.2141,14.3878,-0.2,0.301699636,,,,,,,,,,,,,
XLOC_000099,Pdzd9,6.9481,6.0653,6.00914,5.25268,6.22585,5.91988,-0.1,0.449071144,,,,,,,,,,,,,
XLOC_000100,C1qtnf5,1.51495,0.709316,1.90766,0.315598,0.382947,0.284899,-0.8,0.090128058,,,,,,,,,,,,,
XLOC_000101,Dlgap4,22.8073,22.0076,23.4705,22.0523,21.9926,20.5253,-0.1,0.296507078,,,,,,,,,,,,,
XLOC_000102,Pitx2,0,0.173683,0,0,0,0,-0.1,0.422649731,,,,,,,,,,,,,
XLOC_000103,Txnrd1,34.8539,39.0195,35.8221,106.782,95.3067,114.98,1.5,0.006290356,,,,,,,,,,,,,
XLOC_000104,Cd27,0.305831,0.116329,0.384356,0.370581,0.227976,0.307396,0.0,0.588002603,,,,,,,,,,,,,
XLOC_000105,Lhx9,0.0481646,0.0077337,0,0.0432812,0,0,0.0,0.206994371,,,,,,,,,,,,,
XLOC_000106,,407.863,477.481,448.144,163.599,259.991,186.522,-1.1,0.014147338,,,,,,,,,,,,,
XLOC_000107,Dcun1d2,8.61425,9.80122,10.9435,8.14074,7.62693,7.51119,-0.3,0.1346551,,,,,,,,,,,,,
XLOC_000108,Rbpms,57.3326,62.181,56.3821,79.3913,82.7175,75.6043,0.4,0.001641376,,,,,,,,,,,,,
XLOC_000109,Ilf3,16.8123,17.824,18.2458,31.3252,28.5815,33.717,0.8,0.007332094,,,,,,,,,,,,,
XLOC_000110,Ddhd1,7.16437,7.97159,8.73433,5.46944,4.5496,4.98808,-0.6,0.040980391,,,,,,,,,,,,,
XLOC_000111,Eml1,3.18465,1.71688,3.43479,4.7437,5.51636,4.61767,0.7,0.141184627,,,,,,,,,,,,,
