"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2200002D01Rik",0,-97.0375564281074,0.28,0.615,0
"Actn4",0,-62.5812502703319,0.47,0.739,0
"Ahnak",0,16.2763740604278,0.495,0.859,0
"Akr1b8",0,-100.120512330546,0.069,0.438,0
"Anxa8",0,-25.0374537805017,0.039,0.422,0
"Arl4c",0,-28.3402724170624,0.254,0.625,0
"Atrx",0,-6.55561412619486,0.492,0.821,0
"Bag1",0,-65.8103299511944,0.592,0.842,0
"Cbr2",0,Inf,0.496,0.119,0
"Ccnd1",0,-43.1019885435126,0.234,0.603,0
"Ccnd2",0,-246.995618574072,0.492,0.784,0
"Cd24a",0,-73.548630646303,0.221,0.572,0
"Cd2ap",0,-56.4252912792299,0.199,0.693,0
"Cdc42ep5",0,-15.8341155624845,0.176,0.524,0
"Cggbp1",0,-5.67328403384902,0.258,0.616,0
"Chchd2",0,-201.94848909895,0.968,0.995,0
"Cldn4",0,-29.4767080835601,0.041,0.353,0
"Clu",0,-Inf,0.111,0.724,0
"Cyp2s1",0,-12.7062055420787,0.034,0.343,0
"Dstn",0,-58.9647253923708,0.856,0.953,0
"Eif4g2",0,-16.3452242306868,0.644,0.891,0
"Ffar4",0,-13.9761612913013,0.015,0.29,0
"Foxq1",0,-63.5741481899097,0.075,0.498,0
"Fxyd3",0,-133.186123943341,0.185,0.558,0
"Fxyd6",0,-28.8286801034099,0.028,0.32,0
"Gsta4",0,-435.704365751388,0.15,0.529,0
"Gsto1",0,-Inf,0.184,0.617,0
"Hist1h1e",0,-44.3840574111973,0.044,0.525,0
"Hnrnpab",0,-59.0072299904512,0.624,0.862,0
"Hp1bp3",0,-10.3409518767497,0.441,0.764,0
"Il18",0,-51.22099428,0.016,0.298,0
"Itgb1",0,-8.96473884226541,0.64,0.913,0
"Krt19",0,-457.305511523614,0.238,0.631,0
"Lad1",0,-7.59715250187932,0.011,0.353,0
"Lgals3",0,-173.081352024633,0.243,0.63,0
"Lgi3",0,9.65170847621102,0.397,0.071,0
"Lrrc26",0,2.21758353114968,0.009,0.281,0
"Lurap1l",0,-51.1421422636051,0.297,0.621,0
"Ly6e",0,-101.004714694899,0.443,0.734,0
"Mal",0,-143.855223361927,0.182,0.579,0
"Msln",0,-205.016399310886,0.056,0.548,0
"Myof",0,-12.3291011511498,0.158,0.53,0
"Ncl",0,-51.847078095959,0.663,0.927,0
"Nedd4",0,-27.475442752596,0.66,0.903,0
"Nkx2-1",0,-5.60463029027396,0.476,0.1,0
"Pabpc1",0,-29.2607862997433,0.702,0.911,0
"Pafah1b1",0,-10.8394398522618,0.454,0.802,0
"Perp",0,-36.1109791484629,0.104,0.449,0
"Phgr1",0,-57.0362550436473,0.009,0.262,0
"Plet1",0,-2.89610480538657,0.035,0.342,0
"Plpp2",0,-16.4298941667349,0.121,0.475,0
"Ppp1r14b",0,-65.9257905548472,0.254,0.616,0
"Prpf4b",0,-3.47276730083569,0.311,0.672,0
"Prrc2c",0,-10.1081734589838,0.462,0.833,0
"Ptma",0,-546.752426024022,0.993,1,0
"Ptp4a2",0,-42.0215238117185,0.484,0.802,0
"Rock2",0,-5.06451625104915,0.199,0.58,0
"Rps2",0,-513.570618118276,0.983,0.999,0
"Rps27l",0,-195.382142540374,0.875,0.971,0
"S100a11",0,-Inf,0.936,0.984,0
"S100a6",0,-Inf,0.515,0.886,0
"Scaf11",0,-7.76470786305108,0.289,0.666,0
"Scara3",0,-35.2022235514437,0.027,0.387,0
"Set",0,-61.0607451409236,0.587,0.876,0
"Sftpa1",0,152.954490934779,0.589,0.142,0
"Sftpb",0,83.7051288099025,0.596,0.176,0
"Slk",0,-8.43550215644061,0.168,0.517,0
"Sorbs2",0,-38.2861364067478,0.012,0.341,0
"Spp1",0,-230.795401977628,0.007,0.318,0
"Sprr1a",0,-732.860198173204,0.001,0.499,0
"Sprr2a3",0,-275.525936359099,0.001,0.246,0
"Srrm1",0,-16.0501554071804,0.472,0.776,0
"Srrm2",0,-24.1611238454008,0.698,0.898,0
"Syt8",0,-9.79257137967769,0.001,0.266,0
"Tff2",0,-206.276573209285,0.001,0.294,0
"Tnfrsf12a",0,-43.2259584441025,0.242,0.622,0
"Tpr",0,-14.4095646771902,0.405,0.792,0
"Wasf2",0,-12.7646662944229,0.394,0.742,0
"Ybx1",0,-60.5548892026531,0.874,0.985,0
"mt-Atp8",0,-20.9024199707741,0.179,0.631,0
"mt-Nd4l",0,-18.4208346085188,0.323,0.711,0
"mt-Nd5",0,-32.7397676835433,0.734,0.923,0
"Smarca5",3.2114266979681e-322,-6.96238269893807,0.25,0.604,8.99135246897109e-318
"Mboat1",1.09682573376757e-321,-3.73681232207654,0.035,0.324,3.07089268940244e-317
"Setd8",5.05429155695595e-321,-13.513274390368,0.139,0.476,1.41510055011653e-316
"Krt18",1.38239567706381e-320,-142.728161592544,0.339,0.621,3.87043141664325e-316
"Nap1l1",1.2426146245424e-318,-23.0564768964786,0.491,0.8,3.47907242579382e-314
"Timp2",7.41970000561134e-318,-25.4796198778306,0.502,0.813,2.07736760757106e-313
"Cdh1",4.9937803729159e-317,-46.2085936782458,0.319,0.573,1.39815862880899e-312
"Serbp1",3.27010134118943e-316,-52.227718024833,0.758,0.926,9.15562973506218e-312
"Thbs1",4.45029877524326e-316,-118.174766986082,0.255,0.61,1.24599465109261e-311
"Wapl",1.12234965909737e-315,-3.43584336066856,0.2,0.553,3.14235457554082e-311
"Cystm1",8.17881551835573e-314,-145.680096162236,0.475,0.662,2.28990476882924e-309
"Ezr",1.0389499841584e-309,-68.1879130094944,0.463,0.666,2.90885216564668e-305
"Pla2g10",3.06049586308342e-309,-25.3673844635849,0,0.212,8.56877631746095e-305
"Eif3a",3.23038944946037e-309,-12.2754363034951,0.462,0.759,9.04444438059914e-305
"Mpzl2",1.5231707329438e-308,-2.70661929351921,0.021,0.282,4.26457341809605e-304
"Gcc2",2.80940387898194e-308,-4.26868110576666,0.177,0.521,7.86576898037365e-304
