"","gene","distance","Z","FC","p.value","p.adj"
"6867","Nkx2-1",0.000513009343059425,3.16079023798032,6988615.81967302,0,0
"5199","Sftpc",2.3556965013688e-06,1.64864128483564,147.359890959729,6.54723456064045e-34,2.79305026356921e-30
"7907","Sfta2",1.95255123455279e-06,1.60449433845759,101.238451702491,8.15507834183818e-24,2.31930428041878e-20
"6175","Tmem100",1.89025588249406e-06,1.59692002062816,94.8815594759608,2.02123976661376e-22,4.31130442218715e-19
"2601","Slc34a2",1.81775088233059e-06,1.58780375067151,87.7423669608649,7.45601061901645e-21,1.27229365202897e-17
"602","Egfl7",1.6958335312736e-06,1.57167646045412,76.3672327996368,2.35527087842998e-18,3.34919518912743e-15
"1407","Bex4",1.60634926626684e-06,1.55913184172649,68.5205083202601,1.25564945616043e-16,1.53045730856583e-13
"7733","Abca3",1.58428899769702e-06,1.55593862358674,66.6514236212176,3.24022163721937e-16,3.45569637609446e-13
"14","Prex2",1.55037782697372e-06,1.55094772384722,63.8286582010734,1.35724746176575e-15,1.28667059375393e-12
"1457","S100g",1.54329547444379e-06,1.54989246007903,63.2468328941263,1.82360635453418e-15,1.55590094168856e-12
"3184","Sftpb",1.52089977562263e-06,1.54652537257122,61.4245253584437,4.60044217009202e-15,3.56827023592955e-12
"1721","BC028528",1.45470524643527e-06,1.53629431833766,56.1940880842049,6.56586649615367e-14,4.66833107876526e-11
"2668","Cxcl15",1.45153464242821e-06,1.53579338100587,55.9493992898587,7.43604513928843e-14,4.88033362526222e-11
"6285","Ramp2",1.44376538740263e-06,1.53456153109569,55.3520703313874,1.00763683252845e-13,6.14082675366621e-11
"1139","Wfdc2",1.42397390072117e-06,1.53139518586394,53.8449126119921,2.16956136641479e-13,1.21613517711069e-10
"6344","Pecam1",1.42267647405837e-06,1.531186177811,53.7468377813795,2.28060980236416e-13,1.21613517711069e-10
"6660","Lpcat1",1.39478981957912e-06,1.52665003073237,51.6604464843722,6.59786481634214e-13,3.3113519184136e-10
"4377","Dram1",1.37647674157617e-06,1.52362465228735,50.3127867136047,1.31092576133844e-12,6.21378810874423e-10
"1406","Bex2",1.33464996781152e-06,1.51657065266841,47.3015506673386,6.08640489062845e-12,2.73311613299168e-09
