"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3) Homo sapiens R-HSA-5683678","4/5",2.56239780544929e-08,4.70199997299945e-06,0,0,474.922155688623,8301.5145104029,"SFTPB;SFTPC;SFTPD;SFTPA1"
"2","surfactant homeostasis (GO:0043129)","4/6",7.63597834159594e-08,4.78775842018066e-05,0,0,237.449101796407,3891.27068760804,"NAPSA;SFTPD;CTSH;SFTPA1"
"3","chemical homeostasis within a tissue (GO:0048875)","4/6",7.63597834159594e-08,4.78775842018066e-05,0,0,237.449101796407,3891.27068760804,"NAPSA;SFTPD;CTSH;SFTPA1"
"4","multivesicular body lumen (GO:0097486)","4/7",1.76985205759674e-07,5.97325069438899e-06,0,0,158.291417165669,2460.98827206892,"SFTPB;NAPSA;SFTPC;CTSH"
"5","Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5) Homo sapiens R-HSA-5688849","4/8",3.51610571550997e-07,2.58082159518432e-05,0,0,118.712574850299,1764.15690006763,"SFTPB;SFTPC;SFTPD;SFTPA1"
"6","Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4) Homo sapiens R-HSA-5688890","4/8",3.51610571550997e-07,2.58082159518432e-05,0,0,118.712574850299,1764.15690006763,"SFTPB;SFTPC;SFTPD;SFTPA1"
"7","ABC transporter disorders Homo sapiens R-HSA-5619084","4/8",3.51610571550997e-07,2.58082159518432e-05,0,0,118.712574850299,1764.15690006763,"SFTPB;SFTPC;SFTPD;SFTPA1"
"8","lamellar body (GO:0042599)","7/15",1.79306440015393e-11,2.42063694020781e-09,0,0,105.752286585366,2616.78850356627,"SFTPB;NAPSA;ABCA3;SFTPC;SFTPD;CTSH;SFTPA1"
"9","late endosome lumen (GO:0031906)","4/9",6.28679477703056e-07,1.69743458979825e-05,0,0,94.9652694610778,1356.07026728798,"SFTPB;NAPSA;SFTPC;CTSH"
"10","Diseases associated with surfactant metabolism Homo sapiens R-HSA-5687613","4/10",1.04081374057511e-06,5.4568377541581e-05,0,0,79.1337325349301,1090.10734248976,"SFTPB;SFTPC;SFTPD;SFTPA1"
"11","sphingosine-1-phosphate signaling pathway (GO:0003376)","2/6",0.00106581848444788,0.041387290127012,0,0,58.6538461538462,401.427641292724,"S1PR1;EZR"
"12","positive regulation of cellular extravasation (GO:0002693)","2/6",0.00106581848444788,0.041387290127012,0,0,58.6538461538462,401.427641292724,"PLVAP;ICAM1"
"13","regulation of extracellular exosome assembly (GO:1903551)","2/6",0.00106581848444788,0.041387290127012,0,0,58.6538461538462,401.427641292724,"SDC4;SDC1"
"14","blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)","2/6",0.00106581848444788,0.041387290127012,0,0,58.6538461538462,401.427641292724,"ACVRL1;NRARP"
"15","Surfactant metabolism Homo sapiens R-HSA-5683826","8/29",8.92108249018629e-11,3.27403727389837e-08,0,0,46.2938942448145,1071.24157983111,"SFTPB;SLC34A2;NAPSA;SFTPC;ABCA3;SFTPD;CTSH;SFTPA1"
"16","Disorders of transmembrane transporters Homo sapiens R-HSA-5619115","4/15",6.54285152971919e-06,0.000266802945711883,0,0,43.1529667936854,515.122897018678,"SFTPB;SFTPC;SFTPD;SFTPA1"
"17","G-protein coupled receptor dimeric complex (GO:0038037)","2/8",0.00196724809940325,0.0177052328946292,0,0,39.0986193293886,243.628173887996,"RAMP2;CALCRL"
"18","positive regulation of sodium ion transport (GO:0010765)","3/13",0.000164912358600804,0.0128314718447099,0,0,35.3910714285714,308.259643317444,"ANK3;PRSS8;SCN3B"
"19","Adhesion and diapedesis of lymphocytes","3/14",0.000208571454080996,0.0113522462864085,0,0,32.1720779220779,272.66572361344,"ICAM2;PECAM1;ICAM1"
"20","multivesicular body (GO:0005771)","6/29",1.44360039195839e-07,5.97325069438899e-06,0,0,31.3138339920949,493.222802163366,"SFTPB;NAPSA;SFTPC;SFTPD;CTSH;SFTPA1"
"21","Adhesion and diapedesis of granulocytes","3/15",0.000259078985029351,0.0123386366620228,0,0,29.4895833333333,243.536113880485,"ICAM2;PECAM1;ICAM1"
"22","digestive tract morphogenesis (GO:0048546)","3/15",0.000259078985029351,0.0170404880545748,0,0,29.4895833333333,243.536113880485,"SOX17;FOXF1;FGFR2"
"23","Tight junction interactions","5/30",5.16408903275299e-06,0.000732599499683562,0,0,23.8602409638554,290.469368241256,"CLDN5;CLDN3;CLDN7;CLDN18;CRB3"
"24","Tight junction interactions Homo sapiens R-HSA-420029","5/30",5.16408903275299e-06,0.000236902584377543,0,0,23.8602409638554,290.469368241256,"CLDN5;CLDN3;CLDN7;CLDN18;CRB3"
"25","respiratory tube development (GO:0030323)","4/25",5.67191922925181e-05,0.0070287414221525,0,0,22.5925292272598,220.896148186053,"CEBPA;FOXF1;NKX2-1;FGFR2"
"26","endocardial cushion development (GO:0003197)","3/19",0.000538051625869712,0.0306689426745736,0,0,22.1127232142857,166.454763270837,"ACVRL1;FOXF1;TBX2"
"27","vasculogenesis (GO:0001570)","5/32",7.19721524031501e-06,0.00156545360010679,0,0,22.0905845604641,261.592646068383,"RAMP2;EGFL7;FLT1;SOX17;RASIP1"
"28","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)","3/20",0.000629038830548741,0.0332462392304908,0,0,20.8109243697479,153.403932441917,"CLDN5;CLDN7;CLDN18"
"29","lung development (GO:0030324)","4/29",0.000103691261896399,0.00866858949453898,0,0,18.9738922155689,174.068246247079,"CEBPA;FOXF1;NKX2-1;FGFR2"
"30","respiratory system development (GO:0060541)","4/29",0.000103691261896399,0.00866858949453898,0,0,18.9738922155689,174.068246247079,"CEBPA;FOXF1;NKX2-1;FGFR2"
"31","outflow tract septum morphogenesis (GO:0003148)","3/22",0.000839153374452524,0.0389740122801284,0,0,18.6184210526316,131.876455824345,"SEMA3C;FGFR2;TBX2"
"32","digestive system development (GO:0055123)","3/22",0.000839153374452524,0.0389740122801284,0,0,18.6184210526316,131.876455824345,"FOXF1;GATA2;FGFR2"
"33","neuronal action potential (GO:0019228)","3/23",0.000958991558209177,0.041387290127012,0,0,17.6866071428571,122.915345280207,"SCN7A;MYH14;ANK3"
