"","gene","distance","Z","FC","p.value","p.adj"
"6043","Trem2",8.88465522405637e-06,7.9152455262069,29083.2295496105,0,0
"6159","Ttr",4.98588547413153e-07,3.21397217100436,91.5895804294313,1.06653114987167e-21,3.49875543715401e-18
"3072","Cdkn1c",4.26989962923655e-07,3.02424378929849,67.1733187047336,2.48656697700246e-16,5.43812197870439e-13
"3135","Gm49339",3.78643947986349e-07,2.88081856729979,52.8230546421015,3.64991734200528e-13,5.98677692022415e-10
"3485","Lpl",3.55714971451544e-07,2.80749110345376,46.6193013817463,8.62069451709472e-12,1.13120753453317e-08
"3821","Lgals3",3.40642868328999e-07,2.75715573968669,42.7523581304379,6.2126946535954e-11,6.79358160370656e-08
"4017","Acad8",3.16395413047835e-07,2.67221717345337,36.8826255811168,1.2545899445137e-09,1.17590923227919e-06
"4022","Aplp2",3.123273579729e-07,2.65744890691875,35.9402858848044,2.03458198942723e-09,1.66861155407901e-06
"6409","Fth1",3.00309841163445e-07,2.61288332733622,33.2277245046938,8.19734161030455e-09,5.97586203391201e-06
"3379","Cd63",2.98783478438268e-07,2.60711908860988,32.8908146603441,9.74827734137845e-09,6.3958447636784e-06
"3208","Cstb",2.95380690055207e-07,2.59418141098363,32.145906260167,1.43017726687257e-08,8.53035731631903e-06
"3860","Slc22a17",2.94047705615535e-07,2.58908005381202,31.8564268984391,1.65999501304295e-08,9.07602273381235e-06
"996","Apoo",2.85128595532608e-07,2.55445111837622,29.9531859209724,4.4260406051702e-08,2.23378864696321e-05
"752","Cst7",2.83608303317651e-07,2.54846038229763,29.6346195342564,5.21648970645435e-08,2.37209392027052e-05
"1109","Anxa5",2.82904982451981e-07,2.54568004572084,29.4878198661325,5.62692158391714e-08,2.37209392027052e-05
"3283","Igf1",2.82647748547329e-07,2.54466174824877,29.4342201133682,5.78471311146598e-08,2.37209392027052e-05
"1681","Cd52",2.79835403656944e-07,2.53347894498705,28.8513932373091,7.81496655451485e-08,3.01611738612776e-05
"6277","Acaa2",2.76176231840317e-07,2.51879046231937,28.1017956935901,1.15099015608017e-07,3.99061624427273e-05
"1459","Cd72",2.76137866727092e-07,2.51863561781756,28.0939886952677,1.15564256426127e-07,3.99061624427273e-05
"2358","Capg",2.70089796513669e-07,2.49400218033872,26.8768165987984,2.16844496483487e-07,7.1135837071408e-05
"488","Ass1",2.68531826668348e-07,2.48758365316413,26.5676416451035,2.54470338015271e-07,7.95038041770567e-05
"2654","Axl",2.67141824831183e-07,2.48183136275827,26.2933092269228,2.93303031663271e-07,8.63579882420952e-05
"2969","Bola2",2.66831173724499e-07,2.48054243955178,26.2321934025556,3.02733383564729e-07,8.63579882420952e-05
"4534","Cxcl16",2.64094283395687e-07,2.46913344837913,25.6968253926175,3.99483665636395e-07,0.000108354341116068
"1973","Spp1",2.63767168835919e-07,2.46776337895632,25.6332072045615,4.12872813275673e-07,0.000108354341116068
"2012","Selplg",2.50400743913237e-07,2.41055415788599,23.1011022307637,1.53702564121809e-06,0.000387862508924303
"3531","Tpm4",2.49112471616984e-07,2.40490925390156,22.8640106551552,1.73877220117134e-06,0.000422521644884635
"2630","Apoe",2.44463193981234e-07,2.38433659942948,22.0185358047504,2.70030059415487e-06,0.000632738292794646
"4631","Ccl6",2.43042587574598e-07,2.37798672827534,21.7633743838309,3.08432203091944e-06,0.000697801270512498
