"","gene","distance","Z","FC","p.value","p.adj"
"2638","Apoe",0.000159111357272486,9.75962029063888,4672245.22191306,0,0
"6072","Trem2",6.76157644125792e-05,8.3851168695192,843760.503402684,0,0
"3498","Lpl",7.6453022640726e-07,2.96635061624592,107.87295814874,2.865707423798e-25,6.29691444589213e-22
"905","Cybb",7.35010574862363e-07,2.92961207839279,99.7035088565353,1.77007346131509e-23,2.91708106424727e-20
"402","Vim",7.28310164004172e-07,2.92109056028409,97.8939853502138,4.41392372990886e-23,5.81931704551185e-20
"4011","AB124611",6.91582742531796e-07,2.87310305661338,88.2696821563951,5.71121337675875e-21,6.27471976326561e-18
"4157","Anxa2",6.84105680798484e-07,2.86305657715406,86.3713407671976,1.49130513329553e-20,1.40438334838345e-17
"3144","Gm49339",6.19254422238963e-07,2.77156683651853,70.7720052472762,4.00986841292932e-17,3.30413157225376e-14
"1230","S100a8",6.12718352375223e-07,2.76187865964022,69.2859290986202,8.51750872963352e-17,6.23860194952713e-14
"1231","S100a9",5.9035886956367e-07,2.72802556391861,64.3213946813672,1.05691793534884e-15,6.96720302981955e-13
"5020","Cxcl14",5.79627885013845e-07,2.71137138461854,62.004299988927,3.42708146763836e-15,2.05375645769746e-12
"1114","Anxa5",5.75992801341011e-07,2.70566759013637,61.2290299740997,5.08068356587713e-15,2.79098883885517e-12
"3457","Gsr",5.66149574175344e-07,2.69006025174504,59.1542071315484,1.45787322188204e-14,7.39253867588187e-12
"3833","Lgals3",5.6341236363009e-07,2.68567724882313,58.5835943152213,1.94834326335532e-14,9.17391342288449e-12
"1467","Cd72",5.55214924331427e-07,2.67243666751884,56.8912571715459,4.60588963450613e-14,2.02413496471096e-11
"3294","Igf1",5.47547724153404e-07,2.65989413310609,55.3308349815075,1.01858149998634e-13,4.1965557799437e-11
"1980","Spp1",5.27342673032036e-07,2.62607680722097,51.3226532495434,7.83660932856804e-13,3.03876051140709e-10
"1683","Hmgn2",5.21716655318109e-07,2.6164553289912,50.2334111644152,1.36503780320249e-12,4.99907177706157e-10
"6496","Ch25h",5.03570511103805e-07,2.58478021882455,46.7997839133899,7.8622077936253e-12,2.72777230397779e-09
"2367","Capg",4.97152497005251e-07,2.57333370307747,45.6144578894973,1.43974947075124e-11,4.74541425559607e-09
"5055","Glrx",4.86705434179114e-07,2.55441705058475,43.7175341785229,3.79357692833235e-11,1.19082186245556e-08
"2977","Bola2",4.81256444488215e-07,2.54440665130822,42.7441203587169,6.2389126088226e-11,1.86940508715266e-08
"2713","Fxyd5",4.78682692574198e-07,2.53964326646719,42.288153110563,7.87682601079641e-11,2.25756682883348e-08
"1144","Rap2b",4.68324378988688e-07,2.52023916186315,40.477790613418,1.98863696336684e-10,5.43175477762552e-08
"3333","Lyz2",4.67925822599472e-07,2.51948494750768,40.4089245960803,2.05997981554366e-10,5.43175477762552e-08
"2662","Axl",4.67000350566694e-07,2.51773140884028,40.2492396835094,2.23542326110445e-10,5.66765774507712e-08
"1207","Cks1b",4.38901936059737e-07,2.46296190550318,35.5515271395374,2.48392235942782e-09,6.0644504419808e-07
"1685","Cd52",4.33664891824286e-07,2.45241025916755,34.7081764419986,3.83019502763767e-09,9.01737343649553e-07
"2746","Il4i1",4.28400368786164e-07,2.44168833568287,33.870603878676,5.8901980647419e-09,1.33890295319926e-06
"2718","Gpi1",4.24055537567304e-07,2.43275080829384,33.1870573183832,8.37058291704296e-09,1.83929608630491e-06
"3390","Cd63",4.1687148127725e-07,2.41779250299867,32.0721178212554,1.4855413075955e-08,3.15893170957082e-06
"4228","Alas1",4.15967455935761e-07,2.4158939634368,31.9331657919648,1.59569263352955e-08,3.28712682507087e-06
"4550","Cxcl16",4.14110628075091e-07,2.41198290375692,31.6487106038483,1.84737212742529e-08,3.69026577696592e-06
"4759","Vat1",4.06888936157392e-07,2.39662186095737,30.5544893364931,3.2461984098348e-08,6.29380585812676e-06
"4649","Ccl6",4.05110415892839e-07,2.39280161042648,30.2879644492317,3.72429699484238e-08,7.01444736857171e-06
"487","Ass1",4.04556845450829e-07,2.39160949870764,30.205245932244,3.88656792412818e-08,7.11673770995916e-06
"3496","Tma16",4.01973853360543e-07,2.3860277741834,29.8207716928231,4.73887436485499e-08,8.44288103057407e-06
"4985","Cks2",4.01355679072988e-07,2.38468719622728,29.7291226491266,4.96828077822365e-08,8.56986626864482e-06
"3051","Ifitm2",4.01089979619449e-07,2.38411043348684,29.6897740241473,5.07015753151013e-08,8.56986626864482e-06
"1498","Txn1",3.96214089187449e-07,2.37346534501819,28.9723082540312,7.34203892072559e-08,1.20996801413558e-05
