"","gene","distance","Z","FC","p.value","p.adj"
"3487","Lpl",0.000477444900261728,7.0089225645978,1608454.61138422,0,0
"2636","Apoe",0.000351155042126908,6.69532954989289,870081.850991037,0,0
"6045","Trem2",0.000101682471682003,5.50028583286284,72954.9024851292,0,0
"1980","Spp1",6.54779249018408e-06,3.21517891190428,302.518617759587,9.31229882195162e-68,1.52791542921171e-64
"3285","Igf1",5.70645890479283e-06,3.1123665073641,229.77124660676,6.68697948295275e-52,8.77732926932377e-49
"495","Ass1",5.55022055598297e-06,3.09174003129618,217.361576617344,3.40334886926699e-49,3.72269643816654e-46
"6471","Ch25h",5.35038426941637e-06,3.06455962662728,201.991103384529,7.67960812850799e-46,6.77229293035356e-43
"3134","Gm49339",5.34847910358325e-06,3.06429600383024,201.84727893573,8.25511861082256e-46,6.77229293035356e-43
"4736","Vat1",5.06670149299624e-06,3.0243146501455,181.139401806904,2.73304586052996e-41,1.9929977758509e-38
"3820","Lgals3",4.99528811925671e-06,3.01385503630946,176.069194605984,3.49724465254413e-40,2.29524166546471e-37
"4995","Cxcl14",4.31320685138782e-06,2.9063173413577,131.269208073892,2.16204440136899e-30,1.28995430965315e-27
"755","Cst7",3.91911196785821e-06,2.83676179738723,108.37712726587,2.22207293631325e-25,1.21528872341865e-22
"1467","Cd72",3.75061671343529e-06,2.805025969992,99.2584894330585,2.21604618251983e-23,1.11876239199059e-20
"2365","Capg",3.73499630354925e-06,2.80201737461964,98.4334359731773,3.36135554448053e-23,1.57575545988755e-20
"3006","Itgax",3.60324776163352e-06,2.77616777633409,91.611615879474,1.05472065970382e-21,4.61475445975746e-19
"1084","Fabp5",3.59906563269587e-06,2.77533297626495,91.3990802598034,1.17431029943711e-21,4.81687405950361e-19
"182","Pdcd1",3.4958922987107e-06,2.75444872826332,86.2339701782346,1.59857941179552e-20,6.17145687036116e-18
"1115","Anxa5",3.36741605848061e-06,2.72762985219406,80.0121332724524,3.72117653999322e-19,1.35678231288753e-16
"213","Rab7b",3.25985093461066e-06,2.70443715832009,74.9821303023799,4.74993835602497e-18,1.64072870687326e-15
"2660","Axl",3.22783431849656e-06,2.69739697152851,73.5164896810105,9.97989368945672e-18,3.27490211419522e-15
"5337","Ank",3.22464676260979e-06,2.69669251947087,73.3713631413706,1.07413252994567e-17,3.31818485249561e-15
"4147","Anxa2",3.22313206656505e-06,2.69635754457826,73.3024506556138,1.11229722314343e-17,3.31818485249561e-15
"3379","Cd63",2.95551611630595e-06,2.63475677225792,61.6352208085466,4.13358123878287e-15,1.15853652938226e-12
"907","Cybb",2.95435363859281e-06,2.63447809518914,61.5867450250018,4.23661080377484e-15,1.15853652938226e-12
"1687","Cd52",2.90747566713072e-06,2.62315472182463,59.6478054698213,1.13445694197734e-14,2.97817636407891e-12
"1145","Rap2b",2.89204919997249e-06,2.61939147115579,59.0165266967769,1.56353225875359e-14,3.94671623623069e-12
"3207","Cstb",2.7976637885871e-06,2.59595332590386,55.2272394786513,1.07370422387879e-13,2.6098966004876e-11
"4017","Aplp2",2.76954974119719e-06,2.58883034459435,54.1228467364088,1.88338611689587e-13,4.41452253042415e-11
"4625","Ccl6",2.7564116274961e-06,2.58547868689087,53.6105717470467,2.44440503116295e-13,5.53194145500774e-11
"2969","Bola2",2.69661586400363e-06,2.57003487196826,51.3098166380104,7.88802020567215e-13,1.72563588699421e-10
"2742","Il4i1",2.6855207845842e-06,2.56713444708845,50.8884623405628,9.77665834136571e-13,2.06981318368978e-10
"3186","Mif",2.65090232352982e-06,2.55801278652965,49.5849345151239,1.89966884616213e-12,3.89610207417564e-10
"407","Vim",2.6356853063057e-06,2.55396829154753,49.0173020061724,2.53714602410418e-12,5.04584525945326e-10
"4529","Cxcl16",2.62414056322877e-06,2.55088539183121,48.5888344608101,3.15661287813262e-12,6.09319127034836e-10
"4000","AB124611",2.53505097183824e-06,2.52666349110718,45.3456555236482,1.65153949002731e-11,3.09687247801407e-09
"1293","Rhoc",2.42860056785031e-06,2.49666586922749,41.6173551726046,1.11003490890423e-10,2.02365530753845e-08
"5300","Adssl1",2.30509920486934e-06,2.46029829136699,37.4922525898352,9.17768097447027e-10,1.62792216852563e-07
"4217","Alas1",2.30184158026898e-06,2.45931479959566,37.3863574669878,9.68975635014473e-10,1.67352291910526e-07
"2711","Fxyd5",2.28735676022564e-06,2.45492610167617,36.9173149364308,1.23246550361786e-09,2.07401823083179e-07
"2669","Pld3",2.19994374982813e-06,2.42788180496023,34.1495861913577,5.10340926774627e-09,8.3734187560547e-07
"2369","Tmsb10",2.17389632270653e-06,2.4196305801484,33.3457084137023,7.7147879048776e-09,1.23493056145638e-06
"2175","Fam20c",2.15632067200617e-06,2.41401113641881,32.8086971866758,1.01688859479176e-08,1.58900948752817e-06
"4112","Pkm",2.15069733271643e-06,2.41220423501413,32.6378006476383,1.11034142701051e-08,1.69469088034186e-06
"1887","Lrpap1",2.02293337602356e-06,2.36992570039316,28.8752299885055,7.7193796656554e-08,1.15141565331128e-05
"3324","Lyz2",2.01754589658278e-06,2.36808910068746,28.7216336717299,8.3564992441987e-08,1.21874898977058e-05
"2492","Usp18",2.00422426754332e-06,2.36352816722932,28.3435944361951,1.01582377161319e-07,1.44931552458639e-05
"1527","Plin2",1.99826792258323e-06,2.36147980248627,28.1753763733491,1.10805305384544e-07,1.54726642391226e-05
"6415","Fth1",1.95670459547463e-06,2.34702691822485,27.0154883404048,2.01831727641967e-07,2.75962839273798e-05
"1037","Tceal9",1.89448338954612e-06,2.32485029729838,25.3246759002632,4.84471174433907e-07,6.4889475873668e-05
"5275","Ifi27l2a",1.8607731928406e-06,2.31255218218388,24.4314461175855,7.70015080035322e-07,0.000101072179405436
"3897","Ctsb",1.82597411462263e-06,2.29963850172277,23.5261859645882,1.23225178403895e-06,0.000158573891346031
"4871","Slc16a3",1.7844904643406e-06,2.28394309875172,22.4693627479189,2.13522178909477e-06,0.000269489626958249
"1877","Gm1673",1.78296697738505e-06,2.28336027664905,22.4310132366752,2.17828147050919e-06,0.000269737005489657
"2516","Pianp",1.72389955311921e-06,2.26040035555176,20.9694097756881,4.66675596417235e-06,0.000567183692460428
"2527","Cd9",1.70451416106582e-06,2.25270617079033,20.5004559266484,5.96170491052737e-06,0.00071139398777802
"2708","Cd22",1.69828313260424e-06,2.25021582337136,20.3508467936563,6.44645541797008e-06,0.000755501551931029
"3533","Tpm4",1.68272639628376e-06,2.24396115865082,19.9797158397556,7.82680535584206e-06,0.000901181114919148
"3043","Ifitm2",1.67285708146027e-06,2.23996533385717,19.7460381003556,8.84448514132827e-06,0.00100079924107823
"2640","Plaur",1.66435473168709e-06,2.23650541602531,19.5458284386309,9.82149680289032e-06,0.00109251666978592
"1805","Isg15",1.62536521171699e-06,2.22042653781812,18.64078565811,1.57808113134446e-05,0.00172615774416895
"1143","P2ry12",1.5988614331431e-06,2.20929147450225,18.0378157348508,2.1656017292069e-05,0.00232997445062047
"2975","Aldoa",1.54393400079765e-06,2.18565996677593,16.8197584773572,4.110310887533e-05,0.00429657234317885
"5309","Crip1",1.54363602989159e-06,2.18552966043725,16.813266859133,4.12439520981666e-05,0.00429657234317885
"1771","Slc2a5",1.52847790086431e-06,2.17886990200799,16.4846837689977,4.90446727247939e-05,0.00502937792332535
"1577","Prdx1",1.52274632516863e-06,2.17633577766936,16.3612851075536,5.23435545177566e-05,0.00528508843538518
"3048","Irf7",1.50442875083482e-06,2.16817731850522,15.9700229963154,6.43534700090443e-05,0.00639927005559633
"1310","Csf1",1.49709882702918e-06,2.16488685432379,15.8147828331303,6.98546006683766e-05,0.00684262304756054
"3044","Ifitm3",1.48823286514973e-06,2.16088685767923,15.628024175573,7.71033906912302e-05,0.00744161107509623
"4509","Cd68",1.46796625090235e-06,2.15165979797408,15.2052804441354,9.64333920210614e-05,0.00917235292513371
"3887","Phf11b",1.4645857879463e-06,2.15010926143954,15.135331010714,0.000100072813960654,0.00938254111462532
"2776","Emp3",1.42821632926901e-06,2.13321454698962,14.3929653817331,0.000148355489944763,0.0136232111885537
"2521","Gapdh",1.42657752644685e-06,2.1324439295125,14.35995399648,0.000150979375994061,0.0136232111885537
"3007","Cox6a2",1.42623674425936e-06,2.13228357989192,14.3530941771593,0.000151530461186107,0.0136232111885537
"6473","Ifit3",1.42045371597156e-06,2.12955704524745,14.2369338423706,0.000161175928040467,0.0142945623747241
"329","Pea15a",1.40672161461508e-06,2.12304134009664,13.9629959971429,0.000186444302118677,0.0163151193973984
"439","Uap1l1",1.40302232582927e-06,2.12127600614461,13.8896549220967,0.000193862597489468,0.016741055622676
"3316","Glipr1",1.39456547769869e-06,2.11722407870244,13.7227171743487,0.000211876128763942,0.0180590004295812
"2509","Tpi1",1.38543305690512e-06,2.11282283401095,13.5435770903031,0.000233087722444605,0.0196122400308198
"1025","Pgk1",1.38333983333366e-06,2.11181025023406,13.5026825582467,0.000238222660139484,0.0197905736518409
"4492","Gas7",1.37377803284519e-06,2.10716667161861,13.3166635594281,0.000263057836745017,0.0215806072819693
