"gene","distance","Z","FC","p.value","p.adj"
"Trem2",7.84940569803633e-06,4.01225173870807,19535922.1756504,0,0
"Ttc32",2.42685083884932e-08,1.7166802154101,186.743946398091,1.63338588036643e-42,6.89370510808651e-39
"Ncoa6",2.40836963591333e-08,1.71427808979149,183.910552974219,6.78636795631392e-42,1.90945773064153e-38
"Fam206a",2.38162503952579e-08,1.71077165112586,179.848632252388,5.2296197536192e-41,1.10358050850749e-37
"Catip",2.32472124025987e-08,1.70318866992671,171.357110902451,3.73909637002552e-39,6.31234249187708e-36
"C2cd3",2.28176469009739e-08,1.69735008751914,165.082894280254,8.77408697829985e-38,1.23436780306382e-34
"1700066B19Rik",2.24236709770384e-08,1.6919054487287,159.431373951469,1.50621726006713e-36,1.81628284174667e-33
"Fxr2",2.0280586800859e-08,1.6606475807445,130.413153772632,3.32777719484457e-30,3.51122091271038e-27
"Xrn1",2.00130936911765e-08,1.65653438829787,126.995642923305,1.8618181558422e-29,1.746178561496e-26
"Exosc9",1.92971185250284e-08,1.64527032872037,118.071557654222,1.67244180538872e-27,1.41170812792862e-24
"Mblac2",1.91414588195675e-08,1.64277049864602,116.174398027421,4.3528507096002e-27,3.34021934906684e-24
"Ckap5",1.81046027357615e-08,1.62562427905351,103.929386425497,2.09656662242361e-24,1.47475990498981e-21
"Epm2aip1",1.77092365203897e-08,1.6188468416772,99.4397538601275,2.02222348041817e-23,1.31304526140075e-20
"Pmvk",1.69044853921073e-08,1.6046095269678,90.6075261277942,1.75192715402226e-21,1.05628693622157e-18
"Armc1",1.64391757424125e-08,1.59608968371721,85.6880856891598,2.10678459388736e-20,1.18555791713355e-17
"Ildr2",1.61409064661626e-08,1.59051064476764,82.6068773809238,1.00108149781119e-19,5.28133057689014e-17
"Isca1",1.57842380432109e-08,1.58371310897387,78.9964559594881,6.22214542851435e-19,3.08947820953468e-16
"Fbxl19",1.52764126026588e-08,1.57378626892404,73.9951276227593,7.83100819205925e-18,3.67230778606512e-15
"Tnfsf9",1.52144356897375e-08,1.57255399866538,73.3959441698959,1.06083854023138e-17,4.71291479899636e-15
"Wwox",1.50336625257715e-08,1.56893311620966,71.6621705215728,2.5538202443357e-17,1.07783983412188e-14
"Zmat1",1.47883652271094e-08,1.56395508973138,69.3426922974185,8.27586854870941e-17,3.32650506760267e-14
"Creb3l1",1.33459529722113e-08,1.53304445042103,56.4754297482584,5.69050085103173e-14,2.18334171288904e-11
"Tcf20",1.33314634744352e-08,1.53271859566237,56.3528672894831,6.05648918093361e-14,2.22273152940264e-11
"Lyrm1",1.31035695649485e-08,1.52755006182031,54.4426932418658,1.6004768579163e-13,5.62901048236312e-11
"4833445I07Rik",1.22939938492763e-08,1.50849356112725,47.923259290692,4.4323216939959e-12,1.49652909676078e-09
"Sorl1",1.21073543595171e-08,1.50393646987243,46.4792242732045,9.25950132832998e-12,3.00613271970898e-09
"Ppm1f",1.185755339803e-08,1.49773476914969,44.5810755752587,2.44039134084961e-11,7.62938641041170e-09
"Tns1",1.1827668249227e-08,1.49698477369288,44.3566392032105,2.73682265206508e-11,8.25054285931476e-09
"Agtpbp1",1.06353755899897e-08,1.46553916606885,35.8646029648782,2.11516743312077e-09,6.15659596654221e-07
"Mbd2",1.04638808992517e-08,1.46075118818063,34.7172997911103,3.81228711302413e-09,1.07265051736789e-06
"Ppp3cb",1.03605769823275e-08,1.45783200167795,34.0351953815297,5.41241511305008e-09,1.47374825707277e-06
"Cul3",1.0201219925262e-08,1.45327579805874,32.9962499683947,9.23368017889627e-09,2.43567169968948e-06
"Tmem131l",1.01526451603341e-08,1.45187393664536,32.6827641036199,1.08495045609615e-08,2.77517175754777e-06
"Cers6",9.63261902315077e-09,1.4364657430809,29.420437858639,5.82599813522179e-08,1.44638971351198e-05
"Tcea1",9.342291381128e-09,1.42752650716426,27.6736969770784,1.43602076102049e-07,3.46327178393542e-05
"Kdm1a",7.16573417878652e-09,1.35093857614695,16.2810252917932,5.46080528036652e-05,0.0128040714921038
