"","TF","D","W"
"34","JUND","O",0.0843229033613002
"130","JUN","O",0.0822963963426727
"408","JUN","O",0.0811452581518609
"370","JUN","O",0.077788182088705
"72","JUN","O",0.0761542225533295
"10","JUND","O",0.075752982776983
"1222","JUN","O",0.0734796246113057
"644","JUN","O",0.0734104325356592
"306","JUND","O",0.0701597927679233
"230","JUND","O",0.0697287474240556
"50","JUND","O",0.0676422301526161
"69","STAT1","I",0.0662298816647933
"38","JUND","O",0.0656174197860112
"600","JUND","O",0.0636559732549533
"1176","JUND","O",0.0634462114423692
"46","MEF2A","O",0.0631381541959912
"144","JUND","O",0.0627205218941199
"226","JUND","O",0.0626742993069685
"33","JUND","I",0.0622956671864921
"974","JUND","O",0.0622641643969013
"407","JUN","I",0.0608408027288538
"24","MEF2C","O",0.0604243349281623
"129","JUN","I",0.060394075631826
"172","MEF2A","O",0.0594340415173843
"124","JUND","O",0.0592770824338983
"606","EGR1","O",0.0592507217163649
"369","JUN","I",0.0592289922460883
"71","JUN","I",0.0571057521652234
"1221","JUN","I",0.0560541037151385
"522","EGR1","O",0.0560271635939376
"643","JUN","I",0.0557007604487813
"988","EGR1","O",0.0545132282422731
"1174","EGR1","O",0.0542972156101898
"202","EGR1","O",0.054210377397657
"136","EGR1","O",0.0519911647562055
"47","CEBPB","I",0.0498662208255768
"70","STAT1","O",0.0495330689493113
"37","JUND","I",0.0485062207373663
"580","IKZF1","O",0.0484921308662647
"9","JUND","I",0.0484616253438049
"305","JUND","I",0.0483769306721449
"681","MAFF","I",0.048276355317255
"354","ZBTB7A","O",0.0482410164173911
"889","MAFF","I",0.0477306487249774
"229","JUND","I",0.0475953042424069
"610","FOS","O",0.0468044269532571
"622","ZBTB7A","O",0.0467291136082374
"890","MAFF","O",0.0465690314630152
"270","FOS","O",0.0464266907007913
"150","FOS","O",0.0463873892515485
"682","MAFF","O",0.0462637043733892
"117","CEBPB","I",0.0460545145346062
"804","FOS","O",0.0459833960320272
"1216","FOS","O",0.0455275632690759
"49","JUND","I",0.0453347828532869
"1175","JUND","I",0.0452036197758626
"599","JUND","I",0.0451312639054384
"167","STAT1","I",0.0447169220221466
"410","POU2F2","O",0.0443514214311759
"225","JUND","I",0.044303261719276
"692","POU2F2","O",0.0442988828729577
"143","JUND","I",0.0440858184737462
"973","JUND","I",0.0440664125408726
"148","ZBTB7A","O",0.0439417487314561
"123","JUND","I",0.0439091498039529
"605","EGR1","I",0.043561827450752
"111","CEBPB","I",0.0434218103323482
"149","FOS","I",0.0429118002934533
"803","FOS","I",0.0422946035891405
"23","MEF2C","I",0.04220780231208
"269","FOS","I",0.0420083631523039
"45","MEF2A","I",0.0418332998253551
"171","MEF2A","I",0.041781360533499
"609","FOS","I",0.0416769270967128
"365","CEBPB","I",0.0410080835031054
"829","STAT1","I",0.0409192840300785
"735","CEBPB","I",0.0406821510383536
"227","CEBPB","I",0.0405853742213229
"587","CEBPB","I",0.0404380724127734
"207","CEBPB","I",0.0403229981900721
"48","CEBPB","O",0.0402959108027134
"1215","FOS","I",0.0401168268278592
"521","EGR1","I",0.0398825992906002
"394","ZMIZ1","O",0.03969814649475
"1123","CEBPB","I",0.0395474996876755
"4","SUZ12","O",0.0393028671013095
"1071","CBX3","I",0.0392951629590647
"987","EGR1","I",0.0386383411576431
"623","CEBPB","I",0.0386277686313745
"736","CEBPB","O",0.0385372560094241
"1203","CEBPB","I",0.038531152680508
"201","EGR1","I",0.0385230642836379
"1173","EGR1","I",0.0384354791874103
"1121","CEBPB","I",0.0379226519941439
"118","CEBPB","O",0.0376037331780757
"20","NR3C1","O",0.0372330589027154
"1072","CBX3","O",0.0371001203250641
"206","SPI1","O",0.036870089525189
"112","CEBPB","O",0.0368425384347071
"624","CEBPB","O",0.0366323975975542
"976","ATF3","O",0.0363139426471019
"684","SPI1","O",0.0363034120755824
"135","EGR1","I",0.0362559567566814
"366","CEBPB","O",0.0360628436000731
"579","IKZF1","I",0.0359640428909008
"168","STAT1","O",0.0357709340929634
"588","CEBPB","O",0.0354992150974746
"25","GABPA","I",0.0352967714129185
"1204","CEBPB","O",0.035256095385611
"352","NR3C1","O",0.0352095098749155
"830","STAT1","O",0.0351101528087494
"1124","CEBPB","O",0.0349941272727152
"3","SUZ12","I",0.034910688634888
"228","CEBPB","O",0.0348765724914076
"176","ATF3","O",0.0347307592371017
"208","CEBPB","O",0.0346308022628856
"1122","CEBPB","O",0.0346282540623547
"1116","ZMIZ1","O",0.0346061217644682
"372","ATF3","O",0.0344228071626659
"286","SPI1","O",0.0343539860518951
"344","ATF3","O",0.0340827524887091
"353","ZBTB7A","I",0.0340215264285161
"26","GABPA","O",0.0337914287379609
"621","ZBTB7A","I",0.0336669487659585
"543","HMGN3","I",0.0334352476567999
"35","ZZZ3","I",0.0333833441279243
"544","HMGN3","O",0.0333137456394195
"826","ZMIZ1","O",0.0332976627462512
"975","ATF3","I",0.0331125957412915
"388","ATF3","O",0.0327937628060065
"58","ZZZ3","O",0.0323386498342031
"27","CBX3","I",0.0322106763893383
"420","SPI1","O",0.0321109669062036
"409","POU2F2","I",0.0314828698998745
"411","SAP30","I",0.0313789967038918
"691","POU2F2","I",0.0311431482041711
"147","ZBTB7A","I",0.0311019371839147
"371","ATF3","I",0.0308106872482345
"457","SAP30","I",0.0307701196548686
"512","NFATC1","O",0.0307686976383475
"774","NCOR1","O",0.0307419384410106
"57","ZZZ3","I",0.0306819034909658
"343","ATF3","I",0.0306126878304069
"28","CBX3","O",0.0304005468855551
"36","ZZZ3","O",0.0302049022884781
"175","ATF3","I",0.0300984970151341
"387","ATF3","I",0.0300242483282565
"564","SUZ12","O",0.0299941949268173
"194","SUZ12","O",0.0299401096355905
"854","ETS1","O",0.0299229961135751
"12","EP300","O",0.0296858996116879
"563","SUZ12","I",0.0295276411898511
"1229","IRF1","I",0.0292949527232055
"105","RELA","I",0.0292757772546514
"393","ZMIZ1","I",0.0289959345603518
"193","SUZ12","I",0.028428803438541
"1109","GABPA","I",0.0283499328652634
"592","CCNT2","O",0.028340334679931
"1169","GABPA","I",0.028316404183734
"166","CEBPZ","O",0.0280700254869899
"1141","GABPA","I",0.0280185041425636
"412","SAP30","O",0.027961320974368
"1028","ETS1","O",0.0278832277060823
"347","GABPA","I",0.0277979265545835
"903","GABPA","I",0.0277450653366537
"1142","GABPA","O",0.0276700837554952
"1135","GABPA","I",0.0276577636971336
"925","GABPA","I",0.027389046611831
"40","ETS1","O",0.0273736860477749
"1170","GABPA","O",0.0273332106795766
"1130","FLI1","O",0.0270865129946503
"1136","GABPA","O",0.02707455747935
"106","RELA","O",0.0270124684798035
"1131","GABPA","I",0.0270027816926428
"853","ETS1","I",0.0269935602633664
"526","RNF2","O",0.0268673384151857
"989","GABPA","I",0.026808257491437
"1110","GABPA","O",0.0267410764412979
"1132","GABPA","O",0.0267119850208482
"351","NR3C1","I",0.0266662648238345
"444","HDAC1","O",0.0265440473270003
"458","SAP30","O",0.0265113922081331
"926","GABPA","O",0.0264566309559677
"683","SPI1","I",0.0263831774421061
"52","NR3C1","O",0.0263763378763908
"948","CHD7","O",0.0263344330808814
"39","ETS1","I",0.0262908603541235
"88","NFIC","O",0.0261402747891753
"641","WRNIP1","I",0.0260974272710703
