"","TF","D","W"
"10","JUND","O",0.0914677310412802
"34","JUND","O",0.0907120151199674
"130","JUN","O",0.0811291270708018
"408","JUN","O",0.078122197824239
"306","JUND","O",0.0767096663233045
"230","JUND","O",0.0766910654461504
"50","JUND","O",0.0750742516892875
"226","JUND","O",0.0750272336606034
"370","JUN","O",0.0738943718210251
"72","JUN","O",0.0735589702365884
"24","MEF2C","O",0.0722908528479388
"1176","JUND","O",0.0695361916696049
"600","JUND","O",0.069017865272148
"974","JUND","O",0.0686141341483461
"644","JUN","O",0.0679282946095322
"1222","JUN","O",0.0675215926328811
"144","JUND","O",0.0671921057796697
"172","MEF2A","O",0.0667940728385343
"38","JUND","O",0.0656174197860112
"46","MEF2A","O",0.0619830903401523
"522","EGR1","O",0.0619770768389988
"124","JUND","O",0.0611423294051219
"202","EGR1","O",0.06107212877537
"1174","EGR1","O",0.0610126766586564
"988","EGR1","O",0.0597376761881042
"136","EGR1","O",0.0586289006248236
"606","EGR1","O",0.0582743037787085
"684","SPI1","O",0.0572287623730076
"206","SPI1","O",0.0561448710363315
"622","ZBTB7A","O",0.0532504756139354
"69","STAT1","I",0.0531134391594355
"47","CEBPB","I",0.0521574534666091
"410","POU2F2","O",0.051219365736343
"354","ZBTB7A","O",0.050409215417993
"692","POU2F2","O",0.049261034613531
"111","CEBPB","I",0.0484178664273916
"148","ZBTB7A","O",0.0483816892557144
"580","IKZF1","O",0.0470643137093273
"117","CEBPB","I",0.0466103981701821
"286","SPI1","O",0.045136042319768
"3","SUZ12","I",0.0441542262158804
"150","FOS","O",0.0430480615544954
"207","CEBPB","I",0.0426939142297387
"20","NR3C1","O",0.0415866880336707
"365","CEBPB","I",0.0415437228166155
"1123","CEBPB","I",0.0409082629716111
"167","STAT1","I",0.0408598761296491
"227","CEBPB","I",0.0405831855486536
"420","SPI1","O",0.0403466232485404
"1116","ZMIZ1","O",0.039781269068527
"352","NR3C1","O",0.0393451660567715
"587","CEBPB","I",0.0390622856020794
"610","FOS","O",0.0390162942351288
"270","FOS","O",0.0390006786251222
"394","ZMIZ1","O",0.0387845114935688
"1216","FOS","O",0.0385291235329043
"735","CEBPB","I",0.0384691764413429
"804","FOS","O",0.0375995118803887
"1203","CEBPB","I",0.0372978948349653
"829","STAT1","I",0.0370663948741811
"52","NR3C1","O",0.036760497791776
"1121","CEBPB","I",0.0367273522786308
"826","ZMIZ1","O",0.0363574606304093
"774","NCOR1","O",0.0350495058181931
"1071","CBX3","I",0.0337513940891379
"166","CEBPZ","O",0.0336639586885273
"344","ATF3","O",0.033366381679664
"1130","FLI1","O",0.0333409064117802
"623","CEBPB","I",0.0328425117733968
"176","ATF3","O",0.0317006873324285
"388","ATF3","O",0.031700586953669
"372","ATF3","O",0.0314842906688664
"105","RELA","I",0.0310460450761646
"576","CHD7","O",0.0309116173361666
"948","CHD7","O",0.0308295558870389
"25","GABPA","I",0.0297432116911691
"976","ATF3","O",0.0296416134700086
"592","CCNT2","O",0.0280119931891644
"324","YY1","O",0.0279667412059344
"448","YY1","O",0.0278818341801785
"1050","YY1","O",0.0278054781644567
"1229","IRF1","I",0.0277655729147926
"1158","YY1","O",0.0277010663428492
"296","YY1","O",0.0275659015130564
"668","YY1","O",0.0274165713966898
"1178","YY1","O",0.026813684117667
"651","EP300","I",0.0267554433965359
"512","NFATC1","O",0.026637067192251
"73","TCF7L2","I",0.0264700004995948
"256","YY1","O",0.0261695645271566
"411","SAP30","I",0.0260739203880484
"200","YY1","O",0.0260584527945834
"204","YY1","O",0.0259923285340156
"780","YY1","O",0.0259521734531842
"193","SUZ12","I",0.0254527805305828
"762","CTCF","O",0.0252819586815775
"563","SUZ12","I",0.0251986630183684
"968","RELA","O",0.0251441438525825
"106","RELA","O",0.0251296446830135
"122","CTCF","O",0.0251000618553328
"290","RELA","O",0.0250965098899153
"834","CTCF","O",0.024840524799537
"1126","CTCF","O",0.0248339206345359
"998","ELF1","O",0.0247903647812568
"400","CTCF","O",0.0247874476112393
"484","CTCF","O",0.024772516482845
"754","CTCF","O",0.0247672637863616
"694","CTCF","O",0.0247671719017999
"252","ELF1","O",0.0247458095019729
"1218","CTCF","O",0.0247396245516891
"476","CTCF","O",0.0247090130808817
"1232","CTCF","O",0.024620939968367
"316","CTCF","O",0.024595048702298
"936","ELF1","O",0.0245770467810924
"640","CTCF","O",0.0245707476206493
"778","ELF1","O",0.0245577693422619
"232","ELF1","O",0.0245379091914103
"322","CTCF","O",0.024519227319137
"1224","CTCF","O",0.0245059846164579
"486","CTCF","O",0.0244848249635123
"656","CTCF","O",0.0244545381241974
"88","NFIC","O",0.0244424820148961
"944","CTCF","O",0.0244180514127348
"300","CTCF","O",0.0243719590772055
"810","RELA","O",0.0243663197097625
"788","CTCF","O",0.0243638670775466
"92","NFIC","O",0.0243593769481721
"1162","CTCF","O",0.0243577985860335
"942","CTCF","O",0.024342044852049
"596","CTCF","O",0.0243419881857681
"714","CTCF","O",0.0243384462231079
"1010","CTCF","O",0.024334709939714
"506","CTCF","O",0.0243335869788115
"272","CTCF","O",0.0243325087818286
"650","CTCF","O",0.0243325087818286
"1146","CTCF","O",0.0243325087818286
"1220","CTCF","O",0.0243325087818286
"760","CTCF","O",0.0243292741908798
"532","CTCF","O",0.024311100517264
"958","CTCF","O",0.024304788875069
"562","CTCF","O",0.0242929268436482
"593","EP300","I",0.0242825975628104
"457","SAP30","I",0.0241744321559293
"220","CTCF","O",0.0241690491297096
"182","CTCF","O",0.0241686038157352
"374","CTCF","O",0.0241505488520974
"1190","CTCF","O",0.0241457297662999
"598","CTCF","O",0.0241156407759862
"250","CTCF","O",0.0240783841787919
"756","CTCF","O",0.0240730056449503
"492","CTCF","O",0.024064348928043
"578","CTCF","O",0.0240366844964214
"386","CTCF","O",0.0240344094116278
"362","CTCF","O",0.0240316256834908
"488","CTCF","O",0.0240303705139143
"634","CTCF","O",0.0240188514020447
"426","CTCF","O",0.024014431482238
"1092","CTCF","O",0.024007332290175
"584","CTCF","O",0.024003620652659
"1212","CTCF","O",0.0239848317061464
"360","CTCF","O",0.0239825534188854
"478","CTCF","O",0.0239741248334936
"1144","CTCF","O",0.0239711687169434
"628","CTCF","O",0.0239666143872091
"378","CTCF","O",0.0239657247107234
"608","CTCF","O",0.0239648350342378
"556","CTCF","O",0.0239639453577521
"474","CTCF","O",0.0239426121716783
"524","CTCF","O",0.0239205494904568
"406","CTCF","O",0.0238662908378069
"940","CTCF","O",0.0238624571114033
"1014","CTCF","O",0.0238477599428392
"548","CTCF","O",0.0238213184224865
"710","CTCF","O",0.0238208546110327
"262","CTCF","O",0.0238206227053058
"536","CTCF","O",0.0238206227053058
"502","CTCF","O",0.0238203907995788
"480","CTCF","O",0.0238087542331987
"1186","CTCF","O",0.0238064631375164
"520","CTCF","O",0.0238010831963341
"438","CTCF","O",0.0237914293947117
"396","CTCF","O",0.023790004774565
"500","CTCF","O",0.0237857130061653
"416","CTCF","O",0.0237817755930893
"434","CTCF","O",0.0237817755930893
"468","CTCF","O",0.0237817755930893
"590","CTCF","O",0.0237797928283315
"466","CTCF","O",0.0237738445340582
"660","CTCF","O",0.0237738445340582
"876","CTCF","O",0.0237738445340582
"308","CTCF","O",0.023770614896135
"748","CTCF","O",0.0237699565772772
"570","CTCF","O",0.0237655883608714
"566","CTCF","O",0.0237591598831928
"264","CTCF","O",0.0237578893199905
"292","ELF1","O",0.0237468382217047
"442","CTCF","O",0.0237298506234862
"450","CTCF","O",0.0237071884308774
"616","CTCF","O",0.0237015179370576
"1156","CTCF","O",0.0236973878579755
"602","CTCF","O",0.0236865912552178
"614","CTCF","O",0.023674499820288
"1138","CTCF","O",0.0236715387379686
"554","CTCF","O",0.0236700795603416
"328","CTCF","O",0.023655167781571
"288","CTCF","O",0.0236059498479308
"572","CTCF","O",0.0236008276654946
"842","CTCF","O",0.0235765063442972
"992","RELA","O",0.0235747922308772
"508","CTCF","O",0.0235499968102761
"632","ELF1","O",0.0235187086239386
"432","CTCF","O",0.0235051517082291
"504","CTCF","O",0.023479221566922
"452","CTCF","O",0.0234725026616859
"516","CTCF","O",0.0234657639626146
"364","CTCF","O",0.0234612780945122
"654","CTCF","O",0.0234531716937424
"440","CTCF","O",0.0234518627157045
"430","NFIC","O",0.0234453627787952
"314","CTCF","O",0.0234357069941995
"160","RELA","O",0.0233683256319287
"952","RELA","O",0.0231578088447717
"137","REST","I",0.0231441586777757
"982","RELA","O",0.023138538742559
"490","CTCF","O",0.0231208331735128
"828","CHD2","O",0.0230231668205511
"278","NFIC","O",0.0229834492034839
"1074","CHD2","O",0.0228307501310744
"966","RELA","O",0.0227865901945121
"303","ZKSCAN1","I",0.0224593865924479
"444","HDAC1","O",0.022258521255405
"346","USF1","O",0.0222221427396213
"1020","RELA","O",0.0220922817061157
"55","ZKSCAN1","I",0.0219353223252581
"728","CHD2","O",0.0219204606035755
"745","TCF3","I",0.0218889239377461
"664","CHD4","O",0.0217978884440815
"978","USF1","O",0.0217839641616301
"750","CHD2","O",0.0217206907034944
"335","CREBBP","I",0.0217131184502976
"462","ETS1","O",0.0217083360652283
"873","USF2","I",0.0216535491966874
"265","EP300","I",0.0215629172267518
"835","USF2","I",0.0215240646288029
"716","CHD2","O",0.0214540022108512
"838","CHD1","O",0.0213904536888453
"1062","USF1","O",0.021192866514619
"1086","USF1","O",0.021192866514619
"698","CHD2","O",0.0211700229065885
"424","CTBP2","O",0.0211207057764968
"921","USF2","I",0.0210913932881877
"27","CBX3","I",0.021003636773058
"12","EP300","O",0.0209257096483275
"356","CHD1","O",0.0208693907041377
"382","USF1","O",0.0208236942119151
"1037","POLR2A","I",0.0207762742273681
"546","STAT3","O",0.0207336865525554
"1208","STAT3","O",0.02067788119766
"67","REST","I",0.020669181537539
"881","POLR2A","I",0.0206081756456709
"550","CHD2","O",0.0205748115485941
"1028","ETS1","O",0.020530381592255
"552","KDM5A","O",0.0205194311913428
"663","CHD4","I",0.020470996705625
"731","USF2","I",0.0204646554245665
"1076","CHD1","O",0.0204596563230298
"470","TAF7","O",0.0204523705784035
"59","REST","I",0.0204289019207259
"1160","USF1","O",0.0204011525509353
"670","MAZ","O",0.0203526400869757
"141","CHD1","I",0.0203039946222363
"1154","CHD1","O",0.020282766681743
"1090","USF1","O",0.020239072221534
"820","STAT3","O",0.0202145565233983
"707","POLR2A","I",0.020172252886658
"414","ETS1","O",0.0201555636202371
"142","CHD1","O",0.0201272593918717
"1105","USF2","I",0.0201064152538958
"404","BACH1","O",0.0200787709357428
"794","USF1","O",0.0200666887693952
"798","CHD1","O",0.0200315928625406
"994","MAZ","O",0.0200254611548456
"559","NFYB","I",0.0200222107999063
"1103","POLR2A","I",0.0200208117290786
"1150","USF1","O",0.0199661855730404
"909","POLR2A","I",0.0199515413346525
"1029","POLR2A","I",0.0199442007848767
"1003","MAZ","I",0.0199229759704493
"401","KDM5B","I",0.0199158432706925
"1066","USF1","O",0.0198726645478212
"907","POLR2A","I",0.0198418393602727
"637","KDM1A","I",0.0198229459346325
"630","MAZ","O",0.0197909981769408
"743","NFYB","I",0.019789871798908
"574","MAZ","O",0.0197848207361562
"40","ETS1","O",0.0197215387593081
"309","POLR2A","I",0.0196931352239458
"155","IRF3","I",0.0196575188986958
"771","USF2","I",0.0196379380180552
"752","MAZ","O",0.0196304765434279
"757","NFYB","I",0.0196192560719754
"1095","USF2","I",0.0195459324398172
"979","POLR2A","I",0.0195096136030352
"1067","POLR2A","I",0.0195092704866042
"922","USF2","O",0.0195088604907202
"689","HCFC1","I",0.0194831463045246
"1106","USF2","O",0.0194200541187609
"100","EP300","O",0.0193424856683108
"878","EP300","O",0.0192550526629457
"1239","POLR2A","I",0.0192396760653353
"869","POLR2A","I",0.0192314648670811
"917","ZKSCAN1","I",0.0191973839569722
"919","POLR2A","I",0.019179986678466
"874","USF2","O",0.0191732799750716
"983","POLR2A","I",0.0191607433947949
"253","POLR2A","I",0.0191272252354232
"893","POLR2A","I",0.0190745513490887
"298","MAX","O",0.0190664833043954
"494","MAZ","O",0.0190479188046778
"1245","POLR2A","I",0.0190460514955769
"733","MXI1","I",0.0190330699441659
"770","BACH1","O",0.0190280314982252
"836","USF2","O",0.019014824867161
"1004","MAZ","O",0.0190126112497905
"1039","POLR2A","I",0.0190015670407034
"1225","POLR2A","I",0.0189836701861108
"772","USF2","O",0.0189572406669461
"493","MAZ","I",0.0189499661195641
"1096","USF2","O",0.0189414396123962
"619","IRF3","I",0.0189384452342946
"573","MAZ","I",0.0189350480235565
"645","POLR2A","I",0.0189269095610046
"1241","POLR2A","I",0.0189140096049414
"331","PRDM1","I",0.0189067008073293
"861","POLR2A","I",0.018861541466893
"435","TCF7L2","I",0.0188439148589878
"537","MXI1","I",0.0188121626766999
"723","MAFK","I",0.0187505830789178
"115","MAFK","I",0.0187341134006618
"1193","POLR2A","I",0.0186940327332673
"699","POLR2A","I",0.0186418732454871
"1237","POLR2A","I",0.0186350164803059
"153","REST","I",0.0186263782013361
"854","ETS1","O",0.0186208299833487
"905","POLR2A","I",0.0185549355564675
"1181","SETDB1","I",0.0185228719192401
"1011","POLR2A","I",0.0184931768296609
"368","EP300","O",0.0184847581137914
"1187","POLR2A","I",0.0184797184838756
"134","TAF7","O",0.0184610039709133
"214","EP300","O",0.0184550657947128
"902","MAX","O",0.0184290534686108
"1099","POLR2A","I",0.0184262619655343
"765","CUX1","I",0.018402593393716
"1206","MAX","O",0.0183996321397089
"1000","MAX","O",0.0183987565356884
"497","POLR2A","I",0.0183880714487944
"859","POLR2A","I",0.0183873681177682
"1044","MAX","O",0.0183778251044812
"895","POLR2A","I",0.018370892022476
"1031","POLR2A","I",0.0183619488565075
"839","POLR2A","I",0.0183563433936492
"751","MAZ","I",0.0183525184089561
"851","POLR2A","I",0.0183506336491508
"443","HDAC1","I",0.0183287396703596
"233","ZC3H11A","I",0.018317606357506
"1213","POLR2A","I",0.0182665849450962
"1017","UBTF","I",0.0182625236864313
"732","USF2","O",0.0182493577576981
"594","EP300","O",0.018225261697852
"849","ARID3A","I",0.0181815593890221
"213","EP300","I",0.0181806593057633
"931","POLR2A","I",0.0181541952595377
"629","MAZ","I",0.0181515318769008
"1133","POLR2A","I",0.0181213805975097
"703","MXI1","I",0.0180909171213575
"1151","POLR2A","I",0.018078534999001
"811","POLR2A","I",0.0180740639100319
"1023","POLR2A","I",0.0180483342203345
"927","POLR2A","I",0.0180330226733249
"1025","UBTF","I",0.0180134888821955
"585","MXI1","I",0.0179943077407308
"831","ARID3A","I",0.0179663227779984
"855","POLR2A","I",0.0179425524984461
"347","GABPA","I",0.0179054089682425
"197","BCLAF1","I",0.0178948582523598
"15","RXRA","I",0.0178694124694678
"1169","GABPA","I",0.0178425640955017
"194","SUZ12","O",0.017819910386298
"923","MXI1","I",0.0178079453191756
"266","EP300","O",0.0178009259321264
"1201","POLR2A","I",0.0177857243483185
"1127","POLR2A","I",0.0177853279859843
"695","POLR2A","I",0.0176652459965162
"1163","UBTF","I",0.0176348098408535
"913","TBL1XR1","I",0.0176284475138966
"1098","EP300","O",0.0175737264051014
"259","SP1","I",0.0175711335605895
"899","CUX1","I",0.0175640845201173
"1228","EP300","O",0.0175566622124976
"198","BCLAF1","O",0.0175479294612405
"719","E2F4","I",0.0175448866420665
"1057","MXI1","I",0.0175121990682421
"1119","REST","I",0.0174986160434403
"625","MXI1","I",0.017478504389661
"173","REST","I",0.0174355591387624
"736","CEBPB","O",0.0174268131980633
"1102","EP300","O",0.0173688635172517
"1109","GABPA","I",0.0173686232064937
"857","POLR2A","I",0.0173280573691445
"96","E2F4","O",0.0173227047788911
"1088","MAX","O",0.0173145753195716
"99","EP300","I",0.0172813606673966
"238","GTF3C2","O",0.0172811566693955
"963","E2F4","I",0.0172773740471096
"1199","TBL1XR1","I",0.0172771740803988
"669","MAZ","I",0.0172749622980193
"81","TCF12","I",0.0172506732298497
"98","REST","O",0.0172304510067809
"174","REST","O",0.0172304510067809
"274","MAX","O",0.0172175816309003
"89","ZC3H11A","I",0.0171981063052193
"1048","EP300","O",0.0171927652187634
"776","TRIM28","O",0.0171750595417761
"533","TCF7L2","I",0.0171557092190586
"925","GABPA","I",0.017100366749544
"950","GTF2B","O",0.0170498561413532
"489","CTCF","I",0.0169760216622635
"196","E2F4","O",0.0169647532518966
"1172","EP300","O",0.0169540982889965
"446","BCLAF1","O",0.0169405935845635
"1234","EP300","O",0.0169377126490544
"903","GABPA","I",0.0169291661329318
"995","E2F4","I",0.016905501952489
"993","MAZ","I",0.0168827289808654
"565","CTCF","I",0.0168427037134048
"417","KDM5B","I",0.0168370357786178
"815","IRF3","I",0.0168348001481816
"1111","REST","I",0.0168048541208817
"515","CTCF","I",0.0167963611546909
"1054","REST","O",0.0167932211103028
"929","GTF2F1","I",0.0167845321828313
"635","MXI1","I",0.0167831224909751
"1112","REST","O",0.0167806340198265
"1210","MAX","O",0.0167801456153468
"652","EP300","O",0.0167683202138976
"1064","E2F4","O",0.0167594514829946
"7","RXRA","I",0.0167335519366396
"611","MXI1","I",0.016732433515314
"996","E2F4","O",0.0167039481486288
"301","SP1","I",0.0166578829376697
"582","REST","O",0.0166574915566397
"390","MAX","O",0.0166420618510096
"366","CEBPB","O",0.0166357170616914
"1075","CHD1","I",0.0166235676508416
"157","ZEB1","I",0.0166175537729458
"746","TCF3","O",0.0166032585747243
"154","REST","O",0.0165902861533144
"847","E2F4","I",0.0165291342282592
"1063","E2F4","I",0.016525285645565
"375","SP1","I",0.0164960689596171
"140","REST","O",0.0164483497426499
"4","SUZ12","O",0.0164476586276467
"128","GTF3C2","O",0.0164350802756867
"848","E2F4","O",0.0164303179948135
"1168","MAX","O",0.0164165968795885
"1148","MAX","O",0.0164077390401904
"1141","GABPA","I",0.0164041410117012
"813","GTF2F1","I",0.0163870079953712
"567","GTF2F1","I",0.0163808502608714
"1180","MAX","O",0.0163625760017544
"255","YY1","I",0.0163263734631722
"445","BCLAF1","I",0.0163184209504204
"342","EP300","O",0.0162953330581886
"514","REST","O",0.0162752207092626
"1047","EP300","I",0.0162725641872866
"1120","REST","O",0.0162316623612588
"964","E2F4","O",0.016200700318111
"1171","EP300","I",0.016189182825734
"823","RCOR1","I",0.0161471307828087
"564","SUZ12","O",0.0161337325670048
"722","MAX","O",0.0160970898089807
"1042","MAX","O",0.0160823772455787
"937","KAT2B","I",0.0160262518324072
"1131","GABPA","I",0.0160151689972751
"138","REST","O",0.016001857605364
"29","REST","I",0.0159996455295024
"6","REST","O",0.0159752358857729
"989","GABPA","I",0.0159558480857751
"139","REST","I",0.0159553130935462
"1079","RCOR1","I",0.0159406493741464
"350","TCF3","O",0.0159199235191258
"275","MAFK","I",0.0159090263003711
"1015","PBX3","I",0.0159081040907358
"561","CTCF","I",0.01587908665191
"685","TRIM28","I",0.0158776594076193
"30","REST","O",0.0158715666876986
"58","ZZZ3","O",0.0158579321950207
"243","PBX3","I",0.0157834067004944
"795","ATF2","I",0.0157735398059457
"609","FOS","I",0.0157366897068846
"1135","GABPA","I",0.0157105672169578
"145","SMARCC2","I",0.0157105375148626
"545","STAT3","I",0.0156751423208755
"68","REST","O",0.0156702589264117
"720","E2F4","O",0.0156458170795126
"391","SP4","I",0.0156261042510433
"14","REST","O",0.0155900021598212
"36","ZZZ3","O",0.0155794140119943
"781","RCOR1","I",0.0155697273211634
"534","TCF7L2","O",0.0155546283757637
"767","RCOR1","I",0.0155523022683113
"110","REST","O",0.0155294635175611
"319","RCOR1","I",0.0155261252793618
"1197","RCOR1","I",0.0155102208115217
"783","TAF1","I",0.0155019993911209
"156","IRF3","O",0.0154968122012458
"181","CTCF","I",0.0154377559614546
"509","SETDB1","I",0.0154144081322272
"349","TCF3","I",0.0154005427354636
"877","EP300","I",0.0153382425237219
"1053","REST","I",0.0153257323387905
"307","CTCF","I",0.0153235962674835
"13","REST","I",0.0153159190825528
