"","gene","distance","Z","FC","p.value","p.adj"
"7115","Trem2",0.000138213511998342,3.19415601528294,5471989.35915138,0,0
"2363","Spp1",6.22026785900056e-07,1.6310003018444,110.831296283558,6.44265427881219e-26,2.44820862594863e-22
"4090","Lpl",5.01777998341441e-07,1.5790413990281,72.1219513485889,2.02300811365694e-17,4.16552922162484e-14
"3687","Gm49339",5.01090463004655e-07,1.57871198756408,71.9244440099597,2.23596902839084e-17,4.16552922162484e-14
"1332","Anxa5",4.99690021307765e-07,1.57803969565536,71.522978630192,2.74047975106897e-17,4.16552922162484e-14
"3858","Igf1",4.92380408044908e-07,1.57450171990643,69.4457650947082,7.85448591964091e-17,9.94901549821182e-14
"5585","Vat1",4.88211087625671e-07,1.57246157198462,68.2746552433728,1.4223744631954e-16,1.54429227432644e-13
"252","Rab7b",4.79709937061048e-07,1.56825062742549,65.9176428248986,4.70164111901374e-16,4.46655906306305e-13
"4487","Lgals3",4.78821586793017e-07,1.56780656216554,65.6737298645371,5.32104218887741e-16,4.49332451505203e-13
"909","Cst7",4.69756289701453e-07,1.56323032459321,63.2105321544205,1.8575251694042e-15,1.41171912874719e-12
"3770","Cstb",4.44075174417709e-07,1.54980164295371,56.4881340706367,5.65385329413889e-14,3.90629863958687e-11
"3532","Itgax",4.41077769923387e-07,1.54818709560668,55.7281440115087,8.32183388808003e-14,5.27049479578402e-11
"2809","Capg",4.39848842308415e-07,1.54752215926652,55.4180379377989,9.74382118208801e-14,5.69638776798991e-11
"3967","Cd63",4.31413476720196e-07,1.54291043616321,53.3128199092473,2.84444171895406e-13,1.54412550457506e-10
"4884","Anxa2",4.05950675964541e-07,1.52845804159586,47.2053016247184,6.39272990156174e-12,3.23898315012462e-09
"4725","Aplp2",4.02297543857066e-07,1.52631517201922,46.3595275402729,9.84277316249594e-12,4.67531725218557e-09
"3116","Apoe",3.98267110949812e-07,1.52392970402405,45.4352713943079,1.57767481955203e-11,6.79311553807022e-09
"5350","Cxcl16",3.98098861401087e-07,1.52382963159024,45.3968908754007,1.60889578533242e-11,6.79311553807022e-09
"1742","Cd72",3.94265592678754e-07,1.52153884395938,44.5268523387209,2.50892373425638e-11,1.00356949370255e-08
"2012","Cd52",3.92152564287057e-07,1.52026713659412,44.0508565573974,3.19953826976002e-11,1.21582454250881e-08
"3748","Mif",3.63403050298497e-07,1.50229457268522,37.8286964273276,7.72372303785821e-10,2.7952521470344e-07
"2814","Tmsb10",3.4205522189163e-07,1.48806443472001,33.5148043811454,7.07236213575285e-09,2.44317964689644e-06
"4841","Pkm",3.34607120322554e-07,1.48290297605092,32.071154640094,1.48627800674941e-08,4.91117950056326e-06
"5462","Ccl6",3.09882248023835e-07,1.46496051607679,27.5066457857681,1.56555624020057e-07,4.95759476063514e-05
"7540","Fth1",3.09361085042801e-07,1.46456804722753,27.4142016986259,1.64220797095951e-07,4.99231223171691e-05
"5521","Atp5g1",3.02290736627626e-07,1.45918144965093,26.1754355519835,3.11763294804676e-07,8.99195130452899e-05
"2377","Atp5k",3.02000558408976e-07,1.45895785953951,26.1252064530162,3.19979461126059e-07,8.99195130452899e-05
"3145","Axl",3.01612901901939e-07,1.45865884517221,26.0581793833261,3.31282416482647e-07,8.99195130452899e-05
"3907","Lyz2",3.00899153133241e-07,1.45810735925167,25.934995085617,3.5310942847725e-07,9.25390226354172e-05
"1084","Cybb",2.92218763079169e-07,1.45130033278724,24.4602243107549,7.5859867018253e-07,0.000192178329779574
"6249","Adssl1",2.91072091258641e-07,1.45038698700993,24.2686362039168,8.37924054285526e-07,0.000205426542340968
"6259","Crip1",2.84074424318896e-07,1.44473896990634,23.1157777192101,1.5253391429875e-06,0.000362268046459532
"4143","Tpm4",2.83371907895022e-07,1.44416476043885,23.0015883919652,1.61867604028983e-06,0.000372785997157658
"7607","Ch25h",2.82470436914168e-07,1.44342597419094,22.8554745249375,1.74651157380716e-06,0.000390396704733366
"4576","Ctsb",2.81009808873644e-07,1.44222423220728,22.6197186259347,1.97447699577276e-06,0.000428743576224943
"3497","Aldoa",2.73181138037623e-07,1.43568154389269,21.3769459409704,3.77280624284633e-06,0.000796481317934226
"3155","Pld3",2.72203574727848e-07,1.43485224327013,21.2242272852151,4.08567260481647e-06,0.000839219237746087
"3897","Glipr1",2.71342437949182e-07,1.4341193938188,21.0901507768575,4.38174512656281e-06,0.000876349025312562
"3188","Tyrobp",2.70100452166265e-07,1.43305858094131,20.8975253922623,4.84520124665997e-06,0.000944193063451686
"2987","Cd9",2.69464622004038e-07,1.43251372968175,20.7992535279099,5.10028390625117e-06,0.000969053942187722
"1116","Ndufa1",2.67756902298336e-07,1.43104437151337,20.5364602610475,5.85061556560838e-06,0.00108450434874692
"5460","Ccl5",2.65682825625317e-07,1.4292479254309,20.2195367907095,6.90441921387274e-06,0.00124937109584364
"1295","Fabp5",2.64860287627882e-07,1.42853184534657,20.0945336599771,7.37070402216044e-06,0.0013027290829865
"584","Ass1",2.59018746563005e-07,1.42338551019021,19.2179311872324,1.16612878780967e-05,0.00201422245167125
"3533","Cox6a2",2.56253616927258e-07,1.4209113874429,18.8098030041229,1.44422904324388e-05,0.002426048094002
"1880","Prdx1",2.5603792072188e-07,1.42071734006584,18.7781508023166,1.46839753058016e-05,0.002426048094002
"1975","Fabp3",2.55467398592785e-07,1.42020333957121,18.6945583843147,1.53419693389235e-05,0.00245816138077499
"1466","S100a1",2.55071892399486e-07,1.41984638390672,18.6367185954914,1.58145112429885e-05,0.00245816138077499
"2428","Cox6a1",2.55043738966564e-07,1.41982095483931,18.6326047854918,1.58486720602598e-05,0.00245816138077499
"200","Cops9",2.50946067141837e-07,1.41609143556315,18.0386913087069,2.16460598307489e-05,0.00329020109427383
"1818","Plin2",2.48676410360463e-07,1.41400104023164,17.7138685909772,2.56747891656303e-05,0.00382604701291746
"1543","Rhoc",2.47983207781497e-07,1.41335901994007,17.6152489858638,2.70411365397104e-05,0.00395216610964998
"1240","Tceal9",2.47663929495972e-07,1.41306274903005,17.5699189331601,2.76934567712212e-05,0.00397113719738266
"2981","Gapdh",2.44704836991776e-07,1.41029971581765,17.1525757957331,3.44941335611547e-05,0.00485472990860695
"5334","Tmem256",2.43583756916201e-07,1.40924472235655,16.9957716817437,3.74631551131758e-05,0.00517672688836611
"4768","Atp5l",2.4306606921555e-07,1.40875601392472,16.9236063423027,3.89146205194983e-05,0.00528126992764619
"2183","Tomm7",2.42133081836852e-07,1.40787278320546,16.7939361842523,4.16662336379146e-05,0.00555549781838861
"5328","Cd68",2.4101017206451e-07,1.40680551604735,16.6385311725328,4.52229181242568e-05,0.00592576168524745
"1038","Gnas",2.39979123548182e-07,1.4058214429566,16.4964754438944,4.87405951088792e-05,0.00620978663159937
"3199","Fxyd5",2.39898978095771e-07,1.40574478298083,16.4854586796414,4.90246313021003e-05,0.00620978663159937
"3491","Bola2",2.39090121223621e-07,1.40496975538303,16.3744794901284,5.19804235368733e-05,0.00647624948983996
"5886","Cxcl14",2.36945498199809e-07,1.40290286132298,16.0820409189537,6.06565464865597e-05,0.00734258975958705
"1219","Pgk1",2.36897357696736e-07,1.40285626454583,16.0755067674392,6.08662045860505e-05,0.00734258975958705
"2455","Aldh2",2.35551802661392e-07,1.40155025109577,15.8934106079197,6.70116209048491e-05,0.00795762998245083
"7502","Prdx5",2.33198551904593e-07,1.39924924237485,15.5774346381513,7.91941019044289e-05,0.00925961806882553
"6308","Cox6c",2.32952409515321e-07,1.39900730757936,15.5445678522811,8.05828568580189e-05,0.00927923806243854
"3576","Ifitm3",2.32235272449199e-07,1.39830105996973,15.4490081879601,8.47614128905743e-05,0.00961472743236366
"2640","Atp5j2",2.3089999879313e-07,1.39698059449388,15.2718658480787,9.30927819473349e-05,0.0103014659965659
"6862","Elob",2.30833624049085e-07,1.39691476914049,15.2630869784615,9.35264676004011e-05,0.0103014659965659
"6248","Atp5mpl",2.26549608904995e-07,1.39262820837583,14.7018122654592,0.000125925334924482,0.0136242294777617
"2672","Sem1",2.26258656699702e-07,1.39233433307295,14.6640741474361,0.000128471757925005,0.0136242294777617
"3801","Uqcr11",2.26190905225173e-07,1.39226585004563,14.6552933660897,0.000129071647684058,0.0136242294777617
"6220","Ifi27l2a",2.25912712967507e-07,1.39198445214203,14.6192664356597,0.000131562620273539,0.0136969303298479
"3598","Ctsd",2.25648888651137e-07,1.39171728731584,14.5851411680841,0.000133966732432431,0.0137587454930605
"6204","Calm1",2.25447453869047e-07,1.39151310467486,14.5591127359719,0.000135830119028678,0.0137641187282393
"5247","Atox1",2.23898542679089e-07,1.38993732298452,14.3597464891353,0.000150996016507537,0.0150996016507537
"49","Cox5b",2.23477646662282e-07,1.38950735858584,14.3058088515466,0.000155384645503736,0.0153366663094597
"2737","Ndufb2",2.23273631585228e-07,1.3892986745425,14.2797009295399,0.000157554825068909,0.015351495775945
"4910","Cox7a2",2.22301680666634e-07,1.38830201792554,14.1556472375821,0.000168291189039893,0.0160733213872511
"5941","Cox7c",2.220177730627e-07,1.38801012243308,14.119513191668,0.000171554882870122,0.0160733213872511
"1041","Atp5e",2.21986094533749e-07,1.38797753090361,14.1154842034401,0.00017192271645497,0.0160733213872511
"3193","Cox6b1",2.21857571506967e-07,1.38784525897358,14.0991440846076,0.000173422678125604,0.0160733213872511
"3955","Myl6",2.21672324035538e-07,1.38765448149102,14.0756088015421,0.000175606324980616,0.0160796152994299
"2635","Arpc1b",2.21252568065067e-07,1.38722164105941,14.0223524746955,0.000180650339601487,0.0163445545353726
"1902","Ybx1",2.20910777274938e-07,1.38686862681948,13.9790624999334,0.000184857772745821,0.0164055193765058
"7303","Ndufa2",2.20847927993431e-07,1.38680365798835,13.9711095239165,0.000185641403470987,0.0164055193765058
"7702","Csf2ra",2.20646112909871e-07,1.38659491951613,13.9455870536077,0.000188178881865227,0.0164386149675371
"2252","Lrpap1",2.20259817543881e-07,1.38619487213852,13.8967994285057,0.000193127059605353,0.016575242450183
"5240","Hint1",2.20184588109327e-07,1.38611688800632,13.8873081845826,0.000194104812903458,0.016575242450183
"6174","Npc2",2.18605845295042e-07,1.38447454421177,13.6888756971637,0.000215728582018098,0.0182170802593061
"7538","Eef1g",2.16277933763747e-07,1.38203244040029,13.398885097685,0.000251773905071419,0.0210272711927778
"6775","Atp5j",2.12461335985697e-07,1.37797476684863,12.9301646539092,0.000323329341605026,0.026310125555293
"5338","Eif5a",2.12446040389366e-07,1.37795836798659,12.9283029743807,0.000323651063903178,0.026310125555293
"318","Gm2000",2.12362443565401e-07,1.37786872178415,12.9181304860898,0.000325414710815466,0.026310125555293
"5341","Gabarap",2.11791986405874e-07,1.37725609916051,12.8488212229765,0.000337691903886703,0.0270153523109363
"232","Dbi",2.10960320141978e-07,1.37636018143979,12.7481096660557,0.000356369150815579,0.0282125577729
"4252","Gm8730",2.09552061512037e-07,1.37483554449933,12.5784785778119,0.000390214262041518,0.0305734885723251
"5657","Atp5h",2.09299482071931e-07,1.37456107594886,12.5481744104624,0.000396593566176525,0.0307562357443019
"1040","Ctsz",2.08899156455771e-07,1.37412542014486,12.5002187104795,0.000406904378899306,0.0312371038346942
"1879","Akr1a1",2.08241570268453e-07,1.37340809713232,12.4216445924695,0.000424386347985001,0.0322533624468601
"2699","Atp6v1f",2.07294033477428e-07,1.37237073841861,12.3088603149941,0.000450813152967905,0.0339225738866939
"5905","Uqcrb",2.06690380670973e-07,1.371707540518,12.2372763987704,0.000468441574724431,0.0349034898814282
"5903","Ctsl",2.0615709674542e-07,1.37112013965108,12.1742108226211,0.000484547959360851,0.0357530533120628
"1367","Rap2b",2.05524066744213e-07,1.3704210178234,12.0995608713692,0.000504336991896202,0.0368553955616455
"6437","Syngr1",2.04918671598932e-07,1.36975052413441,12.0283845154011,0.000523964693522027,0.0379250635311182
"3788","Gpx4",2.04646154514806e-07,1.36944809649654,11.9964131911972,0.00053303040807092,0.0382172745409339
"1648","Gng5",2.04223521458276e-07,1.36897832868841,11.946914626731,0.000547379512358309,0.0388792924665715
"1231","Gla",2.04042627084246e-07,1.36877698109144,11.9257596441967,0.000553630475368546,0.0388850771990404
"4637","Gm10076",2.03926055522638e-07,1.3686471403789,11.9121369289219,0.000557693870354658,0.0388850771990404
"2210","Ost4",2.03142078045181e-07,1.36777211127682,11.8207224619483,0.000585751273618218,0.0404700879954405
"4094","Ndufa13",2.02819401361697e-07,1.36741103829257,11.7831995399803,0.000597676700812037,0.0409220083438872
"2765","Cycs",2.01928314074726e-07,1.36641111214123,11.6798879862804,0.00063179336679488,0.0428716927467954
"4331","Cotl1",2.01617767118653e-07,1.36606166175177,11.6439904494181,0.000644102808668374,0.0433201889015898
"7517","Cox8a",2.01447852064696e-07,1.36587024703513,11.6243725794299,0.000650931943110934,0.0433954628740622
"3078","Selenow",2.00685019367152e-07,1.36500902139348,11.5365020760774,0.000682429177938573,0.0448023969753355
"957","Romo1",2.00651951662282e-07,1.36497161909947,11.5327005544931,0.000683826059097226,0.0448023969753355
"7627","Pgam1",2.0037674425219e-07,1.3646601124091,11.5010865280315,0.000695555193264304,0.045181362981271
"7558","Ms4a6c",2.00179745293554e-07,1.3644368831707,11.4784832232089,0.000704065667087706,0.0453466022870048
"1762","Anp32b",2.00004179450222e-07,1.36423776714312,11.4583578517353,0.000711731661213051,0.0454551313043629
"4656","Mmp12",1.99181077248085e-07,1.36330206356563,11.364239893824,0.000748717116984401,0.0474187507423454
"998","Ctsa",1.98855286538014e-07,1.3629307021246,11.327094438561,0.000763843249392687,0.047644528906405
"6448","Rbx1",1.98713036853157e-07,1.36276837592637,11.3108947253413,0.000770536336037275,0.047644528906405
"1874","Uqcrh",1.98701340465773e-07,1.36275502391197,11.3095632302876,0.000771089086248396,0.047644528906405
"1990","Atpif1",1.98468953522674e-07,1.36248958959297,11.2831249793334,0.000782147877771291,0.0479380957343695
"3750","Chchd10",1.98141210066322e-07,1.36211474236387,11.2458907724148,0.00079799486799426,0.0482196263698189
"2968","Tpi1",1.98111814795356e-07,1.36208109394813,11.2425542480738,0.000799430647710155,0.0482196263698189
"7586","Gm10053",1.97495834170493e-07,1.36137490892977,11.1727509454274,0.000830074571252467,0.0495882118585902
"7040","H2-D1",1.97395463384629e-07,1.36125964412244,11.1613974620951,0.00083516988393415,0.0495882118585902
"5196","Rack1",1.96918218353074e-07,1.36071082748699,11.107492654373,0.0008597965192535,0.0505326898366191
"5701","Timp2",1.96830891727082e-07,1.36061026963496,11.0976432378174,0.000864374957731642,0.0505326898366191
"1158","Ssr4",1.96118012642452e-07,1.35978781059625,11.0174022633259,0.000902604745984127,0.0523648554922089
"7557","Ms4a4c",1.95644927249699e-07,1.35924045575507,10.9643129475671,0.000928833785396756,0.0534783088561769
"4337","Cox4i1",1.95305753685851e-07,1.3588472709175,10.9263300398975,0.000948071148012779,0.0541754941721588
"4107","Uba52",1.94880012151612e-07,1.35835282521074,10.8787459593357,0.000972740871300155,0.0551703777752327
"3204","Gpi1",1.93203304072772e-07,1.3563956343936,10.6923542166673,0.0010757921754998,0.060563115065174
"1562","Csf1",1.91344328550639e-07,1.35420697516845,10.4875834046395,0.00120179458167179,0.0671591089757765
