"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Chemiosmotic coupling formation of ATP","6/13",1.00980032246151e-10,4.32194538013524e-09,0,0,139.566744730679,3212.28191880722,"ATP5E;ATP5J;ATP5H;ATP5G1;ATP5J2;ATP5L"
"2","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)","3/7",8.79506655760689e-06,0.000121513887917751,0,0,119.208,1387.73842832388,"ATP5H;ATP5G1;ATP5L"
"3","mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)","8/21",4.27867313745375e-13,8.64291973765657e-11,0,0,101.841025641026,2900.42866882152,"COX8A;CYCS;COX5B;COX6C;COX6A1;COX7C;COX6A2;COX6B1"
"4","Formation of ATP by chemiosmotic coupling Homo sapiens R-HSA-163210","6/16",4.6390358042508e-10,3.43288649514559e-08,0,0,97.6819672131148,2099.31679768916,"ATP5E;ATP5J;ATP5H;ATP5G1;ATP5L;ATP5J2"
"5","oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)","3/8",1.40062758914459e-05,0.000961764277879282,0,0,95.3616,1065.76172325572,"UQCRB;UQCR11;UQCRH"
"6","ubiquinol-cytochrome-c reductase activity (GO:0008121)","3/8",1.40062758914459e-05,0.000961764277879282,0,0,95.3616,1065.76172325572,"UQCRB;UQCR11;UQCRH"
"7","mitochondrial ATP synthesis coupled proton transport (GO:0042776)","7/21",4.02103388023459e-11,4.43044823894939e-09,0,0,82.0578512396694,1964.21033064052,"ATP5E;ATP5J;ATP5H;COX5B;ATP5G1;ATP5L;ATP5J2"
"8","Cul5-RING ubiquitin ligase complex (GO:0031466)","2/6",0.000599443459289023,0.00371084046226538,0,0,78.8412698412698,584.96350335794,"ELOB;RBX1"
"9","mitochondrial proton-transporting ATP synthase complex (GO:0005753)","7/22",5.86635305825628e-11,3.81312948786659e-09,0,0,76.5834710743802,1804.24553129777,"ATP5E;ATPIF1;ATP5J;ATP5H;ATP5G1;ATP5L;ATP5J2"
"10","purine ribonucleoside triphosphate biosynthetic process (GO:0009206)","8/27",4.52089963323828e-12,6.08814483942755e-10,0,0,69.659649122807,1819.67095639951,"ATP5E;ATP5J;CHCHD10;ATP5H;ALDOA;ATP5G1;ATP5L;ATP5J2"
"11","mitochondrial respiratory chain complex IV (GO:0005751)","5/17",5.77439365699855e-08,1.07238739344259e-06,0,0,67.2764227642276,1121.31278828613,"COX8A;COX5B;COX6A1;COX7C;COX6A2"
"12","mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)","4/14",1.52446823905695e-06,8.79835955112867e-05,0,0,64.0709677419355,858.157886230535,"UQCRB;CYCS;UQCR11;UQCRH"
"13","positive regulation of lipid transport (GO:0032370)","2/7",0.000835704547741178,0.0198602727816139,0,0,63.0698412698413,446.990812926973,"SPP1;APOE"
"14","Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins","20/81",9.58398547175813e-27,4.10194578191248e-24,0,0,60.1426836672738,3603.13037539106,"COX8A;NDUFA13;UQCRB;NDUFA2;NDUFB2;NDUFA1;ATP5J;UQCR11;ATP5H;COX6A1;COX5B;COX6C;ATP5G1;COX7C;UQCRH;ATP5J2;COX6B1;ATP5L;ATP5E;CYCS"
"15","oxidative phosphorylation (GO:0006119)","3/11",4.06921647271622e-05,0.00140911153283773,0,0,59.592,602.443834014957,"UQCRB;CHCHD10;UQCRH"
"16","proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)","3/11",4.06921647271622e-05,0.00209564648344885,0,0,59.592,602.443834014957,"ATP5H;ATP5G1;ATP5L"
"17","ATP synthesis coupled proton transport (GO:0015986)","7/27",2.97476579059356e-10,3.00451344849949e-08,0,0,57.4231404958678,1259.61595722429,"ATP5E;ATP5J;ATP5H;COX5B;ATP5G1;ATP5L;ATP5J2"
"18","ATP biosynthetic process (GO:0006754)","8/32",2.08548680882131e-11,2.52761001229143e-09,0,0,55.1333333333333,1355.91797873693,"ATP5E;ATP5J;CHCHD10;ATP5H;ALDOA;ATP5G1;ATP5L;ATP5J2"
"19","phospholipase inhibitor activity (GO:0004859)","2/8",0.00110960582450215,0.0207798908952221,0,0,52.5555555555556,357.57488422434,"ANXA2;ANXA5"
"20","glycolytic process through glucose-6-phosphate (GO:0061620)","6/25",9.78745905898136e-09,6.97788257616789e-07,0,0,51.388265746333,947.710822443454,"TPI1;PKM;PGAM1;PGK1;ALDOA;GAPDH"
"21","canonical glycolysis (GO:0061621)","6/25",9.78745905898136e-09,6.97788257616789e-07,0,0,51.388265746333,947.710822443454,"TPI1;PKM;PGAM1;PGK1;ALDOA;GAPDH"
"22","glucose catabolic process to pyruvate (GO:0061718)","6/25",9.78745905898136e-09,6.97788257616789e-07,0,0,51.388265746333,947.710822443454,"TPI1;PKM;PGAM1;PGK1;ALDOA;GAPDH"
"23","purine ribonucleoside monophosphate biosynthetic process (GO:0009168)","9/39",2.44058176216691e-12,3.69748136968286e-10,0,0,50.0218487394958,1337.52344263712,"ATP5E;ADSSL1;ATP5J;CHCHD10;ATP5H;ALDOA;ATP5G1;ATP5L;ATP5J2"
"24","energy coupled proton transport, down electrochemical gradient (GO:0015985)","3/13",6.98751776872869e-05,0.00235246431547199,0,0,47.6688,456.133217423276,"ATP5H;ATP5G1;ATP5L"
"25","cristae formation (GO:0042407)","6/27",1.61887283090854e-08,1.09004103947842e-06,0,0,46.4894613583138,833.972151669624,"ATP5E;ATP5J;ATP5H;ATP5G1;ATP5L;ATP5J2"
"26","Electron transport chain","21/105",6.27640199666187e-26,1.34315002728564e-23,0,0,46.2336448598131,2682.95762277481,"COX8A;UQCRB;ATPIF1;NDUFA2;NDUFB2;NDUFA1;ATP5J;COX7A2;UQCR11;ATP5H;COX6A1;COX5B;COX6C;COX6A2;ATP5G1;COX7C;UQCRH;ATP5J2;COX6B1;ATP5L;ATP5E"
"27","very-low-density lipoprotein particle remodeling (GO:0034372)","2/9",0.00142066341184209,0.0296869664681484,0,0,45.0453514739229,295.345762520946,"LPL;APOE"
"28","chylomicron remodeling (GO:0034371)","2/9",0.00142066341184209,0.0296869664681484,0,0,45.0453514739229,295.345762520946,"LPL;APOE"
"29","glycolytic process (GO:0006096)","5/23",3.04486003818075e-07,1.94230019277635e-05,0,0,44.8373983739837,672.769053211547,"TPI1;PKM;PGAM1;PGK1;ALDOA"
"30","ATP generation from ADP (GO:0006757)","5/24",3.82647245189131e-07,2.31884230584613e-05,0,0,42.4753958065896,627.622917568931,"TPI1;PKM;PGAM1;PGK1;ALDOA"
"31","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200","20/109",6.35171427857488e-24,2.35013428307271e-21,0,0,41.1631294215564,2198.65930068611,"COX8A;NDUFA13;UQCRB;NDUFA2;NDUFB2;NDUFA1;ATP5J;UQCR11;ATP5H;COX6A1;COX5B;COX6C;COX7C;ATP5G1;UQCRH;ATP5J2;COX6B1;ATP5L;ATP5E;CYCS"
"32","inner mitochondrial membrane organization (GO:0007007)","7/36",2.66610095266231e-09,2.30808168187623e-07,0,0,39.5842120262183,781.497194047161,"NDUFA13;ATP5E;ATP5J;ATP5H;ATP5G1;ATP5L;ATP5J2"
