"","gene","distance","Z","FC","p.value","p.adj"
"7021","Trem2",3.97387635083594e-08,5.75286997710619,20563.1323845306,0,0
"3516","Mgmt",1.63368935666812e-08,5.12125892362409,3475.35786492773,0,0
"3256","Ube3a",9.52096790925346e-09,4.75951175452851,1180.38253442451,1.11879600114303e-258,2.83428320289567e-255
"3090","Ethe1",6.53900294697068e-09,4.517082874805,556.780014902109,4.21771907831013e-123,8.01366624878925e-120
"641","Rbm43",6.50112684335008e-09,4.51339287193759,550.34858142169,1.05720581973959e-121,1.60695284600417e-118
"1777","Slc31a2",4.6958477523118e-09,4.30954636487102,287.136622666523,2.09156240137804e-64,2.64931237507885e-61
"3043","Ube2m",4.04489170445759e-09,4.21784121073333,213.046483012854,2.97325244390368e-48,3.22810265338113e-45
"2271","Ube2k",4.03260121389221e-09,4.21598271459515,211.753757333889,5.69184492977391e-48,5.40725268328522e-45
"2704","Parp12",3.92840727655998e-09,4.20001483998161,200.952579689276,1.29407693655232e-45,1.09277607975529e-42
"3165","Scn1b",3.57567422307367e-09,4.14290982290806,166.485517149784,4.33321841630729e-38,3.29324599639354e-35
"811","Eif3j1",3.20291143504322e-09,4.07664263835067,133.582766073493,6.741295083693e-31,4.65762205782426e-28
"2979","Atf7ip",2.6822958806329e-09,3.97112206857823,93.6858361772634,3.69797733531361e-22,2.34205231236529e-19
"2529","Znhit1",2.6467091326747e-09,3.96323909504262,91.2164159374332,1.28787378092099e-21,7.52910825769192e-19
"1935","Rnf19b",2.59285725529026e-09,3.95112313570435,87.5422669094371,8.24978733143006e-21,4.47845597991917e-18
"3148","Capns1",2.45643875463534e-09,3.91936494736932,78.5728404047119,7.71021994461354e-19,3.90651143860419e-16
"1193","Il2rg",2.38187509678852e-09,3.90131557383494,73.8751778857525,8.32161812050683e-18,3.95276860724075e-15
"1598","Ube2d3",2.37253774127411e-09,3.89901888264934,73.2971066542036,1.1153128717438e-17,4.98610460308995e-15
"2026","Ddost",1.81154275391244e-09,3.74303230210595,42.7324456085725,6.27625907715593e-11,2.64997605479917e-08
"2237","Man2b2",1.68808029059614e-09,3.70278615279357,37.1062247371772,1.11866047957744e-09,4.47464191830976e-07
"24","Ogfrl1",9.87167316668057e-10,3.40439218044786,12.6894298307971,0.000367728382444084,0.139736785328752
"6827","Atp6v0e",3.40800053627447e-10,2.85033697356782,1.5123763624555,0.218776832344946,0.999999974794326
"5177","Sparc",3.39989074169648e-10,2.84914932394426,1.50518712154209,0.21987496031246,0.999999974794326
"4996","Cx3cr1",3.02239629889634e-10,2.79076797659374,1.18949710565685,0.275431019500867,0.999999974794326
"6773","Srrm2",2.50846420346856e-10,2.69946123975353,0.819363074130996,0.365366453801069,0.999999974794326
"6910","Psmb8",2.09469209689133e-10,2.6124692708674,0.571348327501813,0.449723623897576,0.999999974794326
"3662","Vsir",2.05664004175687e-10,2.6036940317175,0.550778712122199,0.457999687266416,0.999999974794326
"6417","Zcrb1",2.02153363873781e-10,2.59546490291483,0.53213584844883,0.465710286089178,0.999999974794326
"90","Hspe1",1.97116497198967e-10,2.58342611069813,0.505948739438738,0.476897894558841,0.999999974794326
"2240","Tmem128",1.84070422339596e-10,2.55087935285256,0.441192976025731,0.506547217992756,0.999999974794326
"6566","Ufd1",1.75866925887849e-10,2.52931134389175,0.402743849380556,0.525675610210013,0.999999974794326
"6987","Slc29a1",1.74583609166619e-10,2.52585411261714,0.396887578556491,0.52870103424438,0.999999974794326
"6986","Hsp90ab1",1.65712206603111e-10,2.50129607231971,0.35757699705412,0.549854998403974,0.999999974794326
"6999","Mrpl2",1.65394577614697e-10,2.50039460967513,0.356207538847564,0.550620052885894,0.999999974794326
"6221","Mtdh",1.59171730812275e-10,2.48240520147356,0.329907698177371,0.565713443784493,0.999999974794326
"5829","Uqcrb",1.56825820753967e-10,2.4754555144668,0.320254846187916,0.571454531979324,0.999999974794326
