"","gene","distance","Z","FC","p.value","p.adj"
"7021","Trem2",7.89185046974489e-08,29.1598770352516,2349182.45333495,0,0
"7439","Fth1",6.74146006352781e-10,6.65802485060563,171.422168531623,3.61874584313177e-39,6.12296637867196e-36
"7437","Eef1g",6.73788266367709e-10,6.65687693828072,171.240284214892,3.96535128111532e-39,6.12296637867196e-36
"7387","Fau",6.73500018894874e-10,6.6559516998657,171.093801933765,4.26848353599362e-39,6.12296637867196e-36
"7416","Cox8a",6.72733086886702e-10,6.65348858217156,170.704365856146,5.1919174211383e-39,6.12296637867196e-36
"7368","Cfl1",6.7261165026495e-10,6.65309838846249,170.642742930433,5.35533365788681e-39,6.12296637867196e-36
"7401","Prdx5",6.71993629106954e-10,6.65111182497019,170.32930091723,6.26966419604996e-39,6.12296637867196e-36
"7206","Ndufa2",6.71885292213224e-10,6.65076345470757,170.274385337356,6.44522776702311e-39,6.12296637867196e-36
"7542","Ndufb8",4.49732238727230e-10,5.8326777985037,76.2899085088508,2.44932367077161e-18,9.15772094395965e-16
"7182","Reep5",4.49379715832416e-10,5.83117247304538,76.1703555986431,2.60218950007813e-18,9.15772094395965e-16
"7314","Cndp2",4.49348943940591e-10,5.83104103292574,76.1599242168555,2.61597188269559e-18,9.15772094395965e-16
"7262","Csf1r",4.4928099751071e-10,5.8307507817028,76.1368935464701,2.64666010992826e-18,9.15772094395965e-16
"7043","2410015M20Rik",4.49240110524307e-10,5.83057610715084,76.1230364436848,2.66529787051485e-18,9.15772094395965e-16
"7430","Ubxn1",4.49236660549394e-10,5.83056136789366,76.121867262432,2.6668764088627e-18,9.15772094395965e-16
"7599","Csf2ra",4.4921057607739e-10,5.8304499251528,76.1130276407182,2.67884128751598e-18,9.15772094395965e-16
"7380","Malat1",4.49104117103429e-10,5.82999504474759,76.0769556731413,2.72822575971006e-18,9.15772094395965e-16
"7046","Ndufa11",4.49102201120421e-10,5.82998685739333,76.0763065504194,2.72912273544813e-18,9.15772094395965e-16
"7105","Cox7a2l",4.49068792917288e-10,5.8298440939217,76.0649885111663,2.74480981400601e-18,9.15772094395965e-16
"7073","Myl12a",4.49057500465078e-10,5.82979583612411,76.0611630418338,2.75013237778052e-18,9.15772094395965e-16
"7570","Usmg5",4.48893406188473e-10,5.82909448979362,76.0055847647614,2.82863605490826e-18,9.15772094395965e-16
"7176","Bin1",4.48633534908967e-10,5.82798341799487,75.9176086393909,2.95750927071598e-18,9.15772094395965e-16
"7525","Pgam1",4.48600597510903e-10,5.82784256271705,75.906461738812,2.97425177646839e-18,9.15772094395965e-16
"7315","Cyb5a",4.48445529868187e-10,5.82717932494703,75.853993678012,3.05434051718501e-18,9.15772094395965e-16
"7457","Ms4a6c",4.48443921340236e-10,5.82717244428528,75.853449518055,3.05518234222555e-18,9.15772094395965e-16
"7204","Cd14",4.48205916502427e-10,5.82615415944151,75.7729547391855,3.18230055776973e-18,9.15772094395965e-16
"7118","Calm2",4.48196854290837e-10,5.82611537994657,75.769890685002,3.18724250887819e-18,9.15772094395965e-16
"7462","Mpeg1",4.47923817961226e-10,5.82494672887503,75.6776025253454,3.3397449946e-18,9.15772094395965e-16
"7473","Ostf1",4.47848517370413e-10,5.82462433858029,75.6521603007566,3.38305624693568e-18,9.15772094395965e-16
"7443","Tmem258",4.4765923154e-10,5.82381376541143,75.5882241471768,3.49439351808987e-18,9.15772094395965e-16
"7302","Atp5a1",4.47021204776725e-10,5.82107977912736,75.3729133098784,3.89699604595808e-18,9.87238998309381e-16
