"","gene","distance","Z","FC","p.value","p.adj"
"7021","Trem2",1.01803281719151e-07,4.40431457759978,789591.016453508,0,0
"7334","Aip",3.92426937917845e-09,3.41838412343952,1173.26540596029,3.94027694067139e-257,1.49730523745513e-253
"7568","As3mt",2.69585739972808e-09,3.3059221526549,553.697387412804,1.97543608316613e-122,5.00443807735419e-119
"7063","Ankrd12",2.50819887374822e-09,3.28433982351272,479.294647804169,3.04247462587786e-106,5.78070178916793e-103
"7091","Cebpz",2.35753988466619e-09,3.26581756822729,423.444737589284,4.34175778598778e-94,6.59947183470142e-91
"7413","Stip1",2.30552585063579e-09,3.25914848891399,404.966067255737,4.56983668695184e-90,5.78845980347234e-87
"7325","Tcirg1",1.82313849683268e-09,3.18902911978559,253.231638776525,5.12779905932096e-57,5.56732469297704e-54
"7305","Gm16286",1.80126202999455e-09,3.18542592295613,247.190872820347,1.06382043678591e-55,1.01062941494661e-52
"7235","Eif1a",1.78437812784057e-09,3.18261516776253,242.578566187199,1.07764383546849e-54,9.10010349951167e-52
"7219","Gnpda1",1.71600132627819e-09,3.17095514621088,224.343701268917,1.02082814145749e-50,7.7582938750769e-48
"7115","Cript",1.70694082197824e-09,3.16937554881076,221.980881628093,3.34434748687932e-50,2.31064008184389e-47
"7099","Dhx57",1.5762681814099e-09,3.14561822996881,189.294876871595,4.53153831725372e-43,2.86997426759402e-40
"7354","Rab1b",1.4299302853989e-09,3.11656908037121,155.778806166991,9.46244594932768e-36,5.53189147806849e-33
"7293","Acaa2",1.39218609595182e-09,3.10859666367855,147.663523241247,5.61932156037903e-34,3.0504888470629e-31
"7097","Srsf7",1.33961270806153e-09,3.09712636579604,136.721608732036,1.38733380739023e-31,7.02915795744385e-29
"7551","Fbxw4",1.32068189395121e-09,3.09288620877547,132.884733592301,9.58165139093478e-31,4.55128441069402e-28
"7409","Vegfb",1.27332139808218e-09,3.08200786339745,123.524958651763,1.07031439648708e-28,4.78493494900106e-26
"7502","Pten",1.23045405478082e-09,3.07180903690804,115.347834556854,6.60365753250102e-27,2.7882109581671e-24
"7273","Nars",1.13431826952171e-09,3.04758977066303,98.0276285006785,4.12585632548881e-23,1.65034253019552e-20
"7343","Rce1",1.12224604414089e-09,3.04440521004057,95.9521717255123,1.17692672600951e-22,4.47232155883615e-20
"7575","Gsto1",1.10579351396607e-09,3.04000989271454,93.1594077379997,4.82475698173459e-22,1.74610252672299e-19
"7137","Rab18",1.08996867223066e-09,3.03572049737931,90.512106764446,1.83848504071336e-21,6.35113014064617e-19
"7433","B3gat3",1.08566796262126e-09,3.03454407074364,89.799245322422,2.63594809770876e-21,8.710089366342e-19
"7167","Tpgs2",1.03069837666353e-09,3.01908558607325,80.9360166644914,2.33145470653796e-19,7.38293990403688e-17
"7275","Lman1",1.02617481927223e-09,3.01777719554206,80.227147205242,3.3375021676056e-19,1.0146006589521e-16
"7466","Lpxn",9.71217207622766e-10,3.00140674035283,71.8639987677272,2.30552114945368e-17,6.73921566763383e-15
"7453","Ccdc86",9.3105102631514e-10,2.98884895496587,66.0428199239058,4.41232281376385e-16,1.24198716239279e-13
"7408","Fkbp2",9.2620814362847e-10,2.98729860319606,65.3575603647842,6.24698080339247e-16,1.69560907520653e-13
"7564","Arl3",8.02272545190894e-10,2.94461302639858,49.0368430608838,2.51199542393354e-12,6.58316042134307e-10
"7189","Ctnna1",7.93948173142558e-10,2.94151514202192,48.0245108210456,4.20924160430071e-12,1.06634120642285e-09
"7304","Rbfa",7.82914788433216e-10,2.93735897711502,46.6990058648722,8.27709865627954e-12,2.02922418670079e-09
"7507","Ifit2",7.81505641586156e-10,2.93682397787465,46.5310526294537,9.01780101305941e-12,2.14172774060161e-09
"7448","Ddb1",7.67567673767952e-10,2.93148001220808,44.8861125875924,2.08833718475644e-11,4.80950381943907e-09
"2167","Asb10",7.50723852250808e-10,2.9248916824683,42.9377290955458,5.65102440040505e-11,1.26317016009054e-08
"7483","Fxn",7.43391376464863e-10,2.92197761006066,42.1030618478992,8.6587511858523e-11,1.88018597178507e-08
"7058","Man2a1",7.36667752840314e-10,2.91928028695524,41.3449014371685,1.27603851515168e-10,2.69385908754244e-08
"7238","Commd10",7.24443284129254e-10,2.91431288974135,39.9841090939438,2.56037336618934e-10,5.25914529271325e-08
"7412","Fermt3",7.22726276245726e-10,2.9136085208952,39.7948004909698,2.82095083583003e-10,5.64190167166006e-08
"909","Fkbp1a",7.21652618495021e-10,2.91316722809565,39.6766526907867,2.99686798358676e-10,5.84005042955368e-08
"7524","Arhgap19",6.89885744844664e-10,2.89980630363569,36.2604329019154,1.72633372350195e-09,3.2800340746537e-07
"7450","Slc15a3",6.68004155029295e-10,2.89024245829857,33.996716211213,5.52051633068456e-09,1.02331522227324e-06
"7271","Txnl1",6.61876478985309e-10,2.88750836841993,33.3758656168799,7.5960786716702e-09,1.37452852154032e-06
