"gene","distance","Z","FC","p.value","p.adj"
"Trem2",4.42700851155335e-05,10.3223788920706,504040.6932746,0,0
"Igf1",6.4825030702636e-07,3.29978474206631,108.076270235453,2.58631581219956e-25,8.38483586315098e-22
"Spp1",5.3462897244945e-07,3.0736075628056,73.5105829384887,1.00098034563698e-17,2.16345218703672e-14
"Gm49339",5.07889986803796e-07,3.01448210919261,66.3413320934175,3.79222824556597e-16,6.14720198606244e-13
"Lpl",5.04188484035965e-07,3.00608998974021,65.3778644118813,6.18294917219536e-16,8.01804848650295e-13
"Vat1",5.00930991474907e-07,2.99866111119801,64.5357986547301,9.47943130836351e-16,1.02441054339048e-12
"Fabp5",4.80605499641546e-07,2.95135780438691,59.4049122473759,1.28348301887004e-14,1.18887198490762e-11
"Anxa5",4.76118283175216e-07,2.94068615897451,58.3008120766392,2.24951215844864e-14,1.82322960442262e-11
"Vim",4.59850982443451e-07,2.90126798153895,54.384998842227,1.64816255130913e-13,1.18740955363205e-10
"Cst7",4.55051702475521e-07,2.88941225748655,53.2557338271163,2.92831475599246e-13,1.89871928778551e-10
"Lgals3",4.50210307772263e-07,2.87734433711184,52.1285631756313,5.19832543753284e-13,3.06417655790572e-10
"Itgax",4.48428108655006e-07,2.87287414898091,51.7166685825053,6.41161016799219e-13,3.46440669410511e-10
"Cd63",4.44834388894899e-07,2.86381411586664,50.8910714136584,9.76367134725598e-13,4.86981884735445e-10
"Capg",4.36160561277402e-07,2.84168778098835,48.9257703366938,2.65834951178925e-12,1.23119558817439e-09
"Apoe",4.14101505666273e-07,2.78368398728022,44.1020223977773,3.11698731500348e-11,1.34736971669884e-08
"Anxa2",4.09384820810616e-07,2.77094181926154,43.1030853077501,5.1930299313571e-11,2.10447537968246e-08
"Ank",4.01197317212938e-07,2.74852390122908,41.3962429202629,1.24296048575008e-10,4.74079752329619e-08
"Cxcl14",3.90337030151295e-07,2.71817999307992,39.1854098299786,3.85409566406302e-10,1.38833090476581e-07
"Aplp2",3.74833315433629e-07,2.67359446037644,36.1344338737021,1.84163696941068e-09,6.28482847876782e-07
"Crip1",3.63682543889978e-07,2.64054772395366,34.0165134887986,5.46463160414359e-09,1.77163356606335e-06
"Axl",3.60930671366661e-07,2.63225987233043,33.5036763736172,7.11294163522869e-09,2.19620540775347e-06
"Cd52",3.60356303405069e-07,2.63052326979909,33.3971288935486,7.51348034739877e-09,2.2144275714788e-06
"Cdkn1c",3.59242646277683e-07,2.62714941253722,33.191024662216,8.35352193800195e-09,2.35496679330455e-06
"Ccl6",3.58709118126575e-07,2.62552992298735,33.0925107666306,8.78765511615507e-09,2.37413149054789e-06
"AB124611",3.44878586487988e-07,2.58281665968943,30.5898499029576,3.18756975753517e-08,8.26728092314321e-06
"Ctsb",3.44097729760176e-07,2.58036196834154,30.4514867225997,3.42320878610351e-08,8.5369560650366e-06
"Lyz2",3.40834357850288e-07,2.57005176043449,29.8766308535528,4.60429027132344e-08,1.10571178219486e-05
"Cstb",3.35276118059426e-07,2.55229647070753,28.9101353667437,7.58151655723303e-08,1.75566261989639e-05
"Lrpap1",3.33785186054169e-07,2.54749129245756,28.6535873647624,8.65535006143571e-08,1.93521688959825e-05
"Pld3",3.30198412908302e-07,2.53585619273779,28.0410872874715,1.18766838816199e-07,2.56694727628077e-05
"Cybb",3.27919570996872e-07,2.52840795692472,27.6553755605147,1.44968644360097e-07,3.03218287106733e-05
"Tmsb10",3.2642029296754e-07,2.52348364475484,27.4030678966293,1.65168999466331e-07,3.34673685168654e-05
"Gm1673",3.20573167302057e-07,2.50409346865762,26.4301253287771,2.73245489065401e-07,5.36885985181837e-05
"Adssl1",2.98825250539115e-07,2.42922903623757,22.9656885528285,1.64918770245398e-06,0.000308998980546146
"Fth1",2.98683764808512e-07,2.42872702943154,22.9439464277194,1.66794637864206e-06,0.000308998980546146
"Cd72",2.93488279037599e-07,2.41015140726833,22.1526869104722,2.51803305802398e-06,0.000453525731895209
"Mif",2.89135604968948e-07,2.39437273110654,21.5004741094892,3.537411949182e-06,0.000619907542662057
"Slc22a17",2.88683392683158e-07,2.39272188363916,21.4332725950978,3.66358159235366e-06,0.000625122711705819
"Ttr",2.87254690509832e-07,2.38749177956684,21.2216498282065,4.09117049699124e-06,0.000680183320576697
"Fxyd5",2.79315077553533e-07,2.35801754229682,20.0647450492079,7.48640806136713e-06,0.00121354674674761
"Rab7b",2.70819978311879e-07,2.32568193405127,18.8628053962873,1.40464953737817e-05,0.00221723379984743
"Bola2",2.70515561486981e-07,2.32450729228029,18.8204235298454,1.43620943235028e-05,0.00221723379984743
"Cd9",2.67193403259708e-07,2.31161463776722,18.3610008015444,1.8276069262771e-05,0.00275586123487923
"Cd68",2.66140393194925e-07,2.30749967350851,18.2165644486853,1.97156665919874e-05,0.00290537232232832
"Cyp4f18",2.61725701164548e-07,2.29009584327037,17.617230240924,2.70129802100026e-05,0.00389063920287431
"Rps2",2.61420970012026e-07,2.28888533425056,17.5762301134758,2.76016969975661e-05,0.00389063920287431
"Ch25h",2.53933188686111e-07,2.25875753810381,16.5837911099708,4.65471464822864e-05,0.00642152548491798
"Il4i1",2.51017032244552e-07,2.24681952346545,16.205083291314,5.6841385509643e-05,0.00767832382592761
"Cab39l",2.50367381282809e-07,2.24414397153482,16.1213118860122,5.94116895796056e-05,0.00786174275988087
"Emp3",2.49148132186989e-07,2.23910659336594,15.9646777884873,6.45354368676537e-05,0.00824775869028477
"Cxcl16",2.48785277864088e-07,2.23760340070435,15.9182103797077,6.61392922280845e-05,0.00824775869028477
"Pkm",2.48784026588793e-07,2.23759821383701,15.9180502575858,6.61448877074041e-05,0.00824775869028477
