"","x"
"Cftr",1
"Npc2",0.188739228386017
"Sftpb",0.183250514838673
"Retnla",0.175557732494865
"Ctsh",0.173160673630277
"Cxcl15",0.173110988417574
"Dram1",0.159786145499283
"Mgst1",0.159338859342202
"Sftpc",0.15740293588428
"Sfta2",0.156450805581203
"Sftpa1",0.155996511524208
"Dbi",0.154562303089252
"Cldn10",0.152589707422019
"Itm2b",0.151989345458294
"Fabp5",0.15191721279093
"Slc34a2",0.147659848139127
"Lpcat1",0.143622228639309
"Lamp3",0.13995528079635
"Cd36",0.139486409661327
"Calm1",0.138707179483697
"Malat1",0.135847128661635
"Ctsc",0.1356059066157
"Ppp1r14c",0.135340236420883
"Napsa",0.134249530542283
"Sdc1",0.13411329087567
"Dcxr",0.133295701693926
"Sdc4",0.133105186430829
"Meg3",0.131366085004721
"Ccz1",0.130321081797803
"Cebpa",0.129126320490601
"Ldha",0.129113156765353
"Snx7",0.128697494188109
"Pla2g1b",0.128329681116485
"Cldn3",0.127629099132885
"Errfi1",0.12750743636651
"Serpine2",0.127354650086777
"Lgi3",0.127026221620778
"Alcam",0.126114965368204
"Tceal9",0.125813172777293
"Fgfr2",0.123913333943384
"Rps27",0.123241061532977
"Foxp1",0.122558900119803
"Socs2",0.122096460215634
"H2afv",0.121374745556685
"Spcs1",0.1213093585605
"Cbr2",0.121262205222477
"Rps15a",0.120354773332952
"Pi4k2b",0.120348087972496
"Cox4i1",0.120290910992298
"Trf",0.119165133314125
"Cat",0.11896820227551
"Atp1b1",0.118599948691893
"S100g",0.118172083817531
"Fau",0.118050905357909
"Pglyrp1",0.118027792728291
"Rpl34",0.117233061707164
"Tpt1",0.116897824770801
"Tmem59",0.116537002823526
"Rps28",0.116489567190957
"Rps14",0.116375344531319
"St3gal6",0.115757396188054
"Rpl35a",0.115699003149106
"Rsrp1",0.115600299687233
"Cd63",0.115083605738943
"H3f3b",0.114191608745264
"Rpl10",0.11415032559244
"Rnaset2a",0.113952661231509
"Rpl37",0.113647659581798
"Naca",0.113524140328211
"Map1lc3a",0.112549940343878
"Prrg3",0.112203422327748
"Neat1",0.111520318472962
"Ccnl1",0.111304109433099
"Lcn2",0.110788516693146
"Tmsb4x",0.110718209789133
"mt-Cytb",0.110363395872207
"Rps7",0.110166713179221
"Glrx",0.109971152579149
"Atp6v1g1",0.109967985107559
"Cela1",0.109808743796909
"Rpl13a",0.109791295622973
"Son",0.109740333754151
"Tsc22d1",0.108735741757544
"Rpl27a",0.108733551599211
"Ces1d",0.108605125462382
"Abhd17b",0.108245071533742
"Ndufa7",0.108170047635861
"Rps24",0.108111996372411
"Rps23",0.107920050150979
"Sftpd",0.107524566653602
"Rpl18a",0.10734067464007
"Rps9",0.107203689510995
"Rps29",0.107188414863983
"Rpl27",0.107109516905362
"Atp6v1c2",0.107061682619307
"Cmtm8",0.107058829188832
"Id2",0.107031607781731
"Rpl8",0.106596819007871
"Fth1",0.106494006914437
"Taok3",0.106388396026637
"Rmdn2",0.106113911728896
"Rps26",0.106051844424823
"Rpl9",0.105969081805398
"Cdc42ep3",0.105899634331163
"mt-Nd1",0.105777210888918
"Egr1",0.105613258875826
"Abcd3",0.10551365631007
"Chchd2",0.105335904486933
"RP24-262G23.6",0.105054078810478
"Psme1",0.105039120704222
"Egfl6",0.10501473137277
"Cox7a2",0.104992408798187
"Rpl17",0.104957679901686
"Atp5l",0.104782259781775
"Rpl37a",0.104490311089302
"Rplp1",0.104454811211305
"Rpl18",0.104450288810292
"Vamp8",0.104138656722637
"C2cd4b",0.103752032733193
"Rplp0",0.103545809868734
"Oaz2",0.103513137921528
"Ndufb11",0.103092729100028
"Rps16",0.102952135812571
"Atp8a1",0.102762755343338
"Tmbim6",0.102644040723418
"Cox6c",0.102617796267494
"Rpl23",0.102147629834127
"Cd164l2",0.102045455645344
"Rps13",0.101916826882543
"Rpl10a",0.101822294848459
"Cstb",0.101704188675008
"mt-Nd4",0.101614839891637
"Rpl7",0.101601755369439
"Rpl6",0.101334106454871
"Chia1",0.101176744912005
"Junb",0.101077588911366
"Cox6b1",0.101058450562572
"Rps5",0.101052512894558
"RP24-168A7.7",0.101009495622439
"Areg",0.100875866723398
"Tmem258",0.100854969710112
"Rpl32",0.100852792788083
"Sec61g",0.10084348531588
"Pdia6",0.100605438178378
"Fstl1",0.100470536347301
"Rps4x",0.100196298655498
"Hsp90b1",0.100106121284859
"Rpl11",0.100026641896813
"Dlk1",0.0999887975247663
"Rpl3",0.0998822684166618
"Bsg",0.0997705357854037
"Eef2",0.0996880582110655
"Socs3",0.0996669556488373
"Arl6ip1",0.0996298463489685
"Rpl19",0.0996129653367131
"RP23-82K1.6",0.0994667493974671
"Akap7",0.0993406493858071
"Akr1a1",0.0992391480281991
"Cox6a1",0.0991364692489669
"Eif3k",0.099008922566593
"Tspan1",0.0989628356722071
"Emb",0.09886797755397
"Hspa5",0.0987959027206839
"Rpl31",0.0987789764129532
"Cited2",0.0985757405460934
"Serp1",0.0985414014821702
"Mpc2",0.0985031267343292
"Muc1",0.0983866296209067
"Soat1",0.0979875332768448
"Cox7a2l",0.0977585419059204
"Rpl41",0.0977043612325116
"Oaz1",0.0976894675261786
"Atp5j2",0.0976058831862828
"Cox8a",0.0975833838257634
"Rpl4",0.0974863803306154
"Mien1",0.0973143810416321
"Vapa",0.0972403849371977
"Chil1",0.0972146546070329
"Rpl13",0.0971968585135625
"Rpl39",0.0971945422178577
"Ndufb9",0.097083853203383
"Emc6",0.0970001454905731
"Pfdn5",0.0969847529426231
"Rps18",0.0968089296166616
"Rpl30",0.0966921151126476
"Atp5e",0.0960818682214457
"Rps3",0.0960598135271314
"Eif3f",0.0958930881566391
"Sec61b",0.0958158982290861
"Rai14",0.0957837191316646
"Rps15",0.0955809777994899
"Rps12",0.0955786746288739
"Rpl28",0.095539423221061
"Kras",0.0955176028247083
"Arpc1b",0.0953795962011126
"Rps17",0.0952449746279893
"Aldh1a7",0.0952159669671625
"Rpl36",0.0951051790409354
"Sem1",0.0949860614929752
"Prdx5",0.094985586276649
"Tst",0.0949838864711767
"Rpl36a",0.0949646795360701
"Prdx1",0.0948968322227493
"Sub1",0.0948907488010663
"Romo1",0.0947780029168309
"Comt",0.0944419452744673
"Selenbp1",0.0944244373274974
"AC026478.1",0.0943136116060077
"Hnrnpk",0.0942042475218773
"Rpl37rt",0.0939984022012268
"Top1",0.093874378364861
"Rplp2",0.093821803937619
"Rps8",0.0937382816687008
"Oat",0.0936582453265067
"Rpl34-ps1",0.0936434551005983
"Jund",0.0935174927846036
"Ngfrap1",0.0934780637623215
"Laptm4a",0.0933504105254272
"Pnrc1",0.0932488914358348
"Eif1",0.0932058235004928
"Csnk1a1",0.0931796390490783
"Rps19",0.0929785496777795
"Ndufa4",0.0929499942843662
"Tsn",0.0929362234114789
"Tmem213",0.0929302539969551
"Zdhhc3",0.0928973075983093
"Fasn",0.0926449481049773
"mt-Nd6",0.0926358826749335
"Slc25a5",0.0924644086543551
"Cox7c",0.0923556903844718
"Rps27l",0.0922304478732457
"Rpl10a-ps1",0.0922077707279761
"Ndufs7",0.0921061793458212
"Adk",0.0921041813702937
"Calm2",0.0920275147654623
"Srrm2",0.0917712045946876
"Anxa2",0.091567953075105
"Rps6",0.0914993421093714
"Mtch1",0.0914857950893769
"Bex2",0.0914644068963789
"App",0.0913637369596804
"Ywhab",0.0910976448313926
"Ndufa11",0.0909868128462474
"Rpl26",0.0908313293117838
"RP24-228M19.1",0.090790405688311
"Cyb5a",0.0907634614425084
"Fkbp4",0.0907543890593895
"Dapk1",0.090699510971088
"Rps27a",0.0906679670880791
"Rps25",0.0905881380554577
"Tmem110",0.0904400120049086
"Rock1",0.090322243737693
"Higd1a",0.0903218442470231
"Mbip",0.0903070475401651
"RP23-81C12.1",0.0903045623924216
"Cox7b",0.0902842877288201
"R3hdm4",0.0901930351259198
"Eif3h",0.0901831970770585
"Atp6v1b2",0.0901256659983126
"Rpl38",0.0900702765810368
"Spcs2",0.0897990925329734
"Rrbp1",0.0897713956506367
"Ctsb",0.0897111778537583
"Rps15a-ps5",0.0896644043759239
"Btg2",0.0895842502722836
"Ndufc2",0.0895625259747087
"Bcl2a1b",0.0894772583521482
"Ddx5",0.0891874590835471
"Gabarap",0.0891628481624206
"Ssr2",0.0890836569913705
"mt-Co1",0.0889345041982139
"Ybx1",0.0888895917826945
"Scand1",0.0888158961221319
"RP23-8J15.1",0.0886124530066465
"Elf5",0.0885930212575399
"Lifr",0.0884768275209146
"Ndufa2",0.0884731378129333
"Ifi30",0.0884479032178862
"mt-Nd2",0.0884165606574746
"Gas6",0.0881744746129453
"Psmb1",0.0881336336587602
"Gadd45g",0.0880186615106397
"Snx30",0.0879643395573969
"Myl12a",0.0879526055023316
"Vgll4",0.0877902241005708
"Srsf5",0.0877839792398447
"Rpl22",0.087759697777396
"Aes",0.0876485454124481
"Atp5f1",0.0875180730993362
"Atp5h",0.0873679728359707
"Atp5d",0.0873145469129057
"Mecom",0.087052103364394
"Arpc2",0.0870190508597114
"Ass1",0.0869441866807809
"Atrx",0.0869391927189944
"Eif3e",0.0869281620679476
"Kcnq1ot1",0.0868517851806251
"Eci2",0.0868472463016549
"Srsf3",0.0868471318522403
"Cndp2",0.0867917162961446
"Sgms1",0.0867258991546955
"Atox1",0.0863336306262085
"Atp5j",0.0861642994097238
"Rpl14",0.0861019632237881
"Rps24-ps3",0.0860695011132033
"Rab3a",0.0860398755130473
"Carkd",0.0860162570143312
"Eif2s2",0.0859833911434233
"Srp14",0.0859488535467795
"Erp44",0.0859170215368694
"H2afj",0.0858481764932053
"Rps10",0.0857924002836431
"Cyb5r3",0.0855312146191614
"Creb3l1",0.0855018265172223
"Slc31a1",0.0854289863471925
"Rpl28-ps1",0.0853980367615344
"Rpl35",0.0853182478930317
"Etv5",0.085201666343544
"Dnajc3",0.0849932101806912
"P4hb",0.0849430338353386
"Bmp1",0.0847612840458167
"mt-Rnr2",0.0847142644060567
"Mtch2",0.0845958648705864
"Atp6v0b",0.0845864339021238
"Cdkn1c",0.0845440791275806
"Phlda1",0.0843633593551282
"Srrm1",0.0842514783351933
"Vdac2",0.084221775046077
"Arf5",0.084150099302011
"Hnrnpa2b1",0.0840068773828193
"Swt1",0.0839688898708675
"Bri3",0.0839070827288229
"Gas5",0.0837887081041223
"Cadm1",0.0836680657851165
"Reep5",0.0836304526649099
"Cthrc1",0.0836268696252043
"Irx3",0.0836041105734546
"Rab9",0.0834173057843736
"Cnpy2",0.0833941545484786
"Rps20",0.0831038301915822
"Egln3",0.0831010966324654
"Tmbim4",0.0830809761003141
"Spint2",0.0830799895505728
"RP23-407K8.3",0.083072485937742
"RP23-263B18.4",0.083035356623829
"Atpif1",0.083006586752108
"Dstn",0.0829738344333064
"Dnaja2",0.0829461615180634
"Rpl9-ps6",0.0829054334875405
"Sf3b1",0.0828704738710689
"Mid1ip1",0.0828582604654677
"Apoa1bp",0.0827553783790803
"RP24-381P6.1",0.0826034081681223
"RP24-417N21.2",0.0824890312959349
"Tkt",0.0824835216021519
"Rpsa",0.082470422235498
"Ndufa10",0.0824523830426571
"Hibadh",0.08245046636992
"Lmo4",0.0824224169472402
"Tmx1",0.0824167622600028
"Ier2",0.0823628789300016
"Tmed3",0.0822532080606512
"Hdac2",0.0822525628849655
"RP23-465K20.11",0.0819840129932776
"Calr",0.0819759872509532
"Gm9843",0.0819718793738855
"Tmem243",0.0819017943598265
"RP23-162H6.1",0.0818558492268006
"Ndufb3",0.0817000376519155
"RP23-123N23.5",0.0816540029554978
"Crlf1",0.0816280642561658
"Prrc2c",0.0815125606147474
"Ank3",0.0813788375408556
"Tspan3",0.0813386878678201
"Rad21",0.0813384010343009
"Rps21",0.0813354419932501
"AC155158.1",0.0813263545010678
"Mrfap1",0.0810720717013985
"Zfp36",0.0809813683019948
"Exosc7",0.0809687714561164
"Wfdc2",0.0807058395025349
"Slc25a3",0.0805198125983731
"Lrrfip1",0.080423429460214
"Ndufv3",0.0803409561142979
"Cachd1",0.0803092569604335
"Eif4h",0.0802972692583279
"Snrpb",0.0802860608438583
"Limd2",0.080249193299785
"Vimp",0.0802031932581509
"Ncl",0.080202059448083
"Tmem176b",0.0800017821210226
"RP24-483K3.1",0.079824513828204
"Gnb2l1",0.0798215074691636
"RP23-8J15.4",0.0797594953464808
"Ndufa6",0.0794206267902176
"Nfkbiz",0.0793729946108056
"Nedd4",0.079366959121087
"Smim14",0.0793612208468909
"Atp5c1",0.07925417307505
"Jun",0.0791132297268734
"Ndufa13",0.078994522774944
"Ctsz",0.0789829555158262
"Rac3",0.0789454631333649
"Atp2b1",0.0788758634578885
"Itm2c",0.0786896774874532
"B4galt1",0.0786618239817455
"Scgb3a2",0.0785545487441126
"Ift20",0.0784731611597603
"Ncor1",0.0784631359635454
"Fermt2",0.0784205623550168
"Pon3",0.0783741814489096
"Senp6",0.0783350753212375
"Ppig",0.0783083749856882
"Trp53inp2",0.0782943457046528
"Luc7l2",0.0782722212789404
"Aldh2",0.0782674221985572
"Snx6",0.078230058169647
"Krtcap2",0.0781387349788145
"Clk1",0.0781124973543962
"Actr3",0.0780458565027862
"Pdia3",0.0780295362137957
"Scd2",0.0780091020328638
"Dad1",0.0779876827815697
"RP23-223E16.4",0.0779700088443753
"Txlng",0.0779361946021251
"Pbrm1",0.077882440478398
"Timm13",0.0778568284213702
"Smdt1",0.0778260257147613
"RP24-262N5.2",0.0778101536005847
"Mrps15",0.0777185653610869
"Rps27rt",0.0776325688507465
"Pla2g4c",0.0776102199074341
"Ddx3x",0.0775537004852463
"Hadh",0.0774915709884431
"Ezr",0.0774260907976043
"Ndufb2",0.0773479900744656
"Gpbp1",0.0771885456775858
"Prdx2",0.0771764429290491
"RP24-95O4.6",0.0771689042095852
"Psma3",0.0770581066069421
"Tgoln1",0.0770051278202885
"RP23-55L3.5",0.0769943081457283
"Pim3",0.0769212885327328
"Cebpb",0.0768534261296868
"Nkx2-1",0.0768044847201274
"Arpc3",0.0767701693373742
"Tmc4",0.0767402587113513
"Hmgn1",0.0767034650498657
"Sec14l4",0.076550784512494
"Clta",0.0765454407466814
"Ndufa3",0.0765383345078389
"Dhrs3",0.0764935014174405
"2410015M20Rik",0.0763748976927368
"AC102483.1",0.0763173556729984
"Avpi1",0.0762913441160795
"Irf2bpl",0.0762463956723777
"Nfe2l2",0.0761130062067292
"Dnajb1",0.0760955639535396
"Cfl1",0.0759410015410759
"Baiap2",0.0757307002350489
"Zfas1",0.0756775455560638
"Atp5a1",0.0756499625118401
"Elob",0.0755812513300453
"Nek6",0.075541679833523
"Ggnbp2",0.0754940965691904
"Zfp36l1",0.0754801599542089
"Tmem30a",0.0754515178321505
"Foxa1",0.0754350311277157
"Echs1",0.0754209439701491
"Fos",0.0754007595706635
"Rbm39",0.0752884818485052
"Rps11",0.0751962703605622
"Vps28",0.0750475064266989
"Zfp706",0.0749641906416236
"Tc2n",0.0749551067979618
"Prpf4b",0.0749387819059328
"Cd24a",0.0749180057208064
"Edf1",0.0747773741395967
"Ndufb10",0.0747126458717482
"Slc38a2",0.0747124142124702
"Yipf6",0.0746009392087304
"Lyz1",0.0745569918884022
"Eef1b2",0.0745176429795588
"Arpc5",0.0744843166334356
"Mrpl57",0.0744233130120694
"Ssr4",0.074406976948469
"Ndufb5",0.0744019799743832
"Vasp",0.0743751122727065
"Gk",0.0742837431499972
"RP23-311B24.6",0.0742595865863054
"Manf",0.0742454859310244
"Alad",0.0741995374419099
"Ndufab1",0.0741866117585408
"Degs1",0.0741834816091047
"Mgst2",0.0741337798438317
"RP23-360H6.2",0.0740664367237686
"Herpud1",0.074036052147059
"Gyg",0.0739938466923261
"Papola",0.0739612159216741
"Vps36",0.0739475040758806
"AC120860.1",0.0739409230856231
"RP23-235E15.1",0.0739233585997993
"Cst3",0.0739016184268979
"Por",0.0738944057672577
"Kif5b",0.0738891209792304
"Bag1",0.0738802554552202
"Sat1",0.0737897331568196
"Snx29",0.0737569245326497
"Fis1",0.0736744284577356
"RP23-396N8.2",0.0736453896753074
"Aldoa",0.0734611663493888
"Hacd3",0.0734404263503827
"Pnn",0.0733537411139953
"Tmem189",0.0732721274250128
"RP23-341M13.1",0.0732502217096473
"Rpl12",0.0732483539511927
"RP23-4P23.3",0.0732240380360929
"Thoc2",0.0731824551152802
"Rsrc2",0.0730539240428457
"RP24-91G8.1",0.0730397104649084
"Ppic",0.0730369197478842
"Gstt3",0.0730072640167065
"Cdc5l",0.072905288523499
"Rps10-ps1",0.0728857349941903
"Rpl3-ps1",0.0727222392577414
"Lman1",0.0727023372478343
"Eef1g",0.072605537592858
"Tpr",0.0725849121603617
"Psma2",0.0725805474851821
"Sep15",0.0725803444380664
"Fut8",0.0724734358161065
"Arpp19",0.0723986291997605
"Atp6v1f",0.0723843454063317
"Wdr89",0.0723726182972281
"Hipk3",0.0722286914751286
"Rab18",0.0722261444298963
"Zc3h13",0.0721878942587165
"Mrpl32",0.072094020559987
"Srsf9",0.0720685857671683
"Atp5b",0.0720546641924844
"Slco4c1",0.0720361572071661
"Rps3a1",0.0720084356636923
"Slc26a9",0.0719987776118974
"Dnajc9",0.0719687054888685
"Dnajc19",0.0719586677084065
"Tmem126a",0.0718985153654469
"Selk",0.0718906467072117
"Msrb1",0.0718804623019753
"Ndufc1",0.0718719143635071
"Peli1",0.0718425886975337
"RP24-239J20.1",0.0718180184706593
"Dhrs7",0.0717891718639687
"Rian",0.0717328303945476
"Rpl35a-ps2",0.0717064688045323
"Srebf1",0.0716359704763881
"Pabpc1",0.0716068376397581
"Klf9",0.0716024462164638
"Eif4g2",0.0715855675869244
"Znrf3",0.071582101280173
"Tax1bp1",0.0715150630243003
"Eif5a",0.0714821397382546
"RP23-8J15.2",0.0713572398479896
"Prrc2b",0.0713384648036089
"Tuba1c",0.0712772898490262
"Pdia4",0.0712098387013464
"Cuta",0.0711746824386627
"Csnk2b",0.0711674268858548
"Eef1d",0.0710612220514989
"Eml4",0.0708824314827098
"Rbm47",0.07087415962609
"Mrpl17",0.0708299832342575
"Zfr",0.0708102285143215
"Dynlrb1",0.0707466684721183
"Smim22",0.0707325011101362
"Rbx1",0.0706810626557055
"RP23-234K24.8",0.0706616313436777
"H1f0",0.0705667757572879
"AC122438.1",0.0705375553971253
"Phb2",0.0705070796890779
"Lamtor5",0.0704261300748551
"Chmp4b",0.0704095551066977
"Mtdh",0.0703590698257039
"Car8",0.070309447753214
"Rbbp7",0.0702834251820685
"Matn4",0.0702028712735229
"Pdhb",0.0701969993374136
"Snx4",0.0701672741562335
"Isca1",0.0701161833093072
"Sod1",0.0700981914295573
"Arf4",0.070073884944235
"Nrip1",0.0700512618095626
"Mapre1",0.0700347137080557
"Ptp4a2",0.0700272120653017
"Cebpd",0.0700240399385617
"AC133169.2",0.0700188751028081
"Zbtb20",0.0700039664154103
"Ssna1",0.0699817966213886
"Cabin1",0.0699775601810445
"Rab11a",0.0699768998073009
"Dnajb9",0.0699303964899325
"Rbm5",0.0699272590628785
"Irx5",0.069916235487596
"Hspe1",0.0699132250830303
"Snd1",0.069909547212429
"Nedd8",0.0698825557353555
"Slc12a2",0.0698631933690064
"Reep3",0.0698448806020784
"Mpst",0.0697986911643145
"Jtb",0.0697944009098541
"Rpl7a",0.0697530651604184
"Eci1",0.0697273520762315
"Gja1",0.0697273009367782
"Ccnt1",0.0696990384237929
"mt-Co2",0.0696330156582978
"Glul",0.069631869901445
"Tpm3",0.0695868060913459
"RP23-228E2.8",0.069543976527242
"Anapc4",0.0695277532109016
"Hagh",0.0695223842482367
"Asph",0.0694988632732092
"Smagp",0.0694253611311472
"Ndufs2",0.0693675178424668
"Bmpr2",0.0693496021503184
"Atp5g3",0.0692074473489032
"Hsp90ab1",0.06919462102671
"RP24-171J16.5",0.0691695255779336
"Slc25a51",0.0691661917253563
"Atp6v1a",0.0691612801484399
"Ndufb8",0.0691176773114762
"Zfand6",0.0690343258003285
"Smchd1",0.0689602806114474
"Pla2g12a",0.0689471000106446
"Hcfc1r1",0.0689344451293161
"Snrpd2",0.0689271990529275
"Hif3a",0.0689204223603204
"RP24-321J24.3",0.0689143410798821
"Cox5b",0.0688875520123324
"Dram2",0.0687604504713683
"Minos1",0.0687574800653812
"Arpc1a",0.0687261120030474
"Car2",0.0686520529848795
"Epcam",0.0686471205739085
"Atp5o",0.0686330013312442
"Eif5",0.0686031632608516
"C1galt1",0.0685911404036801
"Eef1a1",0.068505448576929
"Cwc15",0.0684631089083124
"RP23-68E4.3",0.0684302788408818
"RP23-463F22.3",0.0683467298487137
"Eif4a2",0.0683158897749319
"Sec62",0.0682161179944497
"Higd2a",0.0681619261770067
"Rala",0.0680788086694222
"Tomm7",0.0680132379174042
"Tceal8",0.0680095546326199
"Ddi2",0.067990153921649
"Mapk13",0.0679705718833831
"Dnaja1",0.067914147593887
"Scp2",0.0678800495153832
"Homer2",0.0678800027626928
"Ndufs4",0.0678783375099364
"Mrps12",0.067862424351939
"Auts2",0.0677850214820944
"Btg1",0.0677706231811292
"Psmb6",0.0677704606661356
"Raly",0.067724326732661
"Atp5k",0.0677022504335764
"Myl6",0.0676907193935753
"Gng5",0.0676514043339405
"Myo5c",0.0676481339791669
"Sri",0.0676400507424752
"Coa3",0.0676034165843745
"Purb",0.0675530264528317
"Rab7",0.0675041905701384
"Txn1",0.0674516285106631
"Chmp2a",0.0674203511005996
"Gpx1",0.0673828403163092
"Mettl7a1",0.0673683504100586
"Yipf4",0.0673214435025817
"RP24-202L5.2",0.0672860187806715
"Tmem147",0.0672586353250876
"Idh2",0.0672167697532352
"Trim8",0.067180701756892
"Atf3",0.0671535353423109
"Klf5",0.067153365060017
"Cox14",0.0671142542192069
"Tmem248",0.0670790621597786
"Hp",0.0670198031637453
"Csnk1g3",0.0669810522188199
"Anapc13",0.0669387073602311
"Add3",0.0669350685495106
"Clic4",0.0669068031804025
"Snx3",0.0669056254963352
"RP23-34D17.1",0.0668784655052306
"Mdh2",0.0668330526875539
"Irx2",0.0667678499156066
"Kdm7a",0.0667662511385103
"Nfib",0.0667611345918463
"Ehmt1",0.0667560588693584
"Capg",0.0667482712444016
"Psme2",0.0667292705935295
"Acsl4",0.0667049792964205
"March7",0.0666906792770015
"Larp4",0.0666903865886345
"Ash1l",0.0666761477506156
"Npm1",0.0666756662326362
"Erp29",0.0666638663562867
"Anp32a",0.0666531568555714
"Rps11-ps1",0.0666454722167785
"Ncoa1",0.0666292925104132
"Tagln2",0.0665693576474417
"Hint1",0.0665617729706321
