"","gene","distance","Z","FC","p.value","p.adj"
"1335","Ctsh",7.36093156664467e-05,2.90045057823768,1264476.64379457,0,0
"4719","Retnla",1.56716987032457e-06,2.24512533478183,573.162012029658,1.15211914057876e-126,4.09405536604661e-123
"5784","Slc34a2",1.17079204892586e-06,2.19771266583687,319.893032024868,1.52827388970297e-71,3.62048084470634e-68
"2942","Lcn2",1.13135885752556e-06,2.19216178228584,298.707422349129,6.30060856132034e-67,1.11946062613259e-63
"2919","Lamp3",1.00130329272976e-06,2.17241074407056,233.978816625578,8.08463875329831e-53,1.14915055239382e-49
"5178","RP24-168A7.7",6.95726952089793e-07,2.11383592349138,112.959538021341,2.20223412596982e-26,2.60854632221126e-23
"5687","Sftpc",6.91240651061995e-07,2.11279942154843,111.507426472216,4.58086074035666e-26,4.65088246881639e-23
"645","Birc5",6.16077123375425e-07,2.09438023623612,88.5758679421538,4.8922109941479e-21,4.34611794192614e-18
"1360","Cxcl15",6.09304539784591e-07,2.092613998489,86.6391293670755,1.30244520327679e-20,1.02849756218758e-17
"894","Cd36",5.91905734234894e-07,2.08798698121899,81.7617815881835,1.53518699429994e-19,1.09105739684897e-16
"5685","Sftpa1",5.84569840383785e-07,2.08599608821704,79.7476807737723,4.25409645390383e-19,2.74853304526314e-16
"3585","Napsa",5.8371392092696e-07,2.08576220979302,79.5143207337362,4.78742642990861e-19,2.83535330311337e-16
"3854","Nusap1",5.78871257424001e-07,2.08443261073091,78.2004448956149,9.3097550657529e-19,5.0895714809466e-16
"3966","Pbk",5.77493806925772e-07,2.08405243123618,77.8287246508656,1.12374032809646e-18,5.7045875084154e-16
"5686","Sftpb",5.71714449919602e-07,2.08244758878961,76.2787538671709,2.4631981455243e-18,1.16706328134941e-15
"968","Cela1",5.64315226629005e-07,2.080369614531,74.3171059494718,6.65245592875783e-18,2.95493776785512e-15
"6548","Top2a",5.56340478658184e-07,2.07809996237578,72.2314895900638,1.91377423330093e-17,8.0007020447469e-15
"934","Cdk1",5.41271620181342e-07,2.07372306260868,68.371603474448,1.35413574854555e-16,5.34657931384067e-14
"3852","Nupr1",5.36113694937566e-07,2.07219747184513,67.0747486957096,2.61405295254855e-16,9.29954918258513e-14
"3985","Pclaf",5.36104784039022e-07,2.07219482381401,67.0725189772043,2.6170111671831e-16,9.29954918258513e-14
