"","gene","distance","Z","FC","p.value","p.adj"
"1360","Cxcl15",0.000172522314522922,2.96840974396125,1468612.50861516,0,0
"5784","Slc34a2",3.54689974952727e-06,2.24371530096313,620.746812771974,5.14432327934701e-137,1.82803527731596e-133
"4719","Retnla",3.15993210128478e-06,2.2234307513738,492.688213444472,3.70587465160831e-109,8.77921704966009e-106
"2919","Lamp3",3.02642095709781e-06,2.21586868039659,451.934340169542,2.73622383588603e-100,4.8615857004105e-97
"5686","Sftpb",2.28302999500089e-06,2.16673241763576,257.181607104933,7.06108017011527e-58,9.80770923075742e-55
"2942","Lcn2",2.28162131795607e-06,2.16662528234167,256.864332204365,8.28004156247988e-58,9.80770923075742e-55
"635","Bex2",2.25392420042109e-06,2.16450567458763,250.665915422038,1.85893785228861e-56,1.88735304517359e-53
"5687","Sftpc",2.07668661365753e-06,2.15031245932185,212.79361765092,3.37595243028582e-48,2.99911174025517e-45
"1321","Cthrc1",1.81781605906856e-06,2.12731388593076,163.048400454406,2.4414484211825e-37,1.92793043659378e-34
"5685","Sftpa1",1.75271111692327e-06,2.12102964441138,151.578412249287,7.83371947233304e-35,5.56742442898709e-32
"5178","RP24-168A7.7",1.39826720227147e-06,2.08225419810122,96.4710516788458,9.05582748637679e-23,5.85088781324362e-20
"192","Ager",1.34580047486274e-06,2.07571640110728,89.367174153394,3.27932962707304e-21,1.94218297163401e-18
"2965","Lgi3",1.27002021580963e-06,2.06582331686668,79.5862311693316,4.61631375012476e-19,2.52370321708744e-16
"2555","Hopx",1.2554120289752e-06,2.06385055770833,77.7659071191144,1.16005268583329e-18,5.88892459872655e-16
"2675","Il33",1.18950978021948e-06,2.05466464989586,69.8156370880611,6.5114631714896e-17,3.08513125065177e-14
"894","Cd36",1.18468336126482e-06,2.05397263890106,69.2502345742603,8.673061647303e-17,3.8524655704614e-14
"3585","Napsa",1.16816222378544e-06,2.05158296305593,67.3322282182613,2.29400596210978e-16,9.5902943368907e-14
"6666","Tspan1",1.13836510134532e-06,2.04718891141588,63.9410579135972,1.28197872683848e-15,5.06167933980059e-13
"1596","Dram1",1.13595055805409e-06,2.04682797779173,63.6700996446283,1.47100427176318e-15,5.50233018916892e-13
"1521","Dlk1",1.127874418158e-06,2.04561530012096,62.7679816384134,2.32548735285308e-15,8.26361930836343e-13
"1802","Emp2",1.09213569869521e-06,2.04014580014388,58.853172331638,1.69887646364746e-14,5.74948334625835e-12
"616","Bcl2a1b",1.0812536767456e-06,2.03844588802985,57.6861912695184,3.0745364685717e-14,9.93215031006323e-12
"3852","Nupr1",1.07214420443592e-06,2.03701006194472,56.7182830620562,5.02937645589702e-14,1.55407732487218e-11
"539","Atp6v1c2",1.00769112311694e-06,2.02649952928637,50.1039005547559,1.4581685253816e-12,4.31800154578627e-10
"800","Cbr2",1.00325076296499e-06,2.02575160585264,49.6633108063132,1.82527517747895e-12,5.18889227453717e-10
"6604","Trf",9.98956771013797e-07,2.02502527617253,49.2390948612852,2.26589504972674e-12,6.19373696861843e-10
"2657","Igfbp7",9.92549171378011e-07,2.02393577846955,48.6094529251073,3.12359994505071e-12,8.22200918869459e-10
"353","Apoc1",9.83590214518714e-07,2.02240097483939,47.7358950355043,4.87680296803271e-12,1.23783709620745e-09
"962","Cebpa",9.63623328925892e-07,2.01893097797008,45.8174887790302,1.29799537640927e-11,3.17258750119529e-09
"3003","Lpcat1",9.62979198415386e-07,2.01881787844797,45.7562561836595,1.33920958260671e-11,3.17258750119529e-09
"6080","St3gal6",9.425988884651e-07,2.0152009846183,43.8399971920379,3.56347719256600e-11,8.16955884115051e-09
"5688","Sftpd",9.2560704722878e-07,2.01212697853705,42.2736722623072,7.93536555706987e-11,1.76239509419049e-08
"1903","Fabp5",8.98760301077257e-07,2.00715674011556,39.856984080541,2.73255356175407e-10,5.88492671617762e-08
"4210","Pmp22",8.39206820641234e-07,1.9955965967462,34.7499897573182,3.74880675724269e-09,7.83610871285995e-07
