"","gene","distance","Z","FC","p.value","p.adj"
"1596","Dram1",0.000142987205298772,2.93573046661788,1470101.60177633,0,0
"4719","Retnla",3.1455228608973e-06,2.27095021155915,711.440667409204,9.72488279967578e-157,3.45573710286479e-153
"5784","Slc34a2",2.3481514635298e-06,2.22270135110011,396.465324104177,3.23890046435091e-88,7.67295520004731e-85
"635","Bex2",2.23766431042144e-06,2.2147824481567,360.033460933871,2.7688405003396e-80,4.91953735897839e-77
"5687","Sftpc",2.0752728595466e-06,2.20242345605213,309.673047308836,2.57305609228942e-69,3.65734192958019e-66
"2919","Lamp3",2.00853091492237e-06,2.19706857599799,290.074823295487,4.78909005271157e-65,5.67267716743685e-62
"1360","Cxcl15",1.82789626900706e-06,2.18165671123967,240.245956946382,3.47597020363307e-54,3.52910289103146e-51
"1321","Cthrc1",1.8141792631811e-06,2.18042645089858,236.653750678216,2.11036799391044e-53,1.87479816659019e-50
"5686","Sftpb",1.71395369308827e-06,2.17115236005363,211.227842563502,7.41291451800253e-48,5.85373149771599e-45
"894","Cd36",1.1836738412626e-06,2.11107760855581,100.743513920015,1.04699982585411e-23,7.44102776234519e-21
"5685","Sftpa1",1.1683082315213e-06,2.10896769979492,98.1449296763258,3.88855128927153e-23,2.51235763753207e-20
"1521","Dlk1",1.127613648297e-06,2.10324642910091,91.4268259221039,1.15795967657127e-21,6.53332200772161e-19
"2942","Lcn2",1.12722870684549e-06,2.10319135547076,91.3644145316019,1.1950638258109e-21,6.53332200772161e-19
"616","Bcl2a1b",1.06536053918972e-06,2.09409286030406,81.6105318329156,1.65728625304142e-19,8.41309528597526e-17
"192","Ager",1.00934028182322e-06,2.08539894912608,73.2534708079558,1.14024485206094e-17,5.40248010906471e-15
"539","Atp6v1c2",1.0061663445572e-06,2.08489241191101,72.7934943932423,1.4395058060474e-17,6.39410485223679e-15
"6604","Trf",1.0029000954225e-06,2.08436951496302,72.3216523870219,1.8283032874364e-17,7.64338321400616e-15
"2657","Igfbp7",9.91369215077712e-07,2.08251016779678,70.6681711675118,4.22656732709223e-17,1.66878966631358e-14
"353","Apoc1",9.82067145775971e-07,2.08099480013631,69.348226604069,8.2526791642663e-17,3.08693635897056e-14
"962","Cebpa",9.6235858005398e-07,2.07773741549886,66.5927332157447,3.33814439436851e-16,1.18620961053885e-13
"3003","Lpcat1",9.61079180188596e-07,2.07752371937604,66.4157885668559,3.65165481884441e-16,1.23582432369177e-13
"6080","St3gal6",9.42443723330831e-07,2.07437925951357,63.8651369401092,1.3323469343414e-15,4.3040862101656e-13
"2555","Hopx",9.41565429489288e-07,2.07422957007135,63.7461564260825,1.4152942449565e-15,4.37325921691558e-13
"1903","Fabp5",8.97706851976882e-07,2.06657624178898,57.9458149396584,2.69438167720266e-14,7.97873774161639e-12
"2965","Lgi3",8.46359620446069e-07,2.05713918461177,51.5065979357203,7.13568833657238e-13,2.0285334803208e-10
"1282","Cryab",8.2088720668061e-07,2.05224865991914,48.4529216586488,3.38313906879309e-12,9.2476805238125e-10
"1802","Emp2",8.19184747714882e-07,2.05191655070779,48.2521545567015,3.74786180845048e-12,9.86520513802133e-10
"1097","Clic3",8.09941291057343e-07,2.05010155528002,47.1693699094353,6.51100181236354e-12,1.65263178144527e-09
"224","Akap5",7.93977010418711e-07,2.04691885333578,45.3282393286577,1.6662913096869e-11,4.0058434017424e-09
