"","gene","distance","Z","FC","p.value","p.adj"
"3278","Mgst1",0.000159027626212659,2.669485362322,1123173.55433634,0,0
"4719","Retnla",4.74950963907992e-06,2.11075207853606,1001.84206648374,7.1427821407158e-220,2.53818763370336e-216
"5784","Slc34a2",3.52904899560039e-06,2.06543864194517,553.117109234297,2.64177400947033e-122,6.25836262843521e-119
"2919","Lamp3",3.01068870949793e-06,2.04132379841297,402.562600003305,1.52438000156806e-89,2.70844216778605e-86
"5686","Sftpb",2.28623522138596e-06,1.9997382503327,232.136557033956,2.03893923544486e-52,2.89814822926133e-49
"2942","Lcn2",2.26605158153895e-06,1.9984027657866,228.055893187175,1.58244100378336e-51,1.87440136898139e-48
"635","Bex2",2.22687818643834e-06,1.99577726021642,220.239209116249,8.02058617772715e-50,8.14318656644383e-47
"5687","Sftpc",2.07219471305101e-06,1.9849487337013,190.705333492244,2.23035216432874e-43,1.98138910398554e-40
"1360","Cxcl15",1.82496673077934e-06,1.9658812290591,147.914796339974,4.95172209979057e-34,3.91020988480128e-31
"1321","Cthrc1",1.8102397902945e-06,1.96466700056629,145.537171457736,1.63879028834875e-33,1.16468825792946e-30
"894","Cd36",1.77495389919902e-06,1.96171793645659,139.918735572193,2.77322068604193e-32,1.79175267415454e-29
"5685","Sftpa1",1.75103297207505e-06,1.95968592251297,136.17279903445,1.82900343949502e-31,1.08322728704093e-28
"6604","Trf",1.50273526430552e-06,1.93682688157249,100.292087889318,1.3150105408488e-23,7.18906147216339e-21
"5178","RP24-168A7.7",1.3903424109465e-06,1.92523588339419,85.8509801681347,1.9401921281977e-20,9.84924675364363e-18
"5562","Scgb3a2",1.16574598210196e-06,1.8990384971871,60.3544881476528,7.9223710528456e-15,3.57060343083656e-12
"3585","Napsa",1.16546931033366e-06,1.89900327242517,60.3258431397936,8.03850498007387e-15,3.57060343083656e-12
"2556","Hp",1.14941074573357e-06,1.89694461862908,58.6748816883786,1.86000977170203e-14,7.7759349691096e-12
"6666","Tspan1",1.13948828840802e-06,1.89565848635748,57.6662151999295,3.10591952551359e-14,1.22632055932362e-11
"1769","Elf5",1.12970268012088e-06,1.8943793198507,56.680025209716,5.12818268814475e-14,1.91821022971814e-11
"1521","Dlk1",1.12847694457559e-06,1.89421832962504,56.5570954644962,5.45900463484221e-14,1.93985729699118e-11
"3852","Nupr1",1.07015346513636e-06,1.88635339109543,50.8620476836232,9.90911804119528e-13,3.3535286627988e-10
"1432","Dcxr",1.06168057229898e-06,1.88517608052689,50.0598399911369,1.49128080164155e-12,4.64285850059925e-10
"616","Bcl2a1b",1.06152400815088e-06,1.88515423954323,50.045076608421,1.50254320407743e-12,4.64285850059925e-10
"1089","Cldn10",1.04634657846131e-06,1.88302186279332,48.6242408127079,3.10013553268278e-12,9.18027634615687e-10
"192","Ager",1.00702703600021e-06,1.87735368193578,45.0385061520554,1.93197891795034e-11,5.49222966794922e-09
