"","gene","distance","Z","FC","p.value","p.adj"
"3759","Npc2",0.000108413491673579,2.6503941421919,1675251.87977162,0,0
"4719","Retnla",1.56361570818798e-06,1.98633190070503,348.476502635352,9.09713791151159e-78,3.23266795685565e-74
"1360","Cxcl15",1.21973302283789e-06,1.94931228220383,212.05231299598,4.89913490492435e-48,1.16060505897658e-44
"5784","Slc34a2",1.16877920425775e-06,1.94297230651791,194.705581539075,2.98722855612052e-44,5.30755833708713e-41
"5686","Sftpb",1.14398191852681e-06,1.93978843289423,186.531322907619,1.81762463321014e-42,2.58357165364489e-39
"2942","Lcn2",1.12909528832004e-06,1.93784446519637,181.708247662116,2.05328891521228e-41,2.43212072006895e-38
"635","Bex2",1.11069654257732e-06,1.93540693642592,175.834580621424,3.93512141488571e-40,3.99527255651325e-37
"616","Bcl2a1b",1.06783031611833e-06,1.9295711277333,162.524164817465,3.17815326175525e-37,2.82339190391182e-34
"2919","Lamp3",1.00022343110454e-06,1.91988443372903,142.596050868253,7.20366161349519e-33,5.68849145412337e-30
"5518","S100g",7.95682117766432e-07,1.88611130110648,90.2386616517807,2.11096567367063e-21,1.50026330427772e-18
"4543","Qpct",7.87435001371163e-07,1.88457727051915,88.3777377278883,5.40759874959991e-21,3.49380039212787e-18
"6666","Tspan1",7.62500141888548e-07,1.87984174489848,82.8692307905734,8.76652112855866e-20,5.19197213838887e-17
"5178","RP24-168A7.7",6.94842321731916e-07,1.86618623679887,68.8154533803515,1.08122127443727e-16,5.91095353648129e-14
"5687","Sftpc",6.91341885878894e-07,1.86544480243049,68.123850935016,1.53542179675232e-16,7.79445907822767e-14
"800","Cbr2",6.71599907979616e-07,1.86119320971569,64.2887091845951,1.0745979650212e-15,5.09144515827046e-13
"854","Ccnb1",6.21604904031245e-07,1.84985419555758,55.0734539375152,1.16108517997937e-13,5.15739523382085e-11
"645","Birc5",6.16303436599543e-07,1.84859990306021,54.1380524917232,1.86886765708061e-13,7.81296614051287e-11
"894","Cd36",5.91366326946306e-07,1.84255471580042,49.8455776548236,1.6633486425819e-12,6.56745489046086e-10
"5685","Sftpa1",5.84320796875404e-07,1.8408015525193,48.6649338716083,3.03647313060225e-12,1.13580076522054e-09
"3585","Napsa",5.83082802262561e-07,1.84049136402319,48.4589405062847,3.37277146546533e-12,1.1985143402531e-09
"999","Ces1d",5.81792516985188e-07,1.84016738750247,48.2447113212865,3.76211513985630e-12,1.27320725233137e-09
"3854","Nusap1",5.79159785947427e-07,1.83950415219237,47.8090647294562,4.69814784394043e-12,1.51771530576748e-09
"3966","Pbk",5.77742729179447e-07,1.83914594683571,47.5753976858305,5.29285744215445e-12,1.63549294962572e-09
"3309","Mki67",5.74830009322439e-07,1.83840695985168,47.096899264098,6.75624880997234e-12,2.00069417885306e-09
"853","Ccna2",5.72565646734225e-07,1.83782993332314,46.7265831400665,8.16143613808901e-12,2.25401092711543e-09
"926","Cdca3",5.72441877070569e-07,1.83779832886052,46.7063838548673,8.24599466793319e-12,2.25401092711543e-09
"976","Cenpe",5.63671340215017e-07,1.83554159229418,45.2861454894501,1.70249239431824e-11,4.34720951366853e-09
"968","Cela1",5.63598447785099e-07,1.8355226929045,45.2744336868033,1.71270390295088e-11,4.34720951366853e-09
"977","Cenpf",5.60912488621999e-07,1.834824611123,44.8439303332038,2.13381281298355e-11,5.22931298685312e-09
"6548","Top2a",5.56603714274057e-07,1.83369790122358,44.157619223359,3.02970228107981e-11,7.17736470387808e-09
"929","Cdca8",5.51711393222199e-07,1.8324082108465,43.3847755564685,4.49673184779988e-11,1.03091204007464e-08
"934","Cdk1",5.41540342321406e-07,1.82969078358263,41.7998843595437,1.0110939834875e-10,2.24557654395176e-08
"4605","Racgap1",5.4020203562893e-07,1.82932951436702,41.5935398376649,1.12363952277813e-10,2.41991093587398e-08
"3985","Pclaf",5.36358636679274e-07,1.82828712072511,41.0037905462954,1.51934260701194e-10,3.17587291412761e-08
"3852","Nupr1",5.35578551282277e-07,1.82807465702818,40.8846046310233,1.61488294987407e-10,3.27913517850143e-08
"1432","Dcxr",5.32885671391177e-07,1.82733889274607,40.4745040187098,1.99198486717103e-10,3.93251012527347e-08
"5993","Spc25",5.32069643948226e-07,1.82711521498178,40.3506387355523,2.12236037631963e-10,4.07665275527125e-08
"1089","Cldn10",5.25226178691851e-07,1.82522606807038,39.3193363246129,3.59859941700092e-10,6.7303279096383e-08
"5857","Smc2",5.2354161874463e-07,1.82475735145521,39.0675226768102,4.09398074733924e-10,7.46049260803589e-08
"1039","Chil1",5.07094598622899e-07,1.82010198843697,36.6514718098612,1.41252329858182e-09,2.50970077075525e-07
"539","Atp6v1c2",5.03310028758135e-07,1.81900987029682,36.1064356658846,1.8682880493895e-09,3.23851784561248e-07
"6604","Trf",5.01523654251107e-07,1.81849158087111,35.8505887730589,2.13043642869875e-09,3.60500278541953e-07
"4198","Plpp3",4.94286713692224e-07,1.81637325357253,34.8234122157687,3.61006024498408e-09,5.96667399095392e-07
"1036","Chia1",4.89586617415541e-07,1.81498117827402,34.1642999513765,5.06496697087128e-09,8.18107278681414e-07
"2520","Hmgb2",4.84510617099674e-07,1.81346301111729,33.4595461926588,7.2761763205534e-09,1.14915078022607e-06
"962","Cebpa",4.81659047848467e-07,1.81260330493384,33.0668553528473,8.90437629826657e-09,1.37572613808218e-06
"3003","Lpcat1",4.81009727210345e-07,1.81240684862833,32.9777611303686,9.32190943935863e-09,1.40959171033025e-06
"2427","H2afx",4.79463901202148e-07,1.81193810294477,32.7661397685002,1.03939690968896e-08,1.53895704940821e-06
"888","Cd200",4.75530239663608e-07,1.81073858791774,32.2306993560382,1.36910345683697e-08,1.98575883015109e-06
"4083","Pglyrp1",4.71431027220617e-07,1.80947822074861,31.6774179287258,1.82026501555241e-08,2.55043113326887e-06
"6080","St3gal6",4.71352397651804e-07,1.80945394023242,31.6668519122721,1.83019541011274e-08,2.55043113326887e-06
"5688","Sftpd",4.63122341590342e-07,1.80689036901641,30.5706670269394,3.21924254127997e-08,4.39983783478399e-06
"1903","Fabp5",4.4925560710414e-07,1.80246853746644,28.7673900821456,8.16137858174406e-08,1.09439467132934e-05
"6703","Tuba1b",4.31528044962315e-07,1.7966170016028,26.5418690052569,2.57887843416093e-07,3.39409056140403e-05
"6710","Tubb5",4.27331098691104e-07,1.79519726723069,26.0280989322861,3.36484248890429e-07,4.34798828520778e-05
"2965","Lgi3",4.2441248487355e-07,1.79420190277531,25.6737762501595,4.04283573542084e-07,5.1307917092207e-05
"4578","Rab3a",4.16691858308446e-07,1.79153622917264,24.7481921783552,6.53300484408422e-07,8.14562551349237e-05
"1259","Creb3l1",4.10153627296107e-07,1.78924074853341,23.9776470645762,9.7460657472985e-07,0.000119422912527673
"5560","Scgb1a1",4.08743385876485e-07,1.78874094285322,23.8130446494595,1.06160565258162e-06,0.000127878497845721
"904","Cd9",4.06570768104239e-07,1.78796763219328,23.5605676852546,1.21042801246958e-06,0.000143375198077022
"3669","Neat1",4.05209926329086e-07,1.78748119987134,23.4031114723862,1.31365884906971e-06,0.000153052023612106
"2430","H2afz",3.99617711321472e-07,1.78546534814067,22.7616062559421,1.8339318345869e-06,0.000210221831425953
"1017","Chad",3.95553728380885e-07,1.78398300016244,22.3010039591226,2.33084715672318e-06,0.000262941757822724
"5029","RP23-37G19.2",3.94199648795999e-07,1.78348578641778,22.1485814410291,2.52342357967271e-06,0.000280218302823968
"4116","Pi4k2b",3.89598598553754e-07,1.78178372535385,21.6345677182129,3.29853195547074e-06,0.000360656409346624
"5562","Scgb3a2",3.89251658729831e-07,1.78165458639801,21.5960534570124,3.36543612977009e-06,0.000362396281428425
"5830","Slco4c1",3.86797476215294e-07,1.78073785599142,21.3245911555891,3.8772573033727e-06,0.000411278621717459
"2556","Hp",3.83933665978936e-07,1.77966089469507,21.0099897964467,4.5689484929597e-06,0.000477522307933303
"5684","Sfta2",3.82026718921383e-07,1.77893940415078,20.8018005013992,5.09350561381264e-06,0.000524631078222701
"1596","Dram1",3.80017318472278e-07,1.77817532944728,20.583547605803,5.70845942650371e-06,0.000579571730630884
"5616","Selenbp1",3.78909958987837e-07,1.777752565455,20.4637626595737,6.0770986681037e-06,0.000604460647036824
"3097","Malat1",3.78774563945077e-07,1.77770079190994,20.4491407319519,6.12370431780657e-06,0.000604460647036824
"1769","Elf5",3.77753032612114e-07,1.77730958536774,20.3389893584382,6.48652646859044e-06,0.000631503337154414
"730","C2cd4b",3.75948656896377e-07,1.77661604549971,20.1451509156244,7.17819948837206e-06,0.000689398158971084
"1380","Cyp2f2",3.73630304036553e-07,1.7757201565617,19.8974598304747,8.17088190689271e-06,0.000774272769497153
"5613","Secisbp2l",3.69453936025026e-07,1.77409246320844,19.4551258931269,1.0299106830167e-05,0.000954398219600462
"5955","Snx29",3.69381500684768e-07,1.77406407386143,19.4474978757835,1.03403212198165e-05,0.000954398219600462
"4166","Pla2g1b",3.64816418586908e-07,1.77226382207636,18.9697759310378,1.32805574239879e-05,0.00121006309759336
"2894","Krt19",3.63609165160514e-07,1.7717840548867,18.8444337962102,1.41824361993545e-05,0.00127588068441535
"858","Ccnd2",3.62820692174107e-07,1.77146987096106,18.762795495809,1.48026821280935e-05,0.00131503327355451
"6447","Tmem213",3.59104864983017e-07,1.76998017384182,18.3804452487869,1.80905057285199e-05,0.00158727437299495
"3461","Msln",3.53064791900553e-07,1.76752620045132,17.7673342468747,2.49632600803526e-05,0.00216358401696422
"774","Car8",3.46738825826066e-07,1.7649116583527,17.1363529421276,3.47900053521468e-05,0.00297894660286395
"3278","Mgst1",3.4266966687429e-07,1.76320509155308,16.7365051208659,4.29466397496785e-05,0.0036335924845353
"192","Ager",3.36855549785259e-07,1.76073199692527,16.1733827231817,5.78006135237087e-05,0.00483281129779998
"2657","Igfbp7",3.30835642991449e-07,1.75812698471925,15.600482667057,7.82346158131149e-05,0.00646527226260242
"4685","Rbp4",3.29409411326501e-07,1.75750301635114,15.4662653104895,8.39909969384534e-05,0.00686119557748952
"3096","Mal2",3.2841056341813e-07,1.75706445087598,15.3726127035051,8.82582887022837e-05,0.0071278597478083
"5180","RP24-171J16.5",3.22071629387853e-07,1.7542504213933,14.7848999783873,0.000120496514371211,0.0096221205352382
"5876","Smim14",3.19183081327571e-07,1.75295010285806,14.5208880092544,0.000138614052770763,0.0109458897004646
"909","Cdc20",3.15175100640766e-07,1.75112666431404,14.1585001696777,0.000168036186032677,0.0131234414740026
"2555","Hopx",3.14110742180901e-07,1.75063862136721,14.0630340374078,0.000176784364439109,0.013552226406019
"3016","Lrrc26",3.14044796657749e-07,1.75060833001804,14.0571297707784,0.000177340235790033,0.013552226406019
"2334","Gpm6b",3.12053827491624e-07,1.74969085906666,13.8794570578983,0.000194917374881391,0.0147369976944899
"964","Cebpd",3.11011566117982e-07,1.74920828266641,13.7868969774717,0.000204759334237472,0.0153181535623759
