"","gene","distance","Z","FC","p.value","p.adj"
"4719","Retnla",0.000112694247713735,2.89517247612299,1276392.66794703,0,0
"5784","Slc34a2",2.42236085196591e-06,2.2479951406515,589.737143136359,2.85814315583073e-130,1.01564117042445e-126
"2919","Lamp3",2.04415163150544e-06,2.22062793031426,419.959121824877,2.49082883811457e-93,5.90077351749341e-90
"5687","Sftpc",1.38763912212209e-06,2.15855979954747,193.52357323744,5.41062296872414e-44,9.61332435968062e-41
"1360","Cxcl15",1.2312452852598e-06,2.13950705879726,152.359649248204,5.28716034104169e-35,7.51516970875666e-32
"894","Cd36",1.20258514449479e-06,2.1357602580548,145.349142058586,1.80148413421997e-33,2.13385795698355e-30
"2942","Lcn2",1.19080411524353e-06,2.13419471068343,142.515288687153,7.50260256224115e-33,7.61728520140684e-30
"5685","Sftpa1",1.18078200892812e-06,2.13285093120515,140.126494633218,2.49776960772653e-32,2.21895607526406e-29
"616","Bcl2a1b",1.16941270578932e-06,2.13131294649141,137.441035828271,9.65685659138854e-32,7.62569775499982e-29
"635","Bex2",1.15495125790376e-06,2.1293354027193,134.062747492485,5.29357514649914e-31,3.76214385661694e-28
"5686","Sftpb",1.15208437440992e-06,2.12894049335493,133.398017691059,7.39872907307711e-31,4.78025159294173e-28
"6604","Trf",1.01740306793289e-06,2.10921425655996,104.031985909931,1.99076109880317e-24,1.17902826076618e-21
"539","Atp6v1c2",1.01578087731506e-06,2.10896140929494,103.700504360504,2.35331311873777e-24,1.28653817960533e-21
"962","Cebpa",9.70813917063666e-07,2.10179061531466,94.7224211385257,2.19044061629424e-22,1.11196153285737e-19
"6080","St3gal6",9.54933549980989e-07,2.09918035115295,91.6488683564449,1.03505094968762e-21,4.90407139961997e-19
"1903","Fabp5",9.05964517834759e-07,2.09085539331164,82.4903565712002,1.06186940239677e-19,4.71669115177116e-17
"1321","Cthrc1",9.05271158553753e-07,2.09073438622521,82.3641406619051,1.13188793322834e-19,4.73195737732577e-17
"2965","Lgi3",8.49352252485615e-07,2.08066412518837,72.5030854678018,1.66771009005976e-17,6.58467533891929e-15
"5518","S100g",8.38084706532188e-07,2.07855667014731,70.5921866217373,4.3925331195199e-17,1.6430385726541e-14
"4543","Qpct",8.29100323234135e-07,2.07685630046634,69.086783275732,9.42246871694805e-17,3.34827425856749e-14
"5562","Scgb3a2",7.87335974163796e-07,2.06870776073998,62.3018572935015,2.94647071297535e-15,9.97169874148372e-13
"2556","Hp",7.76948014634972e-07,2.06661535294026,60.6687051235151,6.75352898172363e-15,2.18169683968681e-12
"6666","Tspan1",7.68833884492653e-07,2.06496183344332,59.408123447882,1.28139035708194e-14,3.95949620338318e-12
"1596","Dram1",7.61180094380124e-07,2.06338640637153,58.231187710015,2.33054952230364e-14,6.90133977292166e-12
"1769","Elf5",7.59225798942104e-07,2.06298165874887,57.9325596824448,2.71259873268866e-14,7.71137567728732e-12
"1380","Cyp2f2",7.56385228599519e-07,2.06239153719749,57.4998724223544,3.38001208475884e-14,9.23913303322349e-12
"1521","Dlk1",7.53216660616218e-07,2.06173071227703,57.01913684533,4.31591656755677e-14,1.136045149838e-11
"5178","RP24-168A7.7",7.20056468549933e-07,2.0546470647938,52.1091411830721,5.24999600717457e-13,1.33256148653535e-10
"800","Cbr2",6.8000657519755e-07,2.0456534737108,46.4736761525232,9.28575600670529e-12,2.27565061860878e-09
"192","Ager",6.72985133459221e-07,2.04402353002123,45.5188985229205,1.51173154776111e-11,3.58129203664606e-09
"2657","Igfbp7",6.61116838490675e-07,2.041230255715,43.9275761788825,3.40753951308266e-11,7.81205913531563e-09
"2555","Hopx",6.2778529146901e-07,2.0331149899792,39.6098388763822,3.10116971976817e-10,6.88750412449761e-08
"645","Birc5",6.212252806139e-07,2.03146828737861,38.7863618726487,4.72819824723192e-10,1.01828196797204e-07
"3069","Lyz1",6.09593843035873e-07,2.0285062931539,37.3475353561795,9.88457175160749e-10,2.06616621878454e-07
"3585","Napsa",5.99875419972943e-07,2.02598876002,36.1662047934812,1.81185547328599e-09,3.6791019567553e-07
"2675","Il33",5.93232407736375e-07,2.02424484778658,35.3696318506542,2.72705880723383e-09,5.38366859528079e-07
"999","Ces1d",5.88572009840615e-07,2.02300997149957,34.8160913403998,3.62366051314661e-09,6.96036628836025e-07
"3854","Nusap1",5.84513106379982e-07,2.02192665855125,34.337550453943,4.63354867155845e-09,8.51281787761268e-07
"968","Cela1",5.84378148893998e-07,2.02189051243184,34.3216959779638,4.67144923634297e-09,8.51281787761268e-07
"3966","Pbk",5.82508067679672e-07,2.02138880018213,34.102380248474,5.2287267765108e-09,9.29014030016557e-07
"853","Ccna2",5.77357171065047e-07,2.01999871078729,33.5019381016083,7.11930145871398e-09,1.23407013334342e-06
"977","Cenpf",5.66049522818098e-07,2.01690404868701,32.2025053050109,1.38911521287776e-08,2.35058138521957e-06
"6548","Top2a",5.61660268262637e-07,2.01568648604595,31.7050329829272,1.79456532127282e-08,2.90938583091481e-06
"3279","Mgst2",5.61596555737047e-07,2.01566874400035,31.6978404031116,1.80122381539681e-08,2.90938583091481e-06
"4210","Pmp22",5.5886890656875e-07,2.01490732273042,31.3906781901634,2.10991476084899e-08,3.33225871230084e-06
"249","Aldh1a7",5.49167886100561e-07,2.01216952455423,30.3103582166759,3.68154611423073e-08,5.68798874648648e-06
"1282","Cryab",5.4713839468885e-07,2.01159078727147,30.0867437363201,4.13145733148985e-08,6.24729090529752e-06
"934","Cdk1",5.46026044758547e-07,2.0112726941351,29.9645334586551,4.4002140810913e-08,6.41503525059573e-06
"1802","Emp2",5.45935118897038e-07,2.01124666450978,29.9545547252394,4.42291722638512e-08,6.41503525059573e-06
"3852","Nupr1",5.429551682627e-07,2.01039123004481,29.628437306031,5.23315349002272e-08,7.4384043707183e-06
"3985","Pclaf",5.41028352705037e-07,2.00983566429866,29.4185222315086,5.83175975565683e-08,8.12672874185355e-06
"1097","Clic3",5.39973462755919e-07,2.00953068379669,29.3039143774026,6.18705839045335e-08,8.45604307325999e-06
"1432","Dcxr",5.3929991243239e-07,2.00933564790235,29.2308539319522,6.42479419311545e-08,8.61528534537198e-06
"5993","Spc25",5.36807228815242e-07,2.00861177852564,28.9612641198499,7.38401815142961e-08,9.71818833374264e-06
"1089","Cldn10",5.31495099748735e-07,2.00705811813684,28.3909112953715,9.91296032284518e-08,1.28093470935383e-05
"224","Akap5",5.29276029781353e-07,2.00640459578957,28.1543337669914,1.1201656550585e-07,1.42161023401799e-05
"5857","Smc2",5.28596406934217e-07,2.00620390886327,28.0820764094955,1.16277776879701e-07,1.44980028120007e-05
"218","Ak1",5.23893404519755e-07,2.00480819733916,27.5845983801524,1.50371358811239e-07,1.84256766736462e-05
"792","Cav1",5.21841932637342e-07,2.00419553904823,27.3689887493589,1.68105563168843e-07,2.02495972447622e-05
"1039","Chil1",5.20836609411272e-07,2.00389444553173,27.2636381634148,1.77518561111039e-07,2.10270735636026e-05
"4198","Plpp3",5.09994522975188e-07,2.00061063925021,26.1403758327088,3.17475528614282e-07,3.63962576673751e-05
"5982","Sp5",5.09992274149369e-07,2.00060995107849,26.1401453007331,3.17513433991453e-07,3.63962576673751e-05
"1036","Chia1",5.06680298870033e-07,1.9995932064387,25.8017307738547,3.78349043463101e-07,4.26813754268613e-05
"2997","Lmo7",5.05199891640381e-07,1.9991366319511,25.6511771913011,4.09045883079814e-07,4.54232670476287e-05
"6354","Timp3",4.97049698310562e-07,1.99659934808438,24.8302122691469,6.26084427451226e-07,6.84551080907056e-05
"888","Cd200",4.91677903847186e-07,1.99490467971255,24.2964143838767,8.25926648360506e-07,8.84451070796154e-05
"353","Apoc1",4.9149294044594e-07,1.99484600637726,24.2781377758677,8.33800784344201e-07,8.84451070796154e-05
"2520","Hmgb2",4.88390874263328e-07,1.99385875031555,23.9726411297612,9.77143913025229e-07,0.000102125908674563
"3003","Lpcat1",4.84581779816321e-07,1.99263805440703,23.6001609409714,1.18577598144216e-06,0.000122134926088543
"1238","Cpn1",4.82356478214115e-07,1.99192056480219,23.3839048105063,1.3268408200484e-06,0.000134712252972629
"4083","Pglyrp1",4.75764190736055e-07,1.98977589875129,22.7491044712745,1.84590140071052e-06,0.000184772130349995
"5688","Sftpd",4.74164655084812e-07,1.98925114174946,22.5963950598471,1.99859264327571e-06,0.000197277748830007
"1594","Dpysl2",4.61879280701453e-07,1.9851620161328,21.4406409860952,3.64953000422738e-06,0.000355304243014301
"6836","Wdr45",4.40287289812703e-07,1.97771044607095,19.4828775107214,1.0150550763277e-05,0.000974864382089319
"6703","Tuba1b",4.35096046810367e-07,1.9758656371889,19.0261570824461,1.28938785447479e-05,0.00122182393090031
"6710","Tubb5",4.30643704913978e-07,1.97426618126107,18.6387597115844,1.5797589404548e-05,0.00147728247234372
"4578","Rab3a",4.28240209384855e-07,1.97339601681683,18.4312881427736,1.76141931061701e-05,0.00162576714812404
"5560","Scgb1a1",4.20457498361497e-07,1.97054521561884,17.7674461250066,2.49617921559353e-05,0.00227440329297733
"6670","Tspan15",4.18115905317779e-07,1.96967738707364,17.5700978627447,2.76908510533718e-05,0.00249112504349764
"3994","Pcsk6",4.17205030236941e-07,1.96933851876215,17.4936275281394,2.88272299057655e-05,0.00256093903675344
"1259","Creb3l1",4.16440088394096e-07,1.96905338184168,17.4295375043906,2.98156581003695e-05,0.00261604792739908
"901","Cd74",4.11499574085547e-07,1.96719934265638,17.0184335515564,3.70186795889124e-05,0.00320843604680976
"5511","S100a10",4.07521686323063e-07,1.96569066130774,16.6909959851602,4.39892871576119e-05,0.00376664896179696
"1017","Chad",4.06217162974455e-07,1.96519276128055,16.5843074603229,4.65344749624224e-05,0.00393714897092781
"5029","RP23-37G19.2",4.02289036703344e-07,1.96368400644299,16.2651172245359,5.50684593543843e-05,0.00460437106625423
"4116","Pi4k2b",3.95441303050947e-07,1.96101907509842,15.7161027776533,7.35949669071207e-05,0.00603713748592701
"5830","Slco4c1",3.9534178994822e-07,1.96098001582182,15.7081938346446,7.3903329291635e-05,0.00603713748592701
"5859","Smc4",3.9243334475112e-07,1.95983417213173,15.4779203374056,8.34746670699766e-05,0.00674152794166277
"730","C2cd4b",3.85780666999283e-07,1.95718167001623,14.9575933682773,0.000109954665453532,0.00878031244245223
"5613","Secisbp2l",3.77331565703041e-07,1.95374767302343,14.3095863113272,0.000155073152670335,0.0121601699326724
"5955","Snx29",3.77231079735801e-07,1.95370638130042,14.301965845461,0.000155702189935724,0.0121601699326724
"4166","Pla2g1b",3.70121419805095e-07,1.95075722989967,13.7679487963172,0.000206835041562324,0.0159420606925418
"2288","Gne",3.69905255592474e-07,1.95066669765688,13.7518715386064,0.000208612866808272,0.0159420606925418
"32","Abhd2",3.5978917706016e-07,1.94637103225996,13.009990915422,0.00030983344487769,0.0234253860930398
"3281","Mia",3.55061330211128e-07,1.94432274858492,12.6703191622938,0.000371506110127014,0.0277925676281335
"3461","Msln",3.53869935129996e-07,1.94380238325526,12.585432250138,0.000388765111276443,0.028635999024441
"2614","Id3",3.53730124155294e-07,1.94374120575642,12.575489422124,0.000390838877919063,0.028635999024441
"774","Car8",3.49124082838954e-07,1.94171239031673,12.2501221387868,0.00046522770524666,0.0337385030733471
"3278","Mgst1",3.42531676318269e-07,1.93876262787499,11.7918591523814,0.000594902946087286,0.042706820584266
"1875","Etv5",3.41123406490725e-07,1.93812530650114,11.6950974000399,0.000626649895494303,0.0445360080727801
"364","Aqp5",3.36799801348696e-07,1.93615243065472,11.4005146381889,0.00073423762728974,0.0516656120509721
"4685","Rbp4",3.36501596503426e-07,1.93601544713614,11.3803353884609,0.000742257139619151,0.0517178577575814
"4012","Pde4d",3.36099208627858e-07,1.93583041775035,11.3531345010718,0.000753207392626913,0.051971310091257
"1090","Cldn18",3.35686828173747e-07,1.93564056857568,11.3252918972061,0.00076458507486501,0.052249097375631
"1522","Dlk2",3.33087133780267e-07,1.93443846015393,11.1505558702636,0.00084006497084156,0.0568603975978187
"5180","RP24-171J16.5",3.28020747119503e-07,1.93206914660388,10.8139269151229,0.00100739397336219,0.0675429147989161
"605","Bcam",3.26409408242716e-07,1.93130809228791,10.707945188275,0.00106676438093169,0.0708550883671167
"5695","Sgms1",3.24735844930134e-07,1.93051374889574,10.5984233236974,0.00113184137603325,0.0744814505506324
"3016","Lrrc26",3.20014353202846e-07,1.92825096042722,10.2924725748208,0.00133573982859252,0.0870926877230001
