"","gene","distance","Z","FC","p.value","p.adj"
"5684","Sfta2",0.000194079200204322,2.56697386746977,3476251.73910752,0,0
"192","Ager",1.34212175009046e-06,1.81629297544682,166.240585766322,4.90131619948293e-38,1.74168271148626e-34
"2555","Hopx",1.25124440722191e-06,1.80628814431195,144.489913178805,2.77638640361061e-33,6.57725939015354e-30
"1097","Clic3",1.07481491240457e-06,1.78465281493193,106.615561444033,5.40471329659531e-25,9.60282434972572e-22
"3461","Msln",1.05696570608895e-06,1.78227346878888,103.103883738327,3.18027020643098e-24,4.52043607142099e-21
"2657","Igfbp7",9.89544089159838e-07,1.77291686229124,90.3698433522859,1.97554357365721e-21,2.34003136299696e-18
"645","Birc5",9.2632062131759e-07,1.76355814977258,79.1910125497632,5.63860031066133e-19,5.72479034398143e-16
"1321","Cthrc1",9.00505612050897e-07,1.75955595752698,74.8386731343729,5.10792748378048e-18,4.53775507840348e-15
"1171","Col18a1",8.26778458512511e-07,1.74747564789357,63.0857886841899,1.9789678669765e-15,1.56272495895577e-12
"1282","Cryab",8.18469842454487e-07,1.74604874473207,61.8242128158167,3.75528188021495e-15,2.66887883226877e-12
"1802","Emp2",8.16473745007598e-07,1.74570382918217,61.5230247615071,4.37595918399861e-15,2.82726744733437e-12
"904","Cd9",8.09843203994207e-07,1.74455215639199,60.5278315947575,7.25454935069028e-15,4.29650685294632e-12
"3985","Pclaf",8.06526716756155e-07,1.74397264432315,60.0330969520092,9.32756186930381e-15,5.09930632347247e-12
"2997","Lmo7",7.54947812303216e-07,1.7346468909998,52.6001634186391,4.08855198106988e-13,2.02278380813166e-10
"3097","Malat1",7.54337956935152e-07,1.73453293842523,52.5152157313546,4.26927777148936e-13,2.02278380813166e-10
"1521","Dlk1",7.53178226291167e-07,1.73431599187038,52.3538644764896,4.63485602829741e-13,2.05874511206935e-10
"6354","Timp3",7.4258566982598e-07,1.73231922465576,50.8916298448626,9.76089392840203e-13,4.08062783230313e-10
"2520","Hmgb2",7.28755943419202e-07,1.7296698848303,49.0136957875755,2.54181492991598e-12,1.00359326149516e-09
"2894","Krt19",7.23990356969882e-07,1.72874554500834,48.3747568403327,3.52071226473436e-12,1.31693168765616e-09
"2962","Lgals3",7.22115216985564e-07,1.72838020797854,48.1244994415309,3.99997291711328e-12,1.4213903760962e-09
"4028","Pdlim2",7.15425858277683e-07,1.72706930603635,47.2370206581937,6.29011236752092e-12,2.12875374266529e-09
"5687","Sftpc",6.88501731581155e-07,1.72166891651911,43.7485139221635,3.73399944317925e-11,1.20625154739432e-08
"5649","Serpinb6b",6.77900759572643e-07,1.71948571903365,42.4116796700925,7.39471279518813e-11,2.28496625371313e-08
"99","AC164564.3",6.73385233072053e-07,1.71854561949577,41.8485493622421,9.86239150058203e-11,2.92050068310986e-08
"364","Aqp5",6.71524637547802e-07,1.71815646237748,41.6176097754493,1.10989036029395e-10,3.15519631624364e-08
"6710","Tubb5",6.43002738411281e-07,1.71205516604023,38.1574089429783,6.52614702753436e-10,1.78389718941103e-07
