"","gene","distance","Z","FC","p.value","p.adj"
"5685","Sftpa1",0.00016022748270624,2.89615311268134,1467533.82847233,0,0
"4719","Retnla",3.15782863931851e-06,2.21090786913163,570.021478278154,5.55449501929635e-126,1.97378980510696e-122
"2919","Lamp3",3.02439845622004e-06,2.20375633661378,522.868064714625,1.00591133572929e-115,2.38300395434269e-112
"5784","Slc34a2",2.35527930969841e-06,2.16249265129411,317.101966792136,6.19675697196008e-71,1.10100879499301e-67
"2942","Lcn2",2.28000710715738e-06,2.15715236093701,297.157368180864,1.37118098060209e-66,1.94899664582782e-63
"635","Bex2",2.25059661192437e-06,2.15501900140322,289.540568807567,6.26127072115143e-65,7.41647516920387e-62
"5687","Sftpc",2.0766715168204e-06,2.14181923268083,246.518612258577,1.49085194699781e-55,1.51364068390192e-52
"1360","Cxcl15",1.82681495043045e-06,2.12083769971824,190.766985081936,2.162302738335e-43,1.92093569516836e-40
"1321","Cthrc1",1.81706174672144e-06,2.11996304894725,188.735446523397,6.00289130488826e-43,4.74028316709343e-40
"5686","Sftpb",1.71334920357796e-06,2.11036863013855,167.805378152797,2.23106193467805e-38,1.58561571697569e-35
"5178","RP24-168A7.7",1.3973902456905e-06,2.07720430189409,111.62192720389,4.32378943971014e-26,2.79356104982e-23
"192","Ager",1.34541809407923e-06,2.07105728384291,103.473378610977,2.63916648268074e-24,1.56304634936767e-21
"2675","Il33",1.18913218620684e-06,2.0510726758984,80.8303334448532,2.45953446557606e-19,1.34460857283454e-16
"894","Cd36",1.18441556306063e-06,2.05043052267778,80.1903875571628,3.40017282076388e-19,1.72607344551206e-16
"3585","Napsa",1.16777391036175e-06,2.04814474567424,77.9527854716311,1.05533173646539e-18,5.00016176737302e-16
"6666","Tspan1",1.13891149493345e-06,2.0441041254566,74.1470802780229,7.25082462896488e-18,3.22072566487834e-15
"1521","Dlk1",1.12802709598003e-06,2.04255440494294,72.7366282833731,1.48158669134215e-17,6.19390389139332e-15
"616","Bcl2a1b",1.07886743030302e-06,2.03536854958085,66.535016161084,3.43733001766825e-16,1.35717246864268e-13
"3852","Nupr1",1.07215323452997e-06,2.03436244533166,65.7094484768659,5.22547509731008e-16,1.95460271139909e-13
"539","Atp6v1c2",1.00730001808446e-06,2.02431565080384,58.0005063824354,2.62050317524321e-14,9.31195803322675e-12
"6604","Trf",1.00259335670217e-06,2.02356218095011,57.4597519663747,3.44966562087884e-14,1.16746540798028e-11
"2657","Igfbp7",9.92245162967238e-07,2.02189339455709,56.2797400358041,6.28598108605124e-14,2.03065761720755e-11
