"","gene","distance","Z","FC","p.value","p.adj"
"5686","Sftpb",0.000194136304029629,2.89968249914555,1552091.86395126,0,0
"5784","Slc34a2",3.54209314409936e-06,2.17085601632914,516.682631202266,2.22989185773919e-114,7.9239207164762e-111
"4719","Retnla",3.15114199660855e-06,2.15085622910843,408.921415423413,6.29371939187031e-91,1.49098212393408e-87
"2919","Lamp3",3.0257745477728e-06,2.14393011788953,377.030981412773,5.51276950847891e-84,9.7948132241899e-81
"5687","Sftpc",2.76900807899407e-06,2.12883072475059,315.756539320404,1.2168523157683e-70,1.72963388163306e-67
"1360","Cxcl15",2.43526316611867e-06,2.10703308982653,244.228143315256,4.70776023725865e-55,5.57634200103287e-52
"2942","Lcn2",2.27544941045504e-06,2.09554700152109,213.225075367647,2.71813274464553e-48,2.75968134517083e-45
"635","Bex2",2.25111989469442e-06,2.09373009083985,208.689769863262,2.65292546050205e-47,2.35679265597351e-44
"616","Bcl2a1b",2.17401560636897e-06,2.08784350239584,194.638712251387,3.08931914361471e-44,2.43953235040775e-41
"1321","Cthrc1",1.81562038448145e-06,2.05751384425625,135.754429166342,2.25798512860418e-31,1.60475003089899e-28
"894","Cd36",1.77653503709389e-06,2.05386105104489,129.97249685499,4.15494962727441e-30,2.68447518191266e-27
"5685","Sftpa1",1.75253618642318e-06,2.05157936861227,126.484671145782,2.40854927453911e-29,1.42646330784579e-26
"192","Ager",1.68153173263846e-06,2.04464672729525,116.443176082001,3.80115722285324e-27,2.07806341406292e-24
"4543","Qpct",1.58942086655615e-06,2.03521753400478,104.035540651139,1.98719259391281e-24,1.00878412606702e-21
"539","Atp6v1c2",1.51049872468739e-06,2.02670682188761,93.9603516994719,3.21907786809908e-22,1.52519909390535e-19
"1521","Dlk1",1.50324620662471e-06,2.02590321577239,93.0602341692078,5.0726778023645e-22,2.23458707363583e-19
"6604","Trf",1.50240962051915e-06,2.02581027710034,92.9566832868465,5.34514988768948e-22,2.23458707363583e-19
"962","Cebpa",1.4443764105033e-06,2.01923750281663,85.9141468305048,1.87919600055425e-20,7.41969220885502e-18
"5178","RP24-168A7.7",1.39631342068034e-06,2.01359703118491,80.2915297491235,3.23050907830774e-19,1.20838042208069e-16
"2965","Lgi3",1.26993591869718e-06,1.9978157456786,66.415205630548,3.65273489532274e-16,1.29799934505294e-13
"2555","Hopx",1.25642229696463e-06,1.99603893872938,65.0092533006592,7.45471894227119e-16,2.52288988203435e-13
"2675","Il33",1.19020043811842e-06,1.98705479026308,58.3370037342932,2.20850779855473e-14,7.13448405651293e-12
"3585","Napsa",1.1671066981609e-06,1.98380730217114,56.0951134751994,6.9048516230288e-14,2.1335991515159e-11
"6666","Tspan1",1.13825552186827e-06,1.97966147104351,53.3560215725713,2.78256985500346e-13,8.23988498312898e-11
"1596","Dram1",1.13588882006931e-06,1.97931687249492,53.1343727263243,3.11493729827762e-13,8.85514375154362e-11
"1769","Elf5",1.12943951465132e-06,1.97837428856585,52.5327170627669,4.23140130556497e-13,1.15663727225578e-10
"1282","Cryab",1.09510822630166e-06,1.97326710439606,49.3876077838971,2.10068448558193e-12,5.52946838482621e-10
"1802","Emp2",1.09307397602467e-06,1.97295963190769,49.20429541362,2.30645099677809e-12,5.85426686932209e-10
"1097","Clic3",1.08090560554796e-06,1.97110873763642,48.114884322741,4.01963571927296e-12,9.85087967478375e-10
"3852","Nupr1",1.07131885603882e-06,1.9696362362649,47.265189737094,6.20036259687774e-12,1.46886589920034e-09
"3461","Msln",1.0605560136121e-06,1.96796778300601,46.3202750485776,1.00419437996696e-11,2.302196599492e-09
"224","Akap5",1.05901341702246e-06,1.96772730545362,46.1856258037546,1.07563239434703e-11,2.3889123208201e-09
"800","Cbr2",1.00311718645125e-06,1.95877614267789,41.4388076231776,1.21618885256219e-10,2.61922853792712e-08
"2657","Igfbp7",9.93941370881481e-07,1.957260663183,40.6841683849793,1.78930979470709e-10,3.7401837385245e-08
"353","Apoc1",9.83873807572272e-07,1.9555822099821,39.8641681390246,2.7225214061433e-10,5.5282741809887e-08
"3003","Lpcat1",9.62986473756268e-07,1.95204610297143,38.1895272137204,6.4196044837185e-10,1.26733691849409e-07
"6080","St3gal6",9.38705103185323e-07,1.94784066944444,36.2879358876257,1.70214262219793e-09,3.26949395025965e-07
"5688","Sftpd",9.25172899621307e-07,1.94545092479156,35.2492364106302,2.90095816111337e-09,5.4255551713244e-07
"5651","Serpine2",9.04785121665043e-07,1.94178570878393,33.7127987987685,6.38790181912007e-09,1.16407226226888e-06
"1903","Fabp5",8.98383194566666e-07,1.94061826090538,33.2374078596646,8.15662286626922e-09,1.44922796776438e-06
"1099","Clic5",8.90153482402558e-07,1.93910558891494,32.6312490738889,1.11409046832422e-08,1.93118072155616e-06
"4210","Pmp22",8.3993858643584e-07,1.92957100693276,29.0535344979505,7.04055310224405e-08,1.19136216422973e-05
"1171","Col18a1",8.25689295617654e-07,1.92676459183785,28.0761281839771,1.16635713771111e-07,1.92774422737509e-05
"1259","Creb3l1",8.20106961868194e-07,1.92565231825613,27.6977764085792,1.41825639392086e-07,2.29080640718081e-05
"5518","S100g",7.95670905288097e-07,1.92069540481993,26.0717908472432,3.28955142768317e-07,5.15732852833477e-05
"1432","Dcxr",7.95239366347507e-07,1.92060654564737,26.0435179975249,3.33807671736879e-07,5.15732852833477e-05
"5029","RP23-37G19.2",7.86743510479164e-07,1.91884755348049,25.4900241187234,4.4467622726506e-07,6.72407222802719e-05
"792","Cav1",7.84483991355928e-07,1.91837663815554,25.3438202040277,4.79686687600257e-07,7.1023610182813e-05
"1089","Cldn10",7.83741443800139e-07,1.91822159362268,25.2958648971891,4.91761866186224e-07,7.1325542509908e-05
"4116","Pi4k2b",7.79377846445538e-07,1.91730758195921,25.0149720370093,5.68868584645271e-07,8.08589806214788e-05
"5562","Scgb3a2",7.76988978058323e-07,1.91680509796119,24.8618604366212,6.15889438696667e-07,8.58260047219061e-05
"5830","Slco4c1",7.74353924528337e-07,1.91624908934385,24.6935150756887,6.72099424052353e-07,9.1857896283463e-05
"2556","Hp",7.66010763936847e-07,1.91447645985052,24.1642684897527,8.84583412649653e-07,0.000118617628560398
"2997","Lmo7",7.59684140905774e-07,1.91311974460797,23.7667626056554,1.08744162870833e-06,0.000143119401022779
"6354","Timp3",7.483064468054e-07,1.91065203907045,23.0601900059263,1.5700815292676e-06,0.00020288308051827
"1380","Cyp2f2",7.45612371873442e-07,1.91006239397426,22.8944449522152,1.71145752552528e-06,0.000217202297034075
"3619","Ndnf",7.30350583161408e-07,1.90668256571601,21.9667935573434,2.7740881728122e-06,0.000345884993757479
"4166","Pla2g1b",7.28608458455162e-07,1.90629241259992,21.8621225876789,2.92959921568652e-06,0.000358976924584209
