"","gene","distance","Z","FC","p.value","p.adj"
"5687","Sftpc",0.000216595342323185,2.75774083613328,1893895.3943359,0,0
"5784","Slc34a2",3.54258543687458e-06,2.07330763767747,506.638777688296,3.41605689760964e-112,1.21389581856558e-108
"4719","Retnla",3.14400176111186e-06,2.05451936296072,399.046331467545,8.88253473944403e-89,2.10427247977429e-85
"2919","Lamp3",3.03460762503972e-06,2.0489560877283,371.760163766358,7.74380343834468e-83,1.37588027590789e-79
"1321","Cthrc1",2.74543709211391e-06,2.0332524077701,304.285147950678,3.83887192319315e-68,5.45657255162674e-65
"5686","Sftpb",2.28797136423757e-06,2.00477394337233,211.328918526695,7.04591991802649e-48,8.34589214290237e-45
"2942","Lcn2",2.27005647631555e-06,2.00354880684467,208.032450783988,3.69095445772435e-47,3.74737333300671e-44
"635","Bex2",2.25503349778137e-06,2.00251415650915,205.288091124143,1.46529552519599e-46,1.30173191219598e-43
"1360","Cxcl15",1.83114822920742e-06,1.97015887151871,135.364493933541,2.74795847852793e-31,2.16997121187756e-28
"5685","Sftpa1",1.75719712445053e-06,1.96377401547851,124.651850202545,6.06552705973605e-29,4.31077008135441e-26
"192","Ager",1.68572486312265e-06,1.95734944239064,114.717888837655,9.07287311933331e-27,5.86190084173653e-24
"4543","Qpct",1.58672226915404e-06,1.94799751094623,101.638815526917,6.66268541216523e-24,3.94597543535486e-21
"2555","Hopx",1.57254878752891e-06,1.94661236801908,99.8311370168944,1.65960490222425e-23,9.07293233854443e-21
"1521","Dlk1",1.50415055501744e-06,1.93975225301312,91.3356613708192,1.21255570277953e-21,6.15545241403863e-19
"962","Cebpa",1.44731895941055e-06,1.93381704079264,84.5641453145796,3.71949567057673e-20,1.76229704871925e-17
"5178","RP24-168A7.7",1.39605504031857e-06,1.92826523297878,78.6797267928857,7.30413109345708e-19,3.24440373007497e-16
"1802","Emp2",1.36800235815209e-06,1.92514251147292,75.5494754544582,3.56364601786386e-18,1.48981366170344e-15
"2657","Igfbp7",1.32585502505775e-06,1.92033156661244,70.9659203107065,3.63449039365361e-17,1.43501795709424e-14
"2965","Lgi3",1.27270074878358e-06,1.91404724934412,65.3898529265738,6.14545046201322e-16,2.2987219175541e-13
"2675","Il33",1.19551751917678e-06,1.90445130812571,57.6991812612582,3.05429920885942e-14,1.08534522386819e-11
"894","Cd36",1.18517595553778e-06,1.90311996709118,56.7052703652046,5.06276793850221e-14,1.71338532090168e-11
"3585","Napsa",1.16781070682131e-06,1.9008587577529,55.0557478999512,1.17159198097671e-13,3.78477464036431e-11
"6666","Tspan1",1.14043165804873e-06,1.89722621135893,52.5044714254057,4.29269853004418e-13,1.32644384578365e-10
"1596","Dram1",1.13806817027087e-06,1.89690866103308,52.287071133785,4.79521127786161e-13,1.41998193965677e-10
"1282","Cryab",1.09809695421216e-06,1.89143870257044,48.6787183415595,3.01520597241837e-12,8.57162753839095e-10
"1097","Clic3",1.08400658600386e-06,1.88946413390953,47.4374792139296,5.6786501497049e-12,1.55223717745972e-09
"3852","Nupr1",1.07194498206272e-06,1.88775390758717,46.3876906786277,9.70231139052016e-12,2.55386396490469e-09
"616","Bcl2a1b",1.06678307615807e-06,1.88701626185371,45.9420104051394,1.21805676653886e-11,3.09168908563989e-09
"3461","Msln",1.06361584615537e-06,1.88656193607502,45.6696159280563,1.39977263910529e-11,3.43040832624872e-09
"224","Akap5",1.06180916239075e-06,1.88630218435094,45.5145966573032,1.51505542691507e-11,3.5891663063618e-09
"218","Ak1",1.05748433771124e-06,1.88567864005829,45.1445833239098,1.83011200443608e-11,4.19567935984748e-09
"1875","Etv5",1.0231168095003e-06,1.88063343874915,42.2579282527978,7.99950572975322e-11,1.77664022566738e-08
"2997","Lmo7",1.01404527314727e-06,1.87927418481467,41.5118846843368,1.171565262162e-10,2.52312555096524e-08
"364","Aqp5",1.01259448917234e-06,1.87905570550905,41.3931884146857,1.2449041904441e-10,2.60221590631948e-08
"539","Atp6v1c2",1.00938768926462e-06,1.87857169707687,41.1314262055779,1.42329380547304e-10,2.89009973585626e-08
"6604","Trf",1.00300754422587e-06,1.87760425941488,40.6131018780813,1.8555828659217e-10,3.66322984114043e-08
"6354","Timp3",9.97956044705005e-07,1.87683402672612,40.2050482314036,2.28656608531283e-10,4.39206085630224e-08
"353","Apoc1",9.87358729816771e-07,1.87520577474612,39.3557054989492,3.53219267375064e-10,6.60612982430152e-08
"3003","Lpcat1",9.65751980663428e-07,1.87183254489003,37.6520803093315,8.45564519068452e-10,1.54087872744089e-07
"6080","St3gal6",9.43242613364263e-07,1.86823930643227,35.9173748401651,2.05864719335393e-09,3.6577014007916e-07
"1594","Dpysl2",9.26847240579905e-07,1.86556909968751,34.679600340997,3.8868330817082e-09,6.73749334431712e-07
"6770","Vegfa",9.19074117300519e-07,1.86428702545945,34.1003497152627,5.23418582538903e-09,8.85699015739044e-07
"5651","Serpine2",9.05920611451226e-07,1.86209327811118,33.1312668873535,8.614230672157e-09,1.42375203225627e-06
"1903","Fabp5",9.00017918597457e-07,1.86109872143654,32.7009276850602,1.07485910583835e-08,1.73614174208935e-06
"1099","Clic5",8.92784711388206e-07,1.8598712850196,32.1774223060375,1.40716493360189e-08,2.22238248513524e-06
"1175","Col4a3",8.55101395317108e-07,1.85331568870505,29.5184120976633,5.53880217395307e-08,8.5574493587575e-06
"4210","Pmp22",8.42427162180079e-07,1.85104742545774,28.6498586631079,8.67203212592587e-08,1.31132196423309e-05
"1171","Col18a1",8.2679936734594e-07,1.84820436771975,27.5967559277055,1.49429173861022e-07,2.21248570547976e-05
"901","Cd74",8.25236926000523e-07,1.84791725111033,27.4925527248038,1.57700586026985e-07,2.28730217325262e-05
"1259","Creb3l1",8.21338450160123e-07,1.84719854615408,27.2334128617612,1.80315426240753e-07,2.56300346858606e-05
"3198","Mdk",8.12655035567093e-07,1.84558569579584,26.6606186519544,2.42514314287411e-07,3.37950829733457e-05
"5591","Sdpr",8.06217359846437e-07,1.84437909523506,26.2398925316525,3.01528851274117e-07,4.12108758847144e-05
"5518","S100g",7.9314659907616e-07,1.84190012870159,25.3959634897152,4.66894039281018e-07,6.26078478711358e-05
"5029","RP23-37G19.2",7.87520117283026e-07,1.84082075143774,25.0369299773338,5.62427002879729e-07,7.40216427678932e-05
"792","Cav1",7.8684505849964e-07,1.84069074469255,24.9940252813984,5.75082452509595e-07,7.43111089088308e-05
"4116","Pi4k2b",7.80638147661761e-07,1.83949026444632,24.601257220453,7.0505720066112e-07,8.94793129481889e-05
"5562","Scgb3a2",7.77869792950331e-07,1.83895183540591,24.4270811386922,7.71761665831847e-07,9.62264940187182e-05
"5830","Slco4c1",7.75422896241303e-07,1.83847437197161,24.273645340709,8.35747764453217e-07,0.000102407920033949
"2054","Fhl1",7.68400340140801e-07,1.83709586540553,23.8359715384723,1.04903610594466e-06,0.000126364400083876
"2556","Hp",7.66997365774259e-07,1.83681899570889,23.7490097656318,1.09751827754323e-06,0.000130001039974995
"2374","Gsn",7.65800925044468e-07,1.83658249438607,23.6749752979934,1.14056035874837e-06,0.000132884630649585
"1769","Elf5",7.51756305911868e-07,1.83377905503961,22.8145507228628,1.78409823148049e-06,0.000204509453727933
"1380","Cyp2f2",7.46443718089773e-07,1.8327052947789,22.4932337377109,2.10885114512679e-06,0.000237898493466922
"6864","Wnk1",7.36152835007964e-07,1.83060399854708,21.8773008533755,2.90651770281634e-06,0.000322759708029934
"3619","Ndnf",7.32582108882416e-07,1.82986820041638,21.66558287906,3.24562593908429e-06,0.000354871746908801
"4166","Pla2g1b",7.29596561713278e-07,1.82925030033998,21.4893519451328,3.55798842931313e-06,0.00038076002209164
"2962","Lgals3",7.29309031800171e-07,1.82919066211689,21.4724176164907,3.58954854089487e-06,0.00038076002209164
"2654","Igfbp4",7.22339472597622e-07,1.82773801699702,21.0639811184809,4.44199827387856e-06,0.000464254143124337
"928","Cdca7",7.16593744100029e-07,1.8265301483141,20.7302140380426,5.28750880108283e-06,0.000544613406511531
"3594","Nbl1",7.12370899942051e-07,1.82563639173959,20.4866101031753,6.00498690296287e-06,0.000609677741705102
"3281","Mia",7.08729650618335e-07,1.82486157568612,20.2777127265845,6.69762441390499e-06,0.000670422770558067
"4083","Pglyrp1",7.03836062519897e-07,1.82381414710474,19.9986551405475,7.74966497520211e-06,0.000764956513593909
"774","Car8",6.94159919280925e-07,1.82172201143689,19.4525629408466,1.03129361002614e-05,0.00100402790225421
"656","Bmp1",6.92824753698016e-07,1.82143109984497,19.3778037569086,1.07246338205566e-05,0.00102999962922562
"99","AC164564.3",6.80832904784783e-07,1.81879351437144,18.7128025687623,1.51958794861605e-05,0.00143996154010857
"6356","Tinagl1",6.74995493782444e-07,1.81749316886993,18.3932938160449,1.79689280862827e-05,0.00168033120933172
"4542","Qk",6.73719670708271e-07,1.81720750750032,18.3238284298848,1.86361536950097e-05,0.00172009278325239
"800","Cbr2",6.70334017312041e-07,1.81644688563456,18.140125165526,2.05230906097182e-05,0.00186996929440086
"1522","Dlk2",6.69644364446147e-07,1.8162914893929,18.1028185287824,2.09291400021614e-05,0.00188282782272609
"6836","Wdr45",6.64303780555126e-07,1.81508281654985,17.8152208012042,2.43428127814582e-05,0.00216255463047279
"319","Anxa3",6.4399188196685e-07,1.81039775364693,16.7424321207096,4.2812689076223e-05,0.00375641705265083
"3463","Msn",6.35351138424107e-07,1.80836092367779,16.2961639826283,5.41735081917696e-05,0.00469525759413301
"6670","Tspan15",6.31082430165941e-07,1.80734470932497,16.0779228287511,6.07885968291437e-05,0.00520511515258704
"5516","S100a6",6.29534610219023e-07,1.80697457861009,15.9991527329122,6.33708375333661e-05,0.00536162550416229
"2971","Limch1",6.24331781941047e-07,1.80572389463239,15.7357935201631,7.28328537037722e-05,0.00608968342673775
"904","Cd9",6.15714541969118e-07,1.80362993316292,15.3044096942667,9.15026608715971e-05,0.00756173733505163
"2078","Fmod",6.15095588108007e-07,1.80347843253434,15.273655305514,9.30046294008954e-05,0.00759751610519728
"3820","Nucb2",6.10328698128832e-07,1.80230664636539,15.0378359908172,0.00010537721476574,0.00851040756068308
"999","Ces1d",5.81088600677137e-07,1.79491777224277,13.6314631252373,0.000222426475885717,0.0177616288103347
"3069","Lyz1",5.78680034709548e-07,1.79429308449639,13.5186946608595,0.000236198651864132,0.0184525812289986
"2656","Igfbp6",5.78667568702897e-07,1.79428984471938,13.5181122238918,0.000236271970147583,0.0184525812289986
"1389","Cytl1",5.7672378595569e-07,1.79378384361688,13.4274482818917,0.000247969180796954,0.0191531914283714
"1140","Cnn2",5.76293212948925e-07,1.79367153312817,13.4074063181896,0.000250632728695447,0.0191531914283714
"2896","Krt7",5.71301430465659e-07,1.79236347904474,13.176145569945,0.000283535345351581,0.0214370819086562
"6307","Tgfb2",5.67139395837486e-07,1.79126431504662,12.9848636543468,0.000314019205537454,0.023491942039523
"968","Cela1",5.62670360382613e-07,1.79007529262322,12.7810295346476,0.000350152166648997,0.0259222025872336
"955","Cdkn2b",5.60309441084142e-07,1.78944343291278,12.6739982228273,0.0003707758165635,0.0271660178176989
"4744","Rhof",5.5420895379374e-07,1.78779865668937,12.3995189662418,0.000429444461710015,0.0311434876466641
"249","Aldh1a7",5.43747709954381e-07,1.78493667466511,11.9358305086565,0.000550645756467197,0.0395296908203269
"6008","Spock2",5.41150427063278e-07,1.78421780196168,11.8220766913461,0.000585325397230085,0.0413633134364306
"3279","Mgst2",5.4096857536604e-07,1.78416734347143,11.8141324918169,0.000587828149300618,0.0413633134364306
"5597","Sec14l3",5.38565806589865e-07,1.78349909022995,11.7094181373736,0.000621845610810649,0.0433280074120714
"5622","Sema3a",5.37779152845972e-07,1.78327967657737,11.6752365004677,0.000633374889261264,0.0437028673590272
"2614","Id3",5.33428220952816e-07,1.78206043886464,11.4870824378585,0.000700815609395705,0.0478913128459161
"1432","Dcxr",5.31813199617048e-07,1.78160540389611,11.4176305475758,0.000727504174406495,0.0492416396905425
"1121","Clu",5.25067744393835e-07,1.7796901954935,11.1298276960761,0.000849504823418183,0.056956894151255
"1089","Cldn10",5.24142650111947e-07,1.77942567071428,11.0906439149098,0.000867643520302751,0.0576293691475855
"5565","Scnn1a",5.22901179584708e-07,1.77906996468729,11.0381681186898,0.000892550142083345,0.0587347579609846
"5105","RP23-469C2.2",5.17948487341056e-07,1.77764268562018,10.8300609162981,0.000998653522967918,0.0649288851527842
"2629","Ifi30",5.17670157199859e-07,1.77756208175804,10.8184245371937,0.00100494967874015,0.0649288851527842
"2218","Gipc2",5.17084829627008e-07,1.77739243423178,10.7939736696953,0.00101831055093084,0.065199397166356
"4023","Pdia6",5.1451801036636e-07,1.77664626872388,10.6870766542701,0.00107886557000104,0.0684598000535478
"4529","Pxdn",5.13930746892634e-07,1.77647504366915,10.6626944251106,0.0010931803007197,0.0687542690019017
"1177","Col4a4",5.11296244211218e-07,1.77570456431616,10.5536567865015,0.00115958448513368,0.0722909380337285
"5982","Sp5",5.10876012564998e-07,1.77558130707776,10.5363159275696,0.00117051510073716,0.0723378332255565
"3278","Mgst1",5.10034125124883e-07,1.77533407752217,10.5016183377904,0.00119270037305987,0.0730734616494524
"1090","Cldn18",5.07432744487251e-07,1.77456763405043,10.3947665134494,0.00126372978573454,0.0767634836514135
"1039","Chil1",5.05942661370287e-07,1.77412688591396,10.3338074037803,0.00130615491491937,0.0786681608502707
"5961","Snx7",5.03714303569952e-07,1.77346540052395,10.2429800770097,0.00137205745097105,0.0819429605382458
"2164","Galnt18",5.02157474942536e-07,1.77300156440577,10.179762012738,0.00141990506908097,0.0840938777163203
"3057","Ly6e",5.00466477128432e-07,1.77249616484937,10.1113174610921,0.00147361584136271,0.0865536180542547
"1675","Edn3",4.98103911740109e-07,1.77178725724913,10.0160772647392,0.00155179623489672,0.0903984905033688
"1080","Ckmt1",4.96761434949952e-07,1.77138297523602,9.96215987597502,0.00159790483909548,0.0923277210687121
"4198","Plpp3",4.93714366149807e-07,1.77046139869636,9.84032155901971,0.00170727650227685,0.0977665666332555
"605","Bcam",4.93383797063172e-07,1.77036108620839,9.82714869092997,0.00171954704223399,0.0977665666332555
"2004","Fbln5",4.92566806225219e-07,1.77011288604158,9.79463022086758,0.00175022202382161,0.0980124180304353
"234","Akr1c14",4.92534293904925e-07,1.77010300057068,9.79333725657841,0.00175145308707827,0.0980124180304353
"1036","Chia1",4.90801001318276e-07,1.76957506538618,9.72453047115302,0.0018182476427871,0.100955359353812
"5594","Sec11c",4.88815296510633e-07,1.76896801274821,9.64600176347755,0.00189764178710054,0.104546823107935
"243","Alad",4.87662905721833e-07,1.76861461136373,9.60057413214551,0.00194516541312914,0.105724922207907
"4173","Plb1",4.873577315339e-07,1.76852088798287,9.58856202030904,0.0019579322568639,0.105724922207907
"1709","Ehd2",4.87221550893725e-07,1.76847904650411,9.58320417330856,0.00196365410601431,0.105724922207907
"4028","Pdlim2",4.82805196820621e-07,1.76711591121072,9.41026023047277,0.00215774601160044,0.115301510559732
"1238","Cpn1",4.80092405349575e-07,1.76627255715793,9.30480836234012,0.00228553212331992,0.121218483585334
"6520","Tnfrsf4",4.76689469931332e-07,1.76520806360631,9.17336931338694,0.00245562066979853,0.129274785927838
"888","Cd200",4.74987529020502e-07,1.76467288913437,9.10798225315139,0.00254496447941508,0.132993107023551
"2345","Gprc5a",4.74150492405169e-07,1.76440899785592,9.07590984363213,0.00258998682073946,0.133432167012045
"2632","Ifitm3",4.74133360537442e-07,1.76440359198061,9.07525399920963,0.00259091586431155,0.133432167012045
"208","Ahnak",4.69606062024511e-07,1.76296831537241,8.90276992993744,0.00284738402073411,0.145585311045736
"5688","Sftpd",4.62709288645644e-07,1.76075573809498,8.64319272482978,0.00328285624872489,0.166651852569199
"3496","Mthfd1",4.59827526221445e-07,1.75982170049087,8.5358680350791,0.0034821522264556,0.175515289882411
"5649","Serpinb6b",4.57797482293506e-07,1.75916029305915,8.46066620005252,0.00362908907637553,0.181633352576063
"3540","Myl6",4.53668124653638e-07,1.75780604837728,8.30872325308709,0.00394551165241231,0.196089170025834
"4733","Rgcc",4.51222940134488e-07,1.75699846643737,8.21939975990862,0.00414449065695209,0.204547882631656
"2050","Fgfr2",4.49269469430593e-07,1.75635021622464,8.14838563818214,0.00430995122611246,0.211247057682629
"6286","Tekt5",4.48527556829631e-07,1.75610329639783,8.12149577012313,0.00437434529021532,0.212870693167065
"2355","Gramd2",4.48200798278993e-07,1.75599441996123,8.10966683567756,0.00440298183418581,0.212870693167065
"4508","Ptrf",4.4740647533402e-07,1.75572942764135,8.08094762621385,0.00447330478296136,0.214809304679097
"5512","S100a11",4.47046129922453e-07,1.75560906248462,8.06793592473108,0.00450554115359483,0.214905241467104
"1958","Fam213a",4.38751219257882e-07,1.75281189330846,7.77131358881259,0.00530824333716691,0.251504569314968
"4766","Rmdn2",4.37549500882361e-07,1.75240239024483,7.72880138374996,0.00543468154449562,0.25578994527636
"64","AC122223.2",4.36518584243948e-07,1.75205021647593,7.692424409439,0.00554530869183456,0.259279663637291
"5652","Serpinf1",4.35769122242093e-07,1.75179368217108,7.66603272365559,0.00562700439905018,0.26137987100686
"390","Arhgap45",4.33832697980193e-07,1.75112886628635,7.59805310612378,0.00584313625355083,0.26965694385705
"793","Cav2",4.32495137716665e-07,1.75066796342062,7.55127384172203,0.00599676678726697,0.274961429400686
"3535","Myh14",4.30837528176831e-07,1.75009484625204,7.4935017393116,0.00619220277537669,0.28210246874745
"1532","Dnajb1",4.30212896689409e-07,1.74987832312858,7.47178921989962,0.00626732348763368,0.283706165774602
"3545","Myo1c",4.27611022809991e-07,1.74897309954855,7.38168561756046,0.00658913847171913,0.296386121003214
"245","Alb",4.27040700787764e-07,1.74877396085932,7.36200824647932,0.0066616346459568,0.297762499552296
"3994","Pcsk6",4.19741733623047e-07,1.74620226285673,7.11249649102989,0.00765484305958083,0.340018560152756
"6533","Tns1",4.17312118177811e-07,1.74533654821819,7.03039544313417,0.00801376550515333,0.35375050587034
"4033","Pdpn",4.16540004747069e-07,1.74506040249659,7.00440414881802,0.00813094320585199,0.356707489901173
"4578","Rab3a",4.16105244932279e-07,1.74490469153574,6.98979021402901,0.00819759613378985,0.357425249833402
"3095","Mal",4.14826062253998e-07,1.74444562646725,6.94688051647087,0.00839655231374308,0.36386766642544
"4040","Pdzk1ip1",4.12956571628037e-07,1.74377222935671,6.88440679684168,0.00869509198981995,0.37452132588879
"5511","S100a10",4.1005472854098e-07,1.74272107117255,6.78799337775032,0.00917730090261697,0.392829681678678
"4748","Ric1",4.0974183114613e-07,1.7426072953828,6.77763800348052,0.00923069605182766,0.392829681678678
"5560","Scgb1a1",4.07797026075595e-07,1.74189822185221,6.71345171804641,0.00956883307793857,0.404795813600651
"3674","Nedd4l",4.04071996226032e-07,1.74053083668115,6.59136357469278,0.0102474652338773,0.430939262823467
"3765","Npnt",4.02046369404007e-07,1.73978210655938,6.52544375420299,0.0106342013872291,0.444572172111982
"4014","Pde7a",3.98634696827782e-07,1.73851270911834,6.41516682485962,0.0113149697484484,0.470266023404813
"6877","Wwtr1",3.96074450595481e-07,1.73755313692457,6.33302814681464,0.0118509799965218,0.489679737414422
"1017","Chad",3.95115517452105e-07,1.73719217592161,6.30239956681291,0.0120574651000202,0.495331817721637
"2219","Gja1",3.92658970192028e-07,1.73626357697078,6.2242755082466,0.0126010457989051,0.514687543062174
"2613","Id2",3.88302520400643e-07,1.73460279404919,6.08692821860296,0.0136185653376958,0.553069393457164
"6361","Tjp1",3.87345280416479e-07,1.73423544006477,6.05695432525354,0.0138516372190534,0.559338555203479
"3097","Malat1",3.836923611683e-07,1.73282540955101,5.94325093511978,0.0147737440996456,0.593203385967125
"6503","Tmod3",3.83341896830109e-07,1.73268944328949,5.93239877094966,0.0148649937486943,0.593514104336914
"4354","Prdx4",3.8221529709526e-07,1.73225154568093,5.89758067258309,0.0151616969465665,0.601277656846068
"354","Apoe",3.81903885072944e-07,1.73213028128331,5.88797441476381,0.015244625576604,0.601277656846068
