"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm28438",0,1.83463489706782,0.913,0.026,0
"mt-Nd3",0,-2.24330356025189,0.126,0.997,0
"Rps29",1.02641504061699e-132,-0.396918963169343,0.997,1,5.63512121449136e-128
"Eif2s3y",2.5189197923486e-111,-0.213549584528183,0.184,0.611,1.38291215519731e-106
"Capn2",6.39918111705518e-111,-0.230048088271505,0.141,0.573,3.51321442507446e-106
"Acp1",1.57326955326704e-110,0.321537212705039,0.704,0.775,8.63740717439137e-106
"Ppard",5.98497824144472e-109,-0.129913734676151,0.383,0.788,3.28581290433556e-104
"Appbp2",1.8021014770019e-107,-0.0662869335077477,0.389,0.749,9.89371731888811e-103
"Tpm3-rs7",1.90647200217386e-106,-0.0735916481883926,0.331,0.689,1.04667219391347e-101
"Atp5k",6.72443424402563e-106,-0.393548710235293,0.972,1,3.69178164431251e-101
"Pex2",8.48114005051854e-103,-0.000863997936742189,0.44,0.751,4.65623069913518e-98
"Mgat5",3.8493335596389e-102,-0.0525421584887481,0.326,0.671,2.11332261757735e-97
"Ide",6.0175086430825e-102,-0.20545725574116,0.242,0.665,3.30367242013872e-97
"Csk",6.62210087061426e-102,-0.0934988900999511,0.343,0.714,3.63559959897593e-97
"Rmnd5a",3.16968195059991e-101,-0.135974817357602,0.343,0.738,1.74018708769886e-96
"Pef1",2.02607365425946e-100,-0.0556116993455198,0.401,0.744,1.11233469692499e-95
"Mark3",2.31550303815089e-100,-0.0198231880357558,0.328,0.648,1.27123432297522e-95
"Cmtm6",5.97199439325161e-100,-0.0947866114100855,0.436,0.809,3.27868464183907e-95
"Eapp",7.88983553116806e-100,-0.0545744468182454,0.355,0.692,4.33159860496658e-95
"Kif1c",2.27383780642796e-99,-0.123978154518864,0.334,0.722,1.24835969410701e-94
"Golga7",3.76073811557433e-99,-0.0126747212962568,0.37,0.671,2.06468283283146e-94
"Mfsd14b",3.95141798779021e-99,-0.0806689557037539,0.308,0.657,2.1693679894767e-94
"Retreg2",5.2714123243625e-99,-0.0373807711021277,0.314,0.634,2.89405808019826e-94
"Uhmk1",6.47235143729434e-99,-0.0894310876122493,0.305,0.657,3.55338566258897e-94
"Sptlc1",1.05382344426463e-98,-0.0516996503275449,0.359,0.708,5.78559609135725e-94
"Tor2a",2.13929568416184e-98,0.0489068548951083,0.442,0.712,1.17449472356169e-93
"Tmem160",2.58057079813274e-98,0.155150424590936,0.524,0.711,1.41675917388285e-93
"Dnajc14",7.27069126247693e-98,-0.0618557632396821,0.25,0.568,3.99168221001246e-93
"2310011J03Rik",7.69426646800025e-98,0.0134536124183074,0.411,0.697,4.22422923359682e-93
"Zc3h7a",9.3887780955284e-98,-0.0491050195341874,0.24,0.56,5.15453306222605e-93
"Tep1",1.37521327613181e-97,-0.0561737312170001,0.462,0.805,7.55005840729125e-93
"Ptgfrn",1.00754245283988e-96,-0.0669666699991039,0.305,0.654,5.5315088203362e-92
"Sec24c",1.41329969884337e-96,-0.0628127762849411,0.348,0.688,7.75915667662e-92
"Il10rb",1.89749166040897e-96,-0.129369405571149,0.378,0.766,1.04174189648113e-91
"Tiprl",1.93739916056634e-96,-0.0210267975260733,0.333,0.625,1.06365151314252e-91
"Rbbp4",3.1283421790732e-96,-0.0453433898502646,0.324,0.645,1.71749113973298e-91
"Pex13",4.05346777151724e-96,-0.0242915381687202,0.356,0.674,2.22539434124068e-91
"Oxa1l",4.7679109311184e-96,-0.0313807905473985,0.405,0.718,2.61763078029331e-91
"Nabp2",5.07940892370819e-96,-0.021483340867921,0.466,0.791,2.78864629320503e-91
"Triobp",6.21426628302159e-96,-0.041513300872547,0.278,0.59,3.41169433204168e-91
"Vps26a",6.92242055309052e-96,-0.0459233035336487,0.269,0.573,3.80047810785222e-91
"Dnm1l",1.08192508632558e-95,-0.0480381572948955,0.396,0.725,5.93987691643606e-91
"Fam192a",1.08601374571369e-95,-0.0280157479833155,0.348,0.647,5.96232406534273e-91
"Brd7",1.20313243421812e-95,-0.025229362991994,0.35,0.661,6.60531737710091e-91
"L1cam",1.27468499065414e-95,-0.102783841445436,0.368,0.734,6.99814806719031e-91
"Cnot3",1.39265092947778e-95,-0.0719327710125537,0.268,0.591,7.64579286792598e-91
"Slc25a17",1.5786336028703e-95,-0.0208894559048537,0.391,0.702,8.66685634311822e-91
"Mob1b",2.06578755952808e-95,-0.0868892768392854,0.402,0.772,1.13413802805651e-90
"Rreb1",2.7121680671674e-95,-0.0722948558261385,0.368,0.714,1.48900739055557e-90
"Capza1",2.82118782882002e-95,-0.0590614696689487,0.237,0.553,1.54886032990048e-90
"Lclat1",3.17845652530525e-95,-0.0958556847111824,0.317,0.679,1.74500441695784e-90
"Gtf2a2",3.4897493254016e-95,0.108496386316255,0.511,0.735,1.91590727713873e-90
"Slc12a7",3.7826820423971e-95,-0.0971362676299538,0.257,0.598,2.07673026809643e-90
"Prkcz",4.44831383296726e-95,-0.0436028955201593,0.422,0.754,2.44216877743736e-90
"Ganab",4.78200244456131e-95,-0.0909430182166031,0.427,0.789,2.6253671620886e-90
"Cops7a",4.84135876213514e-95,-0.00434394696342544,0.402,0.699,2.65795437399981e-90
"Slc30a4",5.0634593551626e-95,-0.140579172585191,0.265,0.642,2.77988982057782e-90
"Rrp7a",6.14582259569914e-95,-0.0198496271315245,0.308,0.607,3.37411806326478e-90
"Lrrc58",7.87872186524919e-95,-0.0508389127810981,0.287,0.601,4.32549709124046e-90
"Stk38",8.19446448043479e-95,-0.0278051737631549,0.419,0.745,4.49884294440351e-90
"Dctn1",1.13772766806758e-94,-0.035422834138794,0.364,0.689,6.24623867045784e-90
"Dcun1d1",1.28032624727902e-94,-0.0189059201071857,0.334,0.637,7.02911913018653e-90
"1700123O20Rik",1.84864557267652e-94,0.00591493759189343,0.369,0.654,1.01492490585514e-89
"Rnf121",2.15974115060594e-94,-0.0214965748040067,0.329,0.618,1.18571948909417e-89
"Uqcc3",2.22231645060613e-94,0.11241722171749,0.463,0.651,1.22007395454727e-89
"Api5",2.51278684468662e-94,-0.0277859810226761,0.314,0.627,1.3795451056014e-89
"Lrp6",2.53666550216446e-94,-0.0567632519033959,0.377,0.724,1.39265472734331e-89
"Eif2s3x",2.72063774351506e-94,-0.04004143813076,0.325,0.648,1.4936573275672e-89
"Rnf4",3.34583498392715e-94,-0.0168036520713771,0.355,0.665,1.83689686452585e-89
"Kctd10",4.5743305973041e-94,-0.0653801944103147,0.404,0.738,2.51135324122593e-89
"Dnttip2",4.73311918959506e-94,-0.00897838945484941,0.366,0.655,2.59852976627958e-89
"Nr1i2",5.2319741151285e-94,-0.0386139732251433,0.279,0.587,2.8724061089467e-89
"Mef2d",6.12946814258148e-94,-0.0958467801191747,0.28,0.632,3.36513930495866e-89
"Ttc39b",6.62008302176767e-94,-0.106653814798198,0.314,0.684,3.63449177978067e-89
"Gmfb",8.9679306471353e-94,-0.0370267236816509,0.329,0.641,4.92348360458375e-89
"Crls1",9.44295947323634e-94,-0.00860310426013883,0.379,0.668,5.18427918040148e-89
"Ap1b1",9.61577152015621e-94,-0.0638227123369364,0.286,0.604,5.27915472228096e-89
"Ptdss1",9.82893412985727e-94,-0.118268542244098,0.307,0.677,5.39618312663294e-89
"Mindy1",1.25306397135466e-93,-0.0904055330960917,0.33,0.688,6.8794465091342e-89
