"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-Nd3",1.1317343693236e-66,-0.758433113376259,0.625,0.937,6.21333486102349e-62
"Gm28438",2.65262900469034e-36,0.803247583101244,0.221,0.012,1.45631984986504e-31
"Acp1",6.15967039970798e-09,0.2262975829666,0.537,0.413,0.000338172064614368
"Ckb",1.04768123970715e-08,0.416921940766652,0.625,0.517,0.000575187477411625
"Prkar2b",3.00429848921404e-08,-0.210714031616718,0.122,0.249,0.0016493899135634
"Adi1",5.04504780013885e-08,-0.240563852608443,0.122,0.245,0.00276978169275423
"Gpatch8",5.43151641374212e-06,-0.164590895765782,0.402,0.546,0.298195682630856
"Ndufb10",6.03221602395884e-06,0.155899857844861,0.755,0.755,0.331174691931364
"Amn",1.04569770113683e-05,0.180427710530892,0.251,0.153,0.574098494901133
"Gm6368",1.37079998425443e-05,0.244832963898736,0.501,0.427,0.752582899355527
"Styk1",1.81976634677598e-05,-0.220003501518228,0.353,0.456,0.999069922043482
"Cisd1",1.97017458058291e-05,0.142886189765361,0.659,0.636,1
"Aes",2.11862282623886e-05,0.151349607959049,0.929,0.926,1
"Muc2",2.85935771295987e-05,0.197615076271409,0.542,0.421,1
"Ide",3.77087433764736e-05,-0.139810434150747,0.254,0.364,1
"Grb7",4.49183379064791e-05,-0.097834666715175,0.368,0.495,1
"Tob2",5.36555282123553e-05,-0.165442396401331,0.279,0.401,1
"Mptx1",5.9906925987908e-05,0.446826800202425,0.491,0.368,1
"Selenow",6.86324135684818e-05,0.168703576209046,0.758,0.726,1
"Wdfy1",6.87339984857412e-05,0.128105881330543,0.307,0.196,1
"Susd6",8.85668509462648e-05,-0.0547549869441183,0.105,0.188,1
"Laptm4a",9.08545406674956e-05,0.0941486985457425,0.788,0.816,1
"Zdhhc20",9.19637343934801e-05,-0.193745090258568,0.316,0.429,1
"Il6ra",0.000113648117253299,-0.223948304708563,0.423,0.53,1
"Myo6",0.000115308787962237,-0.16727347047541,0.677,0.787,1
"Reg3b",0.000117762180662643,0.101765376781647,0.218,0.125,1
"Shkbp1",0.000132731964381611,0.130322218537695,0.245,0.209,1
"Hoxb7",0.000137911327842373,-0.0907767072306006,0.38,0.497,1
"Rcn1",0.000155549545785695,0.143316841010093,0.184,0.1,1
"Fam83e",0.000166707580940724,-0.167591137732096,0.628,0.74,1
"Itm2c",0.000170911932115246,0.12392426455352,0.69,0.716,1
"Adss",0.000171567818647519,0.0147672920307995,0.338,0.427,1
"Uba52",0.000172204584376131,0.139258954109847,0.737,0.732,1
"Tax1bp1",0.000176975475627219,-0.180640902948299,0.899,0.912,1
"Hdac5",0.000192390476617259,-0.129250195062768,0.187,0.29,1
"Tmem98",0.000200414020771757,-0.158967735655773,0.282,0.395,1
"Mrps12",0.000205986400453438,0.156608760363496,0.448,0.362,1
"Ddx5",0.00021953937366998,-0.107075532233915,0.966,0.988,1
"Hoxb4",0.00022350480766964,-0.187775601228433,0.352,0.47,1
"Rapgef2",0.000233857943621443,-0.0602326638274383,0.067,0.137,1
"Cetn2",0.000252191549241308,0.074172491000945,0.43,0.472,1
"Hk2",0.000271484144331135,-0.109916091207393,0.197,0.299,1
"Lmo1",0.000273183981046634,0.159222672402911,0.142,0.092,1
"Rnf187",0.000295569372095995,0.055406807523986,0.497,0.548,1
"Pdcd7",0.00033121200889158,-0.115775909404638,0.162,0.256,1
"Fblim1",0.000360177514650434,-0.133482024460137,0.117,0.202,1
"Caap1",0.00036726614731166,-0.116438245628362,0.141,0.231,1
"2310039H08Rik",0.000369847440160437,0.0989197872687139,0.398,0.401,1
"S100a6",0.000383966019487903,0.268082992662126,0.727,0.642,1
"Pura",0.000390863919690914,-0.142681327320872,0.736,0.828,1
"Prdm15",0.000392312664214821,-0.0853492494124209,0.052,0.114,1
"Gapdh",0.000393331312568778,0.132126445351254,0.954,0.914,1
"Pkdcc",0.000429442211306955,-0.0529642342492407,0.602,0.708,1
"Rsf1",0.000439389561537275,-0.119928593690325,0.451,0.566,1
"Tgif1",0.00044448485068419,-0.101556861652007,0.188,0.286,1
"Crlf3",0.000449542456977671,-0.0414028663846632,0.055,0.115,1
"Caly",0.000453670246799359,0.13139836414333,0.168,0.092,1
"Golim4",0.000455465328101386,-0.0980760608364835,0.746,0.84,1
"Gm609",0.000456735971459385,-0.229103382533825,0.527,0.634,1
"Rasgrf2",0.000465713357189299,0.076823575642959,0.301,0.344,1
"Mrpl12",0.000495966897671932,0.0750153687439848,0.458,0.507,1
"Bex2",0.0005379335457732,0.206743538559797,0.635,0.591,1
"Trappc4",0.000543160320055334,0.151909963808126,0.493,0.446,1
"Bex4",0.000579780122135257,0.128319436687046,0.291,0.194,1
"Fabp5",0.000593178617164513,0.36484786683639,0.441,0.403,1
"Kmt2b",0.000610848954055054,-0.160740425032304,0.27,0.374,1
