"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm28438",0,1.05946917518444,0.427,0.006,0
"mt-Nd3",0,-0.915286759603261,0.545,0.986,0
"Mrps12",3.69392090291593e-122,0.213934444144418,0.66,0.635,2.02799951490987e-117
"Pigr",1.87354180915656e-121,-0.239766592326103,0.99,0.995,1.02859318864504e-116
"A430005L14Rik",2.22142262343567e-113,0.223475030839206,0.539,0.474,1.21958323449241e-108
"Acp1",7.39521472582457e-100,0.201314529738356,0.661,0.641,4.06004683662495e-95
"Crip1",6.68931162606195e-99,-0.244065299810084,0.958,0.978,3.67249897582427e-94
"Eif3k",2.67014574359201e-89,0.176978833217996,0.901,0.93,1.46593671468945e-84
"Uba52",8.76005667028057e-83,0.240783787264692,0.951,0.944,4.80935871255074e-78
"H2-T23",2.121949072405e-73,-0.169035017374564,0.553,0.754,1.16497126024107e-68
"5033406O09Rik",6.41776701865189e-72,-0.126302536750834,0.21,0.399,3.52341827091008e-67
"Eif2s3y",2.66142066427203e-69,-0.0788819974929224,0.314,0.497,1.46114655889199e-64
"Muc13",5.07600726543156e-67,-0.213593783510164,0.969,0.986,2.78677874879458e-62
"mt-Co3",5.09343280858106e-66,-0.186451723267371,0.763,0.911,2.79634554623909e-61
"Gm47283",2.88170887212736e-65,0.2098566157555,0.369,0.294,1.58208698788664e-60
"Mapk13",1.27166555451018e-64,-0.0988227869737214,0.712,0.87,6.98157106081632e-60
"Rpl8",7.80765003792766e-64,0.13141992954056,0.993,0.994,4.28647794732266e-59
"Deptor",9.83120311663431e-64,-0.0393428737308716,0.636,0.791,5.3974288230634e-59
"Tmem50a",1.14508305784348e-63,-0.0575339982908486,0.618,0.779,6.28662049586651e-59
"Styk1",1.48232754087747e-62,-0.10266793603044,0.505,0.692,8.13812643217139e-58
"Tmem45b",2.04894820459152e-62,-0.109488732587003,0.734,0.887,1.12489305380279e-57
"Echs1",2.50595580936639e-62,0.0238368487060112,0.708,0.825,1.37579479890024e-57
