"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm28438",0,1.60453616854218,0.779,0.015,0
"Rps29",0,-0.363381511203208,0.999,0.999,0
"Rpl38",0,-0.37300690526686,0.992,0.997,0
"Rps28",0,-0.383374165457925,0.99,0.996,0
"mt-Nd3",0,-1.58995596422655,0.218,0.992,0
"Rps27",4.30097592521751e-237,-0.30587713057343,0.993,1,2.36127879270366e-232
"Ide",2.01442137979355e-222,-0.254253219610057,0.35,0.772,1.10593748172046e-217
"Rps21",2.5236264043357e-218,-0.267171472475408,0.996,0.997,1.38549613224434e-213
"Acp1",3.40915128249604e-214,0.273241938920843,0.79,0.868,1.87165814560315e-209
"Cox4i1",2.42615036209533e-199,0.25582234135908,0.999,0.998,1.33198081029396e-194
"Hint2",4.89893726914189e-192,0.166090192309919,0.697,0.861,2.68956555013159e-187
"Rnaset2b",6.17567003463335e-189,0.000812984340847644,0.534,0.803,3.39050460571406e-184
"St6galnac2",1.03780588914392e-187,-0.071822544980657,0.441,0.761,5.69765811198905e-183
"Mrps12",2.28892464757044e-187,0.168301338517023,0.653,0.798,1.25664252076265e-182
"Pet100",2.88779541014253e-187,-0.129120968815736,0.404,0.761,1.58542855812235e-182
"Deptor",3.15829368262854e-183,-0.0916207535246976,0.432,0.766,1.7339348146999e-178
"Atp5g2",3.54181457459065e-183,0.0479613498190747,0.479,0.701,1.94449161959601e-178
"Ube2r2",1.61857360562256e-182,-0.0835979502769379,0.567,0.875,8.88613095222843e-178
"Ctbp2",2.0755559668032e-182,-0.0463096799725328,0.406,0.714,1.13950098133463e-177
"Pigx",2.94666310974216e-182,0.0255891925828656,0.568,0.822,1.61774751387954e-177
"Tspan7",1.20607954510636e-181,-0.0443054173802859,0.48,0.786,6.62149731058843e-177
"Ascc1",2.62830074750005e-181,-0.00127770600355376,0.378,0.651,1.442963393385e-176
"Bnip3l",6.06455219247874e-181,-0.0395863383322376,0.499,0.802,3.32949979919275e-176
"Vps72",1.05220414123977e-180,-0.0336175920474198,0.411,0.698,5.77670595582044e-176
"Mcts1",1.06696497241794e-180,0.00425724157087753,0.459,0.725,5.85774439507174e-176
"Tm2d3",8.296619390079e-180,0.0389354939707546,0.513,0.763,4.55492701134727e-175
"Sft2d2",2.72200067795656e-179,-0.0630758846283261,0.392,0.704,1.49440559220493e-174
"Glg1",3.35391624347371e-179,-0.0534921889564223,0.51,0.814,1.8413335568295e-174
"Smarce1",6.79684680528461e-179,-0.0220846226643953,0.545,0.824,3.7315368645693e-174
"Man2a1",8.64404363576286e-179,-0.0695127946881429,0.359,0.68,4.74566639647017e-174
"Nme2",1.82018322519744e-177,0.0497328393429989,0.544,0.766,9.99298792465646e-173
"Klhdc2",2.08064746655751e-177,-0.0237210576596937,0.428,0.715,1.14229626561474e-172
"Tial1",4.66964893195186e-177,-0.0706047063856974,0.466,0.78,2.56368396013089e-172
"Pnkd",1.46368203785509e-176,0.0717118646996358,0.588,0.802,8.03576075602822e-172
"Nr2f6",2.64309750635615e-176,-0.0507456456379354,0.564,0.851,1.45108696196459e-171
"Atp5k",2.77786954244266e-176,-0.342106964437322,0.921,0.991,1.52507815749644e-171
"Creg1",5.17565029256526e-176,0.0237564934622181,0.576,0.836,2.84148376712126e-171
"Mpzl1",1.70952307394045e-175,-0.108817586449474,0.402,0.736,9.38545262824046e-171
"Hypk",1.86822050277233e-175,0.0287635403472341,0.526,0.756,1.02567173822704e-170
"Slc25a17",2.21290461522551e-175,-0.0347324310649325,0.459,0.753,1.21490676280496e-170
"1700123O20Rik",6.73989276955527e-175,0.00586724980629744,0.432,0.697,3.70026852941354e-170
"Eif4ebp2",7.60339166495095e-175,-0.102234324833644,0.591,0.898,4.17433805797472e-170
"1810022K09Rik",8.76218082139021e-175,-0.0636959497566333,0.482,0.782,4.81052489275144e-170
"Rpp25l",1.64190933075007e-174,0.019674213746551,0.49,0.744,9.01424641675096e-170
"Smarcd2",4.47334831406196e-174,-0.0327694333295419,0.551,0.834,2.45591295790316e-169
"Eif3j1",5.32696363330024e-174,-0.0752598401046836,0.416,0.73,2.92455630431816e-169
"Hmox2",6.50276963711578e-174,-0.0156672704821007,0.454,0.734,3.57008555847293e-169
"Tspan12",9.16160375821036e-174,-0.0378891830256025,0.424,0.722,5.02981207929507e-169
"Laptm4b",1.39567458088727e-173,-0.0349009210640244,0.489,0.784,7.66239301652921e-169
"Amn",1.57527899496409e-173,0.38588789831149,0.524,0.329,8.64843921025236e-169
"Tmem171",2.16358187093942e-173,-0.083590863427845,0.431,0.756,1.18782808296445e-168
"Pum1",2.16760899765548e-173,-0.0609861187544254,0.6,0.889,1.19003901580284e-168
"March5",7.17623233389448e-173,-0.032110406461744,0.494,0.779,3.93982331363141e-168
