"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm28438",0,1.5819807607623,0.748,0.017,0
"mt-Nd3",0,-1.563714089079,0.236,0.992,0
"Rps29",2.46654173454741e-198,-0.446112394463142,0.995,1,1.35415607768388e-193
"Rps28",8.82815075037487e-133,-0.436224955038552,0.986,0.999,4.84674304346331e-128
"Rps27",1.02039240503014e-126,-0.345560127348833,0.995,0.998,5.60205634285596e-122
"Rpl38",3.02018874507818e-116,-0.40084954752357,0.992,0.998,1.65811382293537e-111
"Acp1",1.07052657492838e-95,0.278405204859234,0.652,0.729,5.87729794901432e-91
"Amn",7.20236206091574e-82,0.364378342524586,0.346,0.053,3.95416879506335e-77
"Arpc4",5.20252828768012e-80,0.0419030491047986,0.662,0.88,2.85624005521926e-75
"Serp1",3.50701381991824e-78,0.0576095091390025,0.537,0.768,1.92538565727331e-73
"Eif2s1",5.91759534823188e-78,0.0170485636887618,0.464,0.706,3.24881902213279e-73
"Tmem167",3.58695343803664e-77,0.0950817601499446,0.559,0.76,1.9692733070165e-72
"mt-Atp8",5.31415319676673e-77,-0.316231906653199,0.646,0.946,2.9175232465569e-72
"Rnaset2a",8.3397303225136e-77,0.0154827570477625,0.596,0.836,4.57859534436319e-72
"Uqcc3",8.89342718950153e-77,0.115076367799151,0.557,0.737,4.88258046130823e-72
"Eif3b",1.42472922342292e-76,0.0792217416770311,0.557,0.766,7.82190590951416e-72
"Hint2",3.51900332312831e-76,0.145700587851439,0.736,0.88,1.93196801443067e-71
"Polr2e",2.48203614617862e-75,0.119592502432424,0.704,0.886,1.36266266461352e-70
"Parl",1.38437746059556e-74,0.0446881337825147,0.54,0.765,7.60037069641569e-70
"Prkar2b",3.45423087758993e-74,-0.150018621784591,0.03,0.271,1.89640729410565e-69
"Mrps12",6.2186004612658e-74,0.216710362981491,0.538,0.6,3.41407383923954e-69
"Rnaset2b",6.46495079384668e-74,0.0343815829995378,0.497,0.711,3.54932263532977e-69
"Actr10",1.00761240855936e-73,-0.00315848240363559,0.531,0.802,5.53189288423175e-69
"Gfer",1.11323688487911e-73,0.0736708452578182,0.606,0.818,6.11178182167481e-69
"Tfg",1.47989650608413e-73,-0.0294352293640642,0.483,0.756,8.12477980805249e-69
"Tomm40",3.42119005220734e-73,0.103725871117074,0.611,0.791,1.87826755056235e-68
"Emg1",4.71463367708403e-73,0.0903974660652623,0.637,0.837,2.5883810350559e-68
"Ube2j2",4.72713409221811e-73,-0.0515220627786397,0.406,0.696,2.59524388796867e-68
"Emc7",1.16892573181725e-72,0.037975018537351,0.567,0.8,6.41751916024986e-68
"Sdcbp",1.49745832185391e-72,-0.0436067204017954,0.64,0.904,8.22119593281017e-68
"Arl1",2.27193934931947e-72,0.0230154840372131,0.592,0.816,1.24731742216988e-67
"Mrpl24",3.45169682103491e-72,-0.0174919639197516,0.659,0.91,1.89501607171637e-67
