"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-Nd3",1.51291802108002e-112,-0.470823124137055,0.886,0.945,8.3060712275314e-108
"Pitx2",3.87669897503424e-44,-0.369391188977324,0.075,0.322,2.12834650428355e-39
"Rps29",9.22906891595813e-42,0.230002222460503,0.961,0.988,5.06685112555017e-37
"Car1",1.74353848036361e-35,-0.80576910366374,0.546,0.789,9.57220061104426e-31
"Amn",2.1173126002746e-34,0.244244301747198,0.414,0.181,1.16242579067676e-29
"Gm47283",3.92773172784527e-32,0.42378570693172,0.517,0.325,2.15636399590433e-27
"A430005L14Rik",9.40576220111771e-30,0.305046000032349,0.622,0.541,5.16385750603563e-25
"Rps28",4.89496431954954e-29,0.205819424083977,0.93,0.95,2.68738436107589e-24
"Cela1",2.688786938579e-27,0.407949634407081,0.757,0.773,1.47617091714926e-22
"Uba52",4.02538637857172e-27,0.262451034521147,0.88,0.882,2.20997737569966e-22
"Dnaja1",1.13559422825151e-26,-0.292064485559943,0.775,0.867,6.23452587252363e-22
"Rpl38",5.55418192736088e-26,0.188591841039789,0.953,0.97,3.0493014199404e-21
"Rps21",1.7304783931287e-25,0.178216746352777,0.947,0.97,9.50049942611586e-21
"Rpl39",1.88510942601536e-25,0.161269519970138,0.957,0.979,1.0349439259767e-20
"Wfdc2",2.89175185447111e-25,0.616978525284664,0.696,0.562,1.58760068562319e-20
"Klk1",1.06586123721792e-24,0.531355888208507,0.719,0.654,5.85168477845011e-20
"Hmgcs2",1.74559834286411e-24,-0.454205695151406,0.549,0.736,9.58350946215826e-20
"Mpst",1.95596278869625e-24,-0.376239099876924,0.576,0.727,1.07384313062213e-19
"Gal3st2c",7.30205485500011e-24,-0.146858400438928,0.013,0.124,4.00890113594361e-19
"Hspa8",8.06060647108187e-24,-0.205621006750517,0.943,0.97,4.42535355868866e-19
"Higd1a",2.28799263232364e-23,-0.397242612478216,0.721,0.817,1.256130835072e-18
"Ces1g",7.82738988820306e-23,-0.329962045442675,0.179,0.367,4.29731532252236e-18
"Txn1",2.29991490708136e-22,-0.218242630277828,0.931,0.964,1.26267628313674e-17
