"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"mt-Nd3",1.8545803654207e-20,-1.06088954264386,0.41,0.929,1.01818316641962e-15
"Gm28438",1.30436151163772e-19,1.4599125877819,0.508,0,7.16107513504226e-15
"Lsm4",5.85158126032999e-07,0.288757836634715,0.59,0.647,0.0321257662773377
"Ssr4",3.37898865661871e-06,0.363969535847061,0.82,0.847,0.185509856237024
"Nebl",3.90850184280427e-06,-0.410398076441786,0.566,0.859,0.214580659671797
"Cyc1",6.32114529516584e-06,0.425154868721701,0.795,0.812,0.3470371978499
"Clip1",7.46501756432287e-06,-0.287579634745236,0.115,0.4,0.40983692929889
"Agap1",1.20415495616873e-05,-0.41310147846314,0.443,0.753,0.661093112486193
"2610528A11Rik",1.71054349648848e-05,0.785869219136427,0.352,0.259,0.939105485007141
"Rgs13",1.71378045057625e-05,-0.307033306050235,0.82,0.988,0.940882605170869
"Uba52",1.74553195928636e-05,0.431521536567547,0.828,0.8,0.958314500967805
"Stk38",2.45065384144114e-05,-0.373893773508338,0.648,0.894,1
"Akr1c19",3.05825945550863e-05,0.476909655216953,0.27,0.141,1
"Muc2",3.68911745264701e-05,1.70356552536891,0.598,0.341,1
"Ahnak2",3.95992598789209e-05,-0.245641758251206,0.73,0.953,1
"5730596B20Rik",4.05365789404522e-05,-0.116935369002334,0.008,0.129,1
"Myo1b",4.12951767360476e-05,-0.431670632586171,0.746,0.929,1
"Nav2",4.18747435193508e-05,-0.181282399685607,0.549,0.835,1
"Mrpl12",4.23361129324067e-05,0.486857754695862,0.689,0.588,1
"Bcl2l14",4.83436468325365e-05,-0.395600910190776,0.607,0.871,1
"Sdhb",5.75778284465129e-05,0.259017695634184,0.648,0.706,1
"Dsp",6.6644139903541e-05,-0.214623971941984,0.713,0.941,1
"Plcb2",6.72132002400341e-05,-0.289605018564431,0.426,0.729,1
"Srrm2",7.11204353708374e-05,-0.290615741558016,0.787,0.976,1
"Pgm2l1",8.33084520310453e-05,-0.304490103387476,0.443,0.741,1
"Atp5o.1",8.35118024033827e-05,0.209063207887572,0.803,0.894,1
"Fabp2",8.40012971293596e-05,0.795246874578737,0.443,0.224,1
"Mgst1",9.14172967478558e-05,0.541049673427876,0.516,0.412,1
"Zfhx3",9.81827414702025e-05,-0.332563662155832,0.59,0.847,1
"Skap2",0.000100973927715951,-0.299520853165949,0.705,0.929,1
"Inpp5b",0.000114611462156994,-0.363794958978672,0.41,0.706,1
"Aldh3a2",0.000118567988742268,-0.43415085782277,0.508,0.776,1
"Sec61b",0.000121116064855029,0.359040821954215,0.811,0.753,1
"Trpm5",0.000130038090904835,-0.545249095130895,0.787,0.941,1
