"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143",4.29478719355884e-06,0.000206149785290825,0.610526878385931,0.655471331196915,2.24589306424536,81,"ANAPC15;AURKA;BUB3;CCNB1;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"2","APC/C:Cdc20 mediated degradation of Securin Homo sapiens R-HSA-174154",1.37738603165349e-05,0.000353370761224206,0.593325476396405,0.703200672746393,2.30424353319776,64,"ANAPC15;CDC20;CDC26;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"3","APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409",1.09547768493582e-05,0.000319621724545982,0.593325476396405,0.684556142286035,2.28985244067821,71,"ANAPC15;BUB3;CCNB1;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"4","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178",9.82329114848089e-06,0.000304522025602907,0.593325476396405,0.686919380367821,2.29899910184874,69,"ANAPC15;AURKA;CDC20;CDC26;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"5","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419",1.04519687743927e-05,0.000311050590725927,0.593325476396405,0.68617003579495,2.29649117653867,69,"ANAPC15;BUB3;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"6","AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408",0.00167030224388233,0.0228019242100633,0.45505986738723,0.632376436365899,2.0267617873834,51,"EIF4G1;HNRNPD;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"7","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814",1.61863646684526e-07,3.01066382833219e-05,0.690132458796796,0.681795404292989,2.28729532344041,72,"ANAPC15;BUB3;CCNB1;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"8","Activation of NF-kappaB in B cells Homo sapiens R-HSA-1169091",1.44524008592709e-05,0.000358419541309919,0.593325476396405,0.688870303862686,2.22319502502493,59,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"9","Antigen processing-Cross presentation Homo sapiens R-HSA-1236975",1.54291397880213e-05,0.000370905371102558,0.575610261071129,0.692355857928188,2.26362338961229,63,"B2M;CTSS;CYBA;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;SEC61B;UBA52"
"10","Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168",0.00150193779208625,0.0212846041392795,0.45505986738723,0.419478388245696,1.63769179980076,206,"BLMH;CDC20;CDC34;HECTD1;MKRN1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;RBX1;RNF126;RNF220;RPS27A;STUB1;UBA5;UBA52;UBE2A;UBE2L3;UBE2M;UBE2Q2;UBE2S;UFL1"
"11","Asparagine N-linked glycosylation Homo sapiens R-HSA-446203",0.00183803078210359,0.024639547781713,0.45505986738723,0.415253902403603,1.62119892194142,206,"ALG14;ALG5;AMDHD2;ARF1;BET1;CMAS;CNIH1;COPE;COPZ1;COPZ2;CTSA;CTSZ;DAD1;DCTN2;DCTN3;DDOST;DERL2;DHDDS;DPM1;DPM2;DYNLL2;EDEM2;FUCA1;FUK;FUOM;GBF1;GLB1;GMDS;GMPPB;GNPNAT1;KDELR1;KDELR2;KDELR3;LMAN1;MCFD2;MGAT4B;MGAT4C;MPDU1;MPI;MVD;NANS;NAPA;NUDT14;OS9;PMM1;PREB;PRKCSH;RAB1A;RAB1B;RPN2;SAR1B;SCFD1;SEC13;SEC22A;SLC35A1;ST3GAL4;ST6GALNAC6;TFG;TMED10;TMED2;TMED3;TMED9;TRAPPC1;TRAPPC2L;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC6A;TRAPPC6B;TSTA3"
"12","Assembly of the pre-replicative complex Homo sapiens R-HSA-68867",1.57627395958599e-05,0.000370905371102558,0.575610261071129,0.692126646221126,2.2628739932212,63,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"13","Asymmetric localization of PCP proteins Homo sapiens R-HSA-4608870",4.11270965088907e-06,0.000206149785290825,0.610526878385931,0.725296589633353,2.33712228779572,56,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"14","Attenuation phase Homo sapiens R-HSA-3371568",0.00287867412950128,0.0364168169613303,0.431707695803346,-0.700765908943712,-1.8020733245677,18,"DNAJB1;EP300;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA8;HSPH1;UBB"
"15","Autodegradation of Cdh1 by Cdh1:APC/C Homo sapiens R-HSA-174084",3.12986082040654e-06,0.000202488386989779,0.627256739718528,0.705044008103082,2.3030975227916,62,"ANAPC15;CDC26;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"16","Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425",3.33751242507751e-06,0.000206149785290825,0.627256739718528,0.758785558058388,2.41497698317993,47,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"17","Beta-catenin independent WNT signaling Homo sapiens R-HSA-3858494",0.000423690539222578,0.00750537526622853,0.49849310876659,0.545871509066317,1.94821504424247,106,"AP2A1;AP2S1;CALM1;CLTA;CLTB;GNB2;GNG11;PFN1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;RHOA;RPS27A;UBA52"
"18","C-type lectin receptors (CLRs) Homo sapiens R-HSA-5621481",0.00085376380876733,0.0135148994409126,0.477270815362862,0.546652687451575,1.95804269111531,100,"CALM1;CDC34;HRAS;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PYCARD;RPS27A;UBA52;UBE2M"
"19","CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017",4.23882937154634e-06,0.000206149785290825,0.610526878385931,0.755439998861658,2.40432911518856,47,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"20","CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827",5.82589393957138e-06,0.000270904068190069,0.610526878385931,0.726507095469833,2.3350014805428,54,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;RPS27A;UBA52"
"21","CLEC7A (Dectin-1) signaling Homo sapiens R-HSA-5607764",0.000488875775358187,0.00845868783410445,0.477270815362862,0.58706413041731,2.04468274278094,88,"CALM1;CDC34;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PYCARD;RPS27A;UBA52;UBE2M"
"22","COPII (Coat Protein 2) Mediated Vesicle Transport Homo sapiens R-HSA-204005",0.000724584833111434,0.0115933573297829,0.477270815362862,0.570539830861297,1.83852076813765,55,"BET1;CNIH1;CSNK1D;CTSZ;LMAN1;LMAN2;MCFD2;NAPA;PREB;RAB1A;RAB1B;SAR1B;SCFD1;SEC13;SEC22A;SEC24D;TFG;TMED10;TMED2;TRAPPC1;TRAPPC2L;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC6A;TRAPPC6B"
"23","Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184",6.91691052802704e-06,0.000292207854181492,0.610526878385931,0.703161893094643,2.34685426498106,68,"ANAPC15;BUB3;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RPS27A;UBA52;UBE2E1"
"24","Cell Cycle Checkpoints Homo sapiens R-HSA-69620",0.000581963302996869,0.0096217932762149,0.477270815362862,0.48964940912402,1.83199464899045,142,"ANAPC15;BABAM1;BUB3;CCNB1;CCNB2;CDC20;CDC26;CDK1;CDKN1B;H2AFX;HIST1H2BC;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;RFC4;RPS27A;SUMO1;UBA52;UBE2E1;YWHAQ"
"25","Cell-Cell communication Homo sapiens R-HSA-1500931",0.00156308324229997,0.0219367257752605,0.45505986738723,-0.515553912328523,-1.75443823608254,68,"ACTN1;ACTN4;CD2AP;CD47;CDH1;CDH17;CLDN14;CLDN15;CLDN2;CLDN4;CTNNB1;CTNND1;DST;F11R;FBLIM1;IQGAP1;ITGA6;ITGB1;JUP;MAPK13;MPP5;NCK1;NCK2;PAK1;PARVA;PIK3R1;PIK3R2;PLEC;PRKCI;PTK2;PVR;PXN;SPTAN1;SPTBN1;VASP"
"26","Cholesterol biosynthesis Homo sapiens R-HSA-191273",0.00157743928625865,0.0219367257752605,0.45505986738723,0.802001257301189,2.13582277321237,20,"EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;MSMO1;MVD;MVK;PMVK;SC5D;SQLE"
"27","Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169",0.000892168893128068,0.0139741822418375,0.477270815362862,0.409231938150212,1.62987299778172,233,"B2M;BLMH;CDC20;CDC34;CTSS;CYBA;HECTD1;MKRN1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;RBX1;RNF126;RNF220;RPS27A;SAR1B;SEC13;SEC61B;STUB1;UBA5;UBA52;UBE2A;UBE2L3;UBE2M;UBE2Q2;UBE2S;UFL1"
"28","Classical antibody-mediated complement activation Homo sapiens R-HSA-173623",0.00133138197306117,0.0198109637591502,0.45505986738723,-0.999701314217443,-1.33968209520672,1,"C1QA"
"29","Complex I biogenesis Homo sapiens R-HSA-6799198",1.32903029412694e-05,0.000346946855729979,0.593325476396405,0.734608359810982,2.33420926742433,48,"NDUFA11;NDUFA13;NDUFA2;NDUFA8;NDUFA9;NDUFAB1;NDUFAF3;NDUFB10;NDUFB11;NDUFB5;NDUFB7;NDUFB8;NDUFB9;NDUFC2;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3"
"30","Creation of C4 and C2 activators Homo sapiens R-HSA-166786",0.00133138197306117,0.0198109637591502,0.45505986738723,-0.999701314217443,-1.33968209520672,1,"C1QA"
"31","Cross-presentation of soluble exogenous antigens (endosomes) Homo sapiens R-HSA-1236978",1.94525077117011e-06,0.000158226612383736,0.627256739718528,0.794198841475329,2.46750588667766,42,"PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1"
"32","Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656",3.94501337382191e-05,0.000863261750036324,0.557332238758646,0.654547423531829,2.14700605046539,65,"CCND1;CDKN1B;CKS1B;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;RPS27A;UBA52"
"33","Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202",0.000222168785187867,0.00423829682512238,0.518848077743792,0.654891407359694,2.14594403680212,64,"CCND1;CDKN1B;CKS1B;PSMA1;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC3;PSMC4;PSMC5;PSMD1;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;RPS27A;UBA52"
