"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279",0.000638018744666348,0.0106312561611258,0.477270815362862,0.47951652583164,2.34038762173239,24,"EIF1AX;EIF2S1;EIF2S2;EIF3A;EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3G;EIF3H;EIF3I;EIF3K;EIF3L;EIF3M;EIF4A1;EIF4A2;EIF4B;EIF4E;EIF4G1;EIF4H;FAU;PABPC1;UBA52"
"2","APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409",0.00296005437638913,0.0348849698191029,0.431707695803346,0.266175685199145,1.87506412147497,69,"ANAPC11;ANAPC16;ANAPC5;BUB1B;BUB3;CCNA2;CCNB1;CDC16;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD11;PSMD13;PSMD14;PSMD2;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME3;PSME4;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1"
"3","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178",0.00444924579985377,0.0461414791691129,0.407017918923954,0.257113455490669,1.8036173539736,67,"ANAPC11;ANAPC16;ANAPC5;AURKA;AURKB;CDC16;CDC20;CDC26;FZR1;PLK1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD10;PSMD11;PSMD13;PSMD14;PSMD2;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME3;PSME4;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1"
"4","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419",0.00128345364489118,0.017462034452969,0.45505986738723,0.279480427967225,1.96051874848669,67,"ANAPC11;ANAPC16;ANAPC5;BUB1B;BUB3;CCNA2;CDC16;CDC20;CDC26;CDK1;MAD2L1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD10;PSMD11;PSMD13;PSMD14;PSMD2;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME3;PSME4;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1"
"5","AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408",7.3408098603858e-06,0.000518401001092959,0.610526878385931,0.392652941294659,2.48812120693865,50,"EIF4G1;HNRNPD;HSPA8;PABPC1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD10;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME2;PSME3;PSME4;UBA52;UBB;UBC"
"6","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176814",0.00296392865624205,0.0348849698191029,0.431707695803346,0.269939494526558,1.92573315482732,70,"ANAPC11;ANAPC16;ANAPC5;BUB1B;BUB3;CCNA2;CCNB1;CDC16;CDC20;CDC26;CDK1;MAD2L1;PLK1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD11;PSMD13;PSMD14;PSMD2;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME3;PSME4;UBA52;UBB;UBC;UBE2C;UBE2D1;UBE2E1"
"7","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662",0.000638018744666348,0.0106312561611258,0.477270815362862,0.47951652583164,2.34038762173239,24,"EIF1AX;EIF2S1;EIF2S2;EIF3A;EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3G;EIF3H;EIF3I;EIF3K;EIF3L;EIF3M;EIF4A1;EIF4A2;EIF4B;EIF4E;EIF4EBP1;EIF4G1;EIF4H;FAU;PABPC1"
"8","Acyl chain remodelling of PI Homo sapiens R-HSA-1482922",0.00406951828613292,0.0433941631598409,0.407017918923954,0.631930752405176,2.06234765114658,9,"PLA2G10;PLA2G12A;PLA2G16;PLA2G2F;PLA2G4A;PLA2G5;PLBD1"
"9","Amyloid fiber formation Homo sapiens R-HSA-977225",0.0021234179326186,0.0266866846955372,0.431707695803346,0.455415882574652,2.18939776235388,23,"GSN;H2AFZ;H3F3A;HSPG2;ITM2B;TTR;UBB;UBC"
"10","Antigen processing-Cross presentation Homo sapiens R-HSA-1236975",3.62197484053244e-06,0.000298410482694978,0.627256739718528,0.383049448981428,2.66555467623009,62,"B2M;CALR;CTSL;CTSS;CYBA;ITGB5;LNPEP;PDIA3;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD11;PSMD13;PSMD14;PSMD2;PSMD4;PSMD6;PSMD7;PSMD8;PSME1;PSME3;PSME4;SEC61A1;SEC61A2;SEC61B;SEC61G;TAP2;TAPBP;UBA52;UBB;UBC"
