"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Metabolism of proteins Homo sapiens R-HSA-392499",9.99999000001e-07,5.45184640000545e-05,0.505635619866717,1.30552057378084,0,691,"ACADVL;ACTB;ADAMTS15;ALG5;AMDHD2;APP;ARCN1;AREG;ARF3;ARF4;ARL2;ATF3;ATF4;ATP5G1;ATP6V0D1;B2M;B3GNT5;B4GALT1;B4GALT5;CCT3;CCT4;CCT7;CCT8;CHCHD2;CKAP4;COPE;COPZ1;COX19;CS;CSNK1D;CST3;CTDSP2;CTSH;CTSZ;CYC1;DAD1;DCTN3;DMBT1;DPH3;DPM2;DPM3;DYNC1H1;DYNC1I2;DYNLL1;EDEM1;EEF1A1;EEF1B2;EEF1D;EEF1G;EIF1AX;EIF2S2;EIF3B;EIF3D;EIF3G;EIF3K;EIF3L;EIF3M;EIF4A2;EIF4B;EIF4G1;EIF4H;EIF5A;EIF5B;EXOC7;EXOSC5;EXOSC7;FAU;FBXL3;FBXL5;FBXO6;FUCA1;FUOM;FXN;GALNT4;GALNT7;GFER;GLB1;GMPPB;GNB2;GNE;GNG11;GNG5;GRPEL1;H2AFZ;HDGF;HIST1H2BC;HSPA5;ITM2B;KDELR2;KIF5B;KLF4;KLHDC3;KLK1;LMNA;MGAT2;MGAT4A;MGAT4C;MIA3;MLEC;MOGS;MPI;MSRB1;MTX1;MUC13;MUC2;MUC3A;MVD;N6AMT1;NANS;NEU1;NOP56;NOP58;NSMCE1;NUDT14;NUP88;OS9;PABPC1;PFDN1;PFDN2;PFDN5;PFDN6;PIGP;PPP6C;PRKCSH;RAD21;RAE1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS24;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;SAA1;SEC11C;SEC13;SEC61B;SEC61G;SEC62;SEC63;SEMA5A;SERP1;SP3;SPCS1;SPCS2;SPTAN1;SRP14;SRP9;SRPR;SSR2;SSR4;ST3GAL4;ST6GALNAC4;STAG2;SUMO2;TBCA;TBCB;TCF7L2;TIMM10;TIMM10B;TIMM13;TIMM17B;TIMM44;TIMM50;TIMM8B;TIMM9;TMED10;TMED3;TMED9;TOMM20;TOMM40;TOMM5;TOMM7;TPR;TRAPPC2L;TRAPPC4;TRAPPC5;TRAPPC6A;TRMT112;TTR;TUBA4A;TUBB4B;UBA52;UBB;UBE2I;USO1;USP9X;XRN2;YIF1A"
"2","Host Interactions of HIV factors Homo sapiens R-HSA-162909",0.0012989987010013,0.0167730358585431,0.571858658345205,1.4110266352171,1298,106,"AP1G1;AP1S1;AP2S1;B2M;PPIA;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC3;PSMC4;PSMD13;PSMD14;PSMD3;PSMD4;PSMD8;PSME1;PSME2;RAC1;RAN;RANBP1;RBX1;RPS27A;SLC25A5;UBA52;UBB"
"3","Infectious disease Homo sapiens R-HSA-5663205",9.99999000001e-07,5.45184640000545e-05,0.619641164076554,1.57608373324606,0,291,"AP1G1;AP1S1;AP2S1;B2M;CALM1;CHMP2A;CHMP2B;DLAT;GTF2A2;GTF2H4;GTF2H5;HBEGF;HSPA1A;NMT1;NMT2;PABPN1;POLR2E;POLR2F;POLR2H;POLR2J;PPIA;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC3;PSMC4;PSMD13;PSMD14;PSMD3;PSMD4;PSMD8;PSME1;PSME2;RAC1;RAN;RANBP1;RBX1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;SLC25A5;SSRP1;TAF10;UBA52;UBB;VPS28"
"4","HIV Infection Homo sapiens R-HSA-162906",0.00243199756800243,0.0246889684144799,0.515361956994706,1.29588611890655,2431,185,"AP1G1;AP1S1;AP2S1;B2M;CHMP2A;CHMP2B;GTF2A2;GTF2H4;GTF2H5;NMT1;NMT2;POLR2E;POLR2F;POLR2H;POLR2J;PPIA;PSMA2;PSMA3;PSMA4;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC3;PSMC4;PSMD13;PSMD14;PSMD3;PSMD4;PSMD8;PSME1;PSME2;RAC1;RAN;RANBP1;RBX1;RPS27A;SLC25A5;SSRP1;TAF10;UBA52;UBB;VPS28"
"5","rRNA processing Homo sapiens R-HSA-72312",9.99999000001e-07,5.45184640000545e-05,0.643950011846834,1.6125728654061,0,161,"BOP1;CSNK1D;EMG1;EXOSC7;FBL;FCF1;GAR1;HSD17B10;IMP3;NHP2;NOP10;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPP21;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;TRMT112;UBA52;WDR18"
"6","Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226",9.99999000001e-07,5.45184640000545e-05,0.647031196517732,1.6162152611306,0,149,"BOP1;CSNK1D;EMG1;EXOSC7;FBL;FCF1;IMP3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPP21;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;UBA52;WDR18"
"7","Influenza Infection Homo sapiens R-HSA-168254",9.99999000001e-07,5.45184640000545e-05,0.677253334206287,1.68567575641053,0,134,"HSPA1A;PABPN1;POLR2E;POLR2F;POLR2H;POLR2J;RAN;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;UBA52"
"8","Influenza Life Cycle Homo sapiens R-HSA-168255",9.99999000001e-07,5.45184640000545e-05,0.686526564425259,1.70597556239301,0,128,"HSPA1A;POLR2E;POLR2F;POLR2H;POLR2J;RAN;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;UBA52"
"9","Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273",9.99999000001e-07,5.45184640000545e-05,0.697304201457614,1.72875812525909,0,120,"POLR2E;POLR2F;POLR2H;POLR2J;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;UBA52"
"10","Selenoamino acid metabolism Homo sapiens R-HSA-2408522",9.99999000001e-07,5.45184640000545e-05,0.714567517602428,1.76046644967583,0,102,"CBS;EPRS;GSR;QARS;RARS;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL32;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP0;RPS10;RPS11;RPS13;RPS14;RPS15;RPS16;RPS18;RPS19;RPS20;RPS21;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;UBA52"
